Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
1,Christian Abbiati,it ITA,GK,Milan,it Serie A,37,1977,10.1,8,,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,René Adler,de GER,GK,Hamburger SV,de Bundesliga,29,1985,11.8,20,,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Adrián,es ESP,GK,West Ham,eng Premier League,27,1987,37.7,47,,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Kossi Agassa,tg TOG,GK,Reims,fr Ligue 1,36,1978,16.0,30,,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Federico Agliardi,it ITA,GK,Cesena,it Serie A,31,1983,9.7,19,,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Ali Ahamada,km COM,GK,Toulouse,fr Ligue 1,22,1991,23.0,40,,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Jak Alnwick,eng ENG,GK,Newcastle Utd,eng Premier League,21,1993,5.5,14,,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Cristian Álvarez,ar ARG,GK,Rayo Vallecano,es La Liga,28,1985,16.0,33,,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,27,1986,37.2,42,,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Diego Alves,br BRA,GK,Valencia,es La Liga,29,1985,36.8,29,,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Mariano Andújar,ar ARG,GK,Napoli,it Serie A,31,1983,15.0,24,,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,es La Liga,30,1984,27.0,23,,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Alphonse Areola,fr FRA,GK,Bastia,fr Ligue 1,21,1993,35.0,42,,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,25,1989,33.9,31,,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Samuel Atrous,fr FRA,GK,Lens,fr Ligue 1,24,1990,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Fabien Audard,fr FRA,GK,Lorient,fr Ligue 1,36,1978,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Vlada Avramov,rs SRB,GK,Atalanta,it Serie A,35,1979,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Mariano Barbosa,ar ARG,GK,Sevilla,es La Liga,30,1984,1.8,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Francesco Bardi,it ITA,GK,Chievo,it Serie A,22,1992,10.0,17,,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Davide Bassi,it ITA,GK,Empoli,it Serie A,29,1985,7.0,17,,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Sacha Bastien,fr FRA,GK,Reims,fr Ligue 1,20,1994,0.2,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,24,1990,34.0,55,,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Asmir Begović,ba BIH,GK,Stoke City,eng Premier League,27,1987,35.0,43,,,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Valentin Belon,fr FRA,GK,Lens,fr Ligue 1,19,1995,5.8,11,,,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Diego Benaglio,ch SUI,GK,Wolfsburg,de Bundesliga,30,1983,31.0,32,,,,,,,,,,,,,,,,,,,,,,,,,Matches
26,Francesco Benussi,it ITA,GK,Hellas Verona,it Serie A,32,1981,15.8,25,,,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Etrit Berisha,al ALB,GK,Lazio,it Serie A,25,1989,9.0,9,,,,,,,,,,,,,,,,,,,,,,,,,Matches
28,Beto,pt POR,GK,Sevilla,es La Liga,32,1982,16.0,19,,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,Albano Bizzarri,ar ARG,GK,Chievo,it Serie A,36,1977,28.0,24,,,,,,,,,,,,,,,,,,,,,,,,,Matches
30,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,19,1995,0.8,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Zacharie Boucher,fr FRA,GK,Toulouse,fr Ligue 1,22,1992,15.0,24,,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Claudio Bravo,cl CHI,GK,Barcelona,es La Liga,31,1983,37.0,19,,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Walter Bressan,it ITA,GK,Cesena,it Serie A,33,1981,1.0,5,,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Željko Brkić,rs SRB,GK,Cagliari,it Serie A,28,1986,21.0,34,,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,36,1978,33.0,20,,,,,,,,,,,,,,,,,,,,,,,,,Matches
36,Sascha Burchert,de GER,GK,Hertha BSC,de Bundesliga,24,1989,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
37,Roman Bürki,ch SUI,GK,Freiburg,de Bundesliga,23,1990,34.0,47,,,,,,,,,,,,,,,,,,,,,,,,,Matches
38,Jack Butland,eng ENG,GK,Stoke City,eng Premier League,21,1993,3.0,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
39,Willy Caballero,ar ARG,GK,Manchester City,eng Premier League,32,1981,2.0,4,,,,,,,,,,,,,,,,,,,,,,,,,Matches
40,Rafael Cabral,br BRA,GK,Napoli,it Serie A,24,1990,23.0,30,,,,,,,,,,,,,,,,,,,,,,,,,Matches
41,Juan Carlos,es ESP,GK,Villarreal,es La Liga,27,1987,4.1,6,,,,,,,,,,,,,,,,,,,,,,,,,Matches
42,Juan Carlos,es ESP,GK,Córdoba,es La Liga,26,1988,32.0,56,,,,,,,,,,,,,,,,,,,,,,,,,Matches
43,Cédric Carrasso,fr FRA,GK,Bordeaux,fr Ligue 1,32,1981,36.1,40,,,,,,,,,,,,,,,,,,,,,,,,,Matches
44,Johann Carrasso,fr FRA,GK,Metz,fr Ligue 1,26,1988,19.9,33,,,,,,,,,,,,,,,,,,,,,,,,,Matches
45,Kiko Casilla,es ESP,GK,Espanyol,es La Liga,27,1986,36.4,48,,,,,,,,,,,,,,,,,,,,,,,,,Matches
46,Iker Casillas,es ESP,GK,Real Madrid,es La Liga,33,1981,32.0,35,,,,,,,,,,,,,,,,,,,,,,,,,Matches
47,Koen Casteels,be BEL,GK,Werder Bremen,de Bundesliga,22,1992,6.0,8,,,,,,,,,,,,,,,,,,,,,,,,,Matches
48,Petr Čech,cz CZE,GK,Chelsea,eng Premier League,32,1982,6.7,2,,,,,,,,,,,,,,,,,,,,,,,,,Matches
49,David Cobeño,es ESP,GK,Rayo Vallecano,es La Liga,32,1982,2.7,5,,,,,,,,,,,,,,,,,,,,,,,,,Matches
50,Jordi Codina,es ESP,GK,Getafe,es La Liga,32,1982,5.0,14,,,,,,,,,,,,,,,,,,,,,,,,,Matches
51,Simone Colombi,it ITA,GK,Cagliari,it Serie A,23,1991,3.0,8,,,,,,,,,,,,,,,,,,,,,,,,,Matches
52,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,27,1987,34.7,53,,,,,,,,,,,,,,,,,,,,,,,,,Matches
53,Benoît Costil,fr FRA,GK,Rennes,fr Ligue 1,27,1987,38.0,42,,,,,,,,,,,,,,,,,,,,,,,,,Matches
54,Thibaut Courtois,be BEL,GK,Chelsea,eng Premier League,22,1992,31.3,30,,,,,,,,,,,,,,,,,,,,,,,,,Matches
55,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,20,1994,14.0,26,,,,,,,,,,,,,,,,,,,,,,,,,Matches
56,Julián Cuesta,es ESP,GK,Almería,es La Liga,23,1991,15.0,26,,,,,,,,,,,,,,,,,,,,,,,,,Matches
