Rk,Squad,Comp,#_Pl,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def
1,Almería,es La Liga,27,38.0,,,,,,,,,,,,,,,,
2,Arsenal,eng Premier League,29,38.0,,,,,,,,,,,,,,,,
3,Aston Villa,eng Premier League,27,38.0,,,,,,,,,,,,,,,,
4,Atalanta,it Serie A,32,38.0,,,,,,,,,,,,,,,,
5,Athletic Club,es La Liga,26,38.0,,,,,,,,,,,,,,,,
6,Atlético Madrid,es La Liga,25,38.0,,,,,,,,,,,,,,,,
7,Augsburg,de Bundesliga,25,34.0,,,,,,,,,,,,,,,,
8,Barcelona,es La Liga,24,38.0,,,,,,,,,,,,,,,,
9,Bastia,fr Ligue 1,31,38.0,,,,,,,,,,,,,,,,
10,Bayern Munich,de Bundesliga,28,34.0,,,,,,,,,,,,,,,,
11,Bordeaux,fr Ligue 1,30,38.0,,,,,,,,,,,,,,,,
12,Burnley,eng Premier League,24,38.0,,,,,,,,,,,,,,,,
13,Caen,fr Ligue 1,23,38.0,,,,,,,,,,,,,,,,
14,Cagliari,it Serie A,29,38.0,,,,,,,,,,,,,,,,
15,Celta Vigo,es La Liga,23,38.0,,,,,,,,,,,,,,,,
16,Cesena,it Serie A,33,38.0,,,,,,,,,,,,,,,,
17,Chelsea,eng Premier League,25,38.0,,,,,,,,,,,,,,,,
18,Chievo,it Serie A,27,38.0,,,,,,,,,,,,,,,,
19,Córdoba,es La Liga,33,38.0,,,,,,,,,,,,,,,,
20,Crystal Palace,eng Premier League,30,38.0,,,,,,,,,,,,,,,,
21,Dortmund,de Bundesliga,28,34.0,,,,,,,,,,,,,,,,
22,Eibar,es La Liga,23,38.0,,,,,,,,,,,,,,,,
23,Eint Frankfurt,de Bundesliga,26,34.0,,,,,,,,,,,,,,,,
24,Elche,es La Liga,24,38.0,,,,,,,,,,,,,,,,
25,Empoli,it Serie A,26,38.0,,,,,,,,,,,,,,,,
26,Espanyol,es La Liga,27,38.0,,,,,,,,,,,,,,,,
