Rk,Squad,Comp,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
1,Almería,es La Liga,27,38.0,124,0.0,,556,,,,,,,,
2,Arsenal,eng Premier League,29,38.0,69,0.0,,377,,,,,,,,
3,Aston Villa,eng Premier League,27,38.0,76,0.0,,398,,,,,,,,
4,Atalanta,it Serie A,32,38.0,113,0.0,,617,,,,,,,,
5,Athletic Club,es La Liga,26,38.0,103,0.0,,525,,,,,,,,
6,Atlético Madrid,es La Liga,25,38.0,118,0.0,,543,,,,,,,,
7,Augsburg,de Bundesliga,25,34.0,63,0.0,,533,,,,,,,,
8,Barcelona,es La Liga,24,38.0,69,0.0,,369,,,,,,,,
9,Bastia,fr Ligue 1,31,38.0,80,0.0,,560,,,,,,,,
10,Bayern Munich,de Bundesliga,28,34.0,37,0.0,,393,,,,,,,,
11,Bordeaux,fr Ligue 1,30,38.0,66,0.0,,502,,,,,,,,
12,Burnley,eng Premier League,24,38.0,66,0.0,,406,,,,,,,,
13,Caen,fr Ligue 1,23,38.0,45,0.0,,468,,,,,,,,
14,Cagliari,it Serie A,29,38.0,115,0.0,,577,,,,,,,,
15,Celta Vigo,es La Liga,23,38.0,120,0.0,,581,,,,,,,,
16,Cesena,it Serie A,33,38.0,107,0.0,,601,,,,,,,,
17,Chelsea,eng Premier League,25,38.0,75,0.0,,382,,,,,,,,
18,Chievo,it Serie A,27,38.0,86,0.0,,610,,,,,,,,
19,Córdoba,es La Liga,33,38.0,106,0.0,,492,,,,,,,,
20,Crystal Palace,eng Premier League,30,38.0,70,0.0,,527,,,,,,,,
21,Dortmund,de Bundesliga,28,34.0,54,,,436,,,,,,,,
22,Eibar,es La Liga,23,38.0,110,0.0,,565,,,,,,,,
23,Eint Frankfurt,de Bundesliga,26,34.0,89,0.0,,544,,,,,,,,
24,Elche,es La Liga,24,38.0,113,0.0,,585,,,,,,,,
25,Empoli,it Serie A,26,38.0,64,0.0,,480,,,,,,,,
26,Espanyol,es La Liga,27,38.0,125,0.0,,610,,,,,,,,
27,Everton,eng Premier League,28,38.0,71,0.0,,387,,,,,,,,
28,Evian,fr Ligue 1,29,38.0,70,0.0,,531,,,,,,,,
29,Fiorentina,it Serie A,30,38.0,86,0.0,,521,,,,,,,,
30,Freiburg,de Bundesliga,27,34.0,66,0.0,,481,,,,,,,,
31,Genoa,it Serie A,33,38.0,108,0.0,,612,,,,,,,,
32,Getafe,es La Liga,27,38.0,98,0.0,,540,,,,,,,,
33,Gladbach,de Bundesliga,19,34.0,56,0.0,,400,,,,,,,,
34,Granada,es La Liga,34,38.0,115,0.0,,573,,,,,,,,
35,Guingamp,fr Ligue 1,28,38.0,62,0.0,,476,,,,,,,,
36,Hamburger SV,de Bundesliga,31,34.0,89,0.0,,590,,,,,,,,
37,Hannover 96,de Bundesliga,25,34.0,83,0.0,,545,,,,,,,,
38,Hellas Verona,it Serie A,30,38.0,105,0.0,,505,,,,,,,,
39,Hertha BSC,de Bundesliga,26,34.0,78,0.0,,575,,,,,,,,
40,Hoffenheim,de Bundesliga,23,34.0,68,0.0,,577,,,,,,,,
41,Hull City,eng Premier League,29,38.0,75,0.0,,451,,,,,,,,
42,Inter,it Serie A,34,38.0,101,0.0,,546,,,,,,,,
43,Juventus,it Serie A,28,38.0,76,0.0,,513,,,,,,,,
44,Köln,de Bundesliga,23,34.0,48,0.0,,392,,,,,,,,
45,La Coruña,es La Liga,27,38.0,111,0.0,,559,,,,,,,,
46,Lazio,it Serie A,29,38.0,114,0.0,,654,,,,,,,,
47,Leicester City,eng Premier League,28,38.0,49,0.0,,485,,,,,,,,
48,Lens,fr Ligue 1,27,38.0,76,,,555,,,,,,,,
49,Levante,es La Liga,29,38.0,107,0.0,,570,,,,,,,,
50,Leverkusen,de Bundesliga,22,34.0,80,0.0,,577,,,,,,,,
51,Lille,fr Ligue 1,27,38.0,63,0.0,,463,,,,,,,,
52,Liverpool,eng Premier League,25,38.0,70,0.0,,386,,,,,,,,
53,Lorient,fr Ligue 1,32,38.0,56,0.0,,458,,,,,,,,
54,Lyon,fr Ligue 1,26,38.0,64,0.0,,576,,,,,,,,
55,Mainz 05,de Bundesliga,29,34.0,52,0.0,,472,,,,,,,,
56,Málaga,es La Liga,23,38.0,112,0.0,,569,,,,,,,,
57,Manchester City,eng Premier League,24,38.0,82,0.0,,445,,,,,,,,
58,Manchester Utd,eng Premier League,33,38.0,68,0.0,,452,,,,,,,,
59,Marseille,fr Ligue 1,25,38.0,69,0.0,,548,,,,,,,,
60,Metz,fr Ligue 1,31,38.0,76,,,595,,,,,,,,
61,Milan,it Serie A,35,38.0,96,0.0,,523,,,,,,,,
62,Monaco,fr Ligue 1,27,38.0,63,0.0,,506,,,,,,,,
63,Montpellier,fr Ligue 1,26,38.0,51,0.0,,512,,,,,,,,
64,Nantes,fr Ligue 1,27,38.0,73,0.0,,568,,,,,,,,
65,Napoli,it Serie A,26,38.0,86,0.0,,506,,,,,,,,
66,Newcastle Utd,eng Premier League,27,38.0,78,0.0,,433,,,,,,,,
67,Nice,fr Ligue 1,30,38.0,89,0.0,,554,,,,,,,,
68,Paderborn 07,de Bundesliga,24,34.0,53,0.0,,465,,,,,,,,
69,Palermo,it Serie A,31,38.0,89,0.0,,565,,,,,,,,
70,Paris S-G,fr Ligue 1,23,38.0,66,0.0,,443,,,,,,,,
71,Parma,it Serie A,38,38.0,110,0.0,,634,,,,,,,,
72,QPR,eng Premier League,32,38.0,79,0.0,,450,,,,,,,,
73,Rayo Vallecano,es La Liga,28,38.0,113,0.0,,552,,,,,,,,
74,Real Madrid,es La Liga,24,38.0,87,0.0,,406,,,,,,,,
75,Real Sociedad,es La Liga,25,38.0,89,0.0,,509,,,,,,,,
76,Reims,fr Ligue 1,30,38.0,79,0.0,,544,,,,,,,,
77,Rennes,fr Ligue 1,22,38.0,56,,,485,,,,,,,,
78,Roma,it Serie A,32,38.0,111,0.0,,510,,,,,,,,
79,Saint-Étienne,fr Ligue 1,24,38.0,70,,,556,,,,,,,,
80,Sampdoria,it Serie A,30,38.0,103,0.0,,588,,,,,,,,
81,Sassuolo,it Serie A,27,38.0,115,0.0,,563,,,,,,,,
82,Schalke 04,de Bundesliga,29,34.0,68,0.0,,503,,,,,,,,
