Rk,Squad,Comp,#_Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA
1,Almería,es La Liga,27,38.0,,,,,,,,,,,,,,,22,,,,,
2,Arsenal,eng Premier League,29,38.0,,,,,,,,,,,,,,,47,,,,,
3,Aston Villa,eng Premier League,27,38.0,,,,,,,,,,,,,,,23,,,,,
4,Atalanta,it Serie A,32,38.0,,,,,,,,,,,,,,,21,,,,,
5,Athletic Club,es La Liga,26,38.0,,,,,,,,,,,,,,,26,,,,,
6,Atlético Madrid,es La Liga,25,38.0,,,,,,,,,,,,,,,48,,,,,
7,Augsburg,de Bundesliga,25,34.0,,,,,,,,,,,,,,,29,,,,,
8,Barcelona,es La Liga,24,38.0,,,,,,,,,,,,,,,79,,,,,
9,Bastia,fr Ligue 1,31,38.0,,,,,,,,,,,,,,,20,,,,,
10,Bayern Munich,de Bundesliga,28,34.0,,,,,,,,,,,,,,,49,,,,,
11,Bordeaux,fr Ligue 1,30,38.0,,,,,,,,,,,,,,,34,,,,,
12,Burnley,eng Premier League,24,38.0,,,,,,,,,,,,,,,22,,,,,
13,Caen,fr Ligue 1,23,38.0,,,,,,,,,,,,,,,34,,,,,
14,Cagliari,it Serie A,29,38.0,,,,,,,,,,,,,,,31,,,,,
15,Celta Vigo,es La Liga,23,38.0,,,,,,,,,,,,,,,33,,,,,
16,Cesena,it Serie A,33,38.0,,,,,,,,,,,,,,,23,,,,,
17,Chelsea,eng Premier League,25,38.0,,,,,,,,,,,,,,,59,,,,,
18,Chievo,it Serie A,27,38.0,,,,,,,,,,,,,,,20,,,,,
19,Córdoba,es La Liga,33,38.0,,,,,,,,,,,,,,,12,,,,,
20,Crystal Palace,eng Premier League,30,38.0,,,,,,,,,,,,,,,27,,,,,
21,Dortmund,de Bundesliga,28,34.0,,,,,,,,,,,,,,,39,,,,,
22,Eibar,es La Liga,23,38.0,,,,,,,,,,,,,,,25,,,,,
23,Eint Frankfurt,de Bundesliga,26,34.0,,,,,,,,,,,,,,,33,,,,,
24,Elche,es La Liga,24,38.0,,,,,,,,,,,,,,,25,,,,,
25,Empoli,it Serie A,26,38.0,,,,,,,,,,,,,,,35,,,,,
26,Espanyol,es La Liga,27,38.0,,,,,,,,,,,,,,,29,,,,,
27,Everton,eng Premier League,28,38.0,,,,,,,,,,,,,,,31,,,,,
28,Evian,fr Ligue 1,29,38.0,,,,,,,,,,,,,,,25,,,,,
29,Fiorentina,it Serie A,30,38.0,,,,,,,,,,,,,,,41,,,,,
30,Freiburg,de Bundesliga,27,34.0,,,,,,,,,,,,,,,26,,,,,
31,Genoa,it Serie A,33,38.0,,,,,,,,,,,,,,,41,,,,,
32,Getafe,es La Liga,27,38.0,,,,,,,,,,,,,,,25,,,,,
33,Gladbach,de Bundesliga,19,34.0,,,,,,,,,,,,,,,39,,,,,
34,Granada,es La Liga,34,38.0,,,,,,,,,,,,,,,17,,,,,
35,Guingamp,fr Ligue 1,28,38.0,,,,,,,,,,,,,,,26,,,,,
36,Hamburger SV,de Bundesliga,31,34.0,,,,,,,,,,,,,,,15,,,,,
37,Hannover 96,de Bundesliga,25,34.0,,,,,,,,,,,,,,,26,,,,,
38,Hellas Verona,it Serie A,30,38.0,,,,,,,,,,,,,,,35,,,,,
39,Hertha BSC,de Bundesliga,26,34.0,,,,,,,,,,,,,,,18,,,,,
40,Hoffenheim,de Bundesliga,23,34.0,,,,,,,,,,,,,,,33,,,,,
41,Hull City,eng Premier League,29,38.0,,,,,,,,,,,,,,,22,,,,,
42,Inter,it Serie A,34,38.0,,,,,,,,,,,,,,,36,,,,,
43,Juventus,it Serie A,28,38.0,,,,,,,,,,,,,,,44,,,,,
44,Köln,de Bundesliga,23,34.0,,,,,,,,,,,,,,,20,,,,,
45,La Coruña,es La Liga,27,38.0,,,,,,,,,,,,,,,17,,,,,
46,Lazio,it Serie A,29,38.0,,,,,,,,,,,,,,,47,,,,,
47,Leicester City,eng Premier League,28,38.0,,,,,,,,,,,,,,,29,,,,,
48,Lens,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,19,,,,,
49,Levante,es La Liga,29,38.0,,,,,,,,,,,,,,,22,,,,,
50,Leverkusen,de Bundesliga,22,34.0,,,,,,,,,,,,,,,36,,,,,
51,Lille,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,28,,,,,
52,Liverpool,eng Premier League,25,38.0,,,,,,,,,,,,,,,30,,,,,
53,Lorient,fr Ligue 1,32,38.0,,,,,,,,,,,,,,,27,,,,,
54,Lyon,fr Ligue 1,26,38.0,,,,,,,,,,,,,,,47,,,,,
55,Mainz 05,de Bundesliga,29,34.0,,,,,,,,,,,,,,,26,,,,,
56,Málaga,es La Liga,23,38.0,,,,,,,,,,,,,,,27,,,,,
57,Manchester City,eng Premier League,24,38.0,,,,,,,,,,,,,,,61,,,,,
58,Manchester Utd,eng Premier League,33,38.0,,,,,,,,,,,,,,,41,,,,,
59,Marseille,fr Ligue 1,25,38.0,,,,,,,,,,,,,,,45,,,,,
60,Metz,fr Ligue 1,31,38.0,,,,,,,,,,,,,,,17,,,,,
61,Milan,it Serie A,35,38.0,,,,,,,,,,,,,,,33,,,,,
62,Monaco,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,35,,,,,
63,Montpellier,fr Ligue 1,26,38.0,,,,,,,,,,,,,,,32,,,,,
64,Nantes,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,17,,,,,
65,Napoli,it Serie A,26,38.0,,,,,,,,,,,,,,,41,,,,,
66,Newcastle Utd,eng Premier League,27,38.0,,,,,,,,,,,,,,,30,,,,,
67,Nice,fr Ligue 1,30,38.0,,,,,,,,,,,,,,,29,,,,,
68,Paderborn 07,de Bundesliga,24,34.0,,,,,,,,,,,,,,,21,,,,,
69,Palermo,it Serie A,31,38.0,,,,,,,,,,,,,,,34,,,,,
70,Paris S-G,fr Ligue 1,23,38.0,,,,,,,,,,,,,,,55,,,,,
71,Parma,it Serie A,38,38.0,,,,,,,,,,,,,,,20,,,,,
72,QPR,eng Premier League,32,38.0,,,,,,,,,,,,,,,29,,,,,
73,Rayo Vallecano,es La Liga,28,38.0,,,,,,,,,,,,,,,33,,,,,
74,Real Madrid,es La Liga,24,38.0,,,,,,,,,,,,,,,91,,,,,
75,Real Sociedad,es La Liga,25,38.0,,,,,,,,,,,,,,,35,,,,,
76,Reims,fr Ligue 1,30,38.0,,,,,,,,,,,,,,,31,,,,,
77,Rennes,fr Ligue 1,22,38.0,,,,,,,,,,,,,,,28,,,,,
78,Roma,it Serie A,32,38.0,,,,,,,,,,,,,,,40,,,,,
79,Saint-Étienne,fr Ligue 1,24,38.0,,,,,,,,,,,,,,,33,,,,,
80,Sampdoria,it Serie A,30,38.0,,,,,,,,,,,,,,,30,,,,,
81,Sassuolo,it Serie A,27,38.0,,,,,,,,,,,,,,,30,,,,,
82,Schalke 04,de Bundesliga,29,34.0,,,,,,,,,,,,,,,29,,,,,
83,Sevilla,es La Liga,26,38.0,,,,,,,,,,,,,,,45,,,,,
84,Southampton,eng Premier League,29,38.0,,,,,,,,,,,,,,,32,,,,,
85,Stoke City,eng Premier League,25,38.0,,,,,,,,,,,,,,,30,,,,,
86,Stuttgart,de Bundesliga,24,34.0,,,,,,,,,,,,,,,29,,,,,
87,Sunderland,eng Premier League,25,38.0,,,,,,,,,,,,,,,20,,,,,
88,Swansea City,eng Premier League,28,38.0,,,,,,,,,,,,,,,34,,,,,
89,Torino,it Serie A,31,38.0,,,,,,,,,,,,,,,32,,,,,
90,Tottenham,eng Premier League,27,38.0,,,,,,,,,,,,,,,40,,,,,
91,Toulouse,fr Ligue 1,27,38.0,,,,,,,,,,,,,,,31,,,,,
92,Udinese,it Serie A,28,38.0,,,,,,,,,,,,,,,27,,,,,
93,Valencia,es La Liga,24,38.0,,,,,,,,,,,,,,,48,,,,,
94,Villarreal,es La Liga,28,38.0,,,,,,,,,,,,,,,34,,,,,
95,Werder Bremen,de Bundesliga,31,34.0,,,,,,,,,,,,,,,36,,,,,
96,West Brom,eng Premier League,26,38.0,,,,,,,,,,,,,,,29,,,,,
97,West Ham,eng Premier League,28,38.0,,,,,,,,,,,,,,,34,,,,,
98,Wolfsburg,de Bundesliga,22,34.0,,,,,,,,,,,,,,,50,,,,,
