Rk,Squad,Comp,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
1,Almería,es La Liga,27,26.1,46.4,38,418,3420,38.0,33,22,55,28,5,6,124,0.0,0.87,0.58,1.45,0.74,1.32
2,Arsenal,eng Premier League,29,26.1,56.6,38,418,3420,38.0,69,47,116,63,6,7,69,0.0,1.82,1.24,3.05,1.66,2.89
3,Aston Villa,eng Premier League,27,26.3,49.0,38,418,3420,38.0,31,23,54,30,1,1,76,0.0,0.82,0.61,1.42,0.79,1.39
4,Atalanta,it Serie A,32,28.1,46.4,38,418,3420,38.0,37,21,58,33,4,5,113,0.0,0.97,0.55,1.53,0.87,1.42
5,Athletic Club,es La Liga,26,26.8,53.2,38,418,3420,38.0,41,26,67,36,5,5,103,0.0,1.08,0.68,1.76,0.95,1.63
6,Atlético Madrid,es La Liga,25,27.5,48.6,38,418,3420,38.0,65,48,113,60,5,6,118,0.0,1.71,1.26,2.97,1.58,2.84
7,Augsburg,de Bundesliga,25,27.6,52.3,34,374,3060,34.0,43,29,72,36,7,9,63,0.0,1.26,0.85,2.12,1.06,1.91
8,Barcelona,es La Liga,24,27.7,65.7,38,418,3420,38.0,107,79,186,101,6,7,69,0.0,2.82,2.08,4.89,2.66,4.74
9,Bastia,fr Ligue 1,31,27.2,48.9,38,418,3420,38.0,35,20,55,30,5,5,80,0.0,0.92,0.53,1.45,0.79,1.32
10,Bayern Munich,de Bundesliga,28,26.6,70.4,34,374,3060,34.0,78,49,127,72,6,6,37,0.0,2.29,1.44,3.74,2.12,3.56
11,Bordeaux,fr Ligue 1,30,26.2,52.8,38,418,3420,38.0,46,34,80,38,8,8,66,0.0,1.21,0.89,2.11,1.0,1.89
12,Burnley,eng Premier League,24,27.2,42.5,38,418,3420,38.0,27,22,49,26,1,2,66,0.0,0.71,0.58,1.29,0.68,1.26
13,Caen,fr Ligue 1,23,27.2,45.2,38,418,3420,38.0,51,34,85,45,6,6,45,0.0,1.34,0.89,2.24,1.18,2.08
14,Cagliari,it Serie A,29,25.7,48.2,38,418,3420,38.0,45,31,76,41,4,7,115,0.0,1.18,0.82,2.0,1.08,1.89
15,Celta Vigo,es La Liga,23,26.3,55.9,38,418,3420,38.0,47,33,80,43,4,6,120,0.0,1.24,0.87,2.11,1.13,2.0
16,Cesena,it Serie A,33,27.3,44.4,38,418,3420,38.0,34,23,57,29,5,6,107,0.0,0.89,0.61,1.5,0.76,1.37
17,Chelsea,eng Premier League,25,27.0,55.9,38,418,3420,38.0,72,59,131,68,4,5,75,0.0,1.89,1.55,3.45,1.79,3.34
18,Chievo,it Serie A,27,29.1,44.8,38,418,3420,38.0,27,20,47,26,1,2,86,0.0,0.71,0.53,1.24,0.68,1.21
19,Córdoba,es La Liga,33,25.7,45.9,38,418,3420,38.0,21,12,33,19,2,3,106,0.0,0.55,0.32,0.87,0.5,0.82
20,Crystal Palace,eng Premier League,30,27.8,40.4,38,418,3420,38.0,46,27,73,41,5,7,70,0.0,1.21,0.71,1.92,1.08,1.79
21,Dortmund,de Bundesliga,28,26.5,55.3,34,374,3060,34.0,46,39,85,44,2,3,54,,1.35,1.15,2.5,1.29,2.44
22,Eibar,es La Liga,23,27.6,43.8,38,418,3420,38.0,33,25,58,31,2,2,110,0.0,0.87,0.66,1.53,0.82,1.47
23,Eint Frankfurt,de Bundesliga,26,25.9,49.5,34,374,3060,34.0,54,33,87,51,3,4,89,0.0,1.59,0.97,2.56,1.5,2.47
24,Elche,es La Liga,24,26.3,47.9,38,418,3420,38.0,35,25,60,31,4,7,113,0.0,0.92,0.66,1.58,0.82,1.47
25,Empoli,it Serie A,26,25.1,49.4,38,418,3420,38.0,43,35,78,40,3,3,64,0.0,1.13,0.92,2.05,1.05,1.97
26,Espanyol,es La Liga,27,26.9,46.0,38,418,3420,38.0,47,29,76,43,4,4,125,0.0,1.24,0.76,2.0,1.13,1.89
27,Everton,eng Premier League,28,27.9,54.7,38,418,3420,38.0,47,31,78,43,4,7,71,0.0,1.24,0.82,2.05,1.13,1.95
28,Evian,fr Ligue 1,29,26.8,45.8,38,418,3420,38.0,37,25,62,36,1,2,70,0.0,0.97,0.66,1.63,0.95,1.61
29,Fiorentina,it Serie A,30,27.9,55.9,38,418,3420,38.0,61,41,102,59,2,7,86,0.0,1.61,1.08,2.68,1.55,2.63
30,Freiburg,de Bundesliga,27,25.1,48.4,34,374,3060,34.0,36,26,62,30,6,9,66,0.0,1.06,0.76,1.82,0.88,1.65
31,Genoa,it Serie A,33,26.0,50.9,38,418,3420,38.0,58,41,99,53,5,7,108,0.0,1.53,1.08,2.61,1.39,2.47
32,Getafe,es La Liga,27,26.9,46.9,38,418,3420,38.0,32,25,57,31,1,2,98,0.0,0.84,0.66,1.5,0.82,1.47
33,Gladbach,de Bundesliga,19,25.7,53.5,34,374,3060,34.0,53,39,92,50,3,3,56,0.0,1.56,1.15,2.71,1.47,2.62
34,Granada,es La Liga,34,26.6,47.4,38,418,3420,38.0,29,17,46,23,6,6,115,0.0,0.76,0.45,1.21,0.61,1.05
