Rk,Squad,Comp,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90
1,Angers,fr Ligue 1,29,27.2,38,3420,90,100,38.0,418,,,110,0,155,1.32,40,38,2,0.05
2,Arsenal,eng Premier League,25,27.0,38,3420,90,100,38.0,418,,,107,0,159,1.87,65,36,29,0.76
3,Aston Villa,eng Premier League,29,26.6,38,3420,90,100,38.0,418,,,85,0,181,0.45,27,76,-49,-1.29
4,Atalanta,it Serie A,33,27.8,38,3420,90,100,38.0,418,,,114,0,329,1.18,41,47,-6,-0.16
5,Athletic Club,es La Liga,25,27.7,38,3420,90,100,38.0,418,84.0,299.0,114,22,152,1.63,58,45,13,0.34
6,Atlético Madrid,es La Liga,25,25.9,38,3420,90,100,38.0,418,83.0,308.0,107,26,159,2.32,63,18,45,1.18
7,Augsburg,de Bundesliga,27,27.4,34,3060,90,100,34.0,374,,,101,0,135,1.12,42,52,-10,-0.29
8,Barcelona,es La Liga,25,28.0,38,3420,90,100,38.0,418,85.0,328.0,90,24,176,2.39,112,29,83,2.18
9,Bastia,fr Ligue 1,26,28.7,38,3420,90,100,38.0,418,,,98,0,165,1.32,36,42,-6,-0.16
10,Bayern Munich,de Bundesliga,25,26.8,34,3060,90,100,34.0,374,,,95,0,129,2.59,80,17,63,1.85
11,Betis,es La Liga,29,27.4,38,3420,90,100,38.0,418,83.0,298.0,114,24,151,1.18,34,52,-18,-0.47
12,Bologna,it Serie A,31,27.0,38,3420,90,100,38.0,418,,,114,0,335,1.11,33,45,-12,-0.32
13,Bordeaux,fr Ligue 1,35,24.9,38,3420,90,100,38.0,418,,,114,0,151,1.32,50,57,-7,-0.18
14,Bournemouth,eng Premier League,28,27.7,38,3420,90,100,38.0,418,,,109,0,157,1.11,45,67,-22,-0.58
15,Caen,fr Ligue 1,24,28.2,38,3420,90,100,38.0,418,,,104,0,162,1.42,39,52,-13,-0.34
16,Carpi,it Serie A,35,25.9,38,3420,90,100,38.0,418,,,113,0,277,1.0,37,57,-20,-0.53
17,Celta Vigo,es La Liga,27,26.1,38,3420,90,100,38.0,418,85.0,304.0,107,17,158,1.58,51,59,-8,-0.21
18,Chelsea,eng Premier League,28,26.8,38,3420,90,100,38.0,418,,,103,0,163,1.32,59,53,6,0.16
19,Chievo,it Serie A,26,30.5,38,3420,90,100,38.0,418,,,114,0,280,1.32,43,45,-2,-0.05
20,Crystal Palace,eng Premier League,30,27.7,38,3420,90,100,38.0,418,,,106,0,160,1.11,39,51,-12,-0.32
21,Darmstadt 98,de Bundesliga,23,27.5,34,3060,90,100,34.0,374,,,99,0,139,1.12,38,53,-15,-0.44
22,Dortmund,de Bundesliga,26,25.6,34,3060,90,100,34.0,374,,,97,0,141,2.29,82,34,48,1.41
23,Eibar,es La Liga,28,25.6,38,3420,90,100,38.0,419,85.0,304.0,111,19,155,1.13,49,61,-12,-0.32
24,Eint Frankfurt,de Bundesliga,30,26.7,34,3060,90,100,34.0,374,,,91,0,147,1.06,34,52,-18,-0.53
25,Empoli,it Serie A,29,25.4,38,3420,90,100,38.0,418,,,112,0,324,1.21,40,49,-9,-0.24
26,Espanyol,es La Liga,26,24.9,38,3420,90,100,38.0,418,84.0,308.0,106,25,160,1.13,40,74,-34,-0.89
27,Everton,eng Premier League,31,26.5,38,3420,90,100,38.0,418,,,98,0,168,1.24,59,55,4,0.11
28,Fiorentina,it Serie A,26,27.6,38,3420,90,100,38.0,418,,,111,0,262,1.68,60,42,18,0.47
29,Frosinone,it Serie A,28,26.5,38,3420,90,100,38.0,418,,,113,0,301,0.82,35,76,-41,-1.08
30,Gazélec Ajaccio,fr Ligue 1,23,28.4,38,3420,90,100,38.0,418,,,109,0,156,0.97,37,58,-21,-0.55
31,Genoa,it Serie A,30,26.7,38,3420,90,100,38.0,418,,,113,0,265,1.21,45,48,-3,-0.08
32,Getafe,es La Liga,27,26.7,38,3420,90,100,38.0,418,84.0,299.0,114,21,152,0.95,37,67,-30,-0.79
33,Gladbach,de Bundesliga,26,24.9,34,3060,90,100,34.0,374,,,102,0,136,1.62,67,50,17,0.5
34,Granada,es La Liga,28,25.9,38,3420,90,100,38.0,418,84.0,300.0,112,23,154,1.03,46,69,-23,-0.61
35,Guingamp,fr Ligue 1,28,28.4,38,3420,90,100,38.0,418,,,105,0,161,1.16,47,56,-9,-0.24
36,Hamburger SV,de Bundesliga,28,27.1,34,3060,90,100,34.0,374,,,102,0,134,1.21,40,46,-6,-0.18
37,Hannover 96,de Bundesliga,33,25.6,34,3060,90,100,34.0,374,,,91,0,146,0.74,31,62,-31,-0.91
38,Hellas Verona,it Serie A,32,27.5,38,3420,90,100,38.0,418,,,113,0,282,0.74,34,63,-29,-0.76
39,Hertha BSC,de Bundesliga,26,26.1,34,3060,90,100,34.0,374,,,96,0,142,1.47,42,42,0,0.0
40,Hoffenheim,de Bundesliga,26,24.1,34,3060,90,100,34.0,374,,,100,0,138,1.09,39,54,-15,-0.44
41,Ingolstadt 04,de Bundesliga,25,26.3,34,3060,90,100,34.0,374,,,99,0,139,1.18,33,42,-9,-0.26
42,Inter,it Serie A,28,26.7,38,3420,90,100,38.0,418,,,112,0,324,1.76,50,38,12,0.32
43,Juventus,it Serie A,28,28.3,38,3420,90,100,38.0,418,,,111,0,282,2.39,75,20,55,1.45
44,Köln,de Bundesliga,23,25.1,34,3060,90,100,34.0,374,,,91,0,146,1.26,38,42,-4,-0.12
45,La Coruña,es La Liga,25,28.2,38,3420,90,100,38.0,418,84.0,314.0,101,23,164,1.11,45,61,-16,-0.42
46,Las Palmas,es La Liga,27,27.6,38,3420,90,100,38.0,418,84.0,303.0,111,20,156,1.16,45,53,-8,-0.21
47,Lazio,it Serie A,27,27.6,38,3420,90,100,38.0,418,,,112,0,304,1.42,52,52,0,0.0
48,Leicester City,eng Premier League,23,27.7,38,3420,90,100,38.0,418,,,109,0,157,2.13,68,36,32,0.84
49,Levante,es La Liga,27,27.2,38,3420,90,100,38.0,418,83.0,299.0,114,23,151,0.84,37,70,-33,-0.87
50,Leverkusen,de Bundesliga,27,24.1,34,3060,90,100,34.0,374,,,101,0,132,1.76,56,40,16,0.47
51,Lille,fr Ligue 1,32,27.1,38,3420,90,100,38.0,418,,,107,0,159,1.58,39,27,12,0.32
52,Liverpool,eng Premier League,34,25.2,38,3420,90,100,38.0,418,,,109,0,156,1.58,63,50,13,0.34
53,Lorient,fr Ligue 1,31,25.4,38,3420,90,100,38.0,418,,,113,0,152,1.21,47,58,-11,-0.29
54,Lyon,fr Ligue 1,30,25.5,38,3420,90,100,38.0,418,,,113,0,153,1.71,67,43,24,0.63
55,Mainz 05,de Bundesliga,29,25.0,34,3060,90,100,34.0,374,,,101,0,138,1.47,46,42,4,0.12
56,Málaga,es La Liga,30,28.0,38,3420,90,100,38.0,418,84.0,302.0,112,22,154,1.26,38,35,3,0.08
57,Manchester City,eng Premier League,25,28.3,38,3420,90,100,38.0,418,,,109,0,158,1.74,71,41,30,0.79
58,Manchester Utd,eng Premier League,33,25.6,38,3420,90,100,38.0,418,,,108,0,157,1.74,49,35,14,0.37
59,Marseille,fr Ligue 1,28,25.0,38,3420,90,100,38.0,418,,,112,0,155,1.26,48,42,6,0.16
60,Milan,it Serie A,30,26.4,38,3420,90,100,38.0,418,,,104,0,345,1.5,49,43,6,0.16
61,Monaco,fr Ligue 1,31,26.1,38,3420,90,100,38.0,418,,,110,0,157,1.71,57,50,7,0.18
62,Montpellier,fr Ligue 1,30,27.1,38,3420,90,100,38.0,418,,,106,0,158,1.29,49,47,2,0.05
63,Nantes,fr Ligue 1,29,25.8,38,3420,90,100,38.0,418,,,109,0,157,1.26,33,44,-11,-0.29
64,Napoli,it Serie A,22,26.5,38,3420,90,100,38.0,418,,,112,0,340,2.16,80,32,48,1.26
65,Newcastle Utd,eng Premier League,31,25.4,38,3420,90,100,38.0,418,,,108,0,159,0.97,44,65,-21,-0.55
66,Nice,fr Ligue 1,33,24.2,38,3420,90,100,38.0,418,,,111,0,155,1.66,58,41,17,0.45
67,Norwich City,eng Premier League,28,27.7,38,3420,90,100,38.0,418,,,106,0,160,0.89,39,67,-28,-0.74
68,Palermo,it Serie A,31,26.8,38,3420,90,100,38.0,418,,,108,0,341,1.03,38,65,-27,-0.71
69,Paris S-G,fr Ligue 1,28,27.0,38,3420,90,100,38.0,418,,,111,0,154,2.53,102,19,83,2.18
70,Rayo Vallecano,es La Liga,29,28.5,38,3420,90,100,38.0,418,82.0,299.0,111,28,154,1.0,52,73,-21,-0.55
71,Real Madrid,es La Liga,24,26.5,38,3420,90,100,38.0,418,84.0,308.0,106,22,160,2.37,110,34,76,2.0
72,Real Sociedad,es La Liga,27,25.3,38,3420,90,100,38.0,418,85.0,304.0,110,19,156,1.26,45,48,-3,-0.08
73,Reims,fr Ligue 1,31,26.9,38,3420,90,100,38.0,418,,,113,0,153,1.03,44,57,-13,-0.34
74,Rennes,fr Ligue 1,31,26.2,38,3420,90,100,38.0,418,,,113,0,153,1.37,52,54,-2,-0.05
75,Roma,it Serie A,32,26.2,38,3420,90,100,38.0,418,,,111,0,333,2.11,83,41,42,1.11
76,Saint-Étienne,fr Ligue 1,31,27.2,38,3420,90,100,38.0,418,,,114,0,151,1.53,42,37,5,0.13
77,Sampdoria,it Serie A,35,27.5,38,3420,90,100,38.0,418,,,113,0,315,1.05,48,61,-13,-0.34
78,Sassuolo,it Serie A,26,27.0,38,3420,90,100,38.0,418,,,114,0,312,1.61,49,40,9,0.24
79,Schalke 04,de Bundesliga,28,24.9,34,3060,90,100,34.0,374,,,96,0,142,1.53,51,49,2,0.06
80,Sevilla,es La Liga,33,26.9,38,3420,90,100,38.0,418,83.0,299.0,113,25,152,1.37,51,50,1,0.03
81,Southampton,eng Premier League,26,26.4,38,3420,90,100,38.0,418,,,111,0,155,1.66,59,41,18,0.47
82,Sporting Gijón,es La Liga,28,24.5,38,3420,90,100,38.0,418,84.0,300.0,113,22,153,1.03,40,62,-22,-0.58
83,Stoke City,eng Premier League,27,27.4,38,3420,90,100,38.0,418,,,107,0,159,1.34,41,55,-14,-0.37
84,Stuttgart,de Bundesliga,31,26.0,34,3060,90,100,34.0,374,,,97,0,139,0.97,50,75,-25,-0.74
