Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,25,1990,7.9,,,,,,,,,,,,,,,,,Matches
2,Patrick van Aanholt,nl NED,DF,Sunderland,eng Premier League,25,1990,19.8,,,,,,,,,,,,,,,,,Matches
3,Ignazio Abate,it ITA,"DF,MF",Milan,it Serie A,29,1986,21.4,,,,,,,,,,,,,,,,,Matches
4,Yunis Abdelhamid,ma MAR,DF,Dijon,fr Ligue 1,28,1987,14.6,,,,,,,,,,,,,,,,,Matches
5,Aymen Abdennour,tn TUN,DF,Valencia,es La Liga,26,1989,9.8,,,,,,,,,,,,,,,,,Matches
6,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,23,1992,26.4,,,,,,,,,,,,,,,,,Matches
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,30,1986,28.7,,,,,,,,,,,,,,,,,Matches
8,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,26,1990,14.7,,,,,,,,,,,,,,,,,Matches
9,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,28,1988,38.0,,,,,,,,,,,,,,,,,Matches
10,Geoffrey Acheampong,gh GHA,MF,Bastia,fr Ligue 1,19,1997,0.1,,,,,,,,,,,,,,,,,Matches
11,Maxwell Acosty,gh GHA,"FW,MF",Crotone,it Serie A,24,1991,4.2,,,,,,,,,,,,,,,,,Matches
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,24,1992,12.0,,,,,,,,,,,,,,,,,Matches
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,30,1985,16.6,,,,,,,,,,,,,,,,,Matches
14,Antonio Adán,es ESP,GK,Betis,es La Liga,29,1987,37.0,,,,,,,,,,,,,,,,,Matches
15,Jordan Adéoti,bj BEN,"DF,MF",Caen,fr Ligue 1,27,1989,23.6,,,,,,,,,,,,,,,,,Matches
16,Claud Adjapong,it ITA,"DF,MF",Sassuolo,it Serie A,18,1998,5.7,,,,,,,,,,,,,,,,,Matches
17,René Adler,de GER,GK,Hamburger SV,de Bundesliga,31,1985,19.0,,,,,,,,,,,,,,,,,Matches
18,Ali Adnan Kadhim,iq IRQ,"DF,MF",Udinese,it Serie A,22,1993,9.7,,,,,,,,,,,,,,,,,Matches
19,Albert Adomah,gh GHA,"DF,FW",Middlesbrough,eng Premier League,28,1987,1.4,,,,,,,,,,,,,,,,,Matches
20,Adrián,es ESP,GK,West Ham,eng Premier League,29,1987,16.0,,,,,,,,,,,,,,,,,Matches
21,Luiz Adriano,br BRA,"FW,MF",Milan,it Serie A,29,1987,1.4,,,,,,,,,,,,,,,,,Matches
22,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,35,1981,27.3,,,,,,,,,,,,,,,,,Matches
23,Ibrahim Afellay,nl NED,"FW,MF",Stoke City,eng Premier League,30,1986,4.3,,,,,,,,,,,,,,,,,Matches
24,Akram Afif,qa QAT,"FW,MF",Sporting Gijón,es La Liga,19,1996,2.6,,,,,,,,,,,,,,,,,Matches
25,Benik Afobe,cd COD,FW,Bournemouth,eng Premier League,23,1993,16.2,,,,,,,,,,,,,,,,,Matches
26,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,28,1988,26.7,,,,,,,,,,,,,,,,,Matches
27,Dan Agyei,eng ENG,"FW,MF",Burnley,eng Premier League,19,1997,0.3,,,,,,,,,,,,,,,,,Matches
28,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,25,1990,22.6,,,,,,,,,,,,,,,,,Matches
29,Ola Aina,ng NGA,"DF,MF",Chelsea,eng Premier League,19,1996,0.3,,,,,,,,,,,,,,,,,Matches
30,Youssef Aït Bennasser,ma MAR,MF,Nancy,fr Ligue 1,20,1996,21.4,,,,,,,,,,,,,,,,,Matches
31,Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,es La Liga,23,1993,5.5,,,,,,,,,,,,,,,,,Matches
32,Arlind Ajeti,al ALB,DF,Torino,it Serie A,22,1993,2.8,,,,,,,,,,,,,,,,,Matches
33,Nathan Aké,nl NED,"DF,MF",Bournemouth,eng Premier League,21,1995,8.2,,,,,,,,,,,,,,,,,Matches
34,Nathan Aké,nl NED,"DF,MF",Chelsea,eng Premier League,21,1995,1.1,,,,,,,,,,,,,,,,,Matches
35,Jean-Daniel Akpa-Akpro,ci CIV,"DF,MF",Toulouse,fr Ligue 1,23,1992,0.8,,,,,,,,,,,,,,,,,Matches
36,David Alaba,at AUT,"DF,MF",Bayern Munich,de Bundesliga,24,1992,27.8,,,,,,,,,,,,,,,,,Matches
37,Javi Álamo,es ESP,"FW,MF",Osasuna,es La Liga,27,1988,0.1,,,,,,,,,,,,,,,,,Matches
38,Jordi Alba,es ESP,"DF,MF",Barcelona,es La Liga,27,1989,21.9,,,,,,,,,,,,,,,,,Matches
39,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,27,1988,25.9,,,,,,,,,,,,,,,,,Matches
40,Luis Alberto,es ESP,"FW,MF",Lazio,it Serie A,23,1992,4.1,,,,,,,,,,,,,,,,,Matches
41,Raúl Albiol,es ESP,DF,Napoli,it Serie A,30,1985,25.5,,,,,,,,,,,,,,,,,Matches
42,Marc Albrighton,eng ENG,"DF,FW",Leicester City,eng Premier League,26,1989,26.8,,,,,,,,,,,,,,,,,Matches
43,Paco Alcácer,es ESP,FW,Barcelona,es La Liga,22,1993,9.5,,,,,,,,,,,,,,,,,Matches
44,Paco Alcácer,es ESP,FW,Valencia,es La Liga,22,1993,1.0,,,,,,,,,,,,,,,,,Matches
45,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,25,1991,25.4,,,,,,,,,,,,,,,,,Matches
46,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,27,1989,28.9,,,,,,,,,,,,,,,,,Matches
