Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,25,1990,11,714,65,20.9,7.9,8,,5,3,,1,1.45,7,14,-7,-0.88,-0.68,Matches
2,Patrick van Aanholt,nl NED,DF,Sunderland,eng Premier League,25,1990,21,1784,85,52.2,19.8,20,,19,1,,0,0.71,20,39,-19,-0.96,+0.20,Matches
3,Ignazio Abate,it ITA,"DF,MF",Milan,it Serie A,29,1986,23,1924,84,56.3,21.4,22,,20,1,,3,1.87,34,24,+10,+0.47,+0.35,Matches
4,Yunis Abdelhamid,ma MAR,DF,Dijon,fr Ligue 1,28,1987,18,1314,73,38.4,14.6,15,,13,3,,9,1.00,18,23,-5,-0.34,-0.04,Matches
5,Aymen Abdennour,tn TUN,DF,Valencia,es La Liga,26,1989,13,879,68,25.7,9.8,9,83,7,4,34,11,0.92,15,19,-4,-0.41,-0.23,Matches
6,Nura Abdullahi,ng NGA,DF,Roma,it Serie A,18,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
7,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,23,1992,28,2374,85,69.4,26.4,27,,23,1,,0,1.07,34,39,-5,-0.19,+0.41,Matches
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,30,1986,30,2584,86,84.4,28.7,30,,28,0,,0,1.40,32,31,+1,+0.03,+1.55,Matches
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,26,1990,20,1320,66,43.1,14.7,16,,10,4,,12,1.40,15,26,-11,-0.75,-0.39,Matches
10,Marco Acatullo,it ITA,FW,Pescara,it Serie A,18,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,28,1988,38,3420,90,100.0,38.0,38,,38,0,,0,1.21,60,61,-1,-0.03,,Matches
12,Geoffrey Acheampong,gh GHA,MF,Bastia,fr Ligue 1,19,1997,2,12,6,0.4,0.1,0,,0,2,,8,0.00,0,1,-1,-7.50,-6.87,Matches
13,Maxwell Acosty,gh GHA,"FW,MF",Crotone,it Serie A,24,1991,11,378,34,11.1,4.2,3,,1,8,,7,1.18,2,6,-4,-0.95,-0.36,Matches
14,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,24,1992,20,1077,54,31.5,12.0,13,,6,7,,10,1.50,21,24,-3,-0.25,-0.56,Matches
15,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,30,1985,24,1491,62,43.6,16.6,17,,7,7,,14,1.29,20,23,-3,-0.18,+0.38,Matches
16,Marius Adamonis,lt LTU,GK,Lazio,it Serie A,19,1997,0,,,,,0,,0,0,,12,,,,,,,Matches
17,Antonio Adán,es ESP,GK,Betis,es La Liga,29,1987,37,3330,90,97.4,37.0,37,90,37,0,,0,1.03,39,62,-23,-0.62,-0.62,Matches
18,Tosin Adarabioyo,eng ENG,DF,Manchester City,eng Premier League,18,1997,0,,,,,0,,0,0,,1,,,,,,,Matches
19,Jordan Adéoti,bj BEN,"DF,MF",Caen,fr Ligue 1,27,1989,27,2120,79,62.0,23.6,23,,21,4,,5,0.89,25,41,-16,-0.68,+0.22,Matches
20,Claud Adjapong,it ITA,"DF,MF",Sassuolo,it Serie A,18,1998,9,510,57,14.9,5.7,6,,3,3,,24,1.22,13,16,-3,-0.53,-0.47,Matches
21,René Adler,de GER,GK,Hamburger SV,de Bundesliga,31,1985,19,1710,90,55.9,19.0,19,,19,0,,0,1.00,15,38,-23,-1.21,-0.88,Matches
22,Ali Adnan Kadhim,iq IRQ,"DF,MF",Udinese,it Serie A,22,1993,14,872,62,25.5,9.7,8,,8,6,,23,0.57,5,20,-15,-1.55,-1.76,Matches
23,Albert Adomah,gh GHA,"DF,FW",Middlesbrough,eng Premier League,28,1987,2,122,61,3.6,1.4,1,,1,1,,0,2.00,1,2,-1,-0.74,-0.06,Matches
24,Adrián,es ESP,GK,West Ham,eng Premier League,29,1987,16,1440,90,42.1,16.0,16,,16,0,,22,1.19,14,25,-11,-0.69,-0.41,Matches
25,Luiz Adriano,br BRA,"FW,MF",Milan,it Serie A,29,1987,7,127,18,3.7,1.4,1,,0,6,,10,1.86,2,4,-2,-1.42,-1.80,Matches
26,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,35,1981,32,2458,77,71.9,27.3,27,85,21,5,30,0,1.66,35,28,+7,+0.26,-0.02,Matches
27,Ibrahim Afellay,nl NED,"FW,MF",Stoke City,eng Premier League,30,1986,12,384,32,11.2,4.3,3,,1,9,,2,1.25,2,5,-3,-0.70,-0.35,Matches
28,Akram Afif,qa QAT,"FW,MF",Sporting Gijón,es La Liga,19,1996,9,234,26,6.8,2.6,2,51,0,7,19,6,0.44,1,4,-3,-1.15,-0.39,Matches
29,Benik Afobe,cd COD,FW,Bournemouth,eng Premier League,23,1993,31,1461,47,42.7,16.2,14,,7,17,,4,1.19,26,24,+2,+0.12,+0.77,Matches
30,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,20,1996,0,,,,,0,,0,0,,1,,,,,,,Matches
31,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,28,1988,31,2403,78,70.3,26.7,25,,16,6,,0,1.94,50,30,+20,+0.75,-1.11,Matches
32,Dan Agyei,eng ENG,"FW,MF",Burnley,eng Premier League,19,1997,3,25,8,0.7,0.3,0,,0,3,,5,0.00,0,0,0,0.00,+0.42,Matches
33,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,25,1990,29,2033,70,59.4,22.6,20,,17,9,,2,1.38,31,38,-7,-0.31,-0.18,Matches
34,Matteo Ahlinvi,bj BEN,MF,Guingamp,fr Ligue 1,17,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
35,Ola Aina,ng NGA,"DF,MF",Chelsea,eng Premier League,19,1996,3,26,9,0.8,0.3,0,,0,3,,8,3.00,2,0,+2,+6.92,+5.60,Matches
36,Youssef Aït Bennasser,ma MAR,MF,Nancy,fr Ligue 1,20,1996,26,1930,74,56.4,21.4,23,,16,3,,2,0.96,18,28,-10,-0.47,+0.32,Matches
37,Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,es La Liga,23,1993,8,492,62,14.4,5.5,6,70,2,2,37,4,0.50,6,12,-6,-1.10,-0.36,Matches
38,Arlind Ajeti,al ALB,DF,Torino,it Serie A,22,1993,4,251,63,7.3,2.8,3,,2,1,,21,2.00,6,7,-1,-0.36,-0.53,Matches
39,Nathan Aké,nl NED,"DF,MF",Bournemouth,eng Premier League,21,1995,10,735,74,21.5,8.2,8,,8,2,,8,1.40,16,17,-1,-0.12,+0.25,Matches
40,Nathan Aké,nl NED,"DF,MF",Chelsea,eng Premier League,21,1995,2,99,50,2.9,1.1,1,,1,1,,8,3.00,5,3,+2,+1.82,+0.46,Matches
41,Atakan Akkaynak,de GER,MF,Leverkusen,de Bundesliga,17,1999,0,,,,,0,,0,0,,1,,,,,,,Matches
42,Jean-Daniel Akpa-Akpro,ci CIV,"DF,MF",Toulouse,fr Ligue 1,23,1992,2,73,37,2.1,0.8,0,,0,2,,1,0.50,1,0,+1,+1.23,+1.37,Matches
43,Chuba Akpom,eng ENG,"FW,MF",Arsenal,eng Premier League,20,1995,0,,,,,0,,0,0,,1,,,,,,,Matches
44,David Alaba,at AUT,"DF,MF",Bayern Munich,de Bundesliga,24,1992,32,2506,78,81.9,27.8,29,,24,3,,1,2.38,75,17,+58,+2.08,+0.62,Matches
45,Javi Álamo,es ESP,"FW,MF",Osasuna,es La Liga,27,1988,2,13,7,0.4,0.1,0,,0,2,7,2,1.50,0,0,0,0.00,+1.43,Matches
46,Jordi Alba,es ESP,"DF,MF",Barcelona,es La Liga,27,1989,26,1968,76,57.5,21.9,21,89,19,5,21,8,2.27,69,24,+45,+2.06,-0.05,Matches
47,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,27,1988,27,2335,86,68.3,25.9,26,89,25,1,24,8,0.93,31,41,-10,-0.39,+0.28,Matches
48,Luis Alberto,es ESP,"FW,MF",Lazio,it Serie A,23,1992,9,365,41,10.7,4.1,4,,1,5,,16,1.00,6,7,-1,-0.25,-0.95,Matches
49,Raúl Albiol,es ESP,DF,Napoli,it Serie A,30,1985,26,2297,88,67.2,25.5,25,,24,1,,4,2.42,70,25,+45,+1.76,+0.96,Matches
50,Marc Albrighton,eng ENG,"DF,FW",Leicester City,eng Premier League,26,1989,33,2411,73,70.5,26.8,29,,12,4,,4,1.15,37,47,-10,-0.37,+0.07,Matches
51,Paco Alcácer,es ESP,FW,Barcelona,es La Liga,22,1993,20,858,43,25.1,9.5,6,80,3,14,27,16,2.30,33,9,+24,+2.52,+0.59,Matches
52,Paco Alcácer,es ESP,FW,Valencia,es La Liga,22,1993,1,90,90,2.6,1.0,1,90,1,0,,0,0.00,2,4,-2,-2.00,-1.81,Matches
53,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,25,1991,27,2288,85,74.8,25.4,26,,22,1,,3,2.52,68,15,+53,+2.08,+0.45,Matches
54,Gabriele Aldegani,it ITA,GK,Pescara,it Serie A,40,1976,0,,,,,0,,0,0,,9,,,,,,,Matches
55,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,27,1989,30,2601,87,76.1,28.9,30,,27,0,,0,2.37,67,17,+50,+1.73,+0.63,Matches
56,Haitam Aleesami,no NOR,"DF,MF",Palermo,it Serie A,25,1991,31,2630,85,76.9,29.2,29,,28,2,,6,0.74,26,54,-28,-0.96,+0.86,Matches
57,Álex Alegría,es ESP,FW,Betis,es La Liga,23,1992,25,1438,58,42.0,16.0,15,81,8,10,23,7,1.00,14,26,-12,-0.75,-0.25,Matches
58,Alexis Alegue,fr FRA,"FW,MF",Nantes,fr Ligue 1,19,1996,2,18,9,0.5,0.2,0,,0,2,,5,0.00,0,0,0,0.00,+0.37,Matches
59,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,18,1998,3,43,14,1.3,0.5,0,,0,3,14,12,3.00,4,0,+4,+8.37,+6.37,Matches
60,Romain Alessandrini,fr FRA,"FW,MF",Marseille,fr Ligue 1,27,1989,6,241,40,7.0,2.7,3,,1,3,,1,0.83,2,7,-5,-1.87,-2.46,Matches
61,Alexander,ar ARG,MF,Leganés,es La Liga,27,1988,28,2031,73,59.4,22.6,24,79,11,4,35,1,0.93,23,32,-9,-0.40,+0.25,Matches
62,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,17,1998,7,167,24,4.9,1.9,2,,1,5,,16,2.29,1,2,-1,-0.54,-1.56,Matches
63,Alexis,es ESP,DF,Alavés,es La Liga,30,1985,24,1819,76,53.2,20.2,19,90,18,5,22,5,1.42,25,29,-4,-0.20,-0.31,Matches
64,Chaker Alhadhur,km COM,"DF,MF",Caen,fr Ligue 1,24,1991,0,,,,,0,,0,0,,1,,,,,,,Matches
65,Jérémie Aliadière,fr FRA,"FW,MF",Lorient,fr Ligue 1,33,1983,13,487,37,14.2,5.4,6,,0,7,,3,1.00,6,9,-3,-0.55,+0.15,Matches
66,Alisson,br BRA,GK,Roma,it Serie A,23,1992,0,,,,,0,,0,0,,38,,,,,,,Matches
67,Sami Allagui,tn TUN,"FW,MF",Hertha BSC,de Bundesliga,30,1986,12,181,15,5.9,2.0,0,,0,12,,17,0.83,4,5,-1,-0.50,-0.40,Matches
68,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,24,1991,0,,,,,0,,0,0,,1,,,,,,,Matches
69,Allan,br BRA,"DF,MF",Napoli,it Serie A,25,1991,29,1610,56,47.1,17.9,19,,7,10,,6,2.24,35,23,+12,+0.67,-1.47,Matches
70,Allan,br BRA,MF,Hertha BSC,de Bundesliga,19,1997,15,798,53,26.1,8.9,8,,7,7,,13,1.47,6,15,-9,-1.02,-1.21,Matches
71,Joe Allen,wls WAL,MF,Stoke City,eng Premier League,26,1990,36,2930,81,85.7,32.6,34,,26,2,,0,1.06,32,49,-17,-0.52,-0.89,Matches
72,Dele Alli,eng ENG,"FW,MF",Tottenham,eng Premier League,20,1996,37,3034,82,88.7,33.7,35,,22,2,,0,2.30,79,22,+57,+1.69,+0.99,Matches
73,Ryan Allsop,eng ENG,GK,Bournemouth,eng Premier League,24,1992,1,90,90,2.6,1.0,1,,1,0,,17,1.00,1,1,0,0.00,+0.32,Matches
74,Júnior Alonso,py PAR,DF,Lille,fr Ligue 1,23,1993,12,959,80,28.0,10.7,10,,10,2,,4,1.58,15,13,+2,+0.19,+0.52,Matches
75,Marcos Alonso,es ESP,"DF,MF",Chelsea,eng Premier League,25,1990,31,2693,87,78.7,29.9,30,,28,1,,3,2.58,71,19,+52,+1.74,+1.74,Matches
76,Marcos Alonso,es ESP,"DF,MF",Fiorentina,it Serie A,25,1990,2,180,90,5.3,2.0,2,,2,0,,0,1.50,2,2,0,0.00,-0.17,Matches
77,Xabi Alonso,es ESP,MF,Bayern Munich,de Bundesliga,34,1981,27,1903,70,62.2,21.1,22,,14,5,,2,2.26,41,16,+25,+1.18,-2.08,Matches
78,Giorgio Altare,it ITA,DF,Milan,it Serie A,17,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
79,Halil Altıntop,tr TUR,"FW,MF",Augsburg,de Bundesliga,33,1982,31,1605,52,52.5,17.8,17,,7,14,,3,1.10,20,25,-5,-0.28,+0.40,Matches
80,Hamit Altıntop,tr TUR,"DF,MF",Darmstadt 98,de Bundesliga,33,1982,16,1362,85,44.5,15.1,15,,15,1,,0,1.00,16,26,-10,-0.66,+0.66,Matches
81,Ricky Álvarez,ar ARG,MF,Sampdoria,it Serie A,28,1988,21,987,47,28.9,11.0,11,,4,10,,12,1.29,13,19,-6,-0.55,-0.55,Matches
82,Sergio Álvarez,es ESP,"DF,MF",Sporting Gijón,es La Liga,24,1992,36,3003,83,87.8,33.4,34,86,28,2,40,1,0.83,36,59,-23,-0.69,+0.82,Matches
83,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,29,1986,26,2340,90,68.4,26.0,26,90,26,0,,9,1.00,33,52,-19,-0.73,-0.98,Matches
84,Víctor Álvarez,es ESP,"DF,MF",Espanyol,es La Liga,23,1993,4,204,51,6.0,2.3,2,90,2,2,12,11,2.25,2,3,-1,-0.44,-0.44,Matches
85,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,21,1995,26,2271,87,66.4,25.2,25,90,25,1,21,3,1.81,39,29,+10,+0.40,+0.40,Matches
86,Bruno Alves,pt POR,DF,Cagliari,it Serie A,34,1981,36,3240,90,94.7,36.0,36,,35,0,,0,1.14,49,74,-25,-0.69,-2.69,Matches
87,Dani Alves,br BRA,"DF,MF",Juventus,it Serie A,33,1983,19,1359,72,39.7,15.1,15,,11,4,,11,2.32,30,11,+19,+1.26,-0.10,Matches
88,Diego Alves,br BRA,GK,Valencia,es La Liga,31,1985,33,2970,90,86.8,33.0,33,90,33,0,,3,1.21,48,56,-8,-0.24,-0.04,Matches
89,Ibrahim Amadou,fr FRA,"DF,MF",Lille,fr Ligue 1,23,1993,35,2952,84,86.3,32.8,34,,30,1,,3,1.31,37,38,-1,-0.03,+1.12,Matches
90,Morgan Amalfitano,fr FRA,MF,Rennes,fr Ligue 1,31,1985,6,401,67,11.7,4.5,6,,3,0,,0,0.83,3,3,0,0.00,+0.18,Matches
91,Morgan Amalfitano,fr FRA,MF,Lille,fr Ligue 1,31,1985,17,733,43,21.4,8.1,8,,4,9,,3,1.12,4,9,-5,-0.61,-0.55,Matches
92,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,26,1989,26,1418,55,41.5,15.8,15,,7,11,,7,0.85,16,24,-8,-0.51,-0.33,Matches
93,Daniel Amartey,gh GHA,"DF,MF",Leicester City,eng Premier League,21,1994,24,1673,70,48.9,18.6,17,,17,7,,10,1.08,21,35,-14,-0.75,-0.70,Matches
94,Jordi Amat,id IDN,DF,Swansea City,eng Premier League,24,1992,17,1409,83,41.2,15.7,15,,15,2,,14,0.82,19,36,-17,-1.09,-0.73,Matches
95,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,18,1998,22,1776,81,51.9,19.7,20,,18,2,,12,0.95,14,21,-7,-0.35,-0.52,Matches
96,Nadiem Amiri,de GER,MF,Hoffenheim,de Bundesliga,19,1996,33,1989,60,65.0,22.1,20,,7,13,,1,1.85,38,20,+18,+0.81,+0.06,Matches
97,Fernando Amorebieta,ve VEN,DF,Sporting Gijón,es La Liga,31,1985,27,2218,82,64.9,24.6,26,85,22,1,8,4,0.74,27,53,-26,-1.06,-0.76,Matches
98,Nordin Amrabat,ma MAR,"FW,MF",Watford,eng Premier League,29,1987,29,2091,72,61.1,23.2,25,,11,4,,0,0.97,23,51,-28,-1.21,-1.21,Matches
99,Stanley Amuzie,ng NGA,DF,Sampdoria,it Serie A,20,1996,0,,,,,0,,0,0,,7,,,,,,,Matches
100,Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,26,1989,13,1109,85,32.4,12.3,13,85,12,0,,0,1.00,11,22,-11,-0.89,-0.58,Matches
101,Felipe Anderson,br BRA,"FW,MF",Lazio,it Serie A,23,1993,36,2908,81,85.0,32.3,33,,20,3,,0,1.78,61,43,+18,+0.56,-0.32,Matches
102,Keshi Anderson,eng ENG,"FW,MF",Crystal Palace,eng Premier League,21,1995,0,,,,,0,,0,0,,2,,,,,,,Matches
103,Florin Andone,ro ROU,FW,La Coruña,es La Liga,23,1993,37,2893,78,84.6,32.1,32,86,20,5,31,0,0.89,38,49,-11,-0.34,+0.85,Matches
104,Benjamin André,fr FRA,"DF,MF",Rennes,fr Ligue 1,25,1990,36,3215,89,94.0,35.7,36,,32,0,,0,1.36,34,37,-3,-0.08,+1.23,Matches
105,Marco Andreolli,it ITA,DF,Inter,it Serie A,30,1986,6,362,60,10.6,4.0,4,,3,2,,21,1.50,9,6,+3,+0.75,+0.16,Matches
106,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,27,1989,16,1367,85,40.0,15.2,16,,15,0,,0,1.19,14,17,-3,-0.20,+0.07,Matches
107,Victorien Angban,ci CIV,MF,Granada,es La Liga,19,1996,10,682,68,19.9,7.6,8,75,3,2,40,12,0.20,5,21,-16,-2.11,-0.93,Matches
108,Miguel Ángel Guerrero,es ESP,"FW,MF",Leganés,es La Liga,26,1990,31,2139,69,62.5,23.8,25,81,12,6,21,4,0.94,21,28,-7,-0.29,+0.55,Matches
109,José Ángel,es ESP,"DF,MF",Villarreal,es La Liga,26,1989,7,630,90,18.4,7.0,7,90,7,0,,14,1.86,8,3,+5,+0.71,+0.13,Matches
