Rk,Squad,Comp,#_Pl,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
1,Alavés,es La Liga,25,38.0,,,,,,,643,,,,,,,,
2,Angers,fr Ligue 1,29,38.0,,,,,,,732,,,,,,,,
3,Arsenal,eng Premier League,29,38.0,,,,,,,701,,,,,,,,
4,Atalanta,it Serie A,32,38.0,,,,,,,863,,,,,,,,
5,Athletic Club,es La Liga,25,38.0,,,,,,,912,,,,,,,,
6,Atlético Madrid,es La Liga,22,38.0,,,,,,,660,,,,,,,,
7,Augsburg,de Bundesliga,28,34.0,,,,,,,426,,,,,,,,
8,Barcelona,es La Liga,25,38.0,,,,,,,551,,,,,,,,
9,Bastia,fr Ligue 1,29,38.0,,,,,,,580,,,,,,,,
10,Bayern Munich,de Bundesliga,22,34.0,,,,,,,661,,,,,,,,
11,Betis,es La Liga,27,38.0,,,,,,,645,,,,,,,,
12,Bologna,it Serie A,28,38.0,,,,,,,627,,,,,,,,
13,Bordeaux,fr Ligue 1,27,38.0,,,,,,,690,,,,,,,,
14,Bournemouth,eng Premier League,27,38.0,,,,,,,642,,,,,,,,
15,Burnley,eng Premier League,27,38.0,,,,,,,676,,,,,,,,
16,Caen,fr Ligue 1,27,38.0,,,,,,,963,,,,,,,,
17,Cagliari,it Serie A,34,38.0,,,,,,,553,,,,,,,,
18,Celta Vigo,es La Liga,27,38.0,,,,,,,481,,,,,,,,
19,Chelsea,eng Premier League,24,38.0,,,,,,,697,,,,,,,,
20,Chievo,it Serie A,29,38.0,,,,,,,722,,,,,,,,
21,Crotone,it Serie A,31,38.0,,,,,,,748,,,,,,,,
22,Crystal Palace,eng Premier League,31,38.0,,,,,,,880,,,,,,,,
23,Darmstadt 98,de Bundesliga,31,34.0,,,,,,,446,,,,,,,,
24,Dijon,fr Ligue 1,27,38.0,,,,,,,698,,,,,,,,
25,Dortmund,de Bundesliga,27,34.0,,,,,,,468,,,,,,,,
26,Eibar,es La Liga,24,38.0,,,,,,,920,,,,,,,,
27,Eint Frankfurt,de Bundesliga,26,34.0,,,,,,,518,,,,,,,,
28,Empoli,it Serie A,29,38.0,,,,,,,752,,,,,,,,
29,Espanyol,es La Liga,27,38.0,,,,,,,674,,,,,,,,
30,Everton,eng Premier League,27,38.0,,,,,,,775,,,,,,,,
31,Fiorentina,it Serie A,30,38.0,,,,,,,833,,,,,,,,
32,Freiburg,de Bundesliga,25,34.0,,,,,,,351,,,,,,,,
33,Genoa,it Serie A,33,38.0,,,,,,,917,,,,,,,,
34,Gladbach,de Bundesliga,24,34.0,,,,,,,396,,,,,,,,
35,Granada,es La Liga,35,38.0,,,,,,,623,,,,,,,,
36,Guingamp,fr Ligue 1,25,38.0,,,,,,,735,,,,,,,,
37,Hamburger SV,de Bundesliga,29,34.0,,,,,,,501,,,,,,,,
38,Hertha BSC,de Bundesliga,26,34.0,,,,,,,426,,,,,,,,
39,Hoffenheim,de Bundesliga,23,34.0,,,,,,,417,,,,,,,,
40,Hull City,eng Premier League,28,38.0,,,,,,,748,,,,,,,,
41,Ingolstadt 04,de Bundesliga,22,34.0,,,,,,,559,,,,,,,,
42,Inter,it Serie A,29,38.0,,,,,,,1212,,,,,,,,
43,Juventus,it Serie A,27,38.0,,,,,,,786,,,,,,,,
44,Köln,de Bundesliga,26,34.0,,,,,,,410,,,,,,,,
45,La Coruña,es La Liga,28,38.0,,,,,,,879,,,,,,,,
46,Las Palmas,es La Liga,29,38.0,,,,,,,462,,,,,,,,
47,Lazio,it Serie A,30,38.0,,,,,,,792,,,,,,,,
48,Leganés,es La Liga,31,38.0,,,,,,,663,,,,,,,,
49,Leicester City,eng Premier League,25,38.0,,,,,,,735,,,,,,,,
50,Leverkusen,de Bundesliga,24,34.0,,,,,,,407,,,,,,,,
51,Lille,fr Ligue 1,31,38.0,,,,,,,685,,,,,,,,
52,Liverpool,eng Premier League,23,38.0,,,,,,,815,,,,,,,,
53,Lorient,fr Ligue 1,30,38.0,,,,,,,770,,,,,,,,
54,Lyon,fr Ligue 1,27,38.0,,,,,,,655,,,,,,,,
55,Mainz 05,de Bundesliga,28,34.0,,,,,,,491,,,,,,,,
56,Málaga,es La Liga,29,38.0,,,,,,,792,,,,,,,,
57,Manchester City,eng Premier League,25,38.0,,,,,,,810,,,,,,,,
58,Manchester Utd,eng Premier League,31,38.0,,,,,,,852,,,,,,,,
59,Marseille,fr Ligue 1,27,38.0,,,,,,,693,,,,,,,,
60,Metz,fr Ligue 1,31,38.0,,,,,,,698,,,,,,,,
61,Middlesbrough,eng Premier League,27,38.0,,,,,,,735,,,,,,,,
62,Milan,it Serie A,28,38.0,,,,,,,799,,,,,,,,
63,Monaco,fr Ligue 1,29,38.0,,,,,,,949,,,,,,,,
64,Montpellier,fr Ligue 1,32,38.0,,,,,,,821,,,,,,,,
65,Nancy,fr Ligue 1,27,38.0,,,,,,,685,,,,,,,,
66,Nantes,fr Ligue 1,27,38.0,,,,,,,814,,,,,,,,
67,Napoli,it Serie A,26,38.0,,,,,,,790,,,,,,,,
68,Nice,fr Ligue 1,27,38.0,,,,,,,411,,,,,,,,
69,Osasuna,es La Liga,35,38.0,,,,,,,648,,,,,,,,
70,Palermo,it Serie A,30,38.0,,,,,,,665,,,,,,,,
71,Paris S-G,fr Ligue 1,28,38.0,,,,,,,909,,,,,,,,
72,Pescara,it Serie A,34,38.0,,,,,,,661,,,,,,,,
73,RB Leipzig,de Bundesliga,23,34.0,,,,,,,429,,,,,,,,
74,Real Madrid,es La Liga,24,38.0,,,,,,,857,,,,,,,,
75,Real Sociedad,es La Liga,27,38.0,,,,,,,829,,,,,,,,
76,Rennes,fr Ligue 1,31,38.0,,,,,,,672,,,,,,,,
77,Roma,it Serie A,22,38.0,,,,,,,916,,,,,,,,
78,Saint-Étienne,fr Ligue 1,34,38.0,,,,,,,761,,,,,,,,
79,Sampdoria,it Serie A,24,38.0,,,,,,,782,,,,,,,,
80,Sassuolo,it Serie A,28,38.0,,,,,,,751,,,,,,,,
81,Schalke 04,de Bundesliga,29,34.0,,,,,,,566,,,,,,,,
82,Sevilla,es La Liga,28,38.0,,,,,,,661,,,,,,,,
83,Southampton,eng Premier League,26,38.0,,,,,,,960,,,,,,,,
84,Sporting Gijón,es La Liga,29,38.0,,,,,,,676,,,,,,,,
85,Stoke City,eng Premier League,26,38.0,,,,,,,725,,,,,,,,
86,Sunderland,eng Premier League,31,38.0,,,,,,,633,,,,,,,,
87,Swansea City,eng Premier League,27,38.0,,,,,,,867,,,,,,,,
88,Torino,it Serie A,29,38.0,,,,,,,750,,,,,,,,
89,Tottenham,eng Premier League,24,38.0,,,,,,,763,,,,,,,,
90,Toulouse,fr Ligue 1,30,38.0,,,,,,,639,,,,,,,,
91,Udinese,it Serie A,29,38.0,,,,,,,853,,,,,,,,
92,Valencia,es La Liga,31,38.0,,,,,,,668,,,,,,,,
93,Villarreal,es La Liga,27,38.0,,,,,,,514,,,,,,,,
94,Watford,eng Premier League,33,38.0,,,,,,,696,,,,,,,,
