Rk,Squad,Comp,#_Pl,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt
1,Alavés,es La Liga,25,38.0,41,394,136,34.5,10.37,3.58,0.09,0.27,,4,4
2,Angers,fr Ligue 1,29,38.0,39,531,183,34.5,13.97,4.82,0.07,0.2,,3,4
3,Arsenal,eng Premier League,29,38.0,73,568,201,35.4,14.95,5.29,0.12,0.34,,4,6
4,Atalanta,it Serie A,32,38.0,62,536,201,37.5,14.11,5.29,0.11,0.28,,5,5
5,Athletic Club,es La Liga,25,38.0,53,488,187,38.3,12.84,4.92,0.09,0.24,,8,8
6,Atlético Madrid,es La Liga,22,38.0,70,503,199,39.6,13.24,5.24,0.14,0.34,,2,7
7,Augsburg,de Bundesliga,28,34.0,35,371,119,32.1,10.91,3.5,0.09,0.27,,3,4
8,Barcelona,es La Liga,25,38.0,113,649,268,41.3,17.08,7.05,0.16,0.39,,8,9
9,Bastia,fr Ligue 1,29,38.0,28,385,122,31.7,10.13,3.21,0.07,0.23,,0,1
10,Bayern Munich,de Bundesliga,22,34.0,88,622,230,37.0,18.29,6.76,0.13,0.36,,5,5
11,Betis,es La Liga,27,38.0,41,440,153,34.8,11.58,4.03,0.09,0.25,,2,2
12,Bologna,it Serie A,28,38.0,39,424,145,34.2,11.16,3.82,0.09,0.26,,1,2
13,Bordeaux,fr Ligue 1,27,38.0,51,456,157,34.4,12.0,4.13,0.1,0.3,,4,7
14,Bournemouth,eng Premier League,27,38.0,53,452,160,35.4,11.89,4.21,0.1,0.29,,7,10
15,Burnley,eng Premier League,27,38.0,39,388,121,31.2,10.21,3.18,0.09,0.27,,6,6
16,Caen,fr Ligue 1,27,38.0,35,465,149,32.0,12.24,3.92,0.07,0.21,,4,5
17,Cagliari,it Serie A,34,38.0,53,431,161,37.4,11.34,4.24,0.11,0.3,,4,6
18,Celta Vigo,es La Liga,27,38.0,52,404,148,36.6,10.63,3.89,0.11,0.3,,7,7
19,Chelsea,eng Premier League,24,38.0,83,582,205,35.2,15.32,5.39,0.14,0.4,,2,4
20,Chievo,it Serie A,29,38.0,42,405,129,31.9,10.66,3.39,0.09,0.29,,4,5
