Rk,Squad,Comp,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
1,Alavés,es La Liga,30,38.0,96,8,5,513,487,73,645,428,292,5,3,0,1737,831,602,58.0
2,Angers,fr Ligue 1,31,38.0,65,2,1,461,483,39,662,443,376,6,8,1,2074,477,562,45.9
3,Arminia,de Bundesliga,26,34.0,52,1,0,390,417,49,471,418,328,2,6,1,1725,740,711,51.0
4,Arsenal,eng Premier League,29,38.0,49,5,1,346,400,61,751,351,252,5,3,4,1838,504,594,45.9
5,Aston Villa,eng Premier League,24,38.0,71,4,4,439,553,71,779,387,282,6,6,1,1906,728,665,52.3
6,Atalanta,it Serie A,30,38.0,67,3,1,580,473,56,657,516,343,5,8,1,2472,633,506,55.6
7,Athletic Club,es La Liga,27,38.0,82,3,1,483,477,77,811,344,269,5,6,1,1836,656,601,52.2
8,Atlético Madrid,es La Liga,25,38.0,100,0,0,489,443,96,597,386,367,6,4,3,1951,530,482,52.4
9,Augsburg,de Bundesliga,25,34.0,71,4,3,395,403,67,500,454,308,3,9,3,1802,559,688,44.8
10,Barcelona,es La Liga,25,38.0,72,2,2,357,523,90,494,361,293,6,5,2,1937,395,317,55.5
11,Bayern Munich,de Bundesliga,29,34.0,44,3,0,317,374,74,828,399,316,7,3,0,2050,430,409,51.3
12,Benevento,it Serie A,29,38.0,95,5,2,496,593,61,645,383,288,7,5,6,1749,496,615,44.6
13,Betis,es La Liga,25,38.0,93,8,4,521,483,65,586,452,314,9,10,3,1938,613,628,49.4
14,Bologna,it Serie A,37,38.0,82,4,2,536,476,73,669,424,313,3,9,2,2016,564,594,48.7
15,Bordeaux,fr Ligue 1,28,38.0,78,4,2,465,480,49,609,503,329,3,8,1,1964,570,501,53.2
16,Brest,fr Ligue 1,26,38.0,62,4,1,491,434,59,720,463,355,4,11,2,1928,693,560,55.3
17,Brighton,eng Premier League,27,38.0,49,6,2,428,357,52,686,425,334,7,7,2,2040,531,574,48.1
18,Burnley,eng Premier League,25,38.0,48,0,0,384,389,80,772,416,293,3,3,1,2000,874,854,50.6
19,Cádiz,es La Liga,34,38.0,81,3,2,436,483,56,731,437,317,3,10,1,1809,687,753,47.7
20,Cagliari,it Serie A,32,38.0,77,3,2,516,469,57,721,388,336,4,5,0,1854,637,602,51.4
21,Celta Vigo,es La Liga,30,38.0,109,5,3,631,492,65,521,405,368,7,8,1,1988,609,669,47.7
22,Chelsea,eng Premier League,27,38.0,51,3,1,433,364,79,749,382,341,10,4,1,1999,569,515,52.5
23,Crotone,it Serie A,31,38.0,89,4,2,531,490,57,544,380,311,7,5,2,1936,472,534,46.9
24,Crystal Palace,eng Premier League,24,38.0,56,2,1,409,436,67,533,396,366,2,4,0,1923,685,658,51.0
25,Dijon,fr Ligue 1,33,38.0,76,5,1,515,421,54,569,471,367,4,10,2,2041,530,627,45.8
26,Dortmund,de Bundesliga,26,34.0,44,1,1,359,373,69,532,413,318,6,6,1,2023,432,350,55.2
27,Eibar,es La Liga,30,38.0,71,3,2,494,387,67,1052,434,309,4,5,0,2179,908,917,49.8
28,Eint Frankfurt,de Bundesliga,25,34.0,82,1,1,459,366,69,776,428,352,6,6,2,2094,604,552,52.2
29,Elche,es La Liga,30,38.0,99,3,2,527,456,51,672,386,335,1,10,1,1811,488,539,47.5
30,Everton,eng Premier League,29,38.0,59,2,0,386,392,65,662,392,381,4,4,1,2030,665,486,57.8
31,Fiorentina,it Serie A,30,38.0,86,5,0,523,523,61,740,388,263,4,11,2,1817,538,544,49.7
32,Freiburg,de Bundesliga,24,34.0,62,0,0,437,401,56,636,452,247,5,6,2,1718,588,637,48.0
33,Fulham,eng Premier League,28,38.0,67,3,0,484,372,43,710,437,329,5,7,1,2010,649,625,50.9
34,Genoa,it Serie A,34,38.0,87,2,1,520,466,79,579,519,309,2,7,2,2013,504,643,43.9
35,Getafe,es La Liga,31,38.0,120,7,2,631,520,74,815,393,352,3,8,3,1943,840,946,47.0
36,Gladbach,de Bundesliga,23,34.0,61,2,0,395,412,82,561,436,307,9,6,0,1914,512,488,51.2
37,Granada,es La Liga,34,38.0,97,6,1,533,469,82,613,392,279,4,12,1,1800,675,851,44.2
38,Hellas Verona,it Serie A,32,38.0,91,1,0,622,520,108,732,492,269,3,7,2,2214,749,832,47.4
39,Hertha BSC,de Bundesliga,32,34.0,67,3,2,469,428,77,585,417,270,6,8,1,1743,527,513,50.7
40,Hoffenheim,de Bundesliga,30,34.0,68,4,2,442,407,49,658,431,296,4,9,2,1896,516,620,45.4
41,Huesca,es La Liga,27,38.0,69,2,1,528,518,101,824,437,322,2,5,2,1876,580,598,49.2
42,Inter,it Serie A,25,38.0,61,2,1,472,426,65,702,371,286,6,7,1,1814,439,428,50.6
43,Juventus,it Serie A,30,38.0,80,6,2,505,470,93,754,458,323,8,9,2,1941,426,378,53.0
44,Köln,de Bundesliga,28,34.0,63,1,1,422,429,57,655,429,328,4,9,0,1948,607,614,49.7
45,Lazio,it Serie A,30,38.0,107,5,3,498,427,87,744,445,346,8,10,2,2132,539,510,51.4
46,Leeds United,eng Premier League,23,38.0,61,1,0,432,410,76,786,397,417,3,9,2,2160,538,605,47.1
47,Leicester City,eng Premier League,27,38.0,61,0,0,413,421,71,649,438,403,11,4,2,2111,600,590,50.4
48,Lens,fr Ligue 1,27,38.0,94,7,5,541,465,49,760,508,358,11,11,3,2004,644,630,50.5
49,Levante,es La Liga,29,38.0,68,1,0,509,397,69,697,432,283,5,4,2,2023,455,522,46.6
50,Leverkusen,de Bundesliga,30,34.0,58,0,0,433,335,72,674,322,282,1,2,2,2006,444,487,47.7
51,Lille,fr Ligue 1,21,38.0,68,2,1,487,450,64,637,424,370,5,2,2,2216,572,558,50.6
52,Liverpool,eng Premier League,28,38.0,40,0,0,396,316,65,862,347,303,4,8,0,2202,537,572,48.4
53,Lorient,fr Ligue 1,27,38.0,69,3,1,475,469,46,606,527,424,9,11,1,2064,507,586,46.4
54,Lyon,fr Ligue 1,29,38.0,66,10,3,484,439,63,710,408,344,11,7,2,2139,528,424,55.5
55,Mainz 05,de Bundesliga,31,34.0,63,1,1,500,379,57,605,500,364,4,7,1,1923,613,650,48.5
56,Manchester City,eng Premier League,24,38.0,46,2,0,361,372,57,632,319,271,7,10,1,1946,479,417,53.5
57,Manchester Utd,eng Premier League,29,38.0,64,1,0,452,400,76,640,386,311,9,4,2,2124,546,413,56.9
58,Marseille,fr Ligue 1,31,38.0,98,9,2,500,473,52,647,442,391,3,3,1,1898,552,534,50.8
59,Metz,fr Ligue 1,27,38.0,84,4,1,516,474,50,659,572,417,6,13,1,2098,601,612,49.5
60,Milan,it Serie A,29,38.0,83,4,1,513,474,92,688,382,357,15,5,1,2069,567,539,51.3
61,Monaco,fr Ligue 1,30,38.0,78,7,2,486,470,70,746,436,432,11,5,1,2182,611,558,52.3
62,Montpellier,fr Ligue 1,25,38.0,65,7,0,513,452,48,807,420,334,4,12,2,1876,657,643,50.5
63,Nantes,fr Ligue 1,25,38.0,70,4,2,514,498,54,676,465,384,8,12,1,2063,671,700,48.9
64,Napoli,it Serie A,25,38.0,76,3,2,386,548,72,665,369,345,7,5,1,1923,414,404,50.6
65,Newcastle Utd,eng Premier League,27,38.0,65,3,2,388,420,58,652,362,268,6,5,3,1770,634,655,49.2
66,Nice,fr Ligue 1,31,38.0,73,4,2,459,438,40,599,435,364,6,7,0,1965,391,419,48.3
67,Nîmes,fr Ligue 1,33,38.0,60,5,2,424,533,50,617,501,372,6,10,0,1906,517,671,43.5
