Rk,Squad,Comp,#_Pl,Poss,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR
1,Alavés,es La Liga,30,42.8,38.0,18196,2104,6503,8087,3788,575,18188,468,255,54.5,214,45.7,8984,44443,20934,404,315,104,557,256,10113,926
2,Angers,fr Ligue 1,31,46.4,38.0,22924,1893,6979,11326,4872,574,22918,744,386,51.9,358,48.1,13323,66694,31192,614,485,118,635,394,14792,1418
3,Arminia,de Bundesliga,26,42.3,34.0,18394,2538,7581,7559,3417,529,18392,435,233,53.6,202,46.4,9625,46369,23235,358,224,71,557,262,10498,874
4,Arsenal,eng Premier League,29,53.5,38.0,25431,2426,7970,11384,6240,910,25425,535,296,55.3,239,44.7,15532,83176,45081,758,499,195,511,260,17924,1748
5,Aston Villa,eng Premier League,24,48.5,38.0,21115,2579,6975,8614,5759,947,21109,595,369,62.0,223,37.5,11290,60377,30666,629,463,226,579,337,12834,1403
6,Atalanta,it Serie A,30,54.6,38.0,26392,1779,6640,12068,7924,1147,26385,707,396,56.0,309,43.7,15724,78882,39413,874,658,256,680,406,17945,2056
7,Athletic Club,es La Liga,27,49.9,38.0,21405,1919,5860,10254,5480,675,21400,501,304,60.7,197,39.3,11148,64935,35153,685,508,147,496,335,13474,1477
8,Atlético Madrid,es La Liga,25,52.3,38.0,24561,1967,6777,12025,5937,894,24555,588,374,63.6,214,36.4,13675,67513,36112,694,483,190,503,342,16649,1598
9,Augsburg,de Bundesliga,25,41.4,34.0,18181,2500,7266,7815,3296,496,18176,474,282,59.5,192,40.5,9465,52254,25936,431,344,79,557,321,10183,977
10,Barcelona,es La Liga,25,65.5,38.0,31975,2240,7299,14908,9965,1217,31967,770,513,66.6,257,33.4,21041,104711,56171,972,930,276,477,341,25054,2144
11,Bayern Munich,de Bundesliga,29,60.7,34.0,25817,1855,6669,12031,7356,1178,25807,690,437,63.3,252,36.5,15272,85823,45041,829,613,216,656,349,18243,2073
12,Benevento,it Serie A,29,42.6,38.0,19177,2349,7075,8190,4126,698,19170,452,273,60.4,179,39.6,9801,53708,27357,512,377,123,513,289,11461,1083
13,Betis,es La Liga,25,53.6,38.0,23642,2102,6948,11168,5736,790,23631,638,420,65.8,218,34.2,13276,66794,34503,694,547,172,591,368,15686,1428
