Rk,Squad,Comp,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
1,Alavés,es La Liga,3,38.0,65,6,0,10,0,58.5,0.3,-6.5,-0.17,369,783,47.1,808,96,64.6,44.5,351,74.4,50.9,619,26,4.2,48,1.26,15.7
2,Angers,fr Ligue 1,3,38.0,55,5,2,9,3,47.5,0.28,-4.5,-0.12,122,376,32.4,758,216,30.9,40.5,306,46.4,40.0,576,44,7.6,38,1.0,11.6
3,Arminia,de Bundesliga,2,34.0,53,7,1,6,2,56.9,0.28,5.9,0.17,419,918,45.6,1464,94,49.6,37.3,332,57.8,46.5,559,12,2.1,48,1.41,18.4
4,Arsenal,eng Premier League,2,38.0,48,5,0,3,1,47.6,0.29,0.6,0.02,151,533,28.3,1037,175,36.0,33.2,251,63.7,48.3,487,32,6.6,61,1.61,16.4
5,Aston Villa,eng Premier League,3,38.0,54,4,2,5,2,46.5,0.29,-5.5,-0.14,157,442,35.5,880,176,36.5,30.4,303,39.9,34.8,513,40,7.8,34,0.89,16.3
6,Atalanta,it Serie A,3,38.0,48,5,0,3,3,44.2,0.29,-0.8,-0.02,157,387,40.6,863,203,26.0,31.3,240,67.9,49.2,356,29,8.1,43,1.13,16.5
7,Athletic Club,es La Liga,2,38.0,36,3,0,2,1,36.9,0.26,1.9,0.05,158,402,39.3,748,201,35.4,33.8,269,50.9,41.7,577,30,5.2,41,1.08,15.2
8,Atlético Madrid,es La Liga,1,38.0,43,7,2,4,3,32.3,0.23,-7.7,-0.2,170,598,28.4,810,155,49.9,39.0,283,68.6,48.6,477,27,5.7,29,0.76,13.8
9,Augsburg,de Bundesliga,1,34.0,56,5,1,2,2,52.3,0.31,-1.7,-0.05,233,579,40.2,949,145,41.9,36.5,289,62.6,47.5,532,24,4.5,51,1.5,16.7
10,Barcelona,es La Liga,2,38.0,38,2,1,7,0,34.1,0.26,-3.9,-0.1,147,289,50.9,1167,165,18.8,26.9,240,29.2,32.3,384,15,3.9,38,1.0,15.3
11,Bayern Munich,de Bundesliga,3,34.0,37,2,1,2,1,32.6,0.27,-3.4,-0.1,121,256,47.3,1285,194,18.3,18.0,205,10.2,24.2,316,12,3.8,105,3.09,19.0
12,Betis,es La Liga,2,38.0,40,3,0,3,2,39.1,0.27,1.1,0.03,201,547,36.7,962,157,41.4,33.1,275,54.2,43.9,592,24,4.1,41,1.08,15.7
13,Bochum,de Bundesliga,2,34.0,52,5,1,4,4,49.9,0.27,1.9,0.06,484,1069,45.3,1457,109,60.5,36.1,273,68.5,48.5,463,28,6.0,72,2.12,10.7
14,Bologna,it Serie A,3,38.0,55,8,1,3,2,56.2,0.26,3.2,0.08,198,482,41.1,988,170,39.6,33.0,314,29.0,26.6,525,29,5.5,14,0.37,5.5
15,Bordeaux,fr Ligue 1,2,38.0,91,7,1,10,3,64.5,0.29,-23.5,-0.62,256,622,41.2,1059,133,38.9,33.1,329,63.8,45.6,546,19,3.5,79,2.08,17.6
16,Brentford,eng Premier League,3,38.0,56,5,1,8,2,49.4,0.25,-4.6,-0.12,298,768,38.8,1355,184,43.2,33.9,300,61.0,45.2,626,37,5.9,58,1.53,16.8
17,Brest,fr Ligue 1,1,38.0,57,4,0,8,2,51.0,0.28,-4.0,-0.1,290,624,46.5,877,205,43.1,37.4,328,75.0,53.1,541,16,3.0,34,0.89,14.1
18,Brighton,eng Premier League,2,38.0,44,3,1,6,0,42.5,0.28,-1.5,-0.04,161,568,28.3,1317,188,31.4,23.9,241,64.3,48.8,535,60,11.2,36,0.95,9.3
19,Burnley,eng Premier League,2,38.0,53,5,1,7,2,47.5,0.25,-3.5,-0.09,346,870,39.8,850,154,69.8,50.8,304,91.1,61.3,642,46,7.2,84,2.21,17.0
20,Cádiz,es La Liga,1,38.0,51,11,0,10,0,52.8,0.24,1.8,0.05,272,792,34.3,840,119,63.3,46.0,313,83.1,60.2,586,42,7.2,28,0.74,12.1
21,Cagliari,it Serie A,2,38.0,68,7,5,10,1,58.8,0.28,-8.2,-0.22,343,765,44.8,958,122,53.2,41.5,348,73.3,47.9,526,23,4.4,34,0.89,13.8
22,Celta Vigo,es La Liga,1,38.0,43,4,0,1,2,43.3,0.27,2.3,0.06,303,804,37.7,1176,131,51.3,40.3,283,71.0,52.4,452,36,8.0,37,0.97,14.3
23,Chelsea,eng Premier League,2,38.0,33,6,0,2,1,31.6,0.22,-0.4,-0.01,91,222,41.0,892,183,19.1,26.4,202,25.7,24.9,419,30,7.2,54,1.42,18.8
24,Clermont Foot,fr Ligue 1,2,38.0,69,5,0,10,3,50.6,0.28,-15.4,-0.41,124,435,28.5,883,160,33.7,30.2,269,50.9,37.7,463,28,6.0,32,0.84,10.6
25,Crystal Palace,eng Premier League,2,38.0,46,3,2,11,2,38.5,0.24,-5.5,-0.14,130,375,34.7,994,222,26.8,29.8,272,40.1,33.1,525,28,5.3,43,1.13,11.2
26,Dortmund,de Bundesliga,3,34.0,52,6,2,6,2,46.9,0.31,-3.1,-0.09,93,279,33.3,996,176,20.4,27.7,225,33.8,33.8,402,20,5.0,63,1.85,20.6
27,Eint Frankfurt,de Bundesliga,3,34.0,49,4,0,3,1,52.4,0.3,4.4,0.13,162,557,29.1,1055,157,40.8,21.9,266,47.7,42.2,460,23,5.0,46,1.35,10.8
28,Elche,es La Liga,2,38.0,52,7,0,6,0,54.5,0.27,2.5,0.07,257,626,41.1,966,183,42.1,36.4,346,63.3,45.9,616,25,4.1,56,1.47,15.2
29,Empoli,it Serie A,1,38.0,70,5,1,5,6,65.2,0.28,1.2,0.03,133,386,34.5,984,215,28.2,29.5,339,32.2,31.4,602,35,5.8,38,1.0,13.9
30,Espanyol,es La Liga,3,38.0,53,4,0,4,2,53.6,0.3,2.6,0.07,171,466,36.7,897,221,35.1,33.8,337,44.8,36.9,662,38,5.7,48,1.26,13.7
31,Everton,eng Premier League,2,38.0,66,2,2,13,5,55.9,0.29,-5.1,-0.13,292,844,34.6,927,124,65.2,48.9,298,80.5,59.5,568,26,4.6,37,0.97,10.7
32,Fiorentina,it Serie A,2,38.0,51,3,0,3,2,39.8,0.28,-9.2,-0.24,240,561,42.8,1660,164,29.2,30.8,209,36.8,34.9,352,24,6.8,71,1.87,22.3
33,Freiburg,de Bundesliga,2,34.0,46,2,1,5,1,42.7,0.27,-2.3,-0.07,267,684,39.0,1145,126,42.0,34.4,273,74.4,58.1,496,18,3.6,36,1.06,6.3
34,Genoa,it Serie A,2,38.0,60,4,3,7,2,51.6,0.26,-6.4,-0.17,263,626,42.0,894,103,48.9,38.5,322,58.7,40.4,490,16,3.3,20,0.53,11.2
35,Getafe,es La Liga,2,38.0,41,2,0,5,1,40.9,0.29,0.9,0.02,366,869,42.1,892,101,69.5,46.6,294,84.7,54.2,576,26,4.5,45,1.18,15.0
36,Gladbach,de Bundesliga,2,34.0,61,3,1,5,0,57.3,0.29,-3.7,-0.11,153,452,33.8,1243,166,29.0,29.5,238,38.2,36.2,446,19,4.3,53,1.56,8.0
37,Granada,es La Liga,2,38.0,61,7,0,7,2,60.2,0.27,1.2,0.03,267,818,32.6,922,162,57.7,42.6,380,75.3,52.0,615,32,5.2,64,1.68,17.6
38,Greuther Fürth,de Bundesliga,3,34.0,82,6,1,12,5,66.9,0.33,-10.1,-0.3,248,719,34.5,1120,144,46.5,41.1,289,68.5,49.4,546,28,5.1,53,1.56,17.2
39,Hellas Verona,it Serie A,3,38.0,59,3,2,8,2,48.7,0.29,-8.3,-0.22,208,622,33.4,781,133,56.2,39.7,281,65.1,44.6,529,22,4.2,24,0.63,
40,Hertha BSC,de Bundesliga,2,34.0,71,8,1,10,0,56.0,0.29,-15.0,-0.44,189,521,36.3,880,172,38.8,39.7,280,64.3,48.9,548,30,5.5,42,1.24,12.1
41,Hoffenheim,de Bundesliga,2,34.0,60,2,0,9,1,53.2,0.32,-5.8,-0.17,143,406,35.2,1318,190,26.6,28.5,239,23.0,27.7,430,28,6.5,65,1.91,11.3
42,Inter,it Serie A,2,38.0,32,4,0,3,1,34.8,0.25,3.8,0.1,143,309,46.3,1059,178,26.3,33.3,224,13.4,20.5,397,15,3.8,11,0.29,16.0
43,Juventus,it Serie A,3,38.0,37,4,2,6,1,37.1,0.25,1.1,0.03,138,308,44.8,894,176,27.9,29.6,259,22.8,26.6,570,25,4.4,29,0.76,12.6
44,Köln,de Bundesliga,2,34.0,49,0,2,6,2,51.1,0.33,4.1,0.12,174,417,41.7,1264,135,27.1,33.1,253,29.6,31.9,432,13,3.0,34,1.0,17.4
45,Lazio,it Serie A,2,38.0,58,5,1,5,1,52.2,0.33,-4.8,-0.13,145,294,49.3,1032,165,23.4,28.5,233,22.7,25.4,469,21,4.5,26,0.68,14.5
46,Leeds United,eng Premier League,2,38.0,79,5,3,10,1,62.4,0.26,-15.6,-0.41,109,413,26.4,1108,276,27.5,30.4,292,37.0,33.2,445,23,5.2,47,1.24,23.7
47,Leicester City,eng Premier League,2,38.0,59,7,1,15,1,56.9,0.26,-1.1,-0.03,196,491,39.9,1021,174,35.7,25.8,302,41.7,36.7,551,16,2.9,39,1.03,10.7
48,Lens,fr Ligue 1,2,38.0,48,4,1,3,0,44.9,0.29,-3.1,-0.08,133,341,39.0,750,194,33.7,30.6,287,30.7,30.6,452,34,7.5,45,1.18,16.6
49,Levante,es La Liga,4,38.0,76,5,1,13,0,65.9,0.3,-10.1,-0.27,155,460,33.7,821,151,42.1,36.2,309,36.9,34.6,532,19,3.6,47,1.24,18.1
50,Leverkusen,de Bundesliga,3,34.0,47,2,2,6,1,44.1,0.26,-1.9,-0.06,139,408,34.1,1055,185,29.0,25.4,300,34.0,31.6,418,17,4.1,45,1.32,13.0
51,Lille,fr Ligue 1,2,38.0,48,6,1,8,2,39.2,0.22,-6.8,-0.18,162,481,33.7,725,156,42.3,35.1,295,59.0,44.7,522,24,4.6,35,0.92,17.1
52,Liverpool,eng Premier League,2,38.0,26,0,0,3,1,26.6,0.26,1.6,0.04,116,268,43.3,1294,224,16.2,22.7,185,31.4,32.7,360,22,6.1,92,2.42,17.1
53,Lorient,fr Ligue 1,2,38.0,63,5,4,4,3,49.8,0.31,-10.2,-0.27,138,499,27.7,639,124,42.4,36.3,310,73.5,53.0,568,9,1.6,25,0.66,15.4
54,Lyon,fr Ligue 1,2,38.0,51,7,1,9,3,50.2,0.25,2.2,0.06,126,298,42.3,1046,185,22.7,29.3,257,23.7,30.6,459,18,3.9,35,0.92,14.6
55,Mainz 05,de Bundesliga,2,34.0,45,5,0,4,1,41.2,0.29,-2.8,-0.08,122,403,30.3,823,175,35.5,25.8,258,43.0,38.8,450,31,6.9,70,2.06,14.4
56,Mallorca,es La Liga,4,38.0,63,6,1,5,4,53.8,0.3,-5.2,-0.14,244,595,41.0,787,130,52.4,39.4,312,58.7,43.5,576,17,3.0,20,0.53,12.6
57,Manchester City,eng Premier League,2,38.0,26,1,0,1,0,25.8,0.29,-0.2,-0.01,88,188,46.8,1018,171,15.7,23.4,147,19.0,26.2,310,21,6.8,58,1.53,16.6
58,Manchester Utd,eng Premier League,1,38.0,57,3,0,4,3,55.1,0.29,1.1,0.03,103,315,32.7,623,134,30.0,30.9,299,42.8,35.9,525,8,1.5,25,0.66,14.0
59,Marseille,fr Ligue 1,2,38.0,38,4,0,8,1,36.6,0.31,-0.4,-0.01,119,352,33.8,1498,182,18.3,28.0,234,33.3,33.7,406,25,6.2,67,1.76,19.1
60,Metz,fr Ligue 1,2,38.0,69,5,1,9,2,57.2,0.3,-9.8,-0.26,234,611,38.3,717,224,46.7,39.7,335,82.4,56.7,582,49,8.4,55,1.45,14.8
61,Milan,it Serie A,2,38.0,31,4,0,5,2,33.2,0.23,4.2,0.11,190,448,42.4,1109,178,33.9,33.3,248,29.0,29.4,429,31,7.2,48,1.26,12.5
62,Monaco,fr Ligue 1,1,38.0,40,8,0,5,3,41.5,0.24,4.5,0.12,160,415,38.6,837,173,32.0,32.5,282,52.1,42.3,427,23,5.4,46,1.21,17.1
63,Montpellier,fr Ligue 1,2,38.0,61,5,1,2,1,60.5,0.26,0.5,0.01,180,461,39.0,1017,234,30.1,30.3,365,42.5,36.2,594,45,7.6,31,0.82,13.5
64,Nantes,fr Ligue 1,1,38.0,48,4,0,6,1,52.4,0.3,5.4,0.14,206,607,33.9,824,137,46.2,39.2,288,78.5,55.5,491,27,5.5,56,1.47,14.9
65,Napoli,it Serie A,3,38.0,31,1,0,3,1,34.1,0.25,4.1,0.11,86,222,38.7,929,170,20.6,15.0,245,12.7,19.5,443,21,4.7,36,0.95,
66,Newcastle Utd,eng Premier League,3,38.0,62,5,0,8,2,52.3,0.29,-7.7,-0.2,302,726,41.6,864,127,50.3,44.5,344,84.6,57.5,521,30,5.8,18,0.47,10.5
67,Nice,fr Ligue 1,2,38.0,36,4,1,1,0,44.3,0.27,8.3,0.22,146,381,38.3,791,175,29.8,19.2,267,54.3,42.6,517,32,6.2,34,0.89,22.5
