Rk,Squad,Comp,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90
1,Alavés,es La Liga,33,27.9,38,3420,90,100,38.0,418,82,247,167,20,277,0.82,31,65,-34,-0.89,37.3,57.0,-19.7,-0.52
2,Angers,fr Ligue 1,30,27.4,38,3420,90,100,38.0,418,84,260,154,16,183,1.08,44,55,-11,-0.29,46.5,50.0,-3.6,-0.09
3,Arminia,de Bundesliga,26,25.8,34,3060,90,100,34.0,374,82,224,150,21,148,0.82,27,53,-26,-0.76,26.3,62.8,-36.6,-1.08
4,Arsenal,eng Premier League,27,24.4,38,3420,90,100,38.0,418,85,304,110,17,232,1.82,61,48,13,0.34,60.5,45.7,14.9,0.39
5,Aston Villa,eng Premier League,31,26.1,38,3420,90,100,38.0,418,85,304,113,20,228,1.18,52,54,-2,-0.05,44.0,49.0,-4.9,-0.13
6,Atalanta,it Serie A,32,27.5,38,3420,90,100,38.0,418,80,237,180,24,213,1.55,65,48,17,0.45,62.4,45.3,17.2,0.45
7,Athletic Club,es La Liga,26,26.9,38,3420,90,100,38.0,418,81,237,180,21,209,1.45,43,36,7,0.18,49.6,38.4,11.3,0.3
8,Atlético Madrid,es La Liga,26,28.1,38,3420,90,100,38.0,418,79,244,170,26,159,1.87,65,43,22,0.58,54.4,33.4,21.1,0.56
9,Augsburg,de Bundesliga,26,26.6,34,3060,90,100,34.0,374,80,205,169,23,136,1.12,39,56,-17,-0.5,36.7,57.9,-21.2,-0.62
10,Barcelona,es La Liga,38,26.2,38,3420,90,100,38.0,418,82,254,159,20,264,1.92,68,38,30,0.79,63.4,34.4,29.0,0.76
11,Bayern Munich,de Bundesliga,30,26.8,34,3060,90,100,34.0,374,82,224,149,21,153,2.26,97,37,60,1.76,89.0,36.3,52.7,1.55
12,Betis,es La Liga,31,28.9,38,3420,90,100,38.0,418,82,251,161,21,266,1.71,62,40,22,0.58,53.5,43.4,10.1,0.27
13,Bochum,de Bundesliga,28,28.0,34,3060,90,100,34.0,374,82,232,140,20,155,1.24,38,52,-14,-0.41,40.6,55.8,-15.1,-0.44
14,Bologna,it Serie A,36,26.6,38,3420,90,100,38.0,418,81,242,171,20,276,1.21,44,55,-11,-0.29,44.9,52.6,-7.7,-0.2
15,Bordeaux,fr Ligue 1,39,25.7,38,3420,90,100,38.0,418,81,233,182,19,160,0.82,52,91,-39,-1.03,44.9,66.8,-21.9,-0.58
16,Brentford,eng Premier League,29,25.4,38,3420,90,100,38.0,418,84,304,114,22,223,1.21,48,56,-8,-0.21,45.8,48.5,-2.7,-0.07
17,Brest,fr Ligue 1,25,25.4,38,3420,90,100,38.0,418,83,270,146,19,185,1.26,49,57,-8,-0.21,43.4,56.3,-12.8,-0.34
18,Brighton,eng Premier League,26,26.2,38,3420,90,100,38.0,418,84,308,111,22,231,1.34,42,44,-2,-0.05,46.2,42.9,3.3,0.09
19,Burnley,eng Premier League,23,28.5,38,3420,90,100,38.0,418,86,321,96,19,244,0.92,34,53,-19,-0.5,39.7,57.1,-17.4,-0.46
20,Cádiz,es La Liga,33,28.5,38,3420,90,100,38.0,418,81,246,172,22,270,1.03,35,51,-16,-0.42,39.5,48.3,-8.7,-0.23
21,Cagliari,it Serie A,33,26.5,38,3420,90,100,38.0,418,82,259,157,21,252,0.79,34,68,-34,-0.89,39.0,61.0,-21.9,-0.58
22,Celta Vigo,es La Liga,25,28.4,38,3420,90,100,38.0,418,82,261,155,21,222,1.21,43,43,0,0.0,43.1,45.7,-2.6,-0.07
23,Chelsea,eng Premier League,26,27.4,38,3420,90,100,38.0,418,84,306,111,22,226,1.95,76,33,43,1.13,63.4,33.2,30.1,0.79
24,Clermont Foot,fr Ligue 1,28,26.9,38,3420,90,100,38.0,418,82,253,159,19,183,0.95,38,69,-31,-0.82,44.4,52.4,-8.0,-0.21
25,Crystal Palace,eng Premier League,24,27.1,38,3420,90,100,38.0,418,85,309,108,18,229,1.26,50,46,4,0.11,46.4,40.7,5.7,0.15
26,Dortmund,de Bundesliga,33,25.9,34,3060,90,100,34.0,374,83,231,142,19,148,2.03,85,52,33,0.97,64.0,46.3,17.7,0.52
27,Eint Frankfurt,de Bundesliga,27,26.2,34,3060,90,100,34.0,374,82,232,144,21,160,1.24,45,49,-4,-0.12,41.6,47.0,-5.4,-0.16
28,Elche,es La Liga,28,29.1,38,3420,90,100,38.0,418,80,236,179,22,255,1.11,40,52,-12,-0.32,33.7,59.1,-25.4,-0.67
29,Empoli,it Serie A,28,24.5,38,3420,90,100,38.0,418,80,236,178,23,271,1.08,50,70,-20,-0.53,44.9,66.0,-21.2,-0.56
30,Espanyol,es La Liga,34,27.7,38,3420,90,100,38.0,418,81,234,181,21,269,1.11,40,53,-13,-0.34,36.7,51.2,-14.5,-0.38
