Rk,Squad,Comp,#_Pl,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
1,Alavés,es La Liga,29,38.0,737,459,346,307,84,348,726,47.9,378,382,96,286,309,1046,918,10
2,Angers,fr Ligue 1,30,34.0,624,392,340,202,82,294,607,48.4,313,365,116,249,336,960,903,20
3,Arsenal,eng Premier League,25,38.0,598,348,220,249,129,260,515,50.5,255,328,106,222,225,823,680,33
4,Aston Villa,eng Premier League,28,38.0,637,372,293,249,95,310,546,56.8,236,329,107,222,240,877,788,43
5,Atalanta,it Serie A,32,38.0,571,347,238,260,73,272,506,53.8,234,360,98,262,296,867,679,16
6,Athletic Club,es La Liga,31,38.0,577,345,240,252,85,296,579,51.1,283,353,72,281,344,921,911,25
7,Atlético Madrid,es La Liga,24,38.0,619,375,305,238,76,319,627,50.9,308,358,97,261,260,879,818,25
8,Augsburg,de Bundesliga,29,34.0,464,300,198,202,64,233,430,54.2,197,417,121,296,341,805,971,16
9,Auxerre,fr Ligue 1,29,34.0,657,403,330,232,95,316,606,52.1,290,394,125,269,350,1007,944,17
10,Barcelona,es La Liga,28,38.0,538,332,186,245,107,271,520,52.1,249,329,60,269,227,765,601,14
11,Bayern Munich,de Bundesliga,29,34.0,506,300,166,233,107,250,450,55.6,200,318,52,266,232,738,518,23
12,Betis,es La Liga,36,38.0,645,397,271,273,101,342,644,53.1,302,406,113,293,356,1001,910,19
13,Bochum,de Bundesliga,27,34.0,600,360,318,207,75,306,572,53.5,266,475,142,333,294,894,906,23
14,Bologna,it Serie A,30,38.0,591,346,215,270,106,283,538,52.6,255,390,93,297,258,849,679,20
15,Bournemouth,eng Premier League,29,38.0,691,399,290,299,102,301,627,48.0,326,459,136,323,351,1042,1013,22
