Rk,Squad,Comp,#_Pl,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%
1,Alavés,es La Liga,3,38,38,3419,38.0,48,1.26,132,86,72.0,10,12,16,9,23.7,11,11,0,0,0.0
2,Angers,fr Ligue 1,2,34,34,3060,34.0,53,1.56,190,137,74.2,10,6,18,7,20.6,5,4,0,1,0.0
3,Arsenal,eng Premier League,1,38,38,3420,38.0,34,0.89,120,86,74.2,20,14,4,13,34.2,3,3,0,0,0.0
4,Aston Villa,eng Premier League,2,38,38,3420,38.0,51,1.34,156,104,68.6,19,9,10,9,23.7,3,2,1,0,33.3
5,Atalanta,it Serie A,3,38,38,3420,38.0,37,0.97,147,112,76.2,22,8,8,15,39.5,2,2,0,0,0.0
6,Athletic Club,es La Liga,3,38,38,3417,38.0,29,0.76,113,83,77.0,19,13,6,15,39.5,5,3,2,0,40.0
7,Atlético Madrid,es La Liga,2,38,38,3420,38.0,30,0.79,116,88,78.4,22,10,6,17,44.7,5,5,0,0,0.0
8,Augsburg,de Bundesliga,2,34,34,3060,34.0,51,1.5,156,107,70.5,11,10,13,11,32.4,5,5,0,0,0.0
9,Auxerre,fr Ligue 1,2,34,34,3060,34.0,51,1.5,173,123,74.0,11,9,14,10,29.4,8,6,2,0,25.0
10,Barcelona,es La Liga,3,38,38,3420,38.0,39,1.03,108,69,67.6,28,4,6,13,34.2,4,4,0,0,0.0
11,Bayern Munich,de Bundesliga,4,34,34,3060,34.0,32,0.94,80,48,61.3,25,7,2,16,47.1,2,1,0,1,0.0
12,Betis,es La Liga,3,38,38,3420,38.0,50,1.32,141,92,67.4,16,12,10,7,18.4,4,4,0,0,0.0
13,Bochum,de Bundesliga,2,34,34,3060,34.0,68,2.0,153,83,57.5,5,8,21,5,14.7,6,3,2,1,40.0
14,Bologna,it Serie A,2,38,38,3420,38.0,47,1.24,106,60,57.5,16,14,8,12,31.6,3,2,1,0,33.3
15,Bournemouth,eng Premier League,3,38,38,3420,38.0,46,1.21,172,126,75.6,15,11,12,9,23.7,4,4,0,0,0.0
16,Brentford,eng Premier League,2,38,38,3420,38.0,57,1.5,207,153,72.9,16,8,14,8,21.1,1,1,0,0,0.0
17,Brest,fr Ligue 1,2,34,34,3060,34.0,59,1.74,141,83,63.8,15,5,14,10,29.4,10,8,1,1,11.1
18,Brighton,eng Premier League,2,38,38,3420,38.0,59,1.55,147,90,66.0,16,13,9,8,21.1,9,9,0,0,0.0
19,Cagliari,it Serie A,4,38,38,3420,38.0,56,1.47,153,97,67.3,9,9,20,7,18.4,6,6,0,0,0.0
20,Celta Vigo,es La Liga,2,38,38,3420,38.0,57,1.5,145,89,62.8,16,7,15,8,21.1,4,3,1,0,25.0
21,Chelsea,eng Premier League,2,38,38,3420,38.0,43,1.13,155,111,75.5,20,9,9,11,28.9,6,5,1,0,16.7
22,Como,it Serie A,3,38,38,3420,38.0,52,1.37,143,91,68.5,13,10,15,7,18.4,7,7,0,0,0.0
23,Crystal Palace,eng Premier League,1,38,38,3420,38.0,51,1.34,150,101,66.7,13,14,11,11,28.9,2,1,1,0,50.0
24,Dortmund,de Bundesliga,2,34,34,3060,34.0,51,1.5,140,89,66.4,17,6,11,7,20.6,4,4,0,0,0.0
25,Eint Frankfurt,de Bundesliga,2,34,34,3060,34.0,46,1.35,163,117,72.4,17,9,8,9,26.5,3,1,2,0,66.7
26,Empoli,it Serie A,3,38,38,3420,38.0,59,1.55,158,99,63.3,6,13,19,6,15.8,3,1,1,1,50.0
27,Espanyol,es La Liga,1,38,38,3420,38.0,51,1.34,192,140,75.5,11,9,18,8,21.1,6,4,2,0,33.3
28,Everton,eng Premier League,1,38,38,3420,38.0,44,1.16,163,117,73.0,11,15,12,12,31.6,2,0,2,0,100.0
29,Fiorentina,it Serie A,2,38,38,3420,38.0,41,1.08,148,106,73.0,19,8,11,12,31.6,3,1,2,0,66.7
30,Freiburg,de Bundesliga,2,34,34,3060,34.0,53,1.56,150,96,66.0,16,7,11,11,32.4,4,2,2,0,50.0
31,Fulham,eng Premier League,1,38,38,3420,38.0,54,1.42,159,106,67.9,15,9,14,5,13.2,4,3,1,0,25.0
32,Genoa,it Serie A,4,38,38,3420,38.0,49,1.29,158,110,72.8,10,13,15,11,28.9,8,6,2,0,25.0
33,Getafe,es La Liga,1,38,38,3420,38.0,39,1.03,126,86,75.4,11,9,18,9,23.7,9,8,1,0,11.1
34,Girona,es La Liga,3,38,38,3420,38.0,60,1.58,164,102,65.2,11,8,19,8,21.1,6,3,3,0,50.0
35,Gladbach,de Bundesliga,4,34,34,3056,34.0,57,1.68,191,135,73.8,13,6,15,7,20.6,8,7,1,0,12.5
36,Heidenheim,de Bundesliga,2,34,34,3060,34.0,64,1.88,171,107,66.1,8,5,21,9,26.5,6,6,0,0,0.0
37,Hellas Verona,it Serie A,2,38,38,3420,38.0,66,1.74,172,106,62.8,10,7,21,8,21.1,4,2,1,1,33.3
38,Hoffenheim,de Bundesliga,2,34,34,3060,34.0,68,2.0,173,105,62.4,7,11,16,4,11.8,6,3,3,0,50.0
39,Holstein Kiel,de Bundesliga,2,34,34,3060,34.0,80,2.35,195,117,62.1,6,7,21,2,5.9,7,6,1,0,14.3
