Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match_Report,Notes
1.0,Fri,2014-08-22,20:30,Bayern Munich,2–1,Wolfsburg,71000.0,Allianz Arena,Felix Zwayer,Match Report,
1.0,Sat,2014-08-23,15:30,Köln,0–0,Hamburger SV,50000.0,RheinEnergieSTADION,Wolfgang Stark,Match Report,
1.0,Sat,2014-08-23,15:30,Eint Frankfurt,1–0,Freiburg,46200.0,Commerzbank-Arena,Florian Meyer,Match Report,
1.0,Sat,2014-08-23,15:30,Hoffenheim,2–0,Augsburg,23792.0,PreZero Arena,Tobias Stieler,Match Report,
1.0,Sat,2014-08-23,15:30,Hertha BSC,2–2,Werder Bremen,56972.0,Olympiastadion Berlin,Thorsten Kinhöfer,Match Report,
1.0,Sat,2014-08-23,15:30,Hannover 96,2–1,Schalke 04,49000.0,HDI-Arena,Peter Gagelmann,Match Report,
1.0,Sat,2014-08-23,18:30,Dortmund,0–2,Leverkusen,80667.0,Signal Iduna Park,Deniz Aytekin,Match Report,
1.0,Sun,2014-08-24,15:30,Paderborn 07,2–2,Mainz 05,14824.0,Benteler-Arena,Peter Sippel,Match Report,
1.0,Sun,2014-08-24,17:30,Gladbach,1–1,Stuttgart,50203.0,Stadion im Borussia-Park,Christian Dingert,Match Report,
,,,,,,,,,,,
2.0,Fri,2014-08-29,20:30,Augsburg,2–3,Dortmund,30660.0,WWK Arena,Knut Kircher,Match Report,
2.0,Sat,2014-08-30,15:30,Stuttgart,0–2,Köln,55000.0,Mercedes-Benz Arena,Felix Brych,Match Report,
2.0,Sat,2014-08-30,15:30,Hamburger SV,0–3,Paderborn 07,54452.0,Volksparkstadion,Bastian Dankert,Match Report,
2.0,Sat,2014-08-30,15:30,Werder Bremen,1–1,Hoffenheim,38900.0,Weserstadion,Robert Hartmann,Match Report,
2.0,Sat,2014-08-30,15:30,Wolfsburg,2–2,Eint Frankfurt,27528.0,Volkswagen Arena,Günter Perl,Match Report,
2.0,Sat,2014-08-30,15:30,Leverkusen,4–2,Hertha BSC,27819.0,BayArena,Tobias Stieler,Match Report,
2.0,Sat,2014-08-30,18:30,Schalke 04,1–1,Bayern Munich,61973.0,Veltins-Arena,Marco Fritz,Match Report,
2.0,Sun,2014-08-31,15:30,Mainz 05,0–0,Hannover 96,27647.0,Opel Arena,Sascha Stegemann,Match Report,
2.0,Sun,2014-08-31,17:30,Freiburg,0–0,Gladbach,24000.0,Schwarzwald-Stadion,Peter Gagelmann,Match Report,
