Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match_Report,Notes
1.0,Fri,2016-08-26,20:30,Bayern Munich,6–0,Werder Bremen,75000.0,Allianz Arena,Christian Dingert,Match Report,
1.0,Sat,2016-08-27,15:30,Köln,2–0,Darmstadt 98,50000.0,RheinEnergieSTADION,Patrick Ittrich,Match Report,
1.0,Sat,2016-08-27,15:30,Augsburg,0–2,Wolfsburg,26172.0,WWK Arena,Sascha Stegemann,Match Report,
1.0,Sat,2016-08-27,15:30,Eint Frankfurt,1–0,Schalke 04,47000.0,Commerzbank-Arena,Wolfgang Stark,Match Report,
1.0,Sat,2016-08-27,15:30,Hamburger SV,1–1,Ingolstadt 04,50107.0,Volksparkstadion,Marco Fritz,Match Report,
1.0,Sat,2016-08-27,15:30,Dortmund,2–1,Mainz 05,81360.0,Signal Iduna Park,Robert Hartmann,Match Report,
1.0,Sat,2016-08-27,18:30,Gladbach,2–1,Leverkusen,52183.0,Stadion im Borussia-Park,Felix Brych,Match Report,
1.0,Sun,2016-08-28,15:30,Hertha BSC,2–1,Freiburg,41648.0,Olympiastadion Berlin,Benjamin Brand,Match Report,
1.0,Sun,2016-08-28,17:30,Hoffenheim,2–2,RB Leipzig,24188.0,Wirsol Rhein-Neckar-Arena,Tobias Stieler,Match Report,
,,,,,,,,,,,
2.0,Fri,2016-09-09,20:30,Schalke 04,0–2,Bayern Munich,62271.0,Veltins-Arena,Manuel Gräfe,Match Report,
2.0,Sat,2016-09-10,15:30,Ingolstadt 04,0–2,Hertha BSC,14100.0,Audi-Sportpark,Jochen Drees,Match Report,
2.0,Sat,2016-09-10,15:30,Darmstadt 98,1–0,Eint Frankfurt,17000.0,Jonathan-Heimes-Stadion am Böllenfalltor,Felix Zwayer,Match Report,
2.0,Sat,2016-09-10,15:30,Freiburg,3–1,Gladbach,24000.0,Schwarzwald-Stadion,Harm Osmers,Match Report,
2.0,Sat,2016-09-10,15:30,Leverkusen,3–1,Hamburger SV,30210.0,BayArena,Tobias Welz,Match Report,
2.0,Sat,2016-09-10,15:30,Wolfsburg,0–0,Köln,29067.0,Volkswagen Arena,Guido Winkmann,Match Report,
2.0,Sat,2016-09-10,18:30,RB Leipzig,1–0,Dortmund,42558.0,Red Bull Arena,Wolfgang Stark,Match Report,
2.0,Sun,2016-09-11,15:30,Werder Bremen,1–2,Augsburg,39430.0,Weserstadion,Daniel Siebert,Match Report,
2.0,Sun,2016-09-11,17:30,Mainz 05,4–4,Hoffenheim,27408.0,Opel Arena,Markus Schmidt,Match Report,
,,,,,,,,,,,
3.0,Fri,2016-09-16,20:30,Köln,3–0,Freiburg,47200.0,RheinEnergieSTADION,Felix Zwayer,Match Report,
3.0,Sat,2016-09-17,15:30,Hoffenheim,0–0,Wolfsburg,23295.0,Wirsol Rhein-Neckar-Arena,Günter Perl,Match Report,
3.0,Sat,2016-09-17,15:30,Bayern Munich,3–1,Ingolstadt 04,75000.0,Allianz Arena,Patrick Ittrich,Match Report,
3.0,Sat,2016-09-17,15:30,Hamburger SV,0–4,RB Leipzig,52998.0,Volksparkstadion,Robert Kampka,Match Report,
3.0,Sat,2016-09-17,15:30,Eint Frankfurt,2–1,Leverkusen,43000.0,Commerzbank-Arena,Christian Dingert,Match Report,
3.0,Sat,2016-09-17,15:30,Dortmund,6–0,Darmstadt 98,81360.0,Signal Iduna Park,Benjamin Brand,Match Report,
3.0,Sat,2016-09-17,18:30,Gladbach,4–1,Werder Bremen,54014.0,Stadion im Borussia-Park,Tobias Stieler,Match Report,
3.0,Sun,2016-09-18,15:30,Augsburg,1–3,Mainz 05,26115.0,WWK Arena,Bastian Dankert,Match Report,
3.0,Sun,2016-09-18,17:30,Hertha BSC,2–0,Schalke 04,49251.0,Olympiastadion Berlin,Deniz Aytekin,Match Report,
,,,,,,,,,,,
4.0,Tue,2016-09-20,20:00,Darmstadt 98,1–1,Hoffenheim,15800.0,Jonathan-Heimes-Stadion am Böllenfalltor,Frank Willenborg,Match Report,
4.0,Tue,2016-09-20,20:00,Wolfsburg,1–5,Dortmund,30000.0,Volkswagen Arena,Daniel Siebert,Match Report,
4.0,Tue,2016-09-20,20:00,Freiburg,1–0,Hamburger SV,24000.0,Schwarzwald-Stadion,Markus Schmidt,Match Report,
4.0,Tue,2016-09-20,20:00,Ingolstadt 04,0–2,Eint Frankfurt,14259.0,Audi-Sportpark,Sascha Stegemann,Match Report,
4.0,Wed,2016-09-21,20:00,Schalke 04,1–3,Köln,60876.0,Veltins-Arena,Robert Hartmann,Match Report,
4.0,Wed,2016-09-21,20:00,Bayern Munich,3–0,Hertha BSC,75000.0,Allianz Arena,Marco Fritz,Match Report,
4.0,Wed,2016-09-21,20:00,RB Leipzig,1–1,Gladbach,42558.0,Red Bull Arena,Manuel Gräfe,Match Report,
4.0,Wed,2016-09-21,20:00,Leverkusen,0–0,Augsburg,24097.0,BayArena,Jochen Drees,Match Report,
4.0,Wed,2016-09-21,20:00,Werder Bremen,1–2,Mainz 05,37108.0,Weserstadion,Wolfgang Stark,Match Report,
,,,,,,,,,,,
5.0,Fri,2016-09-23,20:30,Dortmund,3–1,Freiburg,80800.0,Signal Iduna Park,Christian Dingert,Match Report,
5.0,Sat,2016-09-24,15:30,Eint Frankfurt,3–3,Hertha BSC,45000.0,Commerzbank-Arena,Felix Brych,Match Report,
5.0,Sat,2016-09-24,15:30,Mainz 05,2–3,Leverkusen,25274.0,Opel Arena,Günter Perl,Match Report,
5.0,Sat,2016-09-24,15:30,Gladbach,2–0,Ingolstadt 04,50112.0,Stadion im Borussia-Park,Bastian Dankert,Match Report,
5.0,Sat,2016-09-24,15:30,Augsburg,1–0,Darmstadt 98,28113.0,WWK Arena,Guido Winkmann,Match Report,
5.0,Sat,2016-09-24,15:30,Hamburger SV,0–1,Bayern Munich,57000.0,Volksparkstadion,Felix Zwayer,Match Report,
5.0,Sat,2016-09-24,18:30,Werder Bremen,2–1,Wolfsburg,40153.0,Weserstadion,Deniz Aytekin,Match Report,
5.0,Sun,2016-09-25,15:30,Hoffenheim,2–1,Schalke 04,29288.0,Wirsol Rhein-Neckar-Arena,Tobias Welz,Match Report,
5.0,Sun,2016-09-25,17:45,Köln,1–1,RB Leipzig,48500.0,RheinEnergieSTADION,Benjamin Cortus,Match Report,
,,,,,,,,,,,
6.0,Fri,2016-09-30,20:30,RB Leipzig,2–1,Augsburg,35721.0,Red Bull Arena,Harm Osmers,Match Report,
6.0,Sat,2016-10-01,15:30,Ingolstadt 04,1–2,Hoffenheim,13844.0,Audi-Sportpark,Robert Kampka,Match Report,
6.0,Sat,2016-10-01,15:30,Freiburg,1–0,Eint Frankfurt,24000.0,Schwarzwald-Stadion,Marco Fritz,Match Report,
6.0,Sat,2016-10-01,15:30,Hertha BSC,2–0,Hamburger SV,57656.0,Olympiastadion Berlin,Guido Winkmann,Match Report,
6.0,Sat,2016-10-01,15:30,Darmstadt 98,2–2,Werder Bremen,17000.0,Jonathan-Heimes-Stadion am Böllenfalltor,Jochen Drees,Match Report,
6.0,Sat,2016-10-01,15:30,Bayern Munich,1–1,Köln,75000.0,Allianz Arena,Daniel Siebert,Match Report,
6.0,Sat,2016-10-01,18:30,Leverkusen,2–0,Dortmund,30210.0,BayArena,Manuel Gräfe,Match Report,
6.0,Sun,2016-10-02,15:30,Wolfsburg,0–0,Mainz 05,25876.0,Volkswagen Arena,Benjamin Brand,Match Report,
6.0,Sun,2016-10-02,17:30,Schalke 04,4–0,Gladbach,62271.0,Veltins-Arena,Sascha Stegemann,Match Report,
,,,,,,,,,,,
7.0,Fri,2016-10-14,20:30,Dortmund,1–1,Hertha BSC,80800.0,Signal Iduna Park,Patrick Ittrich,Match Report,
7.0,Sat,2016-10-15,15:30,Gladbach,0–0,Hamburger SV,53636.0,Stadion im Borussia-Park,Wolfgang Stark,Match Report,
7.0,Sat,2016-10-15,15:30,Eint Frankfurt,2–2,Bayern Munich,49500.0,Commerzbank-Arena,Bastian Dankert,Match Report,
7.0,Sat,2016-10-15,15:30,Köln,2–1,Ingolstadt 04,49200.0,RheinEnergieSTADION,Tobias Welz,Match Report,
7.0,Sat,2016-10-15,15:30,Hoffenheim,2–1,Freiburg,28540.0,Wirsol Rhein-Neckar-Arena,Deniz Aytekin,Match Report,
7.0,Sat,2016-10-15,15:30,Augsburg,1–1,Schalke 04,30660.0,WWK Arena,Tobias Stieler,Match Report,
7.0,Sat,2016-10-15,18:30,Werder Bremen,2–1,Leverkusen,41000.0,Weserstadion,Marco Fritz,Match Report,
7.0,Sun,2016-10-16,15:30,Mainz 05,2–1,Darmstadt 98,29987.0,Opel Arena,Felix Brych,Match Report,
7.0,Sun,2016-10-16,17:30,Wolfsburg,0–1,RB Leipzig,30000.0,Volkswagen Arena,Sascha Stegemann,Match Report,
,,,,,,,,,,,
8.0,Fri,2016-10-21,20:30,Hamburger SV,0–3,Eint Frankfurt,52258.0,Volksparkstadion,Günter Perl,Match Report,
8.0,Sat,2016-10-22,15:30,Hertha BSC,2–1,Köln,60576.0,Olympiastadion Berlin,Frank Willenborg,Match Report,
8.0,Sat,2016-10-22,15:30,Ingolstadt 04,3–3,Dortmund,15200.0,Audi-Sportpark,Felix Zwayer,Match Report,
8.0,Sat,2016-10-22,15:30,Freiburg,2–1,Augsburg,24000.0,Schwarzwald-Stadion,Manuel Gräfe,Match Report,
8.0,Sat,2016-10-22,15:30,Leverkusen,0–3,Hoffenheim,28716.0,BayArena,Bastian Dankert,Match Report,
8.0,Sat,2016-10-22,15:30,Darmstadt 98,3–1,Wolfsburg,15300.0,Jonathan-Heimes-Stadion am Böllenfalltor,Markus Schmidt,Match Report,
8.0,Sat,2016-10-22,18:30,Bayern Munich,2–0,Gladbach,75000.0,Allianz Arena,Jochen Drees,Match Report,
8.0,Sun,2016-10-23,15:30,RB Leipzig,3–1,Werder Bremen,42558.0,Red Bull Arena,Robert Hartmann,Match Report,
8.0,Sun,2016-10-23,17:30,Schalke 04,3–0,Mainz 05,59357.0,Veltins-Arena,Daniel Siebert,Match Report,
,,,,,,,,,,,
9.0,Fri,2016-10-28,20:30,Gladbach,0–0,Eint Frankfurt,54014.0,Stadion im Borussia-Park,Felix Zwayer,Match Report,
9.0,Sat,2016-10-29,15:30,Werder Bremen,1–3,Freiburg,41500.0,Weserstadion,Guido Winkmann,Match Report,
9.0,Sat,2016-10-29,15:30,Darmstadt 98,0–2,RB Leipzig,16400.0,Jonathan-Heimes-Stadion am Böllenfalltor,Wolfgang Stark,Match Report,
9.0,Sat,2016-10-29,15:30,Mainz 05,2–0,Ingolstadt 04,24197.0,Opel Arena,Manuel Gräfe,Match Report,
9.0,Sat,2016-10-29,15:30,Augsburg,1–3,Bayern Munich,30660.0,WWK Arena,Christian Dingert,Match Report,
9.0,Sat,2016-10-29,15:30,Wolfsburg,1–2,Leverkusen,26398.0,Volkswagen Arena,Tobias Stieler,Match Report,
9.0,Sat,2016-10-29,18:30,Dortmund,0–0,Schalke 04,80179.0,Signal Iduna Park,Felix Brych,Match Report,
9.0,Sun,2016-10-30,15:30 (16:30),Hoffenheim,1–0,Hertha BSC,28015.0,Wirsol Rhein-Neckar-Arena,Benjamin Cortus,Match Report,
9.0,Sun,2016-10-30,17:30 (18:30),Köln,3–0,Hamburger SV,50000.0,RheinEnergieSTADION,Benjamin Brand,Match Report,
,,,,,,,,,,,
10.0,Fri,2016-11-04,20:30 (21:30),Hertha BSC,3–0,Gladbach,51934.0,Olympiastadion Berlin,Tobias Stieler,Match Report,
10.0,Sat,2016-11-05,15:30 (16:30),Leverkusen,3–2,Darmstadt 98,28941.0,BayArena,Harm Osmers,Match Report,
10.0,Sat,2016-11-05,15:30 (16:30),Freiburg,0–3,Wolfsburg,23500.0,Schwarzwald-Stadion,Felix Brych,Match Report,
10.0,Sat,2016-11-05,15:30 (16:30),Hamburger SV,2–5,Dortmund,57000.0,Volksparkstadion,Sascha Stegemann,Match Report,
10.0,Sat,2016-11-05,15:30 (16:30),Ingolstadt 04,0–2,Augsburg,15200.0,Audi-Sportpark,Jochen Drees,Match Report,
