Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match_Report,Notes
First qualifying round,Tue,2015-06-30,19:45 (20:45),Crusaders FC nir,0–0,ee Levadia Tallinn,1748,Seaview,Þorvaldur Árnason,Match Report,Leg 1 of 2
First qualifying round,Tue,2015-06-30,20:00,Red Imps gi,0–0,ad Santa Coloma,1520,Victoria Stadium,Johnni Casanova,Match Report,Leg 1 of 2
First qualifying round,Tue,2015-06-30,20:00 (18:00),Pyunik am,2–1,sm Folgore,4000,Vazgen Sargsyan anvan Hanrapetakan Marza...,Demetris Masias,Match Report,Leg 1 of 2
First qualifying round,Wed,2015-07-01,19:00 (20:00),B36 Tórshavn fo,1–2,wls The New Saints,1050,Gundadalur,Sven Bindels,Match Report,Leg 1 of 2
First qualifying round,Tue,2015-07-07,19:00 (20:00),The New Saints wls,4–1,fo B36 Tórshavn,1148,Park Hall Stadium,Ville Nevalainen,Match Report,Leg 2 of 2; The New Saints won
First qualifying round,Tue,2015-07-07,19:00 (18:00),Levadia Tallinn ee,1–1,nir Crusaders FC,1230,A. Le Coq Arena,Giorgi Kruashvili,Match Report,Leg 2 of 2; Crusaders FC won
First qualifying round,Tue,2015-07-07,20:00,Santa Coloma ad,1–2,gi Red Imps,700,Estadi Comunal d'Andorra la Vella,Roomer Tarajev,Match Report,Leg 2 of 2; Red Imps won
First qualifying round,Tue,2015-07-07,20:30,Folgore sm,1–2,am Pyunik,821,Stadio Olimpico di Serravalle,Ignasi Villamayor Rozados,Match Report,Leg 2 of 2; Pyunik won
,,,,,,,,,,,
Second qualifying round,Tue,2015-07-14,18:30 (17:30),FK Ventspils lv,1–3,fi HJK,2450,Olimpiskā centra Ventspils Stadionā,Jakob Kehlet,Match Report,Leg 1 of 2
Second qualifying round,Tue,2015-07-14,19:00 (20:00),The New Saints wls,0–1,hu Videoton,1068,Park Hall Stadium,Jan Valasek,Match Report,Leg 1 of 2
Second qualifying round,Tue,2015-07-14,19:30,Midtjylland dk,1–0,gi Red Imps,5291,MCH Arena,Alan Sant,Match Report,Leg 1 of 2
Second qualifying round,Tue,2015-07-14,20:00,Skënderbeu Korçë al,4–1,nir Crusaders FC,5500,Stadiumi Skënderbeu,Alexander Harkam,Match Report,Leg 1 of 2
Second qualifying round,Tue,2015-07-14,20:00,Molde no,5–0,am Pyunik,5650,Aker Stadion,Pavle Radovanović,Match Report,Leg 1 of 2
Second qualifying round,Tue,2015-07-14,20:00 (19:00),APOEL FC cy,0–0,mk FK Vardar,14531,Neo GSP,Əliyar Ağayev,Match Report,Leg 1 of 2
Second qualifying round,Tue,2015-07-14,20:00,Hibernians FC mt,2–1,il Maccabi Tel Aviv,1470,Hibernians Stadium,Sergey Lapochkin,Match Report,Leg 1 of 2
