Round,Day,Date,Time,Home,xG,Score,xG1,Away,Attendance,Venue,Referee,Match_Report,Notes
Preliminary round — Semi-finals,Tue,2021-06-22,20:00,HB fo,,0–1,,ad Inter d'Escaldes,,Stadiumi Niko Dovana (Neutral Site),Joonas Jaanovits,Match Report,
Preliminary round — Semi-finals,Tue,2021-06-22,20:00,Folgore sm,,0–2,,xk FC Prishtina,,Elbasan Arena (Neutral Site),Joni Hyytiä,Match Report,
,,,,,,,,,,,,,
Preliminary round — Final,Fri,2021-06-25,20:00,FC Prishtina xk,,2–0,,ad Inter d'Escaldes,,Elbasan Arena (Neutral Site),Adam Ladebäck,Match Report,
,,,,,,,,,,,,,
First qualifying round,Tue,2021-07-06,18:00,Ferencváros hu,,3–0,,xk FC Prishtina,8765,Groupama Arena,David Munro,Match Report,Leg 1 of 2
First qualifying round,Tue,2021-07-06,19:00 (18:00),Flora ee,,2–0,,mt Hibernians,1804,A. Le Coq Arena,Lazar Lukić,Match Report,Leg 1 of 2
First qualifying round,Tue,2021-07-06,19:00 (18:00),HJK fi,,3–1,,me Budućnost,2365,Helsingin olympiastadion,Nicolas Laforge,Match Report,Leg 1 of 2
First qualifying round,Tue,2021-07-06,19:30,Fola Esch lu,,2–2,,gi Red Imps,385,Stade Émile Mayrisch,Michal Očenáš,Match Report,Leg 1 of 2
First qualifying round,Tue,2021-07-06,20:00,Shkëndija 79 mk,,0–1,,si NŠ Mura,3200,Nationala Arena Toše Proeski,António Nobre,Match Report,Leg 1 of 2
First qualifying round,Tue,2021-07-06,20:00 (19:00),CFR Cluj ro,,3–1,,ba Borac Banja Luka,4500,Stadionul Dr. Constantin Rădulescu,Jochem Kamphuis,Match Report,Leg 1 of 2
First qualifying round,Tue,2021-07-06,20:00 (19:00),Žalgiris lt,,3–1,,nir Linfield,1500,Vilniaus LFF stadionas,Alex Troleis,Match Report,Leg 1 of 2
First qualifying round,Wed,2021-07-07,18:00,Bodø/Glimt no,,2–3,,pl Legia Warsaw,2283,Aspmyra Stadion,Juxhin Xhaja,Match Report,Leg 1 of 2
First qualifying round,Wed,2021-07-07,18:30,Slovan Bratislava sk,,2–0,,ie Shamrock Rov,500,Štadión Tehelné pole,Sebastian Gishamer,Match Report,Leg 1 of 2
First qualifying round,Wed,2021-07-07,19:00,Dinamo Zagreb hr,,3–2,,is Valur,987,Stadion Maksimir,Genc Nuza,Match Report,Leg 1 of 2
First qualifying round,Wed,2021-07-07,19:00,Teuta Durrës al,,0–4,,md Sheriff Tiraspol,500,Stadiumi Niko Dovana,Amin Kurgkheli,Match Report,Leg 1 of 2
First qualifying round,Wed,2021-07-07,19:00 (20:00),Connah's Quay wls,,2–2,,am Alashkert,145,Park Avenue Ground,Vasilis Dimitriou,Match Report,Leg 1 of 2
First qualifying round,Wed,2021-07-07,19:00,Malmö se,,1–0,,lv Rīga FC,4012,Eleda Stadion,Oskari Hämäläinen,Match Report,Leg 1 of 2
First qualifying round,Wed,2021-07-07,20:00 (19:00),Ludogorets bg,,1–0,,by Shakhtyor,4762,Huvepharma Arena,Rohit Saggi,Match Report,Leg 1 of 2
First qualifying round,Wed,2021-07-07,20:00 (19:00),Maccabi Haifa il,,1–1,,kz Qaırat Almaty,25200,Sammy Ofer Stadium,Milovan Milačić,Match Report,Leg 1 of 2
First qualifying round,Wed,2021-07-07,20:00 (18:00),Dinamo Tbilisi ge,,1–2,,az Neftçi,5890,Boris Paichadzis Dinamo Arena,David Fuxman,Match Report,Leg 1 of 2
First qualifying round,Tue,2021-07-13,18:00,Red Imps gi,,5–0,,lu Fola Esch,621,Victoria Stadium,Ian McNabb,Match Report,Leg 2 of 2; Red Imps won
First qualifying round,Tue,2021-07-13,18:00,Hibernians mt,,0–3,,ee Flora,155,MFA Centenary Stadium,Manfredas Lukjančukas,Match Report,Leg 2 of 2; Flora won
First qualifying round,Tue,2021-07-13,19:00 (18:00),Rīga FC lv,,1–1,,se Malmö,637,Stadions Skonto,Gergő Bogár,Match Report,Leg 2 of 2; Malmö won
First qualifying round,Tue,2021-07-13,19:45 (20:45),Linfield nir,,1–2,,lt Žalgiris,888,Windsor Park,Matthew De Gabriele,Match Report,Leg 2 of 2; Žalgiris won
First qualifying round,Tue,2021-07-13,20:00 (22:00),Valur is,,0–2,,hr Dinamo Zagreb,800,Origo Völlurinn,Zaven Hovhannisyan,Match Report,Leg 2 of 2; Dinamo Zagreb won
First qualifying round,Tue,2021-07-13,20:00,NŠ Mura si,,5–0,,mk Shkëndija 79,3100,Mestni Štadion Fazanerija,Marcel Bîrsan,Match Report,Leg 2 of 2; NŠ Mura won
