Round,Day,Date,Time,Home,xG,Score,xG1,Away,Attendance,Venue,Referee,Match_Report,Notes
Preliminary round — Semi-finals,Tue,2022-06-21,13:00 (15:00),La Fiorita sm,,1–2,,ad Inter d'Escaldes,39,Víkingsvöllur (Neutral Site),Rohit Saggi,Match Report,
Preliminary round — Semi-finals,Tue,2022-06-21,19:30 (21:30),Levadia Tallinn ee,,1–6,,is KV,725,Víkingsvöllur (Neutral Site),Tomasz Musiał,Match Report,
,,,,,,,,,,,,,
Preliminary round — Final,Fri,2022-06-24,19:30 (21:30),Inter d'Escaldes ad,,0–1,,is KV,925,Víkingsvöllur (Neutral Site),Urs Schnyder,Match Report,
,,,,,,,,,,,,,
First qualifying round,Tue,2022-07-05,19:00 (20:00),The New Saints wls,,1–0,,nir Linfield,1034,Park Hall Stadium,Andrei Chivulete,Match Report,Leg 1 of 2
First qualifying round,Tue,2022-07-05,19:00,Malmö se,,3–2,,is KV,11830,Eleda Stadion,Dumitru Muntean,Match Report,Leg 1 of 2
First qualifying round,Tue,2022-07-05,19:30 (20:30),Shamrock Rov ie,,3–0,,mt Hibernians,7019,Tallaght Stadium,Morten Krogh,Match Report,Leg 1 of 2
First qualifying round,Tue,2022-07-05,20:00,Lech Poznań pl,,1–0,,az Qarabağ,25118,Stadion Miejski,José Luis Munuera,Match Report,Leg 1 of 2
First qualifying round,Tue,2022-07-05,20:00 (18:00),Pyunik am,,0–0,,ro CFR Cluj,8000,Vazgen Sargsyan anvan Hanrapetakan Marza...,Bastian Dankert,Match Report,Leg 1 of 2
First qualifying round,Tue,2022-07-05,20:00,KF Ballkani Therandë xk,,1–1,,lt Žalgiris,4000,Stadiumi Suva Reka,Robert Harvey,Match Report,Leg 1 of 2
First qualifying round,Tue,2022-07-05,20:45,Shkupi Skopje mk,,3–0,,gi Red Imps,2500,Stadion Čair,Sebastian Gishamer,Match Report,Leg 1 of 2
First qualifying round,Tue,2022-07-05,20:45 (19:45),Ludogorets bg,,2–0,,me Sutjeska Nikšić,3963,Huvepharma Arena,Vítor Ferreira,Match Report,Leg 1 of 2
First qualifying round,Wed,2022-07-06,18:00,Bodø/Glimt no,,3–0,,fo KÍ,4227,Aspmyra Stadion,Mohammed Al Hakim,Match Report,Leg 1 of 2
First qualifying round,Wed,2022-07-06,19:00 (18:00),HJK fi,,1–0,,lv FK Rīgas FS,3874,Bolt Arena,Juxhin Xhaja,Match Report,Leg 1 of 2
First qualifying round,Wed,2022-07-06,19:00 (16:00),Tobol Qostanaı kz,,0–0,,hu Ferencváros,8420,Tobol Arena,Dario Bel,Match Report,Leg 1 of 2
First qualifying round,Wed,2022-07-06,19:30,F91 Dudelange lu,,1–0,,al KF Tirana,1555,Stade Jos Nosbaum,Rohit Saggi,Match Report,Leg 1 of 2
First qualifying round,Wed,2022-07-06,20:00,Zrinjski Mostar ba,,0–0,,md Sheriff Tiraspol,5400,Stadion Bijeli Brijeg,Fabio Maresca,Match Report,Leg 1 of 2
First qualifying round,Wed,2022-07-06,20:15,Maribor si,,0–0,,by Shakhtyor,6450,Ljudski vrt,Anastasios Papapetrou,Match Report,Leg 1 of 2
First qualifying round,Wed,2022-07-06,20:30,Slovan Bratislava sk,,0–0,,ge Dinamo Batumi,10589,Štadión Tehelné pole,David Coote,Match Report,Leg 1 of 2
First qualifying round,Tue,2022-07-12,18:00,Red Imps gi,,2–0,,mk Shkupi Skopje,896,Victoria Stadium,Filip Glova,Match Report,Leg 2 of 2; Shkupi Skopje won
First qualifying round,Tue,2022-07-12,18:30 (17:30),FK Rīgas FS lv,,(4) 2–1 (5),,fi HJK,1631,LNK Sporta Parks,David Fuxman,Match Report,Leg 2 of 2; HJK won; HJK won on penalty kicks following extra time
First qualifying round,Tue,2022-07-12,19:00 (18:00),Žalgiris lt,,1–0,,xk KF Ballkani Therandë,3542,Lokomotyvas stadionas,Kristoffer Hagenes,Match Report,Leg 2 of 2; Žalgiris won; Required Extra Time
First qualifying round,Tue,2022-07-12,19:30 (21:30),KV is,,3–3,,se Malmö,1080,Víkingsvöllur,John Beaton,Match Report,Leg 2 of 2; Malmö won
First qualifying round,Tue,2022-07-12,20:00,Hibernians mt,,0–0,,ie Shamrock Rov,979,Tony Bezzina Stadium,Manfredas Lukjančukas,Match Report,Leg 2 of 2; Shamrock Rov won
First qualifying round,Tue,2022-07-12,20:00 (19:00),Sheriff Tiraspol md,,1–0,,ba Zrinjski Mostar,4242,Bolshaya Sportivnaya Arena,Radu Petrescu,Match Report,Leg 2 of 2; Sheriff Tiraspol won
First qualifying round,Tue,2022-07-12,20:00 (18:00),Qarabağ az,,5–1,,pl Lech Poznań,27652,Azərsun Arena,Andy Madley,Match Report,Leg 2 of 2; Qarabağ won
First qualifying round,Tue,2022-07-12,20:00,KF Tirana al,,1–2,,lu F91 Dudelange,6000,Stadiumi Selman Stërmasi,César Soto,Match Report,Leg 2 of 2; F91 Dudelange won
First qualifying round,Tue,2022-07-12,21:00,Sutjeska Nikšić me,,0–1,,bg Ludogorets,1000,Stadion Kraj Bistrice,Gergő Bogár,Match Report,Leg 2 of 2; Ludogorets won
First qualifying round,Wed,2022-07-13,18:00 (19:00),KÍ fo,,3–1,,no Bodø/Glimt,883,Við Djúpumýrar,Horațiu Fesnic,Match Report,Leg 2 of 2; Bodø/Glimt won
Round,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
First qualifying round,Wed,2022-07-13,19:45 (20:45),Linfield nir,,2–0,,wls The New Saints,2971,Windsor Park,Duje Strukan,Match Report,Leg 2 of 2; Linfield won; Required Extra Time
First qualifying round,Wed,2022-07-13,20:00,Ferencváros hu,,5–1,,kz Tobol Qostanaı,17347,Groupama Arena,Krzysztof Jakubik,Match Report,Leg 2 of 2; Ferencváros won
First qualifying round,Wed,2022-07-13,20:00 (19:00),Shakhtyor by,,0–2,,si Maribor,,Sakarya Yeni Stadyumu,Enea Jorgji,Match Report,Leg 2 of 2; Maribor won
First qualifying round,Wed,2022-07-13,21:00 (19:00),Dinamo Batumi ge,,1–2,,sk Slovan Bratislava,20022,Adjarabet Arena,António Nobre,Match Report,Leg 2 of 2; Slovan Bratislava won; Required Extra Time
First qualifying round,Wed,2022-07-13,21:30 (20:30),CFR Cluj ro,,(3) 2–2 (4),,am Pyunik,7017,Stadionul Dr. Constantin Rădulescu,Michael Fabbri,Match Report,Leg 2 of 2; Pyunik won; Pyunik won on penalty kicks following extra time
,,,,,,,,,,,,,
Second qualifying round,Tue,2022-07-19,19:00 (18:00),Žalgiris lt,,1–0,,se Malmö,4918,Vilniaus LFF stadionas,Georgi Kabakov,Match Report,Leg 1 of 2
Second qualifying round,Tue,2022-07-19,19:45,Midtjylland dk,,1–1,,cy AÉK Lárnaka,7008,Hessel Arena Kunstgræs 1,Novak Simović,Match Report,Leg 1 of 2
Second qualifying round,Tue,2022-07-19,19:45 (20:45),Linfield nir,,1–0,,no Bodø/Glimt,3168,Windsor Park,Andris Treimanis,Match Report,Leg 1 of 2
Second qualifying round,Tue,2022-07-19,20:00 (18:00),Pyunik am,,0–1,,lu F91 Dudelange,9000,Vazgen Sargsyan anvan Hanrapetakan Marza...,Craig Pawson,Match Report,Leg 1 of 2
Second qualifying round,Tue,2022-07-19,20:00 (18:00),Qarabağ az,,3–2,,ch Zürich,30782,Bakı Olimpiya Stadionu,Irfan Peljto,Match Report,Leg 1 of 2
Second qualifying round,Tue,2022-07-19,20:45 (19:45),Ludogorets bg,,3–0,,ie Shamrock Rov,4983,Huvepharma Arena,João Pinheiro,Match Report,Leg 1 of 2
Second qualifying round,Tue,2022-07-19,21:00,Dinamo Zagreb hr,,2–2,,mk Shkupi Skopje,7912,Stadion Maksimir,Radu Petrescu,Match Report,Leg 1 of 2
Second qualifying round,Wed,2022-07-20,19:00 (18:00),HJK fi,,1–2,,cz Viktoria Plzeň,5236,Helsingin olympiastadion,Nikola Dabanović,Match Report,Leg 1 of 2
Second qualifying round,Wed,2022-07-20,20:00 (19:00),Maccabi Haifa il,,1–1,,gr Olympiacos,29654,Sammy Ofer Stadium,Sascha Stegemann,Match Report,Leg 1 of 2
Second qualifying round,Wed,2022-07-20,20:00,Ferencváros hu,,1–2,,sk Slovan Bratislava,20459,Szusza Ferenc Stadion,Ricardo de Burgos,Match Report,Leg 1 of 2
Second qualifying round,Wed,2022-07-20,20:15,Maribor si,,0–0,,md Sheriff Tiraspol,7150,Ljudski vrt,Harald Lechner,Match Report,Leg 1 of 2
Second qualifying round,Wed,2022-07-20,21:00 (20:00),Dynamo Kyiv ua,,0–0,,tr Fenerbahçe,11603,Stadion Miejski Widzewa Łódź,Glenn Nyberg,Match Report,Leg 1 of 2
Second qualifying round,Tue,2022-07-26,18:30 (17:30),AÉK Lárnaka cy,,(3) 1–1 (4),,dk Midtjylland,6163,AEK Arena - George Karapatakis,István Vad,Match Report,Leg 2 of 2; Midtjylland won; Midtjylland won on penalty kicks following extra time
Second qualifying round,Tue,2022-07-26,19:00,Viktoria Plzeň cz,,5–0,,fi HJK,10810,Doosan Arena,Aleksandar Stavrev,Match Report,Leg 2 of 2; Viktoria Plzeň won
Second qualifying round,Tue,2022-07-26,19:30,F91 Dudelange lu,,1–4,,am Pyunik,1495,Stade Jos Nosbaum,José Luis Munuera,Match Report,Leg 2 of 2; Pyunik won
Second qualifying round,Tue,2022-07-26,20:00 (21:00),Shamrock Rov ie,,2–1,,bg Ludogorets,6322,Tallaght Stadium,Fabio Maresca,Match Report,Leg 2 of 2; Ludogorets won
Second qualifying round,Tue,2022-07-26,20:00 (19:00),Sheriff Tiraspol md,,1–0,,si Maribor,6738,Stadionul Zimbru,Tamás Bognár,Match Report,Leg 2 of 2; Sheriff Tiraspol won
Second qualifying round,Tue,2022-07-26,21:00,Shkupi Skopje mk,,0–1,,hr Dinamo Zagreb,12500,Nationala Arena Toše Proeski,Jakob Kehlet,Match Report,Leg 2 of 2; Dinamo Zagreb won
Second qualifying round,Wed,2022-07-27,18:00,Bodø/Glimt no,,8–0,,nir Linfield,5110,Aspmyra Stadion,Roi Reinshreiber,Match Report,Leg 2 of 2; Bodø/Glimt won
Second qualifying round,Wed,2022-07-27,19:00,Zürich ch,,2–2,,az Qarabağ,10237,Stadion Letzigrund,Allard Lindhout,Match Report,Leg 2 of 2; Qarabağ won; Required Extra Time
Second qualifying round,Wed,2022-07-27,19:00,Malmö se,,0–2,,lt Žalgiris,17234,Malmö Stadion,Kristo Tohver,Match Report,Leg 2 of 2; Žalgiris won
Second qualifying round,Wed,2022-07-27,20:00 (19:00),Fenerbahçe tr,,1–2,,ua Dynamo Kyiv,40000,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Massimiliano Irrati,Match Report,Leg 2 of 2; Dynamo Kyiv won; Required Extra Time
Second qualifying round,Wed,2022-07-27,20:30,Slovan Bratislava sk,,1–4,,hu Ferencváros,21500,Štadión Tehelné pole,Marco Di Bello,Match Report,Leg 2 of 2; Ferencváros won
Second qualifying round,Wed,2022-07-27,22:00 (21:00),Olympiacos gr,,0–4,,il Maccabi Haifa,21705,Stadio Georgios Karaiskáki,Daniel Stefański,Match Report,Leg 2 of 2; Maccabi Haifa won
,,,,,,,,,,,,,
Third qualifying round,Tue,2022-08-02,20:00 (21:00),Benfica pt,,4–1,,dk Midtjylland,53346,Estádio do Sport Lisboa e Benfica,Alejandro Hernández,Match Report,Leg 1 of 2
Third qualifying round,Tue,2022-08-02,20:00 (19:00),Sheriff Tiraspol md,,1–2,,cz Viktoria Plzeň,8153,Stadionul Zimbru,Danny Makkelie,Match Report,Leg 1 of 2
Third qualifying round,Tue,2022-08-02,20:00,Monaco fr,,1–1,,nl PSV Eindhoven,10802,Stade Louis II,Davide Massa,Match Report,Leg 1 of 2
Third qualifying round,Tue,2022-08-02,20:45 (19:45),Ludogorets bg,,1–2,,hr Dinamo Zagreb,7505,Huvepharma Arena,Cüneyt Çakιr,Match Report,Leg 1 of 2
Third qualifying round,Tue,2022-08-02,20:45,Union SG be,,2–0,,sct Rangers,1100,King Power at Den Dreef Stadion,Irfan Peljto,Match Report,Leg 1 of 2
Third qualifying round,Wed,2022-08-03,18:00,Bodø/Glimt no,,5–0,,lt Žalgiris,6117,Aspmyra Stadion,István Vad,Match Report,Leg 1 of 2
Third qualifying round,Wed,2022-08-03,20:00 (19:00),Maccabi Haifa il,,4–0,,cy Apollon,30000,Sammy Ofer Stadium,Maurizio Mariani,Match Report,Leg 1 of 2
Third qualifying round,Wed,2022-08-03,20:00 (18:00),Qarabağ az,,1–1,,hu Ferencváros,31200,Tofiq Bəhramov adına Respublika stadionu,Andreas Ekberg,Match Report,Leg 1 of 2
Third qualifying round,Wed,2022-08-03,20:45,Red Star rs,,5–0,,am Pyunik,40456,Stadion Rajko Mitić,Artur Dias,Match Report,Leg 1 of 2
Third qualifying round,Wed,2022-08-03,21:00 (20:00),Dynamo Kyiv ua,,1–0,,at Sturm Graz,6092,Stadion Miejski im. Władysława Króla,François Letexier,Match Report,Leg 1 of 2
Third qualifying round,Tue,2022-08-09,19:00,Viktoria Plzeň cz,,2–1,,md Sheriff Tiraspol,10770,Doosan Arena,Orel Grinfeeld,Match Report,Leg 2 of 2; Viktoria Plzeň won
Third qualifying round,Tue,2022-08-09,19:00 (18:00),Žalgiris lt,,1–1,,no Bodø/Glimt,4629,Vilniaus LFF stadionas,Sandro Schärer,Match Report,Leg 2 of 2; Bodø/Glimt won
Third qualifying round,Tue,2022-08-09,19:45,Midtjylland dk,,1–3,,pt Benfica,5111,Cepheus Park Randers,Srđan Jovanović,Match Report,Leg 2 of 2; Benfica won
Third qualifying round,Tue,2022-08-09,19:45 (20:45),Rangers sct,,3–0,,be Union SG,48454,Ibrox Stadium,Anastasios Sidiropoulos,Match Report,Leg 2 of 2; Rangers won
Third qualifying round,Tue,2022-08-09,20:00,Ferencváros hu,,1–3,,az Qarabağ,18875,Szusza Ferenc Stadion,Carlos del Cerro,Match Report,Leg 2 of 2; Qarabağ won
Third qualifying round,Tue,2022-08-09,20:00 (19:00),Apollon cy,,2–0,,il Maccabi Haifa,3936,Neo GSP,Felix Zwayer,Match Report,Leg 2 of 2; Maccabi Haifa won
Third qualifying round,Tue,2022-08-09,20:00,Dinamo Zagreb hr,,4–2,,bg Ludogorets,13658,Stadion Maksimir,Benoît Bastien,Match Report,Leg 2 of 2; Dinamo Zagreb won
Third qualifying round,Tue,2022-08-09,20:30,PSV Eindhoven nl,,3–2,,fr Monaco,35000,Philips Stadion,Jesús Gil,Match Report,Leg 2 of 2; PSV Eindhoven won; Required Extra Time
Third qualifying round,Tue,2022-08-09,20:30,Sturm Graz at,,1–2,,ua Dynamo Kyiv,14007,Merkur Arena,Ivan Kružliak,Match Report,Leg 2 of 2; Dynamo Kyiv won; Required Extra Time
Third qualifying round,Tue,2022-08-09,21:00 (19:00),Pyunik am,,0–2,,rs Red Star,6000,Vazgen Sargsyan anvan Hanrapetakan Marza...,William Collum,Match Report,Leg 2 of 2; Red Star won
,,,,,,,,,,,,,
Play-off round,Tue,2022-08-16,20:00 (21:00),Rangers sct,,2–2,,nl PSV Eindhoven,49097,Ibrox Stadium,Daniele Orsato,Match Report,Leg 1 of 2
Play-off round,Tue,2022-08-16,21:00,Bodø/Glimt no,,1–0,,hr Dinamo Zagreb,7762,Aspmyra Stadion,Danny Makkelie,Match Report,Leg 1 of 2
Play-off round,Tue,2022-08-16,21:00,FC Copenhagen dk,,2–1,,tr Trabzonspor,27520,Parken,Michael Oliver,Match Report,Leg 1 of 2
