Wk,Day,Date,Time,Home,xG,Score,xG1,Away,Attendance,Venue,Referee,Match_Report,Notes
1,Fri,2017-08-04,20:45,Monaco,2.0,3–2,0.3,Toulouse,13572,Stade Louis II,Clément Turpin,Match Report,
1,Sat,2017-08-05,17:15,Paris S-G,2.6,2–0,0.3,Amiens,46898,Parc des Princes,Mikael Lesage,Match Report,
1,Sat,2017-08-05,20:00,Montpellier,1.4,1–0,0.4,Caen,14725,Stade de la Mosson,Thomas Léonard,Match Report,
1,Sat,2017-08-05,20:00,Troyes,1.9,1–1,2.2,Rennes,9968,Stade de l'Aube,Karim Abed,Match Report,
1,Sat,2017-08-05,20:00,Saint-Étienne,0.9,1–0,0.5,Nice,25879,Stade Geoffroy-Guichard,François Letexier,Match Report,
1,Sat,2017-08-05,20:00,Lyon,1.8,4–0,0.5,Strasbourg,1979,Groupama Stadium,Ruddy Buquet,Match Report,
1,Sat,2017-08-05,20:00,Metz,0.6,1–3,1.9,Guingamp,14595,Stade Saint-Symphorien,Jérôme Miguelgorry,Match Report,
1,Sun,2017-08-06,15:00,Lille,1.9,3–0,1.3,Nantes,30683,Stade Pierre-Mauroy,Benoît Millot,Match Report,
1,Sun,2017-08-06,17:00,Angers,1.2,2–2,1.7,Bordeaux,11767,Stade Raymond Kopa,Sébastien Desiage,Match Report,
1,Sun,2017-08-06,21:00,Marseille,2.1,3–0,0.6,Dijon,50904,Orange Vélodrome,Benoît Bastien,Match Report,
,,,,,,,,,,,,,
2,Fri,2017-08-11,19:00,Nice,2.3,1–2,0.5,Troyes,24260,Stade de Nice,Olivier Thual,Match Report,
2,Fri,2017-08-11,20:45,Rennes,1.0,1–2,1.4,Lyon,24944,Roazhon Park,Nicolas Rainville,Match Report,
2,Sat,2017-08-12,17:00,Nantes,1.3,0–1,1.6,Marseille,33654,Stade de la Beaujoire - Louis Fonteneau,Ruddy Buquet,Match Report,
2,Sat,2017-08-12,20:00,Caen,0.9,0–1,1.1,Saint-Étienne,17606,Stade Michel d'Ornano,Stéphane Jochem,Match Report,
2,Sat,2017-08-12,20:00,Bordeaux,2.0,2–0,0.3,Metz,22095,Stade Matmut-Atlantique,Mikael Lesage,Match Report,
2,Sat,2017-08-12,20:00,Amiens,0.9,0–2,1.4,Angers,7772,Stade de la Licorne,Hakim Ben El Hadj Salem,Match Report,
2,Sat,2017-08-12,20:00,Toulouse,1.5,1–0,0.7,Montpellier,11876,Stadium Municipal,Ruddy Buquet,Match Report,
2,Sun,2017-08-13,15:00,Strasbourg,3.1,3–0,0.9,Lille,25591,Stade de la Meinau,Johan Hamel,Match Report,
2,Sun,2017-08-13,17:00,Dijon,1.1,1–4,1.6,Monaco,14295,Stade Gaston Gérard,Tony Chapron,Match Report,
2,Sun,2017-08-13,21:00,Guingamp,0.1,0–3,2.0,Paris S-G,18378,Stade du Roudourou,Antony Gautier,Match Report,
,,,,,,,,,,,,,
