Wk,Day,Date,Time,Home,xG,Score,xG1,Away,Attendance,Venue,Referee,Match_Report,Notes
1.0,Sat,2022-08-13,18:30,Milan,2.3,4–2,0.5,Udinese,70197.0,Stadio Giuseppe Meazza,Livio Marinelli,Match Report,
1.0,Sat,2022-08-13,18:30,Sampdoria,1.0,0–2,2.2,Atalanta,20047.0,Stadio Comunale Luigi Ferraris,Federico Dionisi,Match Report,
1.0,Sat,2022-08-13,20:45,Monza,1.4,1–2,2.1,Torino,10739.0,U-Power Stadium,Maurizio Mariani,Match Report,
1.0,Sat,2022-08-13,20:45,Lecce,0.7,1–2,2.1,Inter,25353.0,Stadio Comunale Via Del Mare,Alessandro Prontera,Match Report,
1.0,Sun,2022-08-14,18:30,Lazio,0.7,2–1,1.5,Bologna,45000.0,Stadio Olimpico,Luca Massimi,Match Report,
1.0,Sun,2022-08-14,18:30,Fiorentina,2.0,3–2,1.3,Cremonese,34461.0,Stadio Artemio Franchi,Juan Sacchi,Match Report,
1.0,Sun,2022-08-14,20:45,Spezia,0.5,1–0,0.7,Empoli,8360.0,Stadio Alberto Picco,Daniele Chiffi,Match Report,
1.0,Sun,2022-08-14,20:45,Salernitana,0.6,0–1,2.4,Roma,26006.0,Stadio Arechi,Simone Sozza,Match Report,
1.0,Mon,2022-08-15,18:30,Hellas Verona,1.1,2–5,2.4,Napoli,16967.0,Stadio Marc'Antonio Bentegodi,Michael Fabbri,Match Report,
1.0,Mon,2022-08-15,20:45,Juventus,2.0,3–0,0.9,Sassuolo,38725.0,Allianz Stadium,Antonio Rapuano,Match Report,
,,,,,,,,,,,,,
2.0,Sat,2022-08-20,18:30,Udinese,1.1,0–0,1.5,Salernitana,17054.0,Dacia Arena,Gianluca Aureliano,Match Report,
2.0,Sat,2022-08-20,18:30,Torino,0.7,0–0,0.8,Lazio,16530.0,Stadio Olimpico di Torino,Marco Piccinini,Match Report,
2.0,Sat,2022-08-20,20:45,Sassuolo,0.6,1–0,0.5,Lecce,9219.0,Mapei Stadium - Città del Tricolore,Andrea Colombo,Match Report,
2.0,Sat,2022-08-20,20:45,Inter,2.1,3–0,0.5,Spezia,71212.0,Stadio Giuseppe Meazza,Davide Ghersini,Match Report,
2.0,Sun,2022-08-21,18:30,Empoli,0.4,0–0,0.7,Fiorentina,10411.0,Stadio Carlo Castellani,Matteo Marchetti,Match Report,
2.0,Sun,2022-08-21,18:30,Napoli,2.0,4–0,0.1,Monza,36559.0,Stadio Diego Armando Maradona,Francesco Fourneau,Match Report,
2.0,Sun,2022-08-21,20:45,Atalanta,0.5,1–1,1.3,Milan,19216.0,Gewiss Stadium,Fabio Maresca,Match Report,
2.0,Sun,2022-08-21,20:45,Bologna,0.8,1–1,1.9,Hellas Verona,17725.0,Stadio Renato Dall'Ara,Matteo Marcenaro,Match Report,
2.0,Mon,2022-08-22,18:30,Roma,2.7,1–0,0.7,Cremonese,60859.0,Stadio Olimpico,Luca Massimi,Match Report,
2.0,Mon,2022-08-22,20:45,Sampdoria,0.9,0–0,0.8,Juventus,27573.0,Stadio Comunale Luigi Ferraris,Rosario Abisso,Match Report,
,,,,,,,,,,,,,
3.0,Fri,2022-08-26,18:30,Monza,1.5,1–2,1.7,Udinese,9955.0,U-Power Stadium,Marco Di Bello,Match Report,
3.0,Fri,2022-08-26,20:45,Lazio,1.1,3–1,1.5,Inter,52500.0,Stadio Olimpico,Michael Fabbri,Match Report,
3.0,Sat,2022-08-27,18:30,Cremonese,0.8,1–2,1.7,Torino,11572.0,Stadio Giovanni Zini,Paolo Valeri,Match Report,
3.0,Sat,2022-08-27,18:30,Juventus,0.6,1–1,1.3,Roma,41003.0,Allianz Stadium,Massimiliano Irrati,Match Report,
