Rk,Squad,Comp,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90
1,Almería,es La Liga,27,26.1,38,3420,90,100,38.0,418,,,111,0,153,0.84,35,64,-29,-0.76
2,Arsenal,eng Premier League,29,26.1,38,3420,90,100,38.0,418,,,103,0,163,1.97,71,36,35,0.92
3,Aston Villa,eng Premier League,27,26.3,38,3420,90,100,38.0,418,,,101,0,165,1.0,31,57,-26,-0.68
4,Atalanta,it Serie A,32,28.1,38,3420,90,100,38.0,418,,,114,0,336,0.97,38,57,-19,-0.5
5,Athletic Club,es La Liga,26,26.8,38,3420,90,100,38.0,418,,,112,0,156,1.45,42,41,1,0.03
6,Atlético Madrid,es La Liga,25,27.5,38,3420,90,100,38.0,418,,,107,0,159,2.05,67,29,38,1.0
7,Augsburg,de Bundesliga,25,27.6,34,3060,90,100,34.0,374,,,100,0,137,1.44,43,43,0,0.0
8,Barcelona,es La Liga,24,27.7,38,3420,90,100,38.0,418,,,107,0,159,2.47,110,21,89,2.34
9,Bastia,fr Ligue 1,31,27.2,38,3420,90,100,38.0,418,,,95,0,169,1.24,37,46,-9,-0.24
10,Bayern Munich,de Bundesliga,28,26.6,34,3060,90,100,34.0,374,,,98,0,135,2.32,80,18,62,1.82
11,Bordeaux,fr Ligue 1,30,26.2,38,3420,90,100,38.0,418,,,110,0,154,1.66,47,44,3,0.08
12,Burnley,eng Premier League,24,27.2,38,3420,90,100,38.0,418,,,88,0,176,0.87,28,53,-25,-0.66
13,Caen,fr Ligue 1,23,27.2,38,3420,90,100,38.0,418,,,104,0,160,1.21,54,55,-1,-0.03
14,Cagliari,it Serie A,29,25.7,38,3420,90,100,38.0,418,,,109,0,298,0.89,48,68,-20,-0.53
15,Celta Vigo,es La Liga,23,26.3,38,3420,90,100,38.0,418,,,110,0,158,1.34,47,44,3,0.08
16,Cesena,it Serie A,33,27.3,38,3420,90,100,38.0,418,,,114,0,317,0.63,36,73,-37,-0.97
17,Chelsea,eng Premier League,25,27.0,38,3420,90,100,38.0,418,,,113,0,153,2.29,73,32,41,1.08
18,Chievo,it Serie A,27,29.1,38,3420,90,100,38.0,418,,,112,0,317,1.13,28,41,-13,-0.34
19,Córdoba,es La Liga,33,25.7,38,3420,90,100,38.0,418,,,105,0,157,0.53,22,68,-46,-1.21
20,Crystal Palace,eng Premier League,30,27.8,38,3420,90,100,38.0,418,,,104,0,162,1.26,47,51,-4,-0.11
21,Dortmund,de Bundesliga,28,26.5,34,3060,90,100,34.0,374,,,97,0,140,1.35,47,42,5,0.15
22,Eibar,es La Liga,23,27.6,38,3420,90,100,38.0,418,,,114,0,153,0.92,34,55,-21,-0.55
23,Eint Frankfurt,de Bundesliga,26,25.9,34,3060,90,100,34.0,374,,,88,0,150,1.26,56,62,-6,-0.18
24,Elche,es La Liga,24,26.3,38,3420,90,100,38.0,418,,,112,0,153,1.08,35,62,-27,-0.71
25,Empoli,it Serie A,26,25.1,38,3420,90,100,38.0,418,,,114,0,317,1.11,46,52,-6,-0.16
26,Espanyol,es La Liga,27,26.9,38,3420,90,100,38.0,418,,,106,0,156,1.29,47,51,-4,-0.11
27,Everton,eng Premier League,28,27.9,38,3420,90,100,38.0,418,,,95,0,171,1.24,48,50,-2,-0.05
28,Evian,fr Ligue 1,29,26.8,38,3420,90,100,38.0,418,,,113,0,151,0.97,41,62,-21,-0.55
29,Fiorentina,it Serie A,30,27.9,38,3420,90,100,38.0,418,,,114,0,326,1.68,61,46,15,0.39
30,Freiburg,de Bundesliga,27,25.1,34,3060,90,100,34.0,374,,,100,0,138,1.0,36,47,-11,-0.32
31,Genoa,it Serie A,33,26.0,38,3420,90,100,38.0,418,,,114,0,281,1.55,62,47,15,0.39
32,Getafe,es La Liga,27,26.9,38,3420,90,100,38.0,418,,,113,0,154,0.97,33,64,-31,-0.82
33,Gladbach,de Bundesliga,19,25.7,34,3060,90,100,34.0,374,,,98,0,140,1.94,53,26,27,0.79
34,Granada,es La Liga,34,26.6,38,3420,90,100,38.0,418,,,111,0,152,0.92,29,64,-35,-0.92
35,Guingamp,fr Ligue 1,28,28.3,38,3420,90,100,38.0,418,,,107,0,157,1.29,41,55,-14,-0.37
36,Hamburger SV,de Bundesliga,31,27.3,34,3060,90,100,34.0,374,,,95,0,143,1.03,25,50,-25,-0.74
37,Hannover 96,de Bundesliga,25,26.0,34,3060,90,100,34.0,374,,,95,0,143,1.09,40,56,-16,-0.47
38,Hellas Verona,it Serie A,30,29.7,38,3420,90,100,38.0,418,,,113,0,330,1.21,49,65,-16,-0.42
39,Hertha BSC,de Bundesliga,26,26.2,34,3060,90,100,34.0,374,,,95,0,141,1.03,36,52,-16,-0.47
