Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
1,Christian Abbiati,it ITA,GK,Milan,it Serie A,38,1977,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Antonio Adán,es ESP,GK,Betis,es La Liga,28,1987,35.7,50,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,René Adler,de GER,GK,Hamburger SV,de Bundesliga,30,1985,23.0,33,,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Adrián,es ESP,GK,West Ham,eng Premier League,28,1987,32.0,39,,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Kossi Agassa,tg TOG,GK,Reims,fr Ligue 1,37,1978,10.0,13,,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Ali Ahamada,km COM,GK,Toulouse,fr Ligue 1,23,1991,6.0,15,,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Fabrizio Alastra,it ITA,GK,Palermo,it Serie A,17,1997,1.6,6,,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Ryan Allsop,eng ENG,GK,Bournemouth,eng Premier League,23,1992,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,28,1986,30.3,47,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Diego Alves,br BRA,GK,Valencia,es La Liga,30,1985,13.0,21,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Ionuț Andrei Radu,ro ROU,GK,Inter,it Serie A,,,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Alphonse Areola,fr FRA,GK,Villarreal,es La Liga,22,1993,32.0,26,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Giedrius Arlauskis,lt LTU,GK,Watford,eng Premier League,27,1987,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Giedrius Arlauskis,lt LTU,GK,Espanyol,es La Liga,27,1987,2.5,12,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,26,1989,4.0,5,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Mariano Barbosa,ar ARG,GK,Villarreal,es La Liga,31,1984,2.0,4,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Francesco Bardi,it ITA,GK,Frosinone,it Serie A,23,1992,1.3,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Davide Bassi,it ITA,GK,Atalanta,it Serie A,30,1985,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,25,1990,33.0,50,,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Asmir Begović,ba BIH,GK,Chelsea,eng Premier League,28,1987,15.5,24,,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Vid Belec,si SVN,GK,Carpi,it Serie A,25,1990,30.0,41,,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Diego Benaglio,ch SUI,GK,Wolfsburg,de Bundesliga,31,1983,21.0,39,,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Francesco Benussi,it ITA,GK,Carpi,it Serie A,33,1981,3.3,3,,,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Etrit Berisha,al ALB,GK,Lazio,it Serie A,26,1989,9.7,13,,,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Paul Bernardoni,fr FRA,GK,Bordeaux,fr Ligue 1,18,1997,7.0,18,,,,,,,,,,,,,,,,,,,,,,,,,Matches
26,Paul Bernardoni,fr FRA,GK,Troyes,fr Ligue 1,18,1997,14.0,26,,,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Beto,pt POR,GK,Sevilla,es La Liga,33,1982,4.0,8,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
28,Albano Bizzarri,ar ARG,GK,Chievo,it Serie A,37,1977,35.0,43,,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,20,1995,7.6,12,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
30,Ádám Bogdán,hu HUN,GK,Liverpool,eng Premier League,27,1987,2.0,4,,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Artur Boruc,pl POL,GK,Bournemouth,eng Premier League,35,1980,32.0,51,,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Claudio Bravo,cl CHI,GK,Barcelona,es La Liga,32,1983,32.0,22,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Alberto Brignoli,it ITA,GK,Sampdoria,it Serie A,23,1991,1.0,5,,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Željko Brkić,rs SRB,GK,Carpi,it Serie A,29,1986,3.7,12,,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,37,1978,35.0,17,,,,,,,,,,,,,,,,,,,,,,,,,Matches
36,Mark Bunn,eng ENG,GK,Aston Villa,eng Premier League,30,1984,10.0,18,,,,,,,,,,,,,,,,,,,,,,,,,Matches
37,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,24,1990,33.0,34,,,,,,,,,,,,,,,,,,,,,,,,,Matches
38,Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,32,1983,19.0,11,,,,,,,,,,,,,,,,,,,,,,,,,Matches
39,Jack Butland,eng ENG,GK,Stoke City,eng Premier League,22,1993,31.0,37,,,,,,,,,,,,,,,,,,,,,,,,,Matches
40,Willy Caballero,ar ARG,GK,Manchester City,eng Premier League,33,1981,3.5,5,,,,,,,,,,,,,,,,,,,,,,,,,Matches
41,Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,21,1994,25.6,28,,,,,,,,,,,,,,,,,,,,,,,,,Matches
42,Juan Carlos,es ESP,GK,Rayo Vallecano,es La Liga,27,1988,20.0,36,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
43,Cédric Carrasso,fr FRA,GK,Bordeaux,fr Ligue 1,33,1981,19.0,29,,,,,,,,,,,,,,,,,,,,,,,,,Matches
44,Johann Carrasso,fr FRA,GK,Reims,fr Ligue 1,27,1988,10.0,21,,,,,,,,,,,,,,,,,,,,,,,,,Matches
45,Kiko Casilla,es ESP,GK,Real Madrid,es La Liga,28,1986,4.0,6,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
46,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,23,1992,13.0,10,,,,,,,,,,,,,,,,,,,,,,,,,Matches
47,Petr Čech,cz CZE,GK,Arsenal,eng Premier League,33,1982,34.0,31,,,,,,,,,,,,,,,,,,,,,,,,,Matches
48,Florent Chaigneau,fr FRA,GK,Lorient,fr Ligue 1,31,1984,2.0,5,,,,,,,,,,,,,,,,,,,,,,,,,Matches
49,Simone Colombi,it ITA,GK,Carpi,it Serie A,24,1991,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
50,Simone Colombi,it ITA,GK,Palermo,it Serie A,24,1991,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,Matches
