Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
1,Patrick van Aanholt,nl NED,DF,Sunderland,eng Premier League,24,1990,33.0,,,,,,,,,,,,,,,3,,,,,,Matches
2,Rolando Aarons,eng ENG,MF,Newcastle Utd,eng Premier League,19,1995,4.2,,,,,,,,,,,,,,,1,,,,,,Matches
3,Ignazio Abate,it ITA,"DF,MF",Milan,it Serie A,28,1986,25.0,,,,,,,,,,,,,,,1,,,,,,Matches
4,Christian Abbiati,it ITA,GK,Milan,it Serie A,38,1977,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
5,Aymen Abdennour,tn TUN,DF,Valencia,es La Liga,25,1989,20.6,,,,,,,,,,,,,,,0,,,,,,Matches
6,Almen Abdi,ch SUI,MF,Watford,eng Premier League,28,1986,21.9,,,,,,,,,,,,,,,0,,,,,,Matches
7,Rafidine Abdullah,km COM,MF,Lorient,fr Ligue 1,21,1994,6.4,,,,,,,,,,,,,,,0,,,,,,Matches
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,29,1986,28.3,,,,,,,,,,,,,,,0,,,,,,Matches
9,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,17,1997,0.6,,,,,,,,,,,,,,,0,,,,,,Matches
10,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,27,1988,36.0,,,,,,,,,,,,,,,0,,,,,,Matches
11,Robert Acquafresca,it ITA,FW,Bologna,it Serie A,27,1987,2.3,,,,,,,,,,,,,,,0,,,,,,Matches
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,23,1992,21.0,,,,,,,,,,,,,,,3,,,,,,Matches
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,29,1985,11.6,,,,,,,,,,,,,,,1,,,,,,Matches
14,Antonio Adán,es ESP,GK,Betis,es La Liga,28,1987,35.7,,,,,,,,,,,,,,,0,,,,,,Matches
15,Emmanuel Adebayor,tg TOG,FW,Crystal Palace,eng Premier League,31,1984,6.9,,,,,,,,,,,,,,,1,,,,,,Matches
16,Jordan Adéoti,bj BEN,"DF,MF",Caen,fr Ligue 1,26,1989,19.1,,,,,,,,,,,,,,,0,,,,,,Matches
17,Claud Adjapong,it ITA,"DF,MF",Sassuolo,it Serie A,17,1998,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
18,René Adler,de GER,GK,Hamburger SV,de Bundesliga,30,1985,23.0,,,,,,,,,,,,,,,1,,,,,,Matches
19,Ali Adnan Kadhim,iq IRQ,"DF,MF",Udinese,it Serie A,21,1993,21.2,,,,,,,,,,,,,,,1,,,,,,Matches
20,Adrián,es ESP,GK,West Ham,eng Premier League,28,1987,32.0,,,,,,,,,,,,,,,0,,,,,,Matches
21,Adriano,br BRA,"DF,MF",Barcelona,es La Liga,30,1984,4.8,,,,,,,,,,,,,,,1,,,,,,Matches
22,Luiz Adriano,br BRA,"FW,MF",Milan,it Serie A,28,1987,13.3,,,,,,,,,,,,,,,0,,,,,,Matches
23,Adryan,br BRA,"FW,MF",Nantes,fr Ligue 1,20,1994,15.8,,,,,,,,,,,,,,,2,,,,,,Matches
24,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,34,1981,30.8,,,,,,,,,,,,,,,6,,,,,,Matches
25,Ibrahim Afellay,nl NED,"FW,MF",Stoke City,eng Premier League,29,1986,23.4,,,,,,,,,,,,,,,2,,,,,,Matches
26,Benik Afobe,cd COD,FW,Bournemouth,eng Premier League,22,1993,10.3,,,,,,,,,,,,,,,0,,,,,,Matches
27,Kossi Agassa,tg TOG,GK,Reims,fr Ligue 1,37,1978,10.0,,,,,,,,,,,,,,,0,,,,,,Matches
28,Gabriel Agbonlahor,eng ENG,"FW,MF",Aston Villa,eng Premier League,28,1986,11.5,,,,,,,,,,,,,,,2,,,,,,Matches
29,Imanol Agirretxe,es ESP,FW,Real Sociedad,es La Liga,28,1987,13.0,,,,,,,,,,,,,,,0,,,,,,Matches
30,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,27,1988,26.2,,,,,,,,,,,,,,,2,,,,,,Matches
