Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Matches
1,Patrick van Aanholt,nl NED,DF,Sunderland,eng Premier League,24,1990,33,33,2970,33.0,4,3,7,4,0,0,2,0,0.12,0.09,0.21,0.12,0.21,Matches
2,Rolando Aarons,eng ENG,MF,Newcastle Utd,eng Premier League,19,1995,10,3,381,4.2,1,1,2,1,0,0,1,0,0.24,0.24,0.47,0.24,0.47,Matches
3,Ignazio Abate,it ITA,"DF,MF",Milan,it Serie A,28,1986,27,27,2248,25.0,1,1,2,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,Matches
4,Christian Abbiati,it ITA,GK,Milan,it Serie A,38,1977,1,0,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Aymen Abdennour,tn TUN,DF,Valencia,es La Liga,25,1989,22,22,1851,20.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Almen Abdi,ch SUI,MF,Watford,eng Premier League,28,1986,32,25,1974,21.9,2,0,2,2,0,0,4,0,0.09,0.00,0.09,0.09,0.09,Matches
7,Rafidine Abdullah,km COM,MF,Lorient,fr Ligue 1,21,1994,12,6,579,6.4,1,0,1,1,0,0,6,1,0.16,0.00,0.16,0.16,0.16,Matches
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,29,1986,31,28,2547,28.3,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,17,1997,2,0,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,27,1988,36,36,3240,36.0,4,0,4,4,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches
11,Robert Acquafresca,it ITA,FW,Bologna,it Serie A,27,1987,6,2,208,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
