Rk,Squad,Comp,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
1,Angers,fr Ligue 1,29,38.0,71,0.0,,584,,,,,,,,
2,Arsenal,eng Premier League,25,38.0,45,0.0,,348,,,,,,,,
3,Aston Villa,eng Premier League,29,38.0,77,0.0,,429,,,,,,,,
4,Atalanta,it Serie A,33,38.0,114,0.0,,643,,,,,,,,
5,Athletic Club,es La Liga,25,38.0,86,6.0,2.0,501,477.0,91.0,844.0,780.0,628.0,4.0,7.0,2.0
6,Atlético Madrid,es La Liga,25,38.0,94,3.0,2.0,507,439.0,84.0,761.0,767.0,717.0,2.0,1.0,0.0
7,Augsburg,de Bundesliga,27,34.0,82,0.0,,533,,,,,,,,
8,Barcelona,es La Liga,25,38.0,67,1.0,0.0,384,557.0,121.0,532.0,569.0,522.0,15.0,1.0,2.0
9,Bastia,fr Ligue 1,26,38.0,85,0.0,,525,,,,,,,,
10,Bayern Munich,de Bundesliga,25,34.0,50,0.0,,393,,,,,,,,
11,Betis,es La Liga,29,38.0,114,5.0,5.0,493,555.0,79.0,669.0,771.0,613.0,2.0,1.0,1.0
12,Bologna,it Serie A,31,38.0,98,0.0,,531,,,,,,,,
13,Bordeaux,fr Ligue 1,35,38.0,86,0.0,,492,,,,,,,,
14,Bournemouth,eng Premier League,28,38.0,53,0.0,,361,,,,,,,,
15,Caen,fr Ligue 1,24,38.0,58,0.0,,455,,,,,,,,
16,Carpi,it Serie A,35,38.0,115,0.0,,631,,,,,,,,
17,Celta Vigo,es La Liga,27,38.0,115,8.0,5.0,532,529.0,104.0,515.0,836.0,610.0,5.0,5.0,2.0
18,Chelsea,eng Premier League,28,38.0,62,0.0,,401,,,,,,,,
19,Chievo,it Serie A,26,38.0,108,0.0,,638,,,,,,,,
20,Crystal Palace,eng Premier League,30,38.0,62,0.0,,465,,,,,,,,
21,Darmstadt 98,de Bundesliga,23,34.0,88,0.0,,552,,,,,,,,
22,Dortmund,de Bundesliga,26,34.0,39,,,386,,,,,,,,
23,Eibar,es La Liga,28,38.0,108,4.0,3.0,597,408.0,87.0,827.0,803.0,635.0,7.0,4.0,2.0
24,Eint Frankfurt,de Bundesliga,30,34.0,99,0.0,,519,,,,,,,,
25,Empoli,it Serie A,29,38.0,101,0.0,,509,,,,,,,,
26,Espanyol,es La Liga,26,38.0,132,5.0,5.0,654,491.0,98.0,636.0,709.0,622.0,2.0,6.0,2.0
27,Everton,eng Premier League,31,38.0,50,0.0,,306,,,,,,,,
