Rk,Squad,Comp,#_Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA
1,Angers,fr Ligue 1,29,38.0,,,,,,,,,,,,,,,25,,,,,
2,Arsenal,eng Premier League,25,38.0,,,,,,,,,,,,,,,53,,,,,
3,Aston Villa,eng Premier League,29,38.0,,,,,,,,,,,,,,,19,,,,,
4,Atalanta,it Serie A,33,38.0,,,,,,,,,,,,,,,23,,,,,
5,Athletic Club,es La Liga,25,38.0,,,,,,,,,,,,,,,42,,,,,
6,Atlético Madrid,es La Liga,25,38.0,,,,,,,,,,,,,,,47,,,,,
7,Augsburg,de Bundesliga,27,34.0,,,,,,,,,,,,,,,20,,,,,
8,Barcelona,es La Liga,25,38.0,,,,,,,,,,,,,,,74,,,,,
9,Bastia,fr Ligue 1,26,38.0,,,,,,,,,,,,,,,20,,,,,
10,Bayern Munich,de Bundesliga,25,34.0,,,,,,,,,,,,,,,54,,,,,
11,Betis,es La Liga,29,38.0,,,,,,,,,,,,,,,25,,,,,
12,Bologna,it Serie A,31,38.0,,,,,,,,,,,,,,,22,,,,,
13,Bordeaux,fr Ligue 1,35,38.0,,,,,,,,,,,,,,,33,,,,,
14,Bournemouth,eng Premier League,28,38.0,,,,,,,,,,,,,,,28,,,,,
15,Caen,fr Ligue 1,24,38.0,,,,,,,,,,,,,,,22,,,,,
16,Carpi,it Serie A,35,38.0,,,,,,,,,,,,,,,22,,,,,
17,Celta Vigo,es La Liga,27,38.0,,,,,,,,,,,,,,,41,,,,,
18,Chelsea,eng Premier League,28,38.0,,,,,,,,,,,,,,,40,,,,,
19,Chievo,it Serie A,26,38.0,,,,,,,,,,,,,,,28,,,,,
20,Crystal Palace,eng Premier League,30,38.0,,,,,,,,,,,,,,,21,,,,,
21,Darmstadt 98,de Bundesliga,23,34.0,,,,,,,,,,,,,,,30,,,,,
22,Dortmund,de Bundesliga,26,34.0,,,,,,,,,,,,,,,64,,,,,
23,Eibar,es La Liga,28,38.0,,,,,,,,,,,,,,,31,,,,,
24,Eint Frankfurt,de Bundesliga,30,34.0,,,,,,,,,,,,,,,25,,,,,
25,Empoli,it Serie A,29,38.0,,,,,,,,,,,,,,,29,,,,,
26,Espanyol,es La Liga,26,38.0,,,,,,,,,,,,,,,29,,,,,
27,Everton,eng Premier League,31,38.0,,,,,,,,,,,,,,,44,,,,,
28,Fiorentina,it Serie A,26,38.0,,,,,,,,,,,,,,,38,,,,,
29,Frosinone,it Serie A,28,38.0,,,,,,,,,,,,,,,22,,,,,
30,Gazélec Ajaccio,fr Ligue 1,23,38.0,,,,,,,,,,,,,,,26,,,,,
31,Genoa,it Serie A,30,38.0,,,,,,,,,,,,,,,35,,,,,
32,Getafe,es La Liga,27,38.0,,,,,,,,,,,,,,,31,,,,,
33,Gladbach,de Bundesliga,26,34.0,,,,,,,,,,,,,,,47,,,,,
34,Granada,es La Liga,28,38.0,,,,,,,,,,,,,,,26,,,,,
35,Guingamp,fr Ligue 1,28,38.0,,,,,,,,,,,,,,,36,,,,,
36,Hamburger SV,de Bundesliga,28,34.0,,,,,,,,,,,,,,,26,,,,,
37,Hannover 96,de Bundesliga,33,34.0,,,,,,,,,,,,,,,21,,,,,
38,Hellas Verona,it Serie A,32,38.0,,,,,,,,,,,,,,,23,,,,,
39,Hertha BSC,de Bundesliga,26,34.0,,,,,,,,,,,,,,,31,,,,,
40,Hoffenheim,de Bundesliga,26,34.0,,,,,,,,,,,,,,,26,,,,,
41,Ingolstadt 04,de Bundesliga,25,34.0,,,,,,,,,,,,,,,20,,,,,
42,Inter,it Serie A,28,38.0,,,,,,,,,,,,,,,35,,,,,
43,Juventus,it Serie A,28,38.0,,,,,,,,,,,,,,,54,,,,,
44,Köln,de Bundesliga,23,34.0,,,,,,,,,,,,,,,30,,,,,
45,La Coruña,es La Liga,25,38.0,,,,,,,,,,,,,,,31,,,,,
46,Las Palmas,es La Liga,27,38.0,,,,,,,,,,,,,,,31,,,,,
47,Lazio,it Serie A,27,38.0,,,,,,,,,,,,,,,31,,,,,
48,Leicester City,eng Premier League,23,38.0,,,,,,,,,,,,,,,43,,,,,
49,Levante,es La Liga,27,38.0,,,,,,,,,,,,,,,23,,,,,
50,Leverkusen,de Bundesliga,27,34.0,,,,,,,,,,,,,,,36,,,,,
51,Lille,fr Ligue 1,32,38.0,,,,,,,,,,,,,,,28,,,,,
52,Liverpool,eng Premier League,34,38.0,,,,,,,,,,,,,,,50,,,,,
53,Lorient,fr Ligue 1,31,38.0,,,,,,,,,,,,,,,30,,,,,
54,Lyon,fr Ligue 1,30,38.0,,,,,,,,,,,,,,,44,,,,,
55,Mainz 05,de Bundesliga,29,34.0,,,,,,,,,,,,,,,31,,,,,
56,Málaga,es La Liga,30,38.0,,,,,,,,,,,,,,,27,,,,,
57,Manchester City,eng Premier League,25,38.0,,,,,,,,,,,,,,,53,,,,,
58,Manchester Utd,eng Premier League,33,38.0,,,,,,,,,,,,,,,31,,,,,
59,Marseille,fr Ligue 1,28,38.0,,,,,,,,,,,,,,,35,,,,,
60,Milan,it Serie A,30,38.0,,,,,,,,,,,,,,,28,,,,,
61,Monaco,fr Ligue 1,31,38.0,,,,,,,,,,,,,,,36,,,,,
62,Montpellier,fr Ligue 1,30,38.0,,,,,,,,,,,,,,,34,,,,,
63,Nantes,fr Ligue 1,29,38.0,,,,,,,,,,,,,,,25,,,,,
64,Napoli,it Serie A,22,38.0,,,,,,,,,,,,,,,56,,,,,
65,Newcastle Utd,eng Premier League,31,38.0,,,,,,,,,,,,,,,34,,,,,
