Rk,Squad,Comp,#_Pl,Poss,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec
1,Angers,fr Ligue 1,29,42.5,38.0,,,,,,,,,,,,,,,,,,,,
2,Arsenal,eng Premier League,25,58.3,38.0,,,,,,,,,,,,,,,,,,,,
3,Aston Villa,eng Premier League,29,46.4,38.0,,,,,,,,,,,,,,,,,,,,
4,Atalanta,it Serie A,33,48.4,38.0,,,,,,,,,,,,,,,,,,,,
5,Athletic Club,es La Liga,25,49.9,38.0,,,,,,,,,,,,,,,,,,,,
6,Atlético Madrid,es La Liga,25,48.5,38.0,,,,,,,,,,,,,,,,,,,,
7,Augsburg,de Bundesliga,27,46.9,34.0,,,,,,,,,,,,,,,,,,,,
8,Barcelona,es La Liga,25,67.1,38.0,,,,,,,,,,,,,,,,,,,,
9,Bastia,fr Ligue 1,26,43.4,38.0,,,,,,,,,,,,,,,,,,,,
10,Bayern Munich,de Bundesliga,25,70.1,34.0,,,,,,,,,,,,,,,,,,,,
11,Betis,es La Liga,29,46.7,38.0,,,,,,,,,,,,,,,,,,,,
12,Bologna,it Serie A,31,45.8,38.0,,,,,,,,,,,,,,,,,,,,
13,Bordeaux,fr Ligue 1,35,50.8,38.0,,,,,,,,,,,,,,,,,,,,
14,Bournemouth,eng Premier League,28,51.2,38.0,,,,,,,,,,,,,,,,,,,,
15,Caen,fr Ligue 1,24,40.2,38.0,,,,,,,,,,,,,,,,,,,,
16,Carpi,it Serie A,35,38.6,38.0,,,,,,,,,,,,,,,,,,,,
17,Celta Vigo,es La Liga,27,56.4,38.0,,,,,,,,,,,,,,,,,,,,
18,Chelsea,eng Premier League,28,56.2,38.0,,,,,,,,,,,,,,,,,,,,
19,Chievo,it Serie A,26,45.3,38.0,,,,,,,,,,,,,,,,,,,,
20,Crystal Palace,eng Premier League,30,45.8,38.0,,,,,,,,,,,,,,,,,,,,
21,Darmstadt 98,de Bundesliga,23,33.2,34.0,,,,,,,,,,,,,,,,,,,,
22,Dortmund,de Bundesliga,26,63.9,34.0,,,,,,,,,,,,,,,,,,,,
23,Eibar,es La Liga,28,45.2,38.0,,,,,,,,,,,,,,,,,,,,
24,Eint Frankfurt,de Bundesliga,30,48.0,34.0,,,,,,,,,,,,,,,,,,,,
25,Empoli,it Serie A,29,52.5,38.0,,,,,,,,,,,,,,,,,,,,
26,Espanyol,es La Liga,26,46.2,38.0,,,,,,,,,,,,,,,,,,,,
27,Everton,eng Premier League,31,51.9,38.0,,,,,,,,,,,,,,,,,,,,
28,Fiorentina,it Serie A,26,61.0,38.0,,,,,,,,,,,,,,,,,,,,
29,Frosinone,it Serie A,28,39.7,38.0,,,,,,,,,,,,,,,,,,,,
30,Gazélec Ajaccio,fr Ligue 1,23,47.0,38.0,,,,,,,,,,,,,,,,,,,,
31,Genoa,it Serie A,30,50.2,38.0,,,,,,,,,,,,,,,,,,,,
32,Getafe,es La Liga,27,46.1,38.0,,,,,,,,,,,,,,,,,,,,
33,Gladbach,de Bundesliga,26,56.0,34.0,,,,,,,,,,,,,,,,,,,,
34,Granada,es La Liga,28,44.6,38.0,,,,,,,,,,,,,,,,,,,,
35,Guingamp,fr Ligue 1,28,42.8,38.0,,,,,,,,,,,,,,,,,,,,
36,Hamburger SV,de Bundesliga,28,48.7,34.0,,,,,,,,,,,,,,,,,,,,
37,Hannover 96,de Bundesliga,33,45.9,34.0,,,,,,,,,,,,,,,,,,,,
38,Hellas Verona,it Serie A,32,45.3,38.0,,,,,,,,,,,,,,,,,,,,
39,Hertha BSC,de Bundesliga,26,49.7,34.0,,,,,,,,,,,,,,,,,,,,
40,Hoffenheim,de Bundesliga,26,46.1,34.0,,,,,,,,,,,,,,,,,,,,
41,Ingolstadt 04,de Bundesliga,25,45.2,34.0,,,,,,,,,,,,,,,,,,,,
42,Inter,it Serie A,28,55.0,38.0,,,,,,,,,,,,,,,,,,,,
43,Juventus,it Serie A,28,56.0,38.0,,,,,,,,,,,,,,,,,,,,
44,Köln,de Bundesliga,23,45.2,34.0,,,,,,,,,,,,,,,,,,,,
45,La Coruña,es La Liga,25,47.1,38.0,,,,,,,,,,,,,,,,,,,,
46,Las Palmas,es La Liga,27,54.6,38.0,,,,,,,,,,,,,,,,,,,,
47,Lazio,it Serie A,27,54.4,38.0,,,,,,,,,,,,,,,,,,,,
48,Leicester City,eng Premier League,23,42.6,38.0,,,,,,,,,,,,,,,,,,,,
49,Levante,es La Liga,27,45.9,38.0,,,,,,,,,,,,,,,,,,,,
50,Leverkusen,de Bundesliga,27,53.1,34.0,,,,,,,,,,,,,,,,,,,,
51,Lille,fr Ligue 1,32,51.1,38.0,,,,,,,,,,,,,,,,,,,,
52,Liverpool,eng Premier League,34,57.2,38.0,,,,,,,,,,,,,,,,,,,,
53,Lorient,fr Ligue 1,31,49.0,38.0,,,,,,,,,,,,,,,,,,,,
54,Lyon,fr Ligue 1,30,61.3,38.0,,,,,,,,,,,,,,,,,,,,
55,Mainz 05,de Bundesliga,29,46.1,34.0,,,,,,,,,,,,,,,,,,,,
