Rk,Squad,Comp,#_Pl,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt
1,Angers,fr Ligue 1,29,38.0,40,,155,,,4.08,,0.23,,4,5
2,Arsenal,eng Premier League,25,38.0,62,,210,,,5.53,,0.29,,1,2
3,Aston Villa,eng Premier League,29,38.0,24,,110,,,2.89,,0.2,,2,2
4,Atalanta,it Serie A,33,38.0,38,,135,,,3.55,,0.25,,4,6
5,Athletic Club,es La Liga,25,38.0,57,456.0,163,35.7,12.0,4.29,0.12,0.33,,3,5
6,Atlético Madrid,es La Liga,25,38.0,62,478.0,166,34.7,12.58,4.37,0.13,0.37,,1,2
7,Augsburg,de Bundesliga,27,34.0,40,,150,,,4.41,,0.22,,7,7
8,Barcelona,es La Liga,25,38.0,109,605.0,266,44.0,15.92,7.0,0.16,0.37,,11,19
9,Bastia,fr Ligue 1,26,38.0,34,,108,,,2.84,,0.3,,2,2
10,Bayern Munich,de Bundesliga,25,34.0,79,,261,,,7.68,,0.27,,8,9
11,Betis,es La Liga,29,38.0,34,397.0,126,31.7,10.45,3.32,0.08,0.25,,3,4
12,Bologna,it Serie A,31,38.0,33,,110,,,2.89,,0.28,,2,3
13,Bordeaux,fr Ligue 1,35,38.0,48,,143,,,3.76,,0.33,,1,2
14,Bournemouth,eng Premier League,28,38.0,43,,143,,,3.76,,0.28,,3,4
15,Caen,fr Ligue 1,24,38.0,38,,182,,,4.79,,0.18,,5,6
16,Carpi,it Serie A,35,38.0,33,,126,,,3.32,,0.22,,5,8
17,Celta Vigo,es La Liga,27,38.0,50,443.0,155,35.0,11.66,4.08,0.1,0.3,,4,5
18,Chelsea,eng Premier League,28,38.0,55,,172,,,4.53,,0.3,,4,5
19,Chievo,it Serie A,26,38.0,42,,130,,,3.42,,0.28,,5,8
20,Crystal Palace,eng Premier League,30,38.0,38,,153,,,4.03,,0.22,,4,5
21,Darmstadt 98,de Bundesliga,23,34.0,38,,116,,,3.41,,0.31,,2,4
22,Dortmund,de Bundesliga,26,34.0,80,,214,,,6.29,,0.36,,4,6
23,Eibar,es La Liga,28,38.0,47,420.0,155,36.9,11.05,4.08,0.1,0.26,,6,8
24,Eint Frankfurt,de Bundesliga,30,34.0,32,,134,,,3.94,,0.22,,2,2
25,Empoli,it Serie A,29,38.0,39,,147,,,3.87,,0.26,,1,2
26,Espanyol,es La Liga,26,38.0,38,392.0,148,37.8,10.32,3.89,0.09,0.25,,1,3
27,Everton,eng Premier League,31,38.0,56,,174,,,4.58,,0.3,,4,5
28,Fiorentina,it Serie A,26,38.0,58,,178,,,4.68,,0.28,,8,9
29,Frosinone,it Serie A,28,38.0,34,,127,,,3.34,,0.24,,3,3
30,Gazélec Ajaccio,fr Ligue 1,23,38.0,36,,125,,,3.29,,0.26,,3,3
31,Genoa,it Serie A,30,38.0,44,,150,,,3.95,,0.27,,4,4
32,Getafe,es La Liga,27,38.0,36,441.0,149,33.8,11.61,3.92,0.08,0.23,,1,2
33,Gladbach,de Bundesliga,26,34.0,64,,195,,,5.74,,0.31,,4,5
34,Granada,es La Liga,28,38.0,45,431.0,131,30.4,11.34,3.45,0.09,0.29,,7,7
35,Guingamp,fr Ligue 1,28,38.0,46,,136,,,3.58,,0.32,,2,3
36,Hamburger SV,de Bundesliga,28,34.0,37,,131,,,3.85,,0.26,,3,3
37,Hannover 96,de Bundesliga,33,34.0,30,,125,,,3.68,,0.22,,2,3
38,Hellas Verona,it Serie A,32,38.0,34,,140,,,3.68,,0.2,,6,7
39,Hertha BSC,de Bundesliga,26,34.0,41,,127,,,3.74,,0.3,,3,3
40,Hoffenheim,de Bundesliga,26,34.0,39,,135,,,3.97,,0.27,,3,6
41,Ingolstadt 04,de Bundesliga,25,34.0,33,,127,,,3.74,,0.19,,9,10
42,Inter,it Serie A,28,38.0,49,,170,,,4.47,,0.28,,2,3
43,Juventus,it Serie A,28,38.0,72,,213,,,5.61,,0.3,,9,9
44,Köln,de Bundesliga,23,34.0,38,,164,,,4.82,,0.21,,3,4
45,La Coruña,es La Liga,25,38.0,41,455.0,157,34.5,11.97,4.13,0.09,0.25,,1,1
46,Las Palmas,es La Liga,27,38.0,42,420.0,163,38.8,11.05,4.29,0.09,0.23,,4,5
47,Lazio,it Serie A,27,38.0,52,,150,,,3.95,,0.29,,9,11
48,Leicester City,eng Premier League,23,38.0,68,,179,,,4.71,,0.32,,10,13
49,Levante,es La Liga,27,38.0,36,432.0,142,32.9,11.37,3.74,0.08,0.24,,2,2
50,Leverkusen,de Bundesliga,27,34.0,51,,190,,,5.59,,0.26,,2,3
51,Lille,fr Ligue 1,32,38.0,38,,178,,,4.68,,0.2,,3,3
52,Liverpool,eng Premier League,34,38.0,62,,199,,,5.24,,0.3,,2,2
53,Lorient,fr Ligue 1,31,38.0,46,,192,,,5.05,,0.2,,7,7
54,Lyon,fr Ligue 1,30,38.0,66,,208,,,5.47,,0.3,,3,3
55,Mainz 05,de Bundesliga,29,34.0,46,,150,,,4.41,,0.3,,1,1
