Rk,Squad,Comp,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
1,Angers,fr Ligue 1,29,27.2,42.5,38,418,3420,38.0,40,25,65,36,4,5,71,0.0,1.05,0.66,1.71,0.95,1.61
2,Arsenal,eng Premier League,25,27.0,58.3,38,418,3420,38.0,62,53,115,61,1,2,45,0.0,1.63,1.39,3.03,1.61,3.0
3,Aston Villa,eng Premier League,29,26.6,46.4,38,418,3420,38.0,24,19,43,22,2,2,77,0.0,0.63,0.5,1.13,0.58,1.08
4,Atalanta,it Serie A,33,27.8,48.4,38,418,3420,38.0,38,23,61,34,4,6,114,0.0,1.0,0.61,1.61,0.89,1.5
5,Athletic Club,es La Liga,25,27.7,49.9,38,418,3420,38.0,57,42,99,54,3,5,86,6.0,1.5,1.11,2.61,1.42,2.53
6,Atlético Madrid,es La Liga,25,25.9,48.5,38,418,3420,38.0,62,47,109,61,1,2,94,3.0,1.63,1.24,2.87,1.61,2.84
7,Augsburg,de Bundesliga,27,27.4,46.9,34,374,3060,34.0,40,20,60,33,7,7,82,0.0,1.18,0.59,1.76,0.97,1.56
8,Barcelona,es La Liga,25,28.0,67.1,38,418,3420,38.0,109,74,183,98,11,19,67,1.0,2.87,1.95,4.82,2.58,4.53
9,Bastia,fr Ligue 1,26,28.7,43.4,38,418,3420,38.0,34,20,54,32,2,2,85,0.0,0.89,0.53,1.42,0.84,1.37
10,Bayern Munich,de Bundesliga,25,26.8,70.1,34,374,3060,34.0,79,54,133,71,8,9,50,0.0,2.32,1.59,3.91,2.09,3.68
11,Betis,es La Liga,29,27.4,46.7,38,418,3420,38.0,34,25,59,31,3,4,114,5.0,0.89,0.66,1.55,0.82,1.47
12,Bologna,it Serie A,31,27.0,45.8,38,418,3420,38.0,33,22,55,31,2,3,98,0.0,0.87,0.58,1.45,0.82,1.39
13,Bordeaux,fr Ligue 1,35,24.9,50.8,38,418,3420,38.0,48,33,81,47,1,2,86,0.0,1.26,0.87,2.13,1.24,2.11
14,Bournemouth,eng Premier League,28,27.7,51.2,38,418,3420,38.0,43,28,71,40,3,4,53,0.0,1.13,0.74,1.87,1.05,1.79
15,Caen,fr Ligue 1,24,28.2,40.2,38,418,3420,38.0,38,22,60,33,5,6,58,0.0,1.0,0.58,1.58,0.87,1.45
16,Carpi,it Serie A,35,25.9,38.6,38,418,3420,38.0,33,22,55,28,5,8,115,0.0,0.87,0.58,1.45,0.74,1.32
17,Celta Vigo,es La Liga,27,26.1,56.4,38,418,3420,38.0,50,41,91,46,4,5,115,8.0,1.32,1.08,2.39,1.21,2.29
18,Chelsea,eng Premier League,28,26.8,56.2,38,418,3420,38.0,55,40,95,51,4,5,62,0.0,1.45,1.05,2.5,1.34,2.39
19,Chievo,it Serie A,26,30.5,45.3,38,418,3420,38.0,42,28,70,37,5,8,108,0.0,1.11,0.74,1.84,0.97,1.71
20,Crystal Palace,eng Premier League,30,27.7,45.8,38,418,3420,38.0,38,21,59,34,4,5,62,0.0,1.0,0.55,1.55,0.89,1.45
21,Darmstadt 98,de Bundesliga,23,27.5,33.2,34,374,3060,34.0,38,30,68,36,2,4,88,0.0,1.12,0.88,2.0,1.06,1.94
22,Dortmund,de Bundesliga,26,25.6,63.9,34,374,3060,34.0,80,64,144,76,4,6,39,,2.35,1.88,4.24,2.24,4.12
23,Eibar,es La Liga,28,25.6,45.2,38,419,3420,38.0,47,31,78,41,6,8,108,4.0,1.24,0.82,2.05,1.08,1.89
24,Eint Frankfurt,de Bundesliga,30,26.7,48.0,34,374,3060,34.0,32,25,57,30,2,2,99,0.0,0.94,0.74,1.68,0.88,1.62
25,Empoli,it Serie A,29,25.4,52.5,38,418,3420,38.0,39,29,68,38,1,2,101,0.0,1.03,0.76,1.79,1.0,1.76
26,Espanyol,es La Liga,26,24.9,46.2,38,418,3420,38.0,38,29,67,37,1,3,132,5.0,1.0,0.76,1.76,0.97,1.74
27,Everton,eng Premier League,31,26.5,51.9,38,418,3420,38.0,56,44,100,52,4,5,50,0.0,1.47,1.16,2.63,1.37,2.53
28,Fiorentina,it Serie A,26,27.6,61.0,38,418,3420,38.0,58,38,96,50,8,9,102,0.0,1.53,1.0,2.53,1.32,2.32
29,Frosinone,it Serie A,28,26.5,39.7,38,418,3420,38.0,34,22,56,31,3,3,116,0.0,0.89,0.58,1.47,0.82,1.39
30,Gazélec Ajaccio,fr Ligue 1,23,28.4,47.0,38,418,3420,38.0,36,26,62,33,3,3,98,0.0,0.95,0.68,1.63,0.87,1.55
31,Genoa,it Serie A,30,26.7,50.2,38,418,3420,38.0,44,35,79,40,4,4,91,0.0,1.16,0.92,2.08,1.05,1.97
32,Getafe,es La Liga,27,26.7,46.1,38,418,3420,38.0,36,31,67,35,1,2,129,6.0,0.95,0.82,1.76,0.92,1.74
33,Gladbach,de Bundesliga,26,24.9,56.0,34,374,3060,34.0,64,47,111,60,4,5,49,0.0,1.88,1.38,3.26,1.76,3.15
34,Granada,es La Liga,28,25.9,44.6,38,418,3420,38.0,45,26,71,38,7,7,141,7.0,1.18,0.68,1.87,1.0,1.68
35,Guingamp,fr Ligue 1,28,28.4,42.8,38,418,3420,38.0,46,36,82,44,2,3,81,0.0,1.21,0.95,2.16,1.16,2.11
36,Hamburger SV,de Bundesliga,28,27.1,48.7,34,374,3060,34.0,37,26,63,34,3,3,75,0.0,1.09,0.76,1.85,1.0,1.76
37,Hannover 96,de Bundesliga,33,25.6,45.9,34,374,3060,34.0,30,21,51,28,2,3,66,0.0,0.88,0.62,1.5,0.82,1.44
38,Hellas Verona,it Serie A,32,27.5,45.3,38,418,3420,38.0,34,23,57,28,6,7,97,0.0,0.89,0.61,1.5,0.74,1.34
39,Hertha BSC,de Bundesliga,26,26.1,49.7,34,374,3060,34.0,41,31,72,38,3,3,71,0.0,1.21,0.91,2.12,1.12,2.03
40,Hoffenheim,de Bundesliga,26,24.1,46.1,34,374,3060,34.0,39,26,65,36,3,6,63,0.0,1.15,0.76,1.91,1.06,1.82
41,Ingolstadt 04,de Bundesliga,25,26.3,45.2,34,374,3060,34.0,33,20,53,24,9,10,83,0.0,0.97,0.59,1.56,0.71,1.29
42,Inter,it Serie A,28,26.7,55.0,38,418,3420,38.0,49,35,84,47,2,3,104,0.0,1.29,0.92,2.21,1.24,2.16
43,Juventus,it Serie A,28,28.3,56.0,38,418,3420,38.0,72,54,126,63,9,9,97,0.0,1.89,1.42,3.32,1.66,3.08
44,Köln,de Bundesliga,23,25.1,45.2,34,374,3060,34.0,38,30,68,35,3,4,56,0.0,1.12,0.88,2.0,1.03,1.91
45,La Coruña,es La Liga,25,28.2,47.1,38,418,3420,38.0,41,31,72,40,1,1,86,4.0,1.08,0.82,1.89,1.05,1.87
46,Las Palmas,es La Liga,27,27.6,54.6,38,418,3420,38.0,42,31,73,38,4,5,100,4.0,1.11,0.82,1.92,1.0,1.82
47,Lazio,it Serie A,27,27.6,54.4,38,418,3420,38.0,52,31,83,43,9,11,107,0.0,1.37,0.82,2.18,1.13,1.95
48,Leicester City,eng Premier League,23,27.7,42.6,38,418,3420,38.0,68,43,111,58,10,13,54,0.0,1.79,1.13,2.92,1.53,2.66
49,Levante,es La Liga,27,27.2,45.9,38,418,3420,38.0,36,23,59,34,2,2,134,7.0,0.95,0.61,1.55,0.89,1.5
50,Leverkusen,de Bundesliga,27,24.1,53.1,34,374,3060,34.0,51,36,87,49,2,3,70,0.0,1.5,1.06,2.56,1.44,2.5
51,Lille,fr Ligue 1,32,27.1,51.1,38,418,3420,38.0,38,28,66,35,3,3,86,0.0,1.0,0.74,1.74,0.92,1.66
52,Liverpool,eng Premier League,34,25.2,57.2,38,418,3420,38.0,62,50,112,60,2,2,67,0.0,1.63,1.32,2.95,1.58,2.89
53,Lorient,fr Ligue 1,31,25.4,49.0,38,418,3420,38.0,46,30,76,39,7,7,66,0.0,1.21,0.79,2.0,1.03,1.82
54,Lyon,fr Ligue 1,30,25.5,61.3,38,418,3420,38.0,66,44,110,63,3,3,69,0.0,1.74,1.16,2.89,1.66,2.82
55,Mainz 05,de Bundesliga,29,25.0,46.1,34,374,3060,34.0,46,31,77,45,1,1,54,0.0,1.35,0.91,2.26,1.32,2.24
56,Málaga,es La Liga,30,28.0,48.8,38,418,3420,38.0,37,27,64,35,2,4,110,5.0,0.97,0.71,1.68,0.92,1.63
57,Manchester City,eng Premier League,25,28.3,56.9,38,418,3420,38.0,71,53,124,66,5,8,63,0.0,1.87,1.39,3.26,1.74,3.13
58,Manchester Utd,eng Premier League,33,25.6,58.5,38,418,3420,38.0,46,31,77,43,3,3,67,0.0,1.21,0.82,2.03,1.13,1.95
59,Marseille,fr Ligue 1,28,25.0,56.6,38,418,3420,38.0,48,35,83,46,2,4,74,0.0,1.26,0.92,2.18,1.21,2.13
60,Milan,it Serie A,30,26.4,52.9,38,418,3420,38.0,49,28,77,43,6,7,96,0.0,1.29,0.74,2.03,1.13,1.87
61,Monaco,fr Ligue 1,31,26.1,48.1,38,418,3420,38.0,54,36,90,48,6,8,86,0.0,1.42,0.95,2.37,1.26,2.21
62,Montpellier,fr Ligue 1,30,27.1,49.8,38,418,3420,38.0,46,34,80,44,2,2,62,0.0,1.21,0.89,2.11,1.16,2.05
63,Nantes,fr Ligue 1,29,25.8,49.2,38,418,3420,38.0,30,25,55,30,0,0,81,0.0,0.79,0.66,1.45,0.79,1.45
64,Napoli,it Serie A,22,26.5,62.6,38,418,3420,38.0,78,56,134,71,7,8,72,0.0,2.05,1.47,3.53,1.87,3.34
65,Newcastle Utd,eng Premier League,31,25.4,46.6,38,418,3420,38.0,43,34,77,40,3,3,61,0.0,1.13,0.89,2.03,1.05,1.95
66,Nice,fr Ligue 1,33,24.2,57.9,38,418,3420,38.0,55,43,98,50,5,5,68,0.0,1.45,1.13,2.58,1.32,2.45
67,Norwich City,eng Premier League,28,27.7,46.0,38,418,3420,38.0,38,27,65,37,1,1,64,0.0,1.0,0.71,1.71,0.97,1.68
68,Palermo,it Serie A,31,26.8,43.2,38,418,3420,38.0,37,31,68,36,1,1,103,0.0,0.97,0.82,1.79,0.95,1.76
69,Paris S-G,fr Ligue 1,28,27.0,66.5,38,418,3420,38.0,101,72,173,95,6,8,47,0.0,2.66,1.89,4.55,2.5,4.39
70,Rayo Vallecano,es La Liga,29,28.5,55.6,38,418,3420,38.0,52,38,90,50,2,3,115,10.0,1.37,1.0,2.37,1.32,2.32
71,Real Madrid,es La Liga,24,26.5,57.3,38,418,3420,38.0,108,86,194,102,6,9,75,5.0,2.84,2.26,5.11,2.68,4.95
72,Real Sociedad,es La Liga,27,25.3,51.8,38,418,3420,38.0,44,31,75,43,1,1,109,5.0,1.16,0.82,1.97,1.13,1.95
73,Reims,fr Ligue 1,31,26.9,47.6,38,418,3420,38.0,43,30,73,41,2,3,88,0.0,1.13,0.79,1.92,1.08,1.87
74,Rennes,fr Ligue 1,31,26.2,50.4,38,418,3420,38.0,48,32,80,45,3,7,74,,1.26,0.84,2.11,1.18,2.03
