Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%,Matches
1,Antonio Adán,es ESP,GK,Betis,es La Liga,29,1987,37,37,3330,37.0,62,1.68,182,125,68.1,10,8,19,10,27.0,5,4,1,0,20.0,Matches
2,René Adler,de GER,GK,Hamburger SV,de Bundesliga,31,1985,19,19,1710,19.0,38,2.00,87,49,59.8,5,4,10,5,26.3,6,3,1,2,25.0,Matches
3,Adrián,es ESP,GK,West Ham,eng Premier League,29,1987,16,16,1440,16.0,25,1.56,78,53,70.5,5,4,7,6,37.5,3,2,0,1,0.0,Matches
4,Ryan Allsop,eng ENG,GK,Bournemouth,eng Premier League,24,1992,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches
5,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,29,1986,26,26,2340,26.0,51,1.96,137,90,65.7,8,3,15,5,19.2,5,4,0,1,0.0,Matches
6,Diego Alves,br BRA,GK,Valencia,es La Liga,31,1985,33,33,2970,33.0,56,1.70,134,87,61.9,11,7,15,6,18.2,11,5,4,2,44.4,Matches
7,Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,26,1989,13,13,1110,12.3,22,1.78,50,31,62.0,4,1,8,4,30.8,3,3,0,0,0.0,Matches
8,Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,es La Liga,32,1984,9,8,769,8.6,6,0.70,30,24,80.0,6,2,0,5,62.5,0,0,0,0,,Matches
9,Markel Areitio,es ESP,GK,Eibar,es La Liga,19,1996,1,0,45,0.5,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,,Matches
10,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,23,1993,15,14,1297,14.4,14,0.97,35,21,62.9,9,2,3,6,42.9,1,1,0,0,0.0,Matches
11,Kepa Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,21,1994,23,23,2016,22.4,22,0.98,62,40,64.5,14,3,6,8,34.8,0,0,0,0,,Matches
