Rk,Squad,Comp,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
1,Alavés,es La Liga,2,38.0,43,4,,,,,,,,,,,,,,,,,,,,,,,
2,Angers,fr Ligue 1,3,38.0,49,2,,,,,,,,,,,,,,,,,,,,,,,
3,Arsenal,eng Premier League,3,38.0,44,10,,,,,,,,,,,,,,,,,,,,,,,
4,Atalanta,it Serie A,3,38.0,41,4,,,,,,,,,,,,,,,,,,,,,,,
5,Athletic Club,es La Liga,2,38.0,43,1,,,,,,,,,,,,,,,,,,,,,,,
6,Atlético Madrid,es La Liga,2,38.0,27,3,,,,,,,,,,,,,,,,,,,,,,,
7,Augsburg,de Bundesliga,2,34.0,51,4,,,,,,,,,,,,,,,,,,,,,,,
8,Barcelona,es La Liga,3,38.0,37,0,,,,,,,,,,,,,,,,,,,,,,,
9,Bastia,fr Ligue 1,4,38.0,54,4,,,,,,,,,,,,,,,,,,,,,,,
10,Bayern Munich,de Bundesliga,3,34.0,22,2,,,,,,,,,,,,,,,,,,,,,,,
11,Betis,es La Liga,2,38.0,64,4,,,,,,,,,,,,,,,,,,,,,,,
12,Bologna,it Serie A,2,38.0,58,4,,,,,,,,,,,,,,,,,,,,,,,
13,Bordeaux,fr Ligue 1,2,38.0,43,4,,,,,,,,,,,,,,,,,,,,,,,
14,Bournemouth,eng Premier League,3,38.0,67,2,,,,,,,,,,,,,,,,,,,,,,,
15,Burnley,eng Premier League,2,38.0,55,4,,,,,,,,,,,,,,,,,,,,,,,
16,Caen,fr Ligue 1,3,38.0,65,8,,,,,,,,,,,,,,,,,,,,,,,
17,Cagliari,it Serie A,4,38.0,74,7,,,,,,,,,,,,,,,,,,,,,,,
18,Celta Vigo,es La Liga,3,38.0,69,9,,,,,,,,,,,,,,,,,,,,,,,
19,Chelsea,eng Premier League,2,38.0,33,2,,,,,,,,,,,,,,,,,,,,,,,
20,Chievo,it Serie A,2,38.0,61,4,,,,,,,,,,,,,,,,,,,,,,,
21,Crotone,it Serie A,2,38.0,58,6,,,,,,,,,,,,,,,,,,,,,,,
22,Crystal Palace,eng Premier League,2,38.0,63,2,,,,,,,,,,,,,,,,,,,,,,,
23,Darmstadt 98,de Bundesliga,2,34.0,63,6,,,,,,,,,,,,,,,,,,,,,,,
24,Dijon,fr Ligue 1,2,38.0,58,9,,,,,,,,,,,,,,,,,,,,,,,
25,Dortmund,de Bundesliga,2,34.0,40,2,,,,,,,,,,,,,,,,,,,,,,,
26,Eibar,es La Liga,3,38.0,51,5,,,,,,,,,,,,,,,,,,,,,,,
