Rk,Squad,Comp,#_Pl,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def
1,Alavés,es La Liga,30,38.0,665,17.5,439,70,49,31,61,15,71,1.87,52,4,7,4,4,0
2,Amiens,fr Ligue 1,30,38.0,621,16.34,423,79,46,23,43,7,58,1.53,36,3,7,5,6,1
3,Angers,fr Ligue 1,27,38.0,798,21.0,536,80,69,49,55,9,69,1.82,43,8,3,8,7,0
4,Arsenal,eng Premier League,30,38.0,1079,28.39,830,53,70,65,53,8,131,3.45,95,8,7,12,7,2
5,Atalanta,it Serie A,25,38.0,1015,26.71,725,92,72,77,35,14,98,2.58,67,6,8,9,6,2
6,Athletic Club,es La Liga,26,38.0,741,19.5,501,95,36,41,52,16,68,1.79,45,4,2,10,7,0
7,Atlético Madrid,es La Liga,26,38.0,701,18.45,472,73,65,29,45,17,104,2.74,70,2,14,7,7,4
8,Augsburg,de Bundesliga,27,34.0,747,21.97,518,90,27,48,46,18,68,2.0,45,6,1,9,6,1
9,Barcelona,es La Liga,25,38.0,1035,27.24,743,45,99,57,71,20,170,4.47,121,5,17,14,10,3
10,Bayern Munich,de Bundesliga,28,34.0,1105,32.5,863,86,37,52,54,13,169,4.97,134,7,9,9,8,2
11,Benevento,it Serie A,41,38.0,825,21.71,581,73,60,51,43,17,58,1.53,36,5,4,7,4,2
12,Betis,es La Liga,29,38.0,724,19.05,551,44,61,22,31,15,93,2.45,72,5,6,5,4,1
13,Bologna,it Serie A,30,38.0,643,16.92,464,39,43,32,51,14,62,1.63,38,4,4,8,7,1
14,Bordeaux,fr Ligue 1,31,38.0,825,21.71,611,55,56,46,43,14,92,2.42,67,4,6,9,5,1
15,Bournemouth,eng Premier League,22,38.0,809,21.29,582,78,53,42,39,15,83,2.18,53,8,5,8,7,2
16,Brighton,eng Premier League,24,38.0,684,18.0,489,73,46,37,31,8,60,1.58,43,3,4,4,6,0
17,Burnley,eng Premier League,24,38.0,664,17.47,441,88,36,43,48,8,58,1.53,37,4,4,11,2,0
18,Caen,fr Ligue 1,26,38.0,794,20.89,544,104,44,35,52,15,47,1.24,35,4,2,1,4,1
19,Cagliari,it Serie A,29,38.0,657,17.29,466,77,27,43,36,8,54,1.42,38,6,2,5,3,0
20,Celta Vigo,es La Liga,23,38.0,802,21.11,580,56,49,40,56,21,103,2.71,70,6,8,8,7,4
21,Chelsea,eng Premier League,26,38.0,1114,29.32,838,83,81,54,46,12,110,2.89,84,7,8,3,8,0
22,Chievo,it Serie A,25,38.0,700,18.42,542,53,34,25,32,14,65,1.71,48,7,3,4,3,0
23,Crotone,it Serie A,29,38.0,651,17.13,442,76,34,33,46,20,64,1.68,47,3,1,8,4,1
24,Crystal Palace,eng Premier League,28,38.0,834,21.95,528,83,90,56,60,17,78,2.05,50,3,7,9,9,0
25,Dijon,fr Ligue 1,26,38.0,779,20.5,547,74,67,31,52,8,89,2.34,54,6,13,8,7,1
26,Dortmund,de Bundesliga,30,34.0,857,25.21,658,53,39,60,28,19,102,3.0,72,1,10,15,2,2
27,Eibar,es La Liga,27,38.0,809,21.29,537,106,46,34,71,15,72,1.89,50,9,1,7,4,1
28,Eint Frankfurt,de Bundesliga,28,34.0,678,19.94,479,81,26,42,32,18,83,2.44,61,7,2,5,6,2
29,Espanyol,es La Liga,25,38.0,724,19.05,505,70,43,37,49,20,60,1.58,40,4,4,2,6,4
30,Everton,eng Premier League,30,38.0,629,16.55,454,59,31,31,42,12,71,1.87,41,4,8,9,5,4
31,Fiorentina,it Serie A,27,38.0,1083,28.5,814,86,64,61,38,20,96,2.53,65,4,10,7,9,1
32,Freiburg,de Bundesliga,29,34.0,670,19.71,460,81,26,37,55,11,56,1.65,31,10,4,2,7,2
33,Genoa,it Serie A,33,38.0,750,19.74,561,58,49,40,32,10,54,1.42,36,3,5,4,4,2
34,Getafe,es La Liga,32,38.0,629,16.55,377,87,54,26,59,26,64,1.68,31,9,9,5,8,2
35,Girona,es La Liga,25,38.0,794,20.89,497,117,44,40,79,17,88,2.32,47,9,11,7,12,2
36,Gladbach,de Bundesliga,27,34.0,795,23.38,566,72,46,53,41,17,77,2.26,44,7,6,11,7,2
37,Guingamp,fr Ligue 1,23,38.0,764,20.11,524,75,47,47,61,10,74,1.95,48,4,3,11,8,0
38,Hamburger SV,de Bundesliga,29,34.0,678,19.94,445,83,45,37,49,19,46,1.35,26,2,3,8,4,3
39,Hannover 96,de Bundesliga,26,34.0,763,22.44,509,89,36,55,59,15,78,2.29,53,7,2,8,8,0
40,Hellas Verona,it Serie A,32,38.0,611,16.08,413,61,45,37,38,17,48,1.26,30,3,3,6,4,2
41,Hertha BSC,de Bundesliga,25,34.0,562,16.53,401,59,28,29,39,6,79,2.32,49,10,4,6,9,1
42,Hoffenheim,de Bundesliga,26,34.0,843,24.79,648,61,44,47,31,12,105,3.09,72,6,7,11,6,3
43,Huddersfield,eng Premier League,25,38.0,621,16.34,443,52,39,35,36,16,45,1.18,29,4,6,3,3,0
44,Inter,it Serie A,22,38.0,1031,27.13,786,93,51,47,37,17,111,2.92,73,12,4,10,11,1
45,Juventus,it Serie A,24,38.0,1011,26.61,746,73,74,44,63,11,154,4.05,115,6,13,8,11,1
46,Köln,de Bundesliga,31,34.0,669,19.68,487,56,31,38,41,16,63,1.85,37,9,5,3,8,1
47,La Coruña,es La Liga,32,38.0,818,21.53,577,92,52,45,41,11,67,1.76,45,8,3,7,4,0
48,Las Palmas,es La Liga,36,38.0,732,19.26,519,64,54,26,61,8,41,1.08,28,0,6,3,3,1
49,Lazio,it Serie A,24,38.0,1009,26.55,776,72,76,45,33,7,150,3.95,105,9,17,9,10,0
50,Leganés,es La Liga,28,38.0,678,17.84,420,84,50,38,61,25,55,1.45,32,6,5,8,3,1
51,Leicester City,eng Premier League,27,38.0,731,19.24,495,83,63,45,38,7,94,2.47,68,8,6,5,7,0
52,Levante,es La Liga,33,38.0,728,19.16,499,65,61,34,48,21,79,2.08,53,5,8,3,10,0
53,Leverkusen,de Bundesliga,24,34.0,913,26.85,689,65,50,40,49,20,105,3.09,75,6,13,2,5,4
54,Lille,fr Ligue 1,25,38.0,790,20.79,576,61,66,32,44,11,73,1.92,53,2,12,3,3,0
55,Liverpool,eng Premier League,27,38.0,1139,29.97,859,71,98,58,36,17,144,3.79,98,5,27,8,5,1
56,Lyon,fr Ligue 1,26,38.0,1036,27.26,681,77,107,70,72,29,151,3.97,104,7,14,10,11,5
57,Mainz 05,de Bundesliga,27,34.0,724,21.29,525,63,38,29,47,22,66,1.94,45,7,4,4,6,0
58,Málaga,es La Liga,37,38.0,687,18.08,427,85,61,39,52,23,34,0.89,20,4,2,3,4,1
59,Manchester City,eng Premier League,25,38.0,1209,31.82,943,73,76,52,52,13,193,5.08,150,8,16,7,10,2
60,Manchester Utd,eng Premier League,27,38.0,916,24.11,699,54,69,45,38,11,117,3.08,81,6,12,12,5,1
61,Marseille,fr Ligue 1,26,38.0,1102,29.0,751,100,100,76,62,13,136,3.58,88,7,15,16,7,3
62,Metz,fr Ligue 1,36,38.0,763,20.08,518,80,65,37,38,25,57,1.5,43,4,3,3,1,3
63,Milan,it Serie A,24,38.0,1097,28.87,841,60,65,77,45,9,96,2.53,68,4,3,13,7,1
64,Monaco,fr Ligue 1,32,38.0,835,21.97,549,78,74,49,68,17,138,3.63,82,9,19,16,11,1
65,Montpellier,fr Ligue 1,23,38.0,870,22.89,608,90,66,42,50,14,65,1.71,53,2,4,5,1,0
66,Nantes,fr Ligue 1,30,38.0,880,23.16,598,83,58,63,61,17,62,1.63,41,3,3,9,6,0
67,Napoli,it Serie A,23,38.0,1186,31.21,958,58,68,51,34,17,130,3.42,91,10,10,9,8,2
68,Newcastle Utd,eng Premier League,27,38.0,781,20.55,561,72,45,44,39,20,63,1.66,43,7,2,10,1,0
69,Nice,fr Ligue 1,31,38.0,870,22.89,595,76,81,52,56,10,96,2.53,61,6,10,8,9,2
70,Paris S-G,fr Ligue 1,28,38.0,1115,29.34,824,69,89,51,59,23,181,4.76,136,6,20,8,10,1
71,RB Leipzig,de Bundesliga,23,34.0,872,25.65,638,71,60,42,42,19,104,3.06,78,5,7,8,5,1
72,Real Madrid,es La Liga,24,38.0,1290,33.95,1000,81,82,57,53,17,166,4.37,121,8,9,16,11,1
73,Real Sociedad,es La Liga,27,38.0,922,24.26,651,90,66,42,62,11,108,2.84,77,8,10,5,7,1
74,Rennes,fr Ligue 1,28,38.0,811,21.34,523,94,51,49,74,20,75,1.97,50,3,5,7,9,1
75,Roma,it Serie A,27,38.0,1152,30.32,837,101,78,59,52,25,102,2.68,72,4,8,3,7,8
76,Saint-Étienne,fr Ligue 1,30,38.0,738,19.42,521,68,52,34,51,12,75,1.97,47,4,9,4,9,2
77,Sampdoria,it Serie A,27,38.0,819,21.55,572,76,53,49,52,17,89,2.34,57,4,8,7,10,3
78,Sassuolo,it Serie A,28,38.0,867,22.82,622,76,53,54,48,14,50,1.32,33,3,5,4,5,0
79,Schalke 04,de Bundesliga,24,34.0,730,21.47,476,82,55,42,53,22,89,2.62,47,10,7,8,15,2
80,Sevilla,es La Liga,31,38.0,927,24.39,693,75,59,42,43,15,90,2.37,59,8,9,7,6,1
81,Southampton,eng Premier League,26,38.0,799,21.03,590,71,54,42,32,10,65,1.71,40,5,9,6,5,0
82,SPAL,it Serie A,29,38.0,663,17.45,442,73,47,29,54,18,64,1.68,37,5,1,10,10,1
83,Stoke City,eng Premier League,30,38.0,669,17.61,463,69,41,44,41,11,62,1.63,39,8,4,7,3,1
84,Strasbourg,fr Ligue 1,25,38.0,789,20.76,526,97,44,46,62,14,78,2.05,47,5,6,7,11,2
85,Stuttgart,de Bundesliga,26,34.0,628,18.47,431,59,37,40,34,27,58,1.71,28,5,9,10,3,3
86,Swansea City,eng Premier League,26,38.0,581,15.29,395,57,48,37,33,11,40,1.05,23,7,1,6,1,2
87,Torino,it Serie A,27,38.0,793,20.87,561,77,58,43,45,9,95,2.5,66,7,7,10,4,1
88,Tottenham,eng Premier League,25,38.0,1092,28.74,811,75,68,72,51,15,114,3.0,81,7,8,11,7,0
89,Toulouse,fr Ligue 1,25,38.0,771,20.29,499,77,67,45,66,17,63,1.66,40,3,4,5,9,2
90,Troyes,fr Ligue 1,25,38.0,623,16.39,467,48,39,30,29,10,53,1.39,37,3,5,5,3,0
91,Udinese,it Serie A,27,38.0,783,20.61,568,62,54,42,38,19,80,2.11,50,6,6,6,8,4
92,Valencia,es La Liga,25,38.0,860,22.63,605,76,74,45,47,13,114,3.0,76,7,11,8,9,3
93,Villarreal,es La Liga,32,38.0,831,21.87,605,64,69,37,36,20,95,2.5,67,3,13,7,5,0
94,Watford,eng Premier League,29,38.0,766,20.16,526,73,60,47,40,20,69,1.82,41,5,8,10,5,0
95,Werder Bremen,de Bundesliga,25,34.0,789,23.21,566,78,32,63,39,11,58,1.71,33,8,2,10,2,3
96,West Brom,eng Premier League,24,38.0,649,17.08,449,78,40,33,38,11,51,1.34,35,6,4,3,3,0
97,West Ham,eng Premier League,27,38.0,657,17.29,457,64,57,23,49,7,79,2.08,51,5,9,7,5,2
98,Wolfsburg,de Bundesliga,29,34.0,625,18.38,460,49,23,34,46,13,66,1.94,51,5,2,2,5,1
