Rk,Squad,Comp,#_Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
1,Alavés,es La Liga,32,38.0,9612,13973,68.8,182169,82570,4283,5328,80.4,3614,4788,75.5,1385,2920,47.4,20,26.9,22.0,-6.9,236,723,171,56,944
2,Amiens,fr Ligue 1,27,28.0,9685,12850,75.4,167666,69296,4758,5530,86.0,3638,4570,79.6,1006,2015,49.9,20,16.9,17.5,3.1,161,739,127,41,1013
3,Angers,fr Ligue 1,26,28.0,10518,13458,78.2,183652,73734,4767,5387,88.5,4021,4778,84.2,1219,2274,53.6,21,23.0,21.8,-2.0,267,736,195,68,1088
4,Arsenal,eng Premier League,29,38.0,16634,20410,81.5,292657,94450,7259,8103,89.6,7300,8331,87.6,1596,2772,57.6,35,31.4,28.5,3.6,298,1164,311,63,1641
5,Aston Villa,eng Premier League,28,38.0,11652,15672,74.3,217478,84204,5074,5895,86.1,4810,5882,81.8,1480,3002,49.3,32,34.2,27.7,-2.2,369,908,270,95,1247
6,Atalanta,it Serie A,30,38.0,17945,21860,82.1,301978,102774,8671,9684,89.5,6817,7927,86.0,1732,2818,61.5,68,58.9,46.2,9.1,535,1291,440,99,1867
7,Athletic Club,es La Liga,26,38.0,12533,16915,74.1,234527,90251,5521,6494,85.0,4692,5831,80.5,1830,3367,54.4,23,26.2,25.2,-3.2,277,967,217,85,1291
8,Atlético Madrid,es La Liga,30,38.0,13595,17765,76.5,221969,88361,6783,7777,87.2,4581,5696,80.4,1344,2676,50.2,35,39.4,37.1,-4.4,330,904,289,49,1333
9,Augsburg,de Bundesliga,28,34.0,8439,12287,68.7,157794,67041,3561,4445,80.1,3403,4308,79.0,1149,2545,45.1,29,29.7,22.9,-0.7,256,542,169,53,815
10,Barcelona,es La Liga,28,38.0,24758,28227,87.7,391043,120014,12607,13663,92.3,9115,9972,91.4,1889,2618,72.2,62,49.5,51.2,12.5,384,1827,417,31,2042
11,Bayern Munich,de Bundesliga,29,34.0,20587,24273,84.8,362049,120150,9119,10103,90.3,8654,9667,89.5,2153,3150,68.3,75,73.1,80.1,1.9,481,1717,498,120,2300
12,Betis,es La Liga,27,38.0,16182,19823,81.6,284815,94491,7354,8220,89.5,6504,7416,87.7,1774,2986,59.4,35,36.9,33.8,-1.9,360,1015,322,84,1475
13,Bologna,it Serie A,31,38.0,14608,18465,79.1,251345,95729,6955,7886,88.2,5859,6959,84.2,1377,2513,54.8,31,41.3,30.8,-10.3,418,1201,293,67,1672
14,Bordeaux,fr Ligue 1,26,28.0,12252,15092,81.2,216236,76128,5301,5940,89.2,5471,6290,87.0,1140,2058,55.4,29,21.6,18.0,7.4,217,723,112,31,995
15,Bournemouth,eng Premier League,27,38.0,12042,16387,73.5,208869,82509,5798,6832,84.9,4689,5821,80.6,1231,2655,46.4,24,30.6,25.7,-6.6,280,921,227,49,1256
16,Brescia,it Serie A,32,38.0,10833,14648,74.0,195788,80646,4731,5583,84.7,4291,5316,80.7,1347,2595,51.9,22,28.8,26.9,-6.8,288,830,253,78,1241
17,Brest,fr Ligue 1,24,28.0,11054,14206,77.8,208602,76093,4569,5299,86.2,4931,5835,84.5,1383,2456,56.3,27,22.1,21.4,4.9,250,786,211,70,1138
