Rk,Squad,Comp,#_Pl,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%
1,Alavés,es La Liga,3,38,38,3420,38.0,65,1.71,168,100,64.9,8,7,23,6,15.8,9,6,3,0,33.3
2,Angers,fr Ligue 1,3,38,38,3420,38.0,55,1.45,155,103,67.7,10,11,17,8,21.1,5,5,0,0,0.0
3,Arminia,de Bundesliga,2,34,34,3060,34.0,53,1.56,180,129,74.4,5,13,16,7,20.6,7,7,0,0,0.0
4,Arsenal,eng Premier League,2,38,38,3420,38.0,48,1.26,147,100,70.7,22,3,13,13,34.2,6,5,0,1,0.0
5,Aston Villa,eng Premier League,3,38,38,3420,38.0,54,1.42,149,96,66.4,13,6,19,11,28.9,6,4,1,1,20.0
6,Atalanta,it Serie A,3,38,38,3419,38.0,48,1.26,139,94,69.1,16,11,11,10,26.3,6,5,0,1,0.0
7,Athletic Club,es La Liga,2,38,38,3420,38.0,36,0.95,131,96,74.8,14,13,11,13,34.2,3,3,0,0,0.0
8,Atlético Madrid,es La Liga,1,38,38,3420,38.0,43,1.13,106,65,66.0,21,8,9,12,31.6,8,7,1,0,12.5
9,Augsburg,de Bundesliga,1,34,34,3060,34.0,56,1.65,156,102,67.3,10,8,16,9,26.5,5,5,0,0,0.0
10,Barcelona,es La Liga,2,38,38,3420,38.0,38,1.0,123,84,70.7,21,10,7,11,28.9,3,2,1,0,33.3
11,Bayern Munich,de Bundesliga,3,34,34,3060,34.0,37,1.09,112,76,68.8,24,5,5,11,32.4,2,2,0,0,0.0
12,Betis,es La Liga,2,38,38,3420,38.0,40,1.05,132,94,72.0,19,8,11,13,34.2,3,3,0,0,0.0
13,Bochum,de Bundesliga,2,34,34,3060,34.0,52,1.53,176,126,73.3,12,6,16,7,20.6,8,5,2,1,28.6
14,Bologna,it Serie A,3,38,38,3420,38.0,55,1.45,184,130,74.5,12,10,16,13,34.2,9,8,1,0,11.1
15,Bordeaux,fr Ligue 1,2,38,38,3420,38.0,91,2.39,194,104,56.7,6,13,19,2,5.3,9,7,2,0,22.2
16,Brentford,eng Premier League,3,38,38,3420,38.0,56,1.47,179,125,71.5,13,7,18,9,23.7,5,5,0,0,0.0
17,Brest,fr Ligue 1,1,38,38,3420,38.0,57,1.5,170,115,68.8,13,9,16,7,18.4,4,4,0,0,0.0
18,Brighton,eng Premier League,2,38,38,3419,38.0,44,1.16,146,102,71.9,12,15,11,11,28.9,4,3,0,1,0.0
19,Burnley,eng Premier League,2,38,38,3420,38.0,53,1.39,178,127,73.0,7,14,17,9,23.7,5,5,0,0,0.0
20,Cádiz,es La Liga,1,38,38,3420,38.0,51,1.34,170,117,76.5,8,15,15,13,34.2,13,11,2,0,15.4
21,Cagliari,it Serie A,2,38,38,3420,38.0,68,1.79,185,115,67.0,6,12,20,3,7.9,10,7,3,0,30.0
22,Celta Vigo,es La Liga,1,38,38,3420,38.0,43,1.13,136,91,71.3,12,10,16,14,36.8,8,4,4,0,50.0
23,Chelsea,eng Premier League,2,38,38,3420,38.0,33,0.87,115,83,76.5,21,11,6,16,42.1,6,6,0,0,0.0
24,Clermont Foot,fr Ligue 1,2,38,38,3420,38.0,69,1.82,165,99,61.2,9,9,20,8,21.1,5,5,0,0,0.0
25,Crystal Palace,eng Premier League,2,38,38,3420,38.0,46,1.21,144,99,70.1,11,15,12,12,31.6,4,3,1,0,25.0
26,Dortmund,de Bundesliga,3,34,34,3060,34.0,52,1.53,136,86,66.2,22,3,9,7,20.6,6,6,0,0,0.0
27,Eint Frankfurt,de Bundesliga,3,34,34,3060,34.0,49,1.44,165,117,72.7,10,12,12,5,14.7,4,4,0,0,0.0
28,Elche,es La Liga,2,38,38,3420,38.0,52,1.37,174,121,74.1,11,9,18,8,21.1,9,7,1,1,12.5
29,Empoli,it Serie A,1,38,38,3420,38.0,70,1.84,216,150,69.9,10,11,17,7,18.4,10,5,2,3,28.6
30,Espanyol,es La Liga,3,38,38,3420,38.0,53,1.39,169,118,71.0,10,12,16,10,26.3,5,4,0,1,0.0
31,Everton,eng Premier League,2,38,38,3420,38.0,66,1.74,188,127,66.0,11,6,21,8,21.1,2,2,0,0,0.0
32,Fiorentina,it Serie A,2,38,38,3418,38.0,51,1.34,126,75,61.9,19,5,14,11,28.9,5,3,2,0,40.0
33,Freiburg,de Bundesliga,2,34,34,3060,34.0,46,1.35,153,108,71.2,15,10,9,10,29.4,2,2,0,0,0.0
34,Genoa,it Serie A,2,38,38,3420,38.0,60,1.58,184,125,69.6,4,16,18,10,26.3,5,4,1,0,20.0
35,Getafe,es La Liga,2,38,38,3420,38.0,41,1.08,132,91,70.5,8,15,15,14,36.8,4,2,1,1,33.3
36,Gladbach,de Bundesliga,2,34,34,3060,34.0,61,1.79,185,122,68.6,12,9,13,5,14.7,5,3,2,0,40.0
37,Granada,es La Liga,2,38,38,3420,38.0,61,1.61,193,132,72.0,8,14,16,8,21.1,9,7,2,0,22.2
38,Greuther Fürth,de Bundesliga,3,34,34,3060,34.0,82,2.41,188,111,59.6,3,9,22,6,17.6,6,6,0,0,0.0
39,Hellas Verona,it Serie A,3,38,38,3420,38.0,59,1.55,159,101,64.8,14,11,13,4,10.5,4,3,1,0,25.0
40,Hertha BSC,de Bundesliga,2,34,34,3060,34.0,71,2.09,172,101,63.4,9,6,19,6,17.6,8,8,0,0,0.0
41,Hoffenheim,de Bundesliga,2,34,34,3060,34.0,60,1.76,162,102,64.2,13,7,14,8,23.5,4,2,1,1,33.3
42,Inter,it Serie A,2,38,38,3420,38.0,32,0.84,127,96,78.0,25,9,4,15,39.5,4,4,0,0,0.0
43,Juventus,it Serie A,3,38,38,3420,38.0,37,0.97,123,84,73.2,20,10,8,13,34.2,7,4,3,0,42.9
44,Köln,de Bundesliga,2,34,34,3060,34.0,49,1.44,154,106,68.2,14,10,10,4,11.8,1,0,1,0,100.0
45,Lazio,it Serie A,2,38,38,3420,38.0,58,1.53,146,89,63.7,18,10,10,9,23.7,6,5,0,1,0.0
46,Leeds United,eng Premier League,2,38,38,3420,38.0,79,2.08,224,146,67.0,9,11,18,5,13.2,5,5,0,0,0.0
47,Leicester City,eng Premier League,2,38,38,3420,38.0,59,1.55,192,132,72.9,14,10,14,7,18.4,9,7,2,0,22.2
48,Lens,fr Ligue 1,2,38,38,3418,38.0,48,1.26,145,96,69.7,17,11,10,8,21.1,5,4,1,0,20.0
49,Levante,es La Liga,4,38,38,3420,38.0,76,2.0,203,126,65.0,8,11,19,7,18.4,6,5,1,0,16.7
