Rk,Squad,Comp,#_Pl,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
1,Ajaccio,fr Ligue 1,36,38.0,637,382,321,236,80,313,694,45.1,381,359,85,274,420,1057,670,10
2,Almería,es La Liga,29,38.0,557,322,292,202,63,280,623,44.9,343,435,122,313,322,879,855,13
3,Angers,fr Ligue 1,33,38.0,652,386,311,268,73,310,610,50.8,300,402,99,303,375,1027,605,13
4,Arsenal,eng Premier League,26,38.0,568,343,238,212,118,249,510,48.8,261,362,86,276,237,805,599,23
5,Aston Villa,eng Premier League,26,38.0,632,338,305,251,76,312,648,48.1,336,438,118,320,324,956,714,14
6,Atalanta,it Serie A,27,38.0,636,364,291,272,73,312,634,49.2,322,455,93,362,421,1057,613,12
7,Athletic Club,es La Liga,26,38.0,608,369,267,254,87,322,642,50.2,320,415,95,320,310,918,598,14
8,Atlético Madrid,es La Liga,27,38.0,667,408,332,245,90,334,685,48.8,351,396,103,293,304,971,704,9
9,Augsburg,de Bundesliga,34,34.0,522,299,251,202,69,232,479,48.4,247,428,125,303,286,808,755,14
10,Auxerre,fr Ligue 1,33,38.0,674,378,337,263,74,313,678,46.2,365,441,118,323,454,1128,782,11
11,Barcelona,es La Liga,29,38.0,522,324,211,216,95,227,498,45.6,271,353,82,271,253,775,439,17
12,Bayern Munich,de Bundesliga,28,34.0,623,387,263,258,102,287,538,53.3,251,381,77,304,287,910,477,19
13,Betis,es La Liga,30,38.0,665,421,373,238,54,338,701,48.2,363,411,112,299,364,1029,857,7
14,Bochum,de Bundesliga,26,34.0,626,386,301,247,78,310,635,48.8,325,402,118,284,337,963,776,13
15,Bologna,it Serie A,27,38.0,648,373,310,255,83,297,618,48.1,321,414,131,283,302,950,652,7
16,Bournemouth,eng Premier League,31,38.0,618,371,316,249,53,256,614,41.7,358,499,170,329,353,971,1027,11
17,Brentford,eng Premier League,25,38.0,588,338,271,228,89,253,597,42.4,344,456,168,288,341,929,822,14
18,Brest,fr Ligue 1,29,38.0,705,417,348,289,68,356,740,48.1,384,435,115,320,475,1180,686,13
19,Brighton,eng Premier League,29,38.0,616,340,270,242,104,266,561,47.4,295,392,104,288,303,919,432,15
20,Cádiz,es La Liga,38,38.0,623,410,358,205,60,320,671,47.7,351,425,128,297,270,893,853,13
21,Celta Vigo,es La Liga,26,38.0,664,413,319,269,76,295,676,43.6,381,393,84,309,368,1032,666,5
22,Chelsea,eng Premier League,32,38.0,740,445,363,267,110,333,656,50.8,323,466,108,358,341,1081,661,21
23,Clermont Foot,fr Ligue 1,28,38.0,685,398,350,250,85,351,779,45.1,428,424,126,298,440,1125,571,17
24,Cremonese,it Serie A,33,38.0,704,400,403,228,73,364,729,49.9,365,432,136,296,393,1097,771,13
25,Crystal Palace,eng Premier League,26,38.0,690,421,354,246,90,281,532,52.8,251,463,119,344,359,1049,807,7
26,Dortmund,de Bundesliga,30,34.0,580,334,246,241,93,287,551,52.1,264,382,95,287,298,878,491,9
27,Eint Frankfurt,de Bundesliga,28,34.0,562,357,244,248,70,265,585,45.3,320,415,88,327,284,846,687,5
28,Elche,es La Liga,32,38.0,633,363,367,212,54,280,603,46.4,323,413,131,282,323,956,766,13
29,Empoli,it Serie A,32,38.0,606,364,316,218,72,254,538,47.2,284,449,183,266,280,886,910,4
30,Espanyol,es La Liga,33,38.0,652,379,330,239,83,301,600,50.2,299,416,134,282,338,990,788,9
31,Everton,eng Premier League,28,38.0,708,424,362,257,89,309,619,49.9,310,510,180,330,390,1098,874,17
32,Fiorentina,it Serie A,30,38.0,581,337,232,260,89,282,531,53.1,249,356,84,272,260,841,473,11
33,Freiburg,de Bundesliga,27,34.0,498,289,223,211,64,207,451,45.9,244,375,106,269,325,823,612,10
34,Fulham,eng Premier League,29,38.0,625,350,295,229,101,299,588,50.9,289,455,125,330,340,965,749,15
35,Getafe,es La Liga,25,38.0,541,339,282,199,60,285,619,46.0,334,404,113,291,320,861,794,10
36,Girona,es La Liga,29,38.0,551,321,271,213,67,244,532,45.9,288,379,111,268,266,817,662,20
37,Gladbach,de Bundesliga,27,34.0,497,275,274,171,52,267,536,49.8,269,405,104,301,267,764,728,7
38,Hellas Verona,it Serie A,36,38.0,605,357,319,228,58,296,562,52.7,266,445,143,302,337,942,745,12
39,Hertha BSC,de Bundesliga,32,34.0,576,344,307,215,54,251,521,48.2,270,416,132,284,366,942,797,8
40,Hoffenheim,de Bundesliga,31,34.0,543,323,254,231,58,236,474,49.8,238,428,119,309,285,828,665,8
41,Inter,it Serie A,25,38.0,572,325,247,241,84,258,523,49.3,265,385,110,275,315,887,541,7
42,Juventus,it Serie A,29,38.0,594,352,296,219,79,288,558,51.6,270,421,131,290,307,901,704,10
43,Köln,de Bundesliga,27,34.0,615,370,287,263,65,310,666,46.5,356,423,99,324,372,987,716,5
44,Lazio,it Serie A,24,38.0,582,349,261,234,87,277,625,44.3,348,437,126,311,310,892,606,8
45,Lecce,it Serie A,29,38.0,705,427,347,259,99,319,619,51.5,300,486,112,374,368,1073,826,4
46,Leeds United,eng Premier League,29,38.0,840,480,376,343,121,412,870,47.4,458,536,131,405,392,1232,734,18
47,Leicester City,eng Premier League,28,38.0,699,412,345,291,63,308,677,45.5,369,517,170,347,367,1066,777,12
48,Lens,fr Ligue 1,29,38.0,540,323,225,238,77,262,570,46.0,308,401,112,289,339,879,559,7
49,Leverkusen,de Bundesliga,27,34.0,494,280,242,206,46,236,421,56.1,185,358,99,259,294,788,599,12
