Rk,Squad,Comp,#_Pl,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
1,Ajaccio,fr Ligue 1,36,38.0,15286,13368,1855,562,39,57,631,795,126,42,65,0,11216,63,349
2,Almería,es La Liga,29,38.0,15855,13865,1907,552,49,132,605,750,147,58,59,1,12151,83,308
3,Angers,fr Ligue 1,33,38.0,17463,15689,1727,483,40,92,584,705,164,98,42,0,14103,47,294
4,Arsenal,eng Premier League,26,38.0,21969,20293,1620,516,86,97,674,615,223,154,8,3,18281,56,379
5,Aston Villa,eng Premier League,26,38.0,17396,15544,1794,599,54,101,561,684,162,97,19,4,13782,58,325
6,Atalanta,it Serie A,27,38.0,19507,17537,1912,432,35,154,652,893,194,97,67,0,15462,58,359
7,Athletic Club,es La Liga,26,38.0,18630,16594,1940,502,44,191,918,835,257,66,123,1,14440,96,386
8,Atlético Madrid,es La Liga,27,38.0,20488,18630,1779,490,83,193,625,702,183,97,46,0,16814,79,345
9,Augsburg,de Bundesliga,34,34.0,12742,10915,1769,428,30,73,548,745,166,78,81,1,8422,58,332
10,Auxerre,fr Ligue 1,33,38.0,15989,14213,1728,491,31,210,617,712,135,56,57,0,12386,48,305
11,Barcelona,es La Liga,29,38.0,24733,22836,1799,565,133,205,744,710,244,82,83,2,21298,98,340
12,Bayern Munich,de Bundesliga,28,34.0,22716,21104,1528,378,78,115,603,657,229,92,106,4,19404,84,312
13,Betis,es La Liga,30,38.0,18249,16255,1920,634,62,137,514,740,152,46,76,1,14678,74,376
14,Bochum,de Bundesliga,26,34.0,13549,11775,1708,412,31,72,568,768,141,65,53,1,9209,66,278
15,Bologna,it Serie A,27,38.0,20552,18623,1852,484,58,179,558,830,145,90,41,0,16763,77,368
16,Bournemouth,eng Premier League,31,38.0,15381,13607,1736,424,48,87,509,706,144,88,25,9,11715,38,342
17,Brentford,eng Premier League,25,38.0,15551,13766,1713,453,53,107,661,738,163,83,34,12,11317,72,303
18,Brest,fr Ligue 1,29,38.0,16452,14545,1848,525,30,162,755,754,178,82,81,2,12486,59,339
19,Brighton,eng Premier League,29,38.0,22888,21109,1709,445,81,130,694,693,233,102,88,2,19210,70,383
20,Cádiz,es La Liga,38,38.0,13952,12025,1852,548,29,150,633,748,145,65,47,3,9940,75,297
21,Celta Vigo,es La Liga,26,38.0,18499,16495,1923,557,44,161,705,802,184,65,88,1,14700,81,300
22,Chelsea,eng Premier League,32,38.0,22836,20995,1767,503,58,129,693,722,209,108,70,2,19147,74,371
23,Clermont Foot,fr Ligue 1,28,38.0,17961,16060,1849,642,31,105,564,658,155,73,48,4,14212,52,373
24,Cremonese,it Serie A,33,38.0,15041,13147,1826,482,26,99,659,768,146,51,76,0,10872,68,300
25,Crystal Palace,eng Premier League,26,38.0,17308,15416,1834,525,41,118,591,763,186,84,60,5,13395,58,350
26,Dortmund,de Bundesliga,30,34.0,19889,18132,1716,475,44,213,677,699,227,73,112,4,16445,41,376
27,Eint Frankfurt,de Bundesliga,28,34.0,17975,16179,1726,437,46,70,616,786,189,99,50,1,13930,70,383
28,Elche,es La Liga,32,38.0,15758,13769,1908,494,24,164,750,789,204,72,83,8,12051,81,390
29,Empoli,it Serie A,32,38.0,16862,14830,1978,538,24,105,611,828,163,70,61,0,13199,54,375
30,Espanyol,es La Liga,33,38.0,14698,12685,1951,574,34,115,713,744,179,75,60,3,10827,62,298
31,Everton,eng Premier League,28,38.0,15783,13984,1735,434,39,93,704,707,174,138,28,0,11790,64,311
32,Fiorentina,it Serie A,30,38.0,19236,17189,1991,600,30,203,880,831,234,88,99,0,15373,56,336
33,Freiburg,de Bundesliga,27,34.0,15533,13934,1542,454,24,116,547,603,141,82,44,0,11653,57,307
34,Fulham,eng Premier League,29,38.0,18014,16136,1818,471,20,157,769,795,182,70,69,2,13974,60,393
35,Getafe,es La Liga,25,38.0,14126,12118,1929,524,18,162,649,857,119,58,54,1,9690,79,333
36,Girona,es La Liga,29,38.0,18604,16633,1884,576,32,135,713,742,145,66,53,1,15146,87,319
37,Gladbach,de Bundesliga,27,34.0,18854,17035,1747,532,64,60,441,684,151,60,73,1,15516,72,384
38,Hellas Verona,it Serie A,36,38.0,13807,12006,1727,437,23,81,652,721,170,81,63,1,9481,74,334
39,Hertha BSC,de Bundesliga,32,34.0,12800,11022,1720,468,28,100,516,756,147,45,79,0,8876,58,292
40,Hoffenheim,de Bundesliga,31,34.0,15564,13750,1736,418,17,119,577,784,161,45,74,4,11754,78,323
41,Inter,it Serie A,25,38.0,21281,19504,1709,443,50,185,885,682,214,66,121,0,17693,68,275
42,Juventus,it Serie A,29,38.0,18690,16884,1744,449,38,195,731,706,207,64,125,1,15226,62,318
43,Köln,de Bundesliga,27,34.0,16367,14542,1757,409,20,62,790,811,205,87,81,0,12242,68,409
44,Lazio,it Serie A,24,38.0,21629,19809,1766,540,55,135,483,680,169,71,76,0,18135,54,330
45,Lecce,it Serie A,29,38.0,14358,12384,1906,504,23,175,709,858,172,56,61,0,10083,68,315
