Rk,Squad,Comp,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
1,Alavés,es La Liga,30,38.0,84,1,0,481,449,69,830,279,347,7,8,2,1807,574,625,47.9
2,Almería,es La Liga,35,38.0,93,6,4,478,493,75,659,313,372,2,9,0,1716,557,587,48.7
3,Arsenal,eng Premier League,25,38.0,64,2,1,391,394,87,670,292,348,9,3,1,1752,503,499,50.2
4,Aston Villa,eng Premier League,31,38.0,94,2,0,412,473,47,651,236,311,4,2,4,1619,334,363,47.9
5,Atalanta,it Serie A,29,38.0,76,1,1,486,367,63,710,340,369,4,9,1,2023,627,491,56.1
6,Athletic Club,es La Liga,27,38.0,80,5,3,511,428,78,845,278,362,4,5,4,2010,541,525,50.8
7,Atlético Madrid,es La Liga,27,38.0,89,5,3,438,447,123,621,256,399,4,2,0,1896,422,392,51.8
8,Augsburg,de Bundesliga,29,34.0,71,3,1,454,338,81,631,295,319,5,10,2,1669,587,602,49.4
9,Barcelona,es La Liga,29,38.0,87,2,1,412,469,99,651,257,363,6,2,0,1789,453,399,53.2
10,Bayern Munich,de Bundesliga,30,34.0,47,2,1,304,306,60,655,288,323,2,4,0,1768,410,319,56.2
11,Betis,es La Liga,35,38.0,87,3,1,429,497,73,636,345,440,1,8,3,1921,479,500,48.9
12,Bochum,de Bundesliga,25,34.0,97,2,0,446,409,83,649,308,366,4,11,4,1808,815,816,50.0
13,Bologna,it Serie A,28,38.0,85,2,2,458,456,55,510,258,385,3,7,1,1769,416,413,50.2
14,Bournemouth,eng Premier League,30,38.0,79,3,0,507,376,56,709,357,410,3,7,1,2013,582,671,46.4
15,Brentford,eng Premier League,28,38.0,89,2,0,385,419,70,706,378,399,3,2,0,1892,632,607,51.0
16,Brest,fr Ligue 1,25,34.0,84,5,2,414,422,34,792,321,427,2,3,0,1910,598,509,54.0
17,Brighton,eng Premier League,30,38.0,90,3,0,414,454,84,671,288,366,6,6,2,1751,406,345,54.1
18,Burnley,eng Premier League,31,38.0,77,7,3,429,353,76,550,280,342,3,7,3,1727,561,696,44.6
19,Cádiz,es La Liga,34,38.0,107,7,0,576,498,90,791,298,398,2,2,1,1831,632,673,48.4
20,Cagliari,it Serie A,29,38.0,77,4,2,464,418,64,852,265,315,3,5,3,1774,571,613,48.2
21,Celta Vigo,es La Liga,31,38.0,66,5,2,463,485,63,661,297,382,4,8,3,1908,522,548,48.8
22,Chelsea,eng Premier League,32,38.0,109,4,2,446,451,85,558,298,376,11,5,3,1846,440,402,52.3
23,Clermont Foot,fr Ligue 1,31,34.0,60,7,1,396,429,51,551,347,358,7,9,1,1695,393,414,48.7
24,Crystal Palace,eng Premier League,26,38.0,73,2,2,457,427,72,583,323,464,4,3,2,1909,553,555,49.9
25,Darmstadt 98,de Bundesliga,32,34.0,83,4,0,429,351,57,514,317,323,2,2,2,1502,510,569,47.3
26,Dortmund,de Bundesliga,32,34.0,59,4,2,315,391,44,522,251,356,5,6,2,1763,389,426,47.7
27,Eint Frankfurt,de Bundesliga,34,34.0,70,5,4,355,318,51,557,302,359,2,11,0,1792,477,525,47.6
28,Empoli,it Serie A,34,38.0,88,1,1,524,514,82,672,263,378,4,8,1,1623,509,628,44.8
29,Everton,eng Premier League,26,38.0,82,1,1,457,361,89,752,358,442,2,8,3,1970,676,577,54.0
30,Fiorentina,it Serie A,30,38.0,80,0,0,459,450,57,748,236,320,6,9,0,1720,626,603,50.9
31,Freiburg,de Bundesliga,25,34.0,64,4,1,364,376,52,593,272,319,7,5,1,1633,625,628,49.9
32,Frosinone,it Serie A,34,38.0,68,2,1,388,442,48,524,241,322,8,8,2,1780,518,602,46.3
33,Fulham,eng Premier League,25,38.0,84,4,3,384,364,51,736,371,384,2,8,4,1837,487,509,48.9
34,Genoa,it Serie A,34,38.0,79,3,3,450,406,47,610,332,352,3,4,1,1643,610,543,52.9
35,Getafe,es La Liga,33,38.0,135,10,5,648,437,78,701,307,364,3,7,0,1773,657,692,48.7
36,Girona,es La Liga,25,38.0,75,1,0,406,471,95,698,257,340,7,7,0,1808,373,390,48.9
37,Gladbach,de Bundesliga,27,34.0,66,2,1,337,372,53,574,333,337,4,6,0,1701,485,478,50.4
38,Granada,es La Liga,40,38.0,98,4,1,514,504,75,664,280,374,5,6,2,1708,484,540,47.3
39,Heidenheim,de Bundesliga,22,34.0,54,1,0,442,325,38,663,302,352,1,10,3,1741,690,612,53.0
40,Hellas Verona,it Serie A,36,38.0,88,6,2,541,447,61,724,302,387,4,2,1,1842,750,644,53.8
41,Hoffenheim,de Bundesliga,30,34.0,86,5,4,339,366,52,603,357,304,5,5,1,1715,515,515,50.0
42,Inter,it Serie A,27,38.0,46,1,0,405,408,77,804,280,321,11,4,0,1602,535,370,59.1
43,Juventus,it Serie A,31,38.0,87,2,1,478,376,72,708,253,369,3,3,2,1656,486,434,52.8
44,Köln,de Bundesliga,26,34.0,71,4,3,418,364,53,779,305,375,5,3,0,1689,557,533,51.1
45,Las Palmas,es La Liga,29,38.0,84,5,1,411,499,93,580,281,397,3,9,3,1846,395,489,44.7
