Rk,Squad,Comp,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90
1,Alavés,es La Liga,30,25.6,38,3420,90,100,38.0,418,82,230,187,18,258,1.21,36,46,-10,-0.26,46.2,44.7,1.5,0.04
2,Almería,es La Liga,35,25.6,38,3420,90,100,38.0,418,81,239,176,22,257,0.55,43,75,-32,-0.84,48.7,61.6,-12.9,-0.34
3,Arsenal,eng Premier League,25,25.0,38,3420,90,100,38.0,418,84,263,154,17,188,2.34,91,29,62,1.63,76.1,27.9,48.2,1.27
4,Aston Villa,eng Premier League,31,26.9,38,3420,90,100,38.0,418,83,270,151,19,186,1.79,76,61,15,0.39,63.3,59.9,3.4,0.09
5,Atalanta,it Serie A,29,26.3,38,3420,90,100,38.0,418,80,232,188,23,258,1.82,72,42,30,0.79,57.8,41.1,16.7,0.44
6,Athletic Club,es La Liga,27,27.3,38,3420,90,100,38.0,418,80,225,188,22,255,1.79,61,37,24,0.63,52.7,41.3,11.4,0.3
7,Atlético Madrid,es La Liga,27,29.2,38,3420,90,100,38.0,418,78,233,183,26,198,2.0,70,43,27,0.71,62.4,39.5,23.0,0.6
8,Augsburg,de Bundesliga,29,26.0,34,3060,90,100,34.0,374,81,214,158,21,143,1.15,50,60,-10,-0.29,46.1,57.4,-11.3,-0.33
9,Barcelona,es La Liga,29,26.0,38,3420,90,100,38.0,418,81,257,161,23,230,2.24,79,44,35,0.92,77.6,41.6,35.9,0.94
10,Bayern Munich,de Bundesliga,30,27.4,34,3060,90,100,34.0,374,82,231,143,21,134,2.12,94,45,49,1.44,85.2,32.1,53.0,1.56
11,Betis,es La Liga,35,27.8,38,3420,90,100,38.0,418,80,253,164,24,237,1.5,48,45,3,0.08,43.9,50.2,-6.3,-0.17
12,Bochum,de Bundesliga,25,29.1,34,3060,90,100,34.0,374,82,227,146,21,160,0.97,42,74,-32,-0.94,44.5,63.9,-19.3,-0.57
13,Bologna,it Serie A,28,25.2,38,3420,90,100,38.0,418,82,244,174,20,284,1.79,54,32,22,0.58,47.9,37.1,10.9,0.29
14,Bournemouth,eng Premier League,30,25.7,38,3420,90,100,38.0,418,82,247,170,20,171,1.26,54,67,-13,-0.34,55.9,58.1,-2.2,-0.06
