Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
1,Aymen Abdennour,tn TUN,DF,es Valencia,25,1989,3.7,,,,,,,,,,,,,,,0,,,,,,Matches
2,Vincent Aboubakar,cm CMR,FW,pt Porto,23,1992,5.4,,,,,,,,,,,,,,,1,,,,,,Matches
3,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,24,1991,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
4,Olcan Adın,tr TUR,MF,tr Galatasaray,29,1985,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
5,Adriano,br BRA,"DF,MF",es Barcelona,30,1984,2.3,,,,,,,,,,,,,,,0,,,,,,Matches
6,Sergio Agüero,ar ARG,FW,eng Manchester City,27,1988,7.8,,,,,,,,,,,,,,,0,,,,,,Matches
7,Yeldos Akhmetov,kz KAZ,DF,kz FC Astana,25,1990,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
8,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,29,1986,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
9,Nana Akwasi Asare,gh GHA,"DF,MF",be Gent,29,1986,8.0,,,,,,,,,,,,,,,0,,,,,,Matches
10,David Alaba,at AUT,"DF,MF",de Bayern Munich,23,1992,10.3,,,,,,,,,,,,,,,1,,,,,,Matches
11,Jordi Alba,es ESP,"DF,MF",es Barcelona,26,1989,8.2,,,,,,,,,,,,,,,1,,,,,,Matches
12,Gal Alberman,il ISR,MF,il Maccabi Tel Aviv,32,1983,5.9,,,,,,,,,,,,,,,0,,,,,,Matches
13,Paco Alcácer,es ESP,FW,es Valencia,21,1993,4.4,,,,,,,,,,,,,,,1,,,,,,Matches
14,Thiago Alcántara,es ESP,MF,de Bayern Munich,24,1991,8.0,,,,,,,,,,,,,,,3,,,,,,Matches
15,Illya Aleksiyevich,by BLR,"FW,MF",by BATE Borisov,24,1991,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
16,André Almeida,pt POR,"DF,MF",pt Benfica,24,1990,7.3,,,,,,,,,,,,,,,1,,,,,,Matches
17,Xabi Alonso,es ESP,MF,de Bayern Munich,33,1981,7.3,,,,,,,,,,,,,,,0,,,,,,Matches
18,Dani Alves,br BRA,"DF,MF",es Barcelona,32,1983,7.7,,,,,,,,,,,,,,,3,,,,,,Matches
19,Victor Andrade,br BRA,"FW,MF",pt Benfica,19,1995,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
20,André André,pt POR,MF,pt Porto,25,1989,4.4,,,,,,,,,,,,,,,1,,,,,,Matches
21,Marco Andreolli,it ITA,DF,es Sevilla,29,1986,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
22,Marin Aničić,ba BIH,DF,kz FC Astana,25,1989,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
23,Domagoj Antolić,hr CRO,MF,hr Dinamo Zagreb,25,1990,5.7,,,,,,,,,,,,,,,0,,,,,,Matches
24,José Antonio Reyes,es ESP,MF,es Sevilla,31,1983,1.8,,,,,,,,,,,,,,,0,,,,,,Matches
25,Vitorino Antunes,pt POR,DF,ua Dynamo Kyiv,28,1987,6.0,,,,,,,,,,,,,,,0,,,,,,Matches
26,Aleksandr Anyukov,ru RUS,DF,ru Zenit,32,1982,6.4,,,,,,,,,,,,,,,0,,,,,,Matches
27,Álvaro Arbeloa,es ESP,DF,es Real Madrid,32,1983,2.0,,,,,,,,,,,,,,,0,,,,,,Matches
28,Santiago Arias,co COL,"DF,MF",nl PSV Eindhoven,23,1992,6.2,,,,,,,,,,,,,,,0,,,,,,Matches
29,Kári Árnason,is ISL,"DF,MF",se Malmö,32,1982,5.0,,,,,,,,,,,,,,,0,,,,,,Matches
30,Maximilian Arnold,de GER,MF,de Wolfsburg,21,1994,7.9,,,,,,,,,,,,,,,0,,,,,,Matches
31,Mikel Arteta,es ESP,MF,eng Arsenal,33,1982,0.7,,,,,,,,,,,,,,,0,,,,,,Matches
32,Jean-Kévin Augustin,fr FRA,FW,fr Paris S-G,18,1997,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
33,Serge Aurier,ci CIV,"DF,MF",fr Paris S-G,22,1992,4.5,,,,,,,,,,,,,,,1,,,,,,Matches
34,Márcio Azevedo,br BRA,DF,ua Shakhtar,29,1986,2.7,,,,,,,,,,,,,,,0,,,,,,Matches
35,César Azpilicueta,es ESP,"DF,MF",eng Chelsea,25,1989,8.0,,,,,,,,,,,,,,,0,,,,,,Matches
36,Shlomi Azulay,il ISR,FW,il Maccabi Tel Aviv,25,1989,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
37,Holger Badstuber,de GER,DF,de Bayern Munich,26,1989,0.6,,,,,,,,,,,,,,,0,,,,,,Matches
38,Dzmitry Baha,by BLR,MF,by BATE Borisov,25,1990,0.7,,,,,,,,,,,,,,,0,,,,,,Matches
39,Gareth Bale,wls WAL,"FW,MF",es Real Madrid,26,1989,7.1,,,,,,,,,,,,,,,3,,,,,,Matches
40,Hakan Balta,tr TUR,DF,tr Galatasaray,32,1983,5.9,,,,,,,,,,,,,,,0,,,,,,Matches
41,Éver Banega,ar ARG,MF,es Sevilla,27,1988,4.6,,,,,,,,,,,,,,,0,,,,,,Matches
42,Danilo Barbosa,br BRA,"DF,MF",es Valencia,19,1996,0.9,,,,,,,,,,,,,,,0,,,,,,Matches
43,Antonio Barragán,es ESP,"DF,MF",es Valencia,28,1987,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
