Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
1,Vincent Aboubakar,cm CMR,FW,pt Porto,25,1992,5.5,178,1,10,106,63,20,178,8,2,25.0,6,75.0,127,463,140,4,6,2,8,15,154,38,Matches
2,Marcos Acuña,ar ARG,"FW,DF",pt Sporting CP,25,1991,4.8,210,5,35,114,70,3,210,16,9,56.3,7,43.8,118,706,259,12,6,0,14,9,125,19,Matches
3,Tosin Adarabioyo,eng ENG,DF,eng Manchester City,19,1997,1.0,98,5,28,68,3,0,98,0,0,,0,,86,220,95,0,0,0,0,0,82,0,Matches
4,Adriano,br BRA,DF,tr Beşiktaş,32,1984,5.4,321,16,102,170,50,0,321,7,4,57.1,3,42.9,129,843,491,14,6,0,2,1,154,11,Matches
5,Luiz Adriano,br BRA,"FW,MF",ru Spartak Moscow,30,1987,6.0,218,16,22,111,87,15,218,8,6,75.0,2,25.0,121,558,190,8,5,2,20,9,156,35,Matches
6,Ansi Agolli,al ALB,DF,az Qarabağ,34,1982,4.0,262,26,84,138,42,0,262,3,2,66.7,1,33.3,151,630,296,6,3,0,0,2,174,14,Matches
7,Sergio Agüero,ar ARG,FW,eng Manchester City,29,1988,4.9,186,0,4,72,113,36,184,11,7,63.6,4,36.4,137,764,370,17,9,10,9,13,148,37,Matches
8,Karim El Ahmadi,ma MAR,MF,nl Feyenoord,32,1985,4.0,228,6,62,148,22,0,228,0,0,,0,,135,602,187,1,1,0,3,5,140,1,Matches
9,Valon Ahmedi,al ALB,"MF,FW",si NK Maribor,22,1994,2.5,104,0,12,46,48,3,104,8,2,25.0,6,75.0,67,502,204,9,6,2,4,6,76,12,Matches
10,Albian Ajeti,ch SUI,FW,ch Basel,20,1997,1.1,16,0,0,8,8,1,16,0,0,,0,,8,53,17,0,0,0,1,2,11,2,Matches
11,Manuel Akanji,ch SUI,DF,ch Basel,22,1995,6.0,326,30,165,153,11,6,326,2,1,50.0,1,50.0,191,1243,740,7,3,0,1,1,208,0,Matches
12,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,31,1986,6.0,190,169,189,1,0,0,190,0,0,,0,,82,470,398,0,0,0,0,0,72,0,Matches
13,David Alaba,at AUT,DF,de Bayern Munich,25,1992,6.9,448,18,80,185,185,15,448,2,0,0.0,2,100.0,255,1149,611,20,17,2,5,3,293,62,Matches
14,Jordi Alba,es ESP,DF,es Barcelona,28,1989,7.1,628,32,146,311,174,7,628,5,2,40.0,3,60.0,359,1263,573,7,9,1,6,1,451,61,Matches
15,Raúl Albiol,es ESP,DF,it Napoli,31,1985,5.0,433,26,163,260,12,6,433,0,0,,0,,261,1366,783,3,0,0,1,0,323,1,Matches
16,Paco Alcácer,es ESP,FW,es Barcelona,23,1993,1.1,63,0,8,29,26,6,63,1,0,0.0,1,100.0,40,135,28,0,1,0,0,3,50,11,Matches
17,Thiago Alcántara,es ESP,MF,de Bayern Munich,26,1991,6.7,655,13,111,407,148,6,655,24,19,79.2,5,20.8,404,1778,943,9,12,1,9,10,499,18,Matches
18,Toby Alderweireld,be BEL,DF,eng Tottenham,28,1989,3.3,204,25,100,98,6,2,204,0,0,,0,,111,479,196,1,1,0,1,1,130,1,Matches
19,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,18,1998,9.1,704,30,166,357,188,9,704,13,5,38.5,8,61.5,407,1694,1086,21,23,1,3,4,421,54,Matches
20,Nektarios Alexandrou,cy CYP,"DF,MF",cy APOEL FC,33,1983,0.6,25,3,9,9,7,1,25,0,0,,0,,7,18,4,0,1,0,1,0,11,2,Matches
21,Alisson,br BRA,GK,it Roma,24,1992,12.0,433,373,433,0,0,0,433,1,1,100.0,0,0.0,259,1274,855,0,1,1,1,0,185,0,Matches
22,Allan,br BRA,MF,it Napoli,26,1991,3.4,197,1,22,139,41,3,197,11,6,54.5,5,45.5,107,466,253,5,3,1,6,13,133,8,Matches
23,Dele Alli,eng ENG,"MF,FW",eng Tottenham,21,1996,4.8,255,4,24,114,121,16,255,22,12,54.5,10,45.5,207,1067,444,10,19,5,15,13,208,42,Matches
24,André Almeida,pt POR,DF,pt Benfica,26,1990,2.9,329,3,41,191,98,4,329,9,6,66.7,3,33.3,190,1117,712,19,12,0,4,2,224,21,Matches
25,André Almeida Pinto,pt POR,DF,pt Sporting CP,27,1989,2.0,108,9,45,60,3,3,108,0,0,,0,,51,207,91,0,0,0,0,0,74,0,Matches
26,Richard Almeida,az AZE,MF,az Qarabağ,28,1989,6.0,456,7,85,332,46,2,456,8,6,75.0,2,25.0,322,1674,700,15,11,0,10,7,364,8,Matches
27,Stathis Aloneftis,cy CYP,"FW,MF",cy APOEL FC,34,1983,5.6,212,8,55,82,83,18,212,24,10,41.7,14,58.3,125,1130,590,22,10,9,11,14,117,40,Matches
28,Marcos Alonso,es ESP,"DF,MF",eng Chelsea,26,1990,6.6,393,11,93,163,139,15,393,9,7,77.8,2,22.2,199,920,475,6,5,0,8,10,208,44,Matches
29,Éder Álvarez Balanta,co COL,DF,ch Basel,24,1993,5.9,402,22,192,209,7,1,402,15,12,80.0,3,20.0,198,1030,614,8,3,1,4,3,198,0,Matches
30,Dani Alves,br BRA,DF,fr Paris S-G,34,1983,8.0,749,28,201,377,177,16,749,22,12,54.5,10,45.5,426,1910,1154,29,14,2,8,9,508,45,Matches
31,Sofyan Amrabat,ma MAR,"MF,DF",nl Feyenoord,20,1996,5.9,304,6,70,194,44,1,304,13,11,84.6,2,15.4,189,1113,472,9,6,0,8,6,186,4,Matches
32,André André,pt POR,"MF,FW",pt Porto,27,1989,2.5,132,4,31,86,15,3,132,2,2,100.0,0,0.0,83,407,154,3,0,0,8,3,87,6,Matches
33,Thanasis Androutsos,gr GRE,FW,gr Olympiacos,20,1997,1.0,35,2,11,13,11,2,35,2,1,50.0,1,50.0,20,61,24,1,1,0,4,1,24,5,Matches
34,Minas Antoniou,cy CYP,FW,cy APOEL FC,23,1994,0.1,6,0,1,4,1,0,6,0,0,,0,,2,6,6,0,0,0,0,0,3,0,Matches
35,Mirko Antonucci,it ITA,FW,it Roma,18,1999,0.2,7,0,0,2,5,2,7,0,0,,0,,5,28,17,1,0,0,1,0,6,0,Matches
36,Dennis Appiah,fr FRA,"DF,MF",be Anderlecht,25,1992,5.7,388,18,80,188,123,3,388,13,7,53.8,6,46.2,179,917,459,15,14,2,6,8,253,44,Matches
37,Alphonse Areola,fr FRA,GK,fr Paris S-G,24,1993,8.0,226,207,226,0,0,0,226,0,0,,0,,87,442,285,0,0,0,0,0,78,0,Matches
38,Stuart Armstrong,sct SCO,MF,sct Celtic,25,1992,2.6,138,1,22,93,27,2,138,6,6,100.0,0,0.0,70,402,211,4,3,0,6,2,94,9,Matches
39,Tolgay Arslan,de GER,MF,tr Beşiktaş,26,1990,3.6,258,2,49,176,36,1,258,7,6,85.7,1,14.3,158,688,331,4,2,0,1,5,190,2,Matches
40,Kwadwo Asamoah,gh GHA,DF,it Juventus,28,1988,1.1,73,4,17,43,14,0,73,1,1,100.0,0,0.0,43,167,103,3,1,0,1,0,51,3,Matches
41,Marco Asensio,es ESP,"MF,FW",es Real Madrid,21,1996,5.2,377,7,41,161,183,18,377,14,9,64.3,5,35.7,296,1975,1023,31,20,5,12,3,307,52,Matches
42,Pierre-Emerick Aubameyang,ga GAB,FW,de Dortmund,28,1989,6.0,151,0,0,58,93,31,151,4,3,75.0,1,25.0,82,631,263,10,7,5,13,11,105,40,Matches
43,Jean-Kévin Augustin,fr FRA,FW,de RB Leipzig,20,1997,3.8,118,0,6,56,57,19,118,12,5,41.7,7,58.3,88,451,168,6,5,3,16,12,90,31,Matches
44,Filipe Augusto,br BRA,MF,pt Benfica,23,1993,2.6,190,3,27,135,28,0,190,5,4,80.0,1,20.0,100,521,208,2,2,0,2,3,143,3,Matches
45,Serge Aurier,ci CIV,DF,eng Tottenham,24,1992,5.6,374,17,91,170,117,8,374,9,5,55.6,4,44.4,220,983,489,11,9,1,11,6,214,48,Matches
46,Márcio Azevedo,br BRA,DF,ua Shakhtar,31,1986,0.3,7,0,1,5,1,0,7,0,0,,0,,4,24,16,1,0,0,0,0,8,1,Matches
47,César Azpilicueta,es ESP,DF,eng Chelsea,27,1989,7.8,584,40,199,311,75,1,584,2,1,50.0,1,50.0,336,1309,721,11,5,0,6,1,402,13,Matches
48,Ryan Babel,nl NED,FW,tr Beşiktaş,30,1986,6.2,284,4,34,141,114,15,284,19,9,47.4,10,52.6,183,1186,477,14,12,2,24,11,217,38,Matches
49,Eric Bailly,ci CIV,DF,eng Manchester Utd,23,1994,3.0,194,17,91,104,1,0,194,1,1,100.0,0,0.0,135,512,204,0,1,0,0,1,129,0,Matches
50,Gregor Bajde,si SVN,"MF,FW",si NK Maribor,23,1994,2.8,106,4,29,49,30,3,106,7,1,14.3,6,85.7,57,379,108,4,2,1,8,5,78,12,Matches
51,Tiemoué Bakayoko,fr FRA,MF,eng Chelsea,22,1994,4.0,212,5,30,137,46,13,212,7,4,57.1,3,42.9,149,603,258,6,3,0,9,9,141,7,Matches
