Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%,Matches
1,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5,5,449,5.0,6,1.20,27,20,77.8,2,1,2,1,20.0,1,0,1,0,100.0,Matches
2,Alisson,br BRA,GK,eng Liverpool,25,1992,13,13,1170,13.0,12,0.92,56,45,78.6,8,1,4,6,46.2,0,0,0,0,,Matches
3,Alphonse Areola,fr FRA,GK,fr Paris S-G,25,1993,3,3,270,3.0,6,2.00,15,9,66.7,1,1,1,0,0.0,1,1,0,0,0.0,Matches
4,Loic Badiashile,fr FRA,GK,fr Monaco,20,1998,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches
5,David von Ballmoos,ch SUI,GK,ch Young Boys,23,1994,4,4,360,4.0,10,2.50,22,12,59.1,0,0,4,0,0.0,1,1,0,0,0.0,Matches
6,Vasilios Barkas,gr GRE,GK,gr AEK Athens,24,1994,6,6,540,6.0,13,2.17,40,27,72.5,0,0,6,0,0.0,2,2,0,0,0.0,Matches
7,Oliver Baumann,de GER,GK,de Hoffenheim,28,1990,6,6,540,6.0,14,2.33,43,29,67.4,0,3,3,0,0.0,0,0,0,0,,Matches
8,Diego Benaglio,ch SUI,GK,fr Monaco,34,1983,5,5,405,4.5,10,2.22,18,8,50.0,0,0,5,0,0.0,1,1,0,0,0.0,Matches
9,Milan Borjan,ca CAN,GK,rs Red Star,30,1987,6,6,540,6.0,17,2.83,56,38,71.4,1,1,4,2,33.3,2,1,1,0,50.0,Matches
10,Gianluigi Buffon,it ITA,GK,fr Paris S-G,40,1978,5,5,450,5.0,6,1.20,13,7,76.9,3,1,1,1,20.0,3,3,0,0,0.0,Matches
11,Roman Bürki,ch SUI,GK,de Dortmund,27,1990,7,7,630,7.0,6,0.86,22,16,72.7,3,1,3,4,57.1,0,0,0,0,,Matches
12,Iker Casillas,es ESP,GK,pt Porto,37,1981,10,10,930,10.3,15,1.45,37,21,67.6,6,1,3,1,10.0,5,3,1,1,25.0,Matches
13,Jasper Cillessen,nl NED,GK,es Barcelona,29,1989,1,1,90,1.0,1,1.00,7,6,85.7,0,1,0,0,0.0,0,0,0,0,,Matches
14,Thibaut Courtois,be BEL,GK,es Real Madrid,26,1992,5,5,450,5.0,8,1.60,28,20,71.4,3,0,2,2,40.0,0,0,0,0,,Matches
15,Jaume Doménech,es ESP,GK,es Valencia,27,1990,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Matches
16,Ederson,br BRA,GK,eng Manchester City,24,1993,10,10,900,10.0,12,1.20,33,21,72.7,7,1,2,3,30.0,3,3,0,0,0.0,Matches
17,Ralf Fährmann,de GER,GK,de Schalke 04,29,1988,6,6,540,6.0,14,2.33,30,15,60.0,2,1,3,2,33.3,3,2,1,0,33.3,Matches
18,Paulo Gazzaniga,ar ARG,GK,eng Tottenham,26,1992,1,1,90,1.0,1,1.00,4,3,75.0,1,0,0,0,0.0,0,0,0,0,,Matches
19,David de Gea,es ESP,GK,eng Manchester Utd,27,1990,9,9,810,9.0,9,1.00,31,23,71.0,4,1,4,3,33.3,0,0,0,0,,Matches
20,Mathieu Gorgelin,fr FRA,GK,fr Lyon,27,1990,1,0,56,0.6,3,4.82,4,1,25.0,0,0,0,0,,0,0,0,0,,Matches
21,Samir Handanović,si SVN,GK,it Inter,34,1984,6,6,540,6.0,7,1.17,39,32,82.1,2,2,2,0,0.0,0,0,0,0,,Matches
22,Marwin Hitz,ch SUI,GK,de Dortmund,30,1987,1,1,90,1.0,0,0.00,0,0,,1,0,0,1,100.0,0,0,0,0,,Matches
23,Ethan Horvath,us USA,GK,be Club Brugge,23,1995,3,3,270,3.0,0,0.00,11,11,100.0,1,2,0,3,100.0,0,0,0,0,,Matches
24,Aleš Hruška,cz CZE,GK,cz Viktoria Plzeň,32,1985,4,4,360,4.0,9,2.25,23,14,65.2,2,0,2,0,0.0,1,1,0,0,0.0,Matches
25,Matúš Kozáčik,sk SVK,GK,cz Viktoria Plzeň,34,1983,2,2,180,2.0,7,3.50,20,13,70.0,0,1,1,0,0.0,1,1,0,0,0.0,Matches
26,Georgii Kyrnats,ru RUS,"GK,MF",ru CSKA Moscow,20,1998,1,0,,0.0,0,,0,0,,0,0,0,1,,0,0,0,0,,Matches
