Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def,Matches
1,Tammy Abraham,eng ENG,FW,eng Chelsea,21,1997,6.3,17,2.70,12,0,1,4,0,0,1,0.16,0,0,0,1,0,0,Matches
2,Tyler Adams,us USA,"MF,DF",de RB Leipzig,20,1999,0.9,3,3.33,2,0,0,1,0,0,1,1.11,0,0,0,1,0,0,Matches
3,Arijan Ademi,mk MKD,"MF,DF",hr Dinamo Zagreb,28,1991,5.7,8,1.39,7,0,1,0,0,0,2,0.35,2,0,0,0,0,0,Matches
4,Adrián,es ESP,GK,eng Liverpool,32,1987,3.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Sergio Agüero,ar ARG,FW,eng Manchester City,31,1988,2.2,6,2.76,3,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Manuel Akanji,ch SUI,DF,de Dortmund,24,1995,5.8,3,0.52,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,David Alaba,at AUT,DF,de Bayern Munich,27,1992,7.5,12,1.60,11,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Lucas Alario,ar ARG,FW,de Leverkusen,26,1992,2.4,4,1.68,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
9,Jordi Alba,es ESP,DF,es Barcelona,30,1989,3.9,9,2.29,9,0,0,0,0,0,1,0.25,1,0,0,0,0,0,Matches
10,Paco Alcácer,es ESP,FW,de Dortmund,25,1993,1.3,3,2.39,2,0,0,0,0,1,1,0.80,0,0,0,0,0,1,Matches
11,Thiago Alcántara,es ESP,MF,de Bayern Munich,28,1991,9.1,37,4.07,31,2,1,0,0,3,7,0.77,6,1,0,0,0,0,Matches
12,Toby Alderweireld,be BEL,DF,eng Tottenham,30,1989,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
13,Carles Aleñá,es ESP,MF,es Barcelona,21,1998,1.0,5,5.00,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
