Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
1,Tammy Abraham,eng ENG,FW,eng Chelsea,21,1997,6.3,112,95,17,0,0,1,2,0,0,0,0,0,75,0,3,Matches
2,Tyler Adams,us USA,"MF,DF",de RB Leipzig,20,1999,0.9,83,76,7,1,0,0,1,6,0,0,0,0,66,0,4,Matches
3,Arijan Ademi,mk MKD,"MF,DF",hr Dinamo Zagreb,28,1991,5.7,170,164,6,4,0,2,0,0,0,0,0,0,146,0,3,Matches
4,Adrián,es ESP,GK,eng Liverpool,32,1987,3.3,99,75,24,9,0,0,0,0,0,0,0,0,81,0,1,Matches
5,Sergio Agüero,ar ARG,FW,eng Manchester City,31,1988,2.2,53,52,1,0,1,0,2,0,0,0,0,0,36,0,5,Matches
6,Manuel Akanji,ch SUI,DF,de Dortmund,24,1995,5.8,394,369,24,19,1,7,0,5,0,0,0,0,351,1,1,Matches
7,David Alaba,at AUT,DF,de Bayern Munich,27,1992,7.5,595,581,14,9,0,2,4,5,0,0,0,0,538,0,3,Matches
8,Lucas Alario,ar ARG,FW,de Leverkusen,26,1992,2.4,45,40,5,0,0,0,0,0,0,0,0,0,37,0,1,Matches
9,Jordi Alba,es ESP,DF,es Barcelona,30,1989,3.9,230,203,27,10,1,2,5,17,0,0,0,0,194,0,3,Matches
10,Paco Alcácer,es ESP,FW,de Dortmund,25,1993,1.3,20,18,2,0,0,0,2,1,0,0,0,0,13,0,0,Matches
11,Thiago Alcántara,es ESP,MF,de Bayern Munich,28,1991,9.1,835,809,25,20,4,22,0,2,2,0,0,0,759,1,7,Matches
12,Toby Alderweireld,be BEL,DF,eng Tottenham,30,1989,6.0,345,335,10,7,2,1,0,3,0,0,0,0,297,0,0,Matches
13,Carles Aleñá,es ESP,MF,es Barcelona,21,1998,1.0,97,93,4,1,1,0,3,0,3,0,3,0,82,0,1,Matches
14,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,20,1998,6.5,749,606,141,17,1,19,77,89,35,3,22,0,549,2,15,Matches
15,Alisson,br BRA,GK,eng Liverpool,26,1992,5.0,173,142,31,3,0,1,0,0,0,0,0,0,159,0,0,Matches
16,Allan,br BRA,MF,it Napoli,28,1991,4.9,267,261,6,6,2,1,0,0,0,0,0,0,227,0,3,Matches
17,Dele Alli,eng ENG,"MF,FW",eng Tottenham,23,1996,5.7,239,217,22,8,4,0,4,3,1,0,0,0,192,0,9,Matches
18,André Almeida,pt POR,DF,pt Benfica,28,1990,1.0,46,38,8,0,0,0,0,8,0,0,0,0,35,0,1,Matches
19,Marcos Alonso,es ESP,DF,eng Chelsea,28,1990,4.4,289,243,46,5,0,1,10,41,0,0,0,0,230,0,6,Matches
20,Éder Álvarez Balanta,co COL,MF,be Club Brugge,26,1993,3.2,150,149,1,1,1,2,0,0,0,0,0,0,125,0,2,Matches
21,Edson Álvarez,mx MEX,MF,nl Ajax,21,1997,4.2,236,233,3,3,2,0,2,0,0,0,0,0,212,0,1,Matches
22,Nadiem Amiri,de GER,"FW,MF",de Leverkusen,22,1996,2.6,145,132,13,1,0,2,9,4,8,3,4,1,118,0,4,Matches
23,Ethan Ampadu,wls WAL,DF,de RB Leipzig,18,2000,2.0,199,194,5,5,0,1,0,0,0,0,0,0,182,0,0,Matches
24,Joachim Andersen,dk DEN,DF,fr Lyon,23,1996,4.4,240,230,10,8,0,5,0,2,0,0,0,0,215,0,1,Matches
25,Florin Andone,ro ROU,FW,tr Galatasaray,26,1993,1.8,35,29,6,0,0,0,0,0,0,0,0,0,23,0,4,Matches
26,Benjamin André,fr FRA,MF,fr Lille,28,1990,4.5,192,185,7,6,1,0,6,1,0,0,0,0,154,0,2,Matches
27,Miguel Ángel Guerrero,es ESP,FW,gr Olympiacos,29,1990,3.5,71,63,7,0,0,0,1,0,0,0,0,0,52,1,2,Matches
28,Angeliño,es ESP,"DF,MF",de RB Leipzig,22,1997,4.0,236,196,36,6,0,0,24,25,5,3,1,0,168,4,6,Matches
29,Angeliño,es ESP,DF,eng Manchester City,22,1997,1.0,82,74,7,0,0,0,2,7,0,0,0,0,70,1,1,Matches
30,Marcos Antônio,br BRA,MF,ua Shakhtar,19,2000,0.3,28,27,1,1,0,0,0,0,0,0,0,0,25,0,0,Matches
31,Houssem Aouar,dz ALG,"MF,FW",fr Lyon,21,1998,7.9,318,301,14,5,2,3,10,4,4,1,1,0,248,3,11,Matches
32,Youssef El-Arabi,ma MAR,FW,gr Olympiacos,32,1987,3.1,65,55,9,1,0,1,0,0,0,0,0,0,43,1,4,Matches
33,Charles Aránguiz,cl CHI,MF,de Leverkusen,30,1989,4.6,374,363,10,5,2,3,5,2,3,0,3,0,327,1,4,Matches
34,Luiz Araújo,br BRA,"FW,MF",fr Lille,23,1996,3.1,84,84,0,0,0,0,6,0,0,0,0,0,54,0,4,Matches
35,Alphonse Areola,fr FRA,GK,es Real Madrid,26,1993,1.5,59,40,19,8,0,0,0,0,0,0,0,0,47,0,0,Matches
36,Santiago Arias,co COL,DF,es Atlético Madrid,27,1992,2.0,142,120,22,1,0,0,8,21,0,0,0,0,109,0,2,Matches
37,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,24,1994,6.0,177,122,54,9,0,0,0,0,0,0,0,0,140,1,0,Matches
38,Kwadwo Asamoah,gh GHA,"FW,DF",it Inter,30,1988,2.9,95,82,13,1,0,1,2,12,0,0,0,0,72,0,1,Matches
39,Marco Asensio,es ESP,FW,es Real Madrid,23,1996,0.3,15,15,0,0,0,0,1,0,0,0,0,0,10,0,0,Matches
40,Majeed Ashimeru,gh GHA,MF,at RB Salzburg,21,1997,0.7,41,40,0,0,0,0,0,0,0,0,0,0,34,1,1,Matches
41,Iyayi Atiemwen,ng NGA,FW,hr Dinamo Zagreb,23,1996,0.1,3,1,2,0,0,0,0,1,0,0,0,0,2,0,0,Matches
42,Serge Aurier,ci CIV,DF,eng Tottenham,26,1992,5.0,266,226,40,0,0,0,16,40,0,0,0,0,206,0,4,Matches
43,Sardar Azmoun,ir IRN,FW,ru Zenit,24,1995,5.1,112,104,7,0,2,0,5,0,0,0,0,0,74,1,5,Matches
44,César Azpilicueta,es ESP,DF,eng Chelsea,29,1989,6.8,469,396,71,9,2,1,19,62,0,0,0,0,383,2,12,Matches
45,Ryan Babel,nl NED,FW,tr Galatasaray,32,1986,3.7,118,114,4,1,0,0,3,1,0,0,0,0,91,0,0,Matches
46,Leon Bailey,jm JAM,"FW,MF",de Leverkusen,21,1997,1.3,57,52,5,1,0,1,10,1,3,3,0,0,37,0,4,Matches
47,Gareth Bale,wls WAL,"FW,MF",es Real Madrid,30,1989,1.3,42,41,1,0,0,0,2,1,0,0,0,0,28,0,2,Matches
48,Leonardo Balerdi,ar ARG,MF,de Dortmund,20,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
49,Jonathan Bamba,ci CIV,"FW,MF",fr Lille,23,1996,3.1,126,110,15,2,2,0,12,3,10,3,3,0,98,1,2,Matches
50,Nicolò Barella,it ITA,MF,it Inter,22,1997,3.2,126,122,4,3,1,3,3,1,0,0,0,0,105,0,0,Matches
51,Dmitri Barinov,ru RUS,MF,ru Loko Moscow,22,1996,5.0,156,146,9,8,1,0,1,0,0,0,0,0,112,1,4,Matches
52,Ross Barkley,eng ENG,"FW,MF",eng Chelsea,25,1993,1.8,41,40,1,0,0,0,2,1,0,0,0,0,30,0,1,Matches
53,Wílmar Barrios,co COL,MF,ru Zenit,25,1993,6.0,241,235,5,5,0,1,0,0,0,0,0,0,206,1,1,Matches
54,Musa Barrow,gm GAM,MF,it Atalanta,20,1998,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
55,Michy Batshuayi,be BEL,FW,eng Chelsea,25,1993,1.0,24,22,2,0,0,0,0,0,0,0,0,0,15,0,0,Matches
56,Julian Baumgartlinger,at AUT,MF,de Leverkusen,31,1988,3.8,260,253,7,7,0,5,1,0,0,0,0,0,235,0,0,Matches
57,Ömer Bayram,tr TUR,"FW,MF",tr Galatasaray,28,1991,2.8,99,91,8,3,0,1,15,1,4,2,2,0,72,0,4,Matches
58,Donny van de Beek,nl NED,MF,nl Ajax,22,1997,5.0,160,152,6,0,2,0,1,1,0,0,0,0,125,2,6,Matches
59,Younès Belhanda,ma MAR,"MF,FW",tr Galatasaray,29,1990,3.4,151,142,8,5,1,1,0,1,0,0,0,0,125,1,1,Matches
60,Karim Bellarabi,de GER,"FW,MF",de Leverkusen,29,1990,4.6,225,222,3,0,0,2,27,3,0,0,0,0,157,0,8,Matches
61,Lars Bender,de GER,DF,de Leverkusen,30,1989,3.0,282,245,36,6,0,3,8,30,0,0,0,0,244,1,2,Matches
62,Sven Bender,de GER,DF,de Leverkusen,30,1989,6.0,464,453,10,9,0,2,0,1,0,0,0,0,429,1,1,Matches
63,Rodrigo Bentancur,uy URU,MF,it Juventus,22,1997,4.7,298,289,8,3,1,1,15,1,4,0,4,0,251,1,9,Matches
64,Karim Benzema,fr FRA,FW,es Real Madrid,31,1987,7.2,291,272,19,2,3,2,1,0,1,0,0,0,253,0,5,Matches
65,Yassine Benzia,dz ALG,MF,gr Olympiacos,24,1994,0.9,37,36,1,0,0,0,1,0,1,0,1,0,30,0,0,Matches
66,Sander Berge,no NOR,MF,be Genk,21,1998,6.0,279,267,12,11,0,6,9,1,0,0,0,0,231,0,5,Matches
67,Steven Bergwijn,nl NED,"MF,FW",eng Tottenham,21,1997,1.0,24,22,1,0,0,0,0,1,0,0,0,0,18,1,1,Matches
68,Federico Bernardeschi,it ITA,MF,it Juventus,25,1994,2.9,100,91,8,0,1,0,12,3,5,3,2,0,73,1,5,Matches
69,Juan Bernat,es ESP,DF,fr Paris S-G,26,1993,9.7,530,442,88,20,1,0,10,68,0,0,0,0,472,0,10,Matches
70,Antoine Bernede,fr FRA,MF,at RB Salzburg,20,1999,1.0,63,62,1,1,0,1,0,0,0,0,0,0,57,0,2,Matches
71,Cristiano Biraghi,it ITA,"DF,FW",it Inter,26,1992,2.4,98,60,38,5,1,0,15,30,3,0,3,0,68,0,4,Matches
72,Daley Blind,nl NED,DF,nl Ajax,29,1990,4.7,336,317,16,16,0,3,2,0,0,0,0,0,268,3,3,Matches
73,Richmond Boakye,gh GHA,FW,rs Red Star,26,1993,2.1,57,53,4,0,2,0,0,0,0,0,0,0,48,0,1,Matches
74,Jérôme Boateng,de GER,DF,de Bayern Munich,30,1988,6.4,483,470,10,9,2,7,2,1,0,0,0,0,420,3,1,Matches
75,Serhiy Bolbat,ua UKR,DF,ua Shakhtar,26,1993,2.7,125,105,20,7,0,1,1,13,0,0,0,0,103,0,3,Matches
76,Theo Bongonda,cd COD,"MF,FW",be Genk,23,1995,2.9,75,70,5,0,1,2,16,2,3,0,1,0,44,0,8,Matches
77,Leonardo Bonucci,it ITA,DF,it Juventus,32,1987,7.0,618,589,26,24,2,13,2,2,0,0,0,0,547,3,0,Matches
78,Neto Borges,br BRA,DF,be Genk,22,1996,0.1,5,4,1,0,0,0,1,1,0,0,0,0,3,0,0,Matches
79,Jan Bořil,cz CZE,DF,cz Slavia Prague,28,1991,6.0,355,292,62,2,0,2,10,60,0,0,0,0,276,1,3,Matches
80,Milan Borjan,ca CAN,GK,rs Red Star,31,1987,6.0,203,106,97,26,0,0,0,0,0,0,0,0,118,0,0,Matches
81,Andreas Bouchalakis,gr GRE,MF,gr Olympiacos,26,1993,5.3,212,208,4,1,2,5,2,3,0,0,0,0,180,0,1,Matches
82,Domagoj Bradarić,hr CRO,"MF,DF",fr Lille,19,1999,3.0,143,120,22,3,0,0,17,17,2,1,1,0,101,1,1,Matches
83,Julian Brandt,de GER,"MF,FW",de Dortmund,23,1996,5.4,293,287,6,0,2,4,8,1,1,0,1,0,225,0,7,Matches
84,Claudio Bravo,cl CHI,GK,eng Manchester City,36,1983,1.4,49,40,9,1,0,0,0,0,0,0,0,0,45,0,0,Matches
85,Marcelo Brozović,hr CRO,MF,it Inter,26,1992,5.8,340,312,24,20,0,4,4,1,3,1,1,0,292,4,5,Matches
86,Jacob Bruun Larsen,dk DEN,FW,de Dortmund,20,1998,0.2,3,2,1,0,0,0,0,0,0,0,0,0,3,0,0,Matches
87,Gianluigi Buffon,it ITA,GK,it Juventus,41,1978,1.0,39,24,15,4,0,0,0,0,0,0,0,0,34,0,0,Matches
88,Mick van Buren,nl NED,FW,cz Slavia Prague,26,1992,0.5,19,18,1,0,0,0,0,0,0,0,0,0,15,0,0,Matches
89,Roman Bürki,ch SUI,GK,de Dortmund,28,1990,8.0,239,183,54,14,0,1,0,0,0,0,0,0,168,2,0,Matches
90,Sergio Busquets,es ESP,MF,es Barcelona,31,1988,5.6,433,418,15,12,1,1,0,3,0,0,0,0,388,0,2,Matches
91,Adem Büyük,tr TUR,FW,tr Galatasaray,31,1987,1.0,25,24,1,0,0,0,0,0,0,0,0,0,16,0,2,Matches
92,Willy Caballero,ar ARG,GK,eng Chelsea,37,1981,2.0,80,55,25,1,0,0,0,0,0,0,0,0,58,0,0,Matches
93,Mattia Caldara,it ITA,DF,it Atalanta,25,1994,2.8,71,68,3,3,0,1,0,0,0,0,0,0,61,0,0,Matches
94,José Callejón,es ESP,"MF,FW",it Napoli,32,1987,6.3,273,249,23,7,0,5,28,4,12,2,10,0,223,1,2,Matches
95,Mohamed Camara,gn GUI,MF,gr Olympiacos,22,1997,4.6,202,192,10,9,0,1,3,0,0,0,0,0,146,0,4,Matches
96,Emre Can,de GER,MF,de Dortmund,25,1994,2.0,116,116,0,0,0,1,1,0,0,0,0,0,102,0,0,Matches
97,José Cañas,es ESP,MF,rs Red Star,32,1987,3.5,138,135,2,2,0,0,0,0,0,0,0,0,124,1,0,Matches
98,João Cancelo,pt POR,DF,eng Manchester City,25,1994,6.3,521,465,55,4,2,1,17,51,0,0,0,0,450,1,6,Matches
99,Antonio Candreva,it ITA,"FW,DF",it Inter,32,1987,4.3,186,149,35,3,1,6,16,31,1,0,1,0,119,2,2,Matches
100,Maxence Caqueret,fr FRA,MF,fr Lyon,19,2000,3.0,75,74,1,1,1,0,0,0,0,0,0,0,64,0,2,Matches
101,Yannick Carrasco,be BEL,"MF,FW",es Atlético Madrid,25,1993,1.0,30,25,5,2,0,0,3,1,2,1,0,0,23,0,1,Matches
102,Dani Carvajal,es ESP,DF,es Real Madrid,27,1992,6.9,517,445,72,6,0,4,22,66,0,0,0,0,429,0,7,Matches
103,Casemiro,br BRA,MF,es Real Madrid,27,1992,7.7,518,503,15,15,1,7,4,0,0,0,0,0,437,0,6,Matches
104,Timothy Castagne,be BEL,DF,it Atalanta,23,1995,4.4,212,177,35,2,0,1,11,33,0,0,0,0,176,0,7,Matches
105,Edinson Cavani,uy URU,FW,fr Paris S-G,32,1987,1.5,23,22,1,0,0,0,0,0,0,0,0,0,20,0,0,Matches
106,Zeki Çelik,tr TUR,"DF,MF",fr Lille,22,1997,6.0,321,252,69,4,1,0,16,65,0,0,0,0,242,0,8,Matches
107,Murilo Cerqueira,br BRA,"MF,DF",ru Loko Moscow,22,1997,4.1,91,85,5,5,0,0,1,0,0,0,0,0,62,1,2,Matches
108,Franco Cervi,ar ARG,MF,pt Benfica,25,1994,4.4,150,142,8,0,0,0,9,8,0,0,0,0,108,0,2,Matches
109,Rayan Cherki,fr FRA,"DF,MF",fr Lyon,15,2003,0.4,9,9,0,0,0,0,1,0,0,0,0,0,8,0,0,Matches
110,Denis Cheryshev,ru RUS,"MF,FW",es Valencia,28,1990,2.9,82,80,2,0,0,1,8,2,0,0,0,0,52,0,6,Matches
111,Chiquinho,pt POR,FW,pt Benfica,24,1995,3.0,116,111,4,1,0,0,5,0,3,0,3,0,91,1,3,Matches
112,Andreas Christensen,dk DEN,DF,eng Chelsea,23,1996,4.0,168,165,3,3,0,0,0,0,0,0,0,0,156,0,0,Matches
113,Jasper Cillessen,nl NED,GK,es Valencia,30,1989,6.0,203,120,82,23,0,1,0,0,0,0,0,0,130,1,0,Matches
114,Kingsley Coman,fr FRA,FW,de Bayern Munich,23,1996,6.1,273,267,5,0,0,2,34,5,0,0,0,0,212,1,6,Matches
115,Dion Cools,my MAS,MF,be Club Brugge,23,1996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
116,Francis Coquelin,fr FRA,"MF,DF",es Valencia,28,1991,4.8,205,200,4,4,0,3,0,0,0,0,0,0,178,1,3,Matches
117,Vedran Ćorluka,hr CRO,DF,ru Loko Moscow,33,1986,5.8,182,166,16,16,0,6,0,0,0,0,0,0,142,0,1,Matches
118,Maxwel Cornet,ci CIV,"DF,MF",fr Lyon,22,1996,6.1,243,207,36,3,1,0,22,28,5,2,1,0,175,0,6,Matches
119,Carlos Coronel,py PAR,GK,at RB Salzburg,22,1996,2.6,73,37,36,2,0,0,0,0,0,0,0,0,45,0,0,Matches
120,Ángel Correa,ar ARG,"MF,FW",es Atlético Madrid,24,1995,4.9,119,117,1,0,3,0,4,0,1,0,0,0,78,1,5,Matches
121,Thierry Correia,pt POR,DF,es Valencia,20,1999,0.2,12,11,1,0,0,0,3,1,0,0,0,0,6,0,0,Matches
122,Diego Costa,es ESP,FW,es Atlético Madrid,30,1988,5.1,105,102,3,0,1,1,1,2,0,0,0,0,75,0,5,Matches
123,Douglas Costa,br BRA,MF,it Juventus,28,1990,0.2,23,22,1,0,0,0,2,1,0,0,0,0,19,0,1,Matches
124,Jaume Costa,es ESP,DF,es Valencia,31,1988,2.7,124,102,21,3,0,0,3,18,0,0,0,0,90,1,1,Matches
125,Gaëtan Coucke,be BEL,GK,be Genk,20,1998,5.0,228,158,68,17,0,1,0,0,0,0,0,0,152,2,0,Matches
126,Vladimír Coufal,cz CZE,DF,cz Slavia Prague,26,1992,6.0,335,286,47,0,1,0,10,47,0,0,0,0,251,2,13,Matches
127,Thibaut Courtois,be BEL,GK,es Real Madrid,27,1992,6.5,228,180,48,5,0,0,0,0,0,0,0,0,191,0,0,Matches
128,Philippe Coutinho,br BRA,"MF,FW",de Bayern Munich,27,1992,5.8,339,292,47,3,3,2,36,2,33,17,9,0,258,0,3,Matches
129,Juan Cuadrado,co COL,"DF,FW",it Juventus,31,1988,5.5,434,397,35,7,2,11,19,28,0,0,0,0,371,2,8,Matches
130,Carlos Cuesta,co COL,"DF,MF",be Genk,20,1999,4.0,103,100,3,3,1,1,0,0,0,0,0,0,80,0,2,Matches
131,Matheus Cunha,br BRA,FW,de RB Leipzig,20,1999,0.9,24,23,1,0,0,1,1,0,0,0,0,0,19,0,1,Matches
132,Danilo D'Ambrosio,it ITA,"DF,FW",it Inter,30,1988,2.0,109,99,10,2,0,0,2,8,0,0,0,0,85,0,1,Matches
133,Jacopo Da Riva,it ITA,MF,it Atalanta,18,2000,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
134,Colin Dagba,fr FRA,DF,fr Paris S-G,20,1998,1.0,59,48,11,0,0,0,5,11,0,0,0,0,49,0,2,Matches
