Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%,Matches
1,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,24,1995,5.0,0,0,0,5,2,1,0,17,2,0,1,0,22,12,12,50.0,Matches
2,Tammy Abraham,eng ENG,FW,eng Chelsea,22,1997,2.6,0,0,0,4,4,2,0,1,0,1,0,0,3,6,6,50.0,Matches
3,Francesco Acerbi,it ITA,DF,it Lazio,32,1988,8.0,2,0,0,7,6,1,21,11,8,0,0,1,39,15,10,60.0,Matches
4,Marcos Acuña,ar ARG,DF,es Sevilla,28,1991,3.6,3,0,0,5,4,0,30,3,8,0,0,0,30,7,7,50.0,Matches
5,Tyler Adams,us USA,"FW,MF",de RB Leipzig,21,1999,3.2,1,0,0,6,2,0,1,5,5,0,0,0,18,3,5,37.5,Matches
6,Karim Adeyemi,de GER,FW,at RB Salzburg,18,2002,0.6,0,0,0,2,1,1,1,0,0,0,0,0,2,1,0,100.0,Matches
7,Adrián,es ESP,GK,eng Liverpool,33,1987,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0,Matches
8,Nayef Aguerd,ma MAR,DF,fr Rennes,24,1996,3.1,0,0,0,2,1,0,0,4,1,0,0,0,21,6,8,42.9,Matches
9,Sergio Agüero,ar ARG,FW,eng Manchester City,32,1988,1.7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,Matches
10,Manuel Akanji,ch SUI,DF,de Dortmund,25,1995,7.0,0,0,0,1,4,0,0,8,5,0,0,0,40,4,6,40.0,Matches
11,Marley Aké,fr FRA,"FW,MF",fr Marseille,19,2001,0.4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0.0,Matches
12,Nathan Aké,nl NED,DF,eng Manchester City,25,1995,2.0,0,0,0,3,1,0,1,3,3,0,0,0,11,4,2,66.7,Matches
13,Jean-Daniel Akpa-Akpro,ci CIV,MF,it Lazio,27,1992,3.2,2,0,0,5,9,0,0,7,4,0,0,0,13,4,2,66.7,Matches
14,David Alaba,at AUT,"DF,MF",de Bayern Munich,28,1992,9.0,2,0,0,13,1,0,9,14,7,0,0,0,48,7,9,43.8,Matches
15,Jordi Alba,es ESP,DF,es Barcelona,31,1989,5.4,1,0,0,6,5,4,16,6,5,0,0,0,37,1,1,50.0,Matches
16,Luis Alberto,es ESP,MF,it Lazio,27,1992,5.3,2,0,0,1,4,0,26,4,5,0,0,0,29,1,2,33.3,Matches
17,Thiago Alcántara,es ESP,MF,eng Liverpool,29,1991,2.5,1,0,0,6,0,0,0,3,8,0,0,0,24,2,8,20.0,Matches
18,Danijel Aleksić,rs SRB,MF,tr Başakşehir,29,1991,1.2,0,0,0,0,2,0,3,0,0,0,0,0,8,2,0,100.0,Matches
19,Carles Aleñá,es ESP,"MF,DF",es Barcelona,22,1998,1.4,0,0,0,1,3,0,2,0,1,0,0,0,14,1,0,100.0,Matches
20,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,21,1998,7.9,2,0,0,5,2,1,49,12,4,0,0,0,63,1,6,14.3,Matches
21,Hasan Ali Kaldırım,tr TUR,DF,tr Başakşehir,30,1989,1.2,0,0,0,0,0,0,6,1,0,0,0,0,6,0,3,0.0,Matches
22,Alisson,br BRA,GK,eng Liverpool,27,1992,7.0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,100.0,Matches
23,Marcos Alonso,es ESP,DF,eng Chelsea,29,1990,2.0,0,0,0,3,2,0,7,0,1,0,0,0,10,2,1,66.7,Matches
24,Éder Álvarez Balanta,co COL,MF,be Club Brugge,27,1993,2.6,0,0,0,9,3,0,0,4,0,0,0,0,30,3,3,50.0,Matches
25,Edson Álvarez,mx MEX,"MF,DF",nl Ajax,22,1997,1.4,0,0,0,3,0,1,0,3,0,0,0,0,8,2,0,100.0,Matches
26,Jordan Amavi,fr FRA,DF,fr Marseille,26,1994,5.0,2,0,0,9,5,0,11,10,7,0,1,0,28,17,8,68.0,Matches
27,Mikkel Andersen,dk DEN,GK,dk Midtjylland,31,1988,2.0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,100.0,Matches
28,Felipe Anderson,br BRA,FW,pt Porto,27,1993,0.7,0,0,0,2,0,0,0,4,1,0,0,0,2,0,2,0.0,Matches
29,Mikael Anderson,is ISL,"MF,FW",dk Midtjylland,22,1998,1.9,1,0,0,7,3,0,3,2,3,0,0,0,8,3,3,50.0,Matches
30,Joel Andersson,se SWE,DF,dk Midtjylland,23,1996,4.4,0,0,0,0,1,0,10,9,6,0,0,0,19,2,3,40.0,Matches
31,Oleksandr Andriyevskyi,ua UKR,MF,ua Dynamo Kyiv,26,1994,1.4,0,0,0,0,0,0,0,2,1,0,0,0,11,1,0,100.0,Matches
32,Angeliño,es ESP,"DF,FW",de RB Leipzig,23,1997,7.0,1,0,0,6,3,1,37,2,7,0,0,0,36,2,4,33.3,Matches
33,Faustino Anjorin,eng ENG,FW,eng Chelsea,18,2001,0.9,0,0,0,2,0,0,0,0,3,0,0,0,5,0,1,0.0,Matches
34,Marcos Antônio,br BRA,MF,ua Shakhtar,20,2000,2.7,0,0,0,1,3,0,0,2,1,0,0,0,15,2,3,40.0,Matches
35,Antony,br BRA,FW,nl Ajax,20,2000,4.0,0,0,0,3,9,3,10,3,3,0,0,0,19,2,3,40.0,Matches
36,Youssef El-Arabi,ma MAR,FW,gr Olympiacos,33,1987,4.7,0,0,0,6,6,12,2,1,0,0,0,0,13,8,19,29.6,Matches
37,Ronald Araújo,uy URU,DF,es Barcelona,21,1999,1.6,0,0,0,3,1,0,0,2,3,0,1,0,5,0,0,,Matches
38,Ari,ru RUS,FW,ru Krasnodar,34,1985,0.3,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,33.3,Matches
39,Bright Arrey-Mbi,de GER,DF,de Bayern Munich,17,2003,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
40,Sergio Arribas,es ESP,FW,es Real Madrid,18,2001,0.4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0.0,Matches
41,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,25,1994,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
42,Marco Asensio,es ESP,FW,es Real Madrid,24,1996,6.9,1,0,0,4,8,1,26,4,6,0,0,0,35,0,6,0.0,Matches
43,Majeed Ashimeru,gh GHA,MF,at RB Salzburg,22,1997,0.5,0,0,0,2,3,0,0,1,2,0,0,0,6,0,0,,Matches
44,Sardar Azmoun,ir IRN,FW,ru Zenit,25,1995,3.2,1,0,0,6,0,2,3,1,0,0,0,0,10,8,9,47.1,Matches
45,César Azpilicueta,es ESP,DF,eng Chelsea,30,1989,10.7,1,0,0,18,7,0,13,11,14,0,0,0,47,26,17,60.5,Matches
46,Demba Ba,sn SEN,FW,tr Başakşehir,35,1985,3.6,0,0,0,3,11,1,1,2,0,0,0,0,11,10,11,47.6,Matches
47,Ousseynou Ba,sn SEN,DF,gr Olympiacos,24,1995,2.1,0,0,0,2,2,0,0,1,3,0,0,0,10,4,2,66.7,Matches
48,Youssouph Badji,sn SEN,FW,be Club Brugge,18,2001,0.4,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,100.0,Matches
49,Mitchel Bakker,nl NED,DF,fr Paris S-G,20,2000,4.6,0,0,0,5,4,1,2,4,6,0,0,0,32,5,4,55.6,Matches
50,Leonardo Balerdi,ar ARG,DF,fr Marseille,21,1999,2.8,2,1,1,3,2,0,0,7,0,0,1,0,20,3,1,75.0,Matches
51,Tudor Băluță,ro ROU,MF,ua Dynamo Kyiv,21,1999,0.1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,,Matches
52,Nicolò Barella,it ITA,MF,it Inter,23,1997,5.9,2,0,0,9,10,2,21,6,11,0,1,0,36,8,4,66.7,Matches
53,Romário Baró,pt POR,MF,pt Porto,20,2000,0.7,0,0,0,1,0,0,0,1,0,0,0,0,4,4,1,80.0,Matches
54,Wílmar Barrios,co COL,MF,ru Zenit,26,1993,5.5,2,0,0,6,11,0,2,15,9,0,1,0,43,5,8,38.5,Matches
55,Alessandro Bastoni,it ITA,DF,it Inter,21,1999,4.6,2,0,0,5,3,0,4,4,2,0,0,0,26,8,3,72.7,Matches
56,Roko Baturina,hr CRO,FW,hu Ferencváros,20,2000,0.4,0,0,0,1,1,0,0,0,0,0,0,0,0,3,3,50.0,Matches
57,Donny van de Beek,nl NED,"MF,FW",eng Manchester Utd,23,1997,3.1,0,0,0,3,1,1,0,2,2,0,0,0,15,1,2,33.3,Matches
58,Jude Bellingham,eng ENG,MF,de Dortmund,17,2003,7.6,2,0,0,11,24,0,3,5,9,0,0,0,45,7,22,24.1,Matches
59,Darío Benedetto,ar ARG,FW,fr Marseille,30,1990,2.9,0,0,0,2,4,1,1,0,1,0,0,0,3,1,6,14.3,Matches
60,László Bénes,sk SVK,MF,de Gladbach,22,1997,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
61,Ramy Bensebaini,dz ALG,DF,de Gladbach,25,1995,5.0,1,0,0,8,3,0,4,11,9,0,0,0,23,7,3,70.0,Matches
62,Rodrigo Bentancur,uy URU,MF,it Juventus,23,1997,5.2,2,0,0,8,3,0,12,10,12,0,0,0,44,6,2,75.0,Matches
63,Karim Benzema,fr FRA,FW,es Real Madrid,32,1987,9.3,0,0,0,4,4,7,4,2,2,0,0,0,18,7,20,25.9,Matches
64,Marcus Berg,se SWE,FW,ru Krasnodar,33,1986,5.7,1,0,0,9,15,2,2,2,1,1,0,0,21,13,18,41.9,Matches
65,Mergim Berisha,de GER,"MF,FW",at RB Salzburg,22,1998,5.2,0,0,0,7,6,1,6,3,1,0,0,0,14,4,17,19.0,Matches
66,Federico Bernardeschi,it ITA,"MF,FW",it Juventus,26,1994,1.7,1,0,0,2,1,2,18,2,1,0,1,0,9,2,2,50.0,Matches
67,Miha Blažič,si SVN,DF,hu Ferencváros,27,1993,6.0,1,0,0,6,2,1,0,16,3,0,0,0,39,3,6,33.3,Matches
68,Daley Blind,nl NED,"DF,MF",nl Ajax,30,1990,4.6,1,0,0,6,2,0,2,5,5,0,0,0,43,8,6,57.1,Matches
69,Jérôme Boateng,de GER,DF,de Bayern Munich,31,1988,5.8,2,0,0,5,4,0,2,14,6,0,0,0,38,3,2,60.0,Matches
70,Franck Boli,ci CIV,FW,hu Ferencváros,26,1993,0.9,0,0,0,1,2,0,0,0,1,0,0,0,2,0,4,0.0,Matches
71,Boli Bolingoli-Mbombo,be BEL,DF,tr Başakşehir,25,1995,4.1,1,0,0,4,3,1,10,9,1,0,1,0,27,10,4,71.4,Matches
72,Valerii Bondar,ua UKR,DF,ua Shakhtar,21,1999,6.0,1,0,0,8,2,0,0,10,4,0,0,1,17,8,12,40.0,Matches
73,Leonardo Bonucci,it ITA,DF,it Juventus,33,1987,5.5,0,0,0,2,3,1,0,8,1,0,0,0,32,6,3,66.7,Matches
74,Endre Botka,hu HUN,DF,hu Ferencváros,25,1994,2.9,1,0,0,4,3,0,5,5,0,0,0,0,15,2,1,66.7,Matches
75,Andreas Bouchalakis,gr GRE,MF,gr Olympiacos,27,1993,4.6,0,0,0,4,4,0,2,9,1,0,0,0,28,10,1,90.9,Matches
76,Yassine Bounou,ma MAR,GK,es Sevilla,29,1991,5.0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,100.0,Matches
77,Benjamin Bourigeaud,fr FRA,MF,fr Rennes,26,1994,4.1,1,0,0,6,1,0,33,5,2,0,0,0,11,1,6,14.3,Matches
78,Denys Boyko,ua UKR,GK,ua Dynamo Kyiv,32,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0,Matches
79,Martin Braithwaite,dk DEN,FW,es Barcelona,29,1991,2.6,0,0,0,0,3,1,0,0,0,2,0,0,2,1,2,33.3,Matches
80,Julian Brandt,de GER,MF,de Dortmund,24,1996,2.4,0,0,0,2,4,0,3,0,2,0,0,0,19,0,1,0.0,Matches
81,Brian Brobbey,nl NED,FW,nl Ajax,18,2002,0.5,0,0,0,0,2,0,1,0,1,0,0,0,0,1,2,33.3,Matches
82,Marcelo Brozović,hr CRO,MF,it Inter,27,1992,4.1,2,0,0,5,1,0,21,4,3,0,0,0,27,2,8,20.0,Matches
83,Bruma,pt POR,"FW,MF",gr Olympiacos,25,1994,0.7,0,0,0,1,1,0,1,0,0,0,0,0,5,0,0,,Matches
84,Gianluigi Buffon,it ITA,GK,it Juventus,42,1978,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
85,Roman Bürki,ch SUI,GK,de Dortmund,29,1990,4.0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,1,0.0,Matches
86,Heorhiy Bushchan,ua UKR,GK,ua Dynamo Kyiv,26,1994,4.0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,1,50.0,Matches
