Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
1,Brenden Aaronson,us USA,MF,at RB Salzburg,20,2000,8,8,714,7.9,0,2,2,0,0,0,0,0,0.5,0.5,1.0,1.5,13,27,51,0.00,0.25,0.25,0.00,0.25,0.06,0.13,0.19,0.06,0.19,Matches
2,Malik Abubakari,gh GHA,FW,se Malmö,21,2000,4,0,119,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,5,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
3,Marcos Acuña,ar ARG,DF,es Sevilla,29,1991,5,5,378,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,13,27,18,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches
4,Tyler Adams,us USA,MF,de RB Leipzig,22,1999,5,3,293,3.3,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,4,17,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Junior Adamu,at AUT,FW,at RB Salzburg,20,2001,8,1,237,2.6,1,0,1,1,0,0,0,0,0.6,0.6,0.4,1.0,3,6,22,0.38,0.00,0.38,0.38,0.38,0.24,0.15,0.39,0.24,0.39,Matches
6,Antonio Adán,es ESP,GK,pt Sporting CP,34,1987,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
7,Edmund Addo,gh GHA,MF,md Sheriff Tiraspol,21,2000,6,6,488,5.4,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.3,4,13,1,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
8,Karim Adeyemi,de GER,FW,at RB Salzburg,19,2002,8,8,602,6.7,3,1,4,1,2,3,2,0,4.6,2.2,0.8,3.0,27,7,64,0.45,0.15,0.60,0.15,0.30,0.68,0.12,0.80,0.33,0.44,Matches
9,Michel Aebischer,ch SUI,MF,ch Young Boys,24,1997,6,6,502,5.6,0,1,1,0,0,0,2,0,0.2,0.2,0.6,0.9,13,28,16,0.00,0.18,0.18,0.00,0.18,0.04,0.11,0.16,0.04,0.16,Matches
10,Sergio Agüero,ar ARG,FW,es Barcelona,33,1988,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
11,Anel Ahmedhodžić,ba BIH,DF,se Malmö,22,1999,5,5,412,4.6,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,4,24,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
