Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
1,Kepa Arrizabalaga,es ESP,GK,es Real Madrid,28,1994,4.0,5,1,0,1,0,4.3,0.22,-0.7,-0.18,8,21,38.1,123,26,14.6,27.1,19,15.8,25.2,58,4,6.9,2,0.50,12.1,Matches
2,Emil Audero,id IDN,GK,it Inter,26,1997,1.0,3,0,0,0,0,2.2,0.44,-0.8,-0.79,1,2,50.0,30,6,6.7,23.7,7,0.0,27.1,8,1,12.5,2,2.00,18.3,Matches
3,David von Ballmoos,ch SUI,GK,ch Young Boys,28,1994,1.0,2,0,0,0,0,1.1,0.54,-0.9,-0.93,5,14,35.7,35,6,37.1,33.0,2,50.0,45.5,4,1,25.0,0,0.00,6.0,Matches
4,Walter Benítez,ar ARG,GK,nl PSV Eindhoven,30,1993,8.0,13,0,0,1,0,10.9,0.33,-2.1,-0.26,33,86,38.4,220,27,30.0,30.4,50,40.0,35.4,89,1,1.1,6,0.75,18.0,Matches
5,Justin Bijlow,nl NED,GK,nl Feyenoord,25,1998,4.0,7,2,0,1,2,7.0,0.34,+2.0,+0.50,6,24,25.0,166,14,12.0,22.7,12,33.3,34.0,31,1,3.2,12,3.00,18.6,Matches
6,Janis Blaswich,de GER,GK,de RB Leipzig,32,1991,5.0,9,0,0,0,1,8.0,0.39,0.0,-0.01,26,45,57.8,200,17,18.0,27.6,41,22.0,28.0,58,0,0.0,5,1.00,19.4,Matches
7,Jean Butez,fr FRA,GK,be Antwerp,28,1995,5.0,15,0,1,1,1,10.5,0.35,-3.5,-0.70,34,78,43.6,200,26,36.5,33.2,16,31.3,36.9,52,8,15.4,3,0.60,12.7,Matches
8,Diogo Costa,pt POR,GK,pt Porto,23,1999,8.3,9,0,0,0,1,5.9,0.22,-2.1,-0.27,39,118,33.1,322,37,28.9,33.2,52,48.1,42.1,86,8,9.3,14,1.75,16.4,Matches
9,Thibaut Courtois,be BEL,GK,es Real Madrid,31,1992,1.0,0,0,0,0,0,0.8,0.27,+0.8,+0.80,1,5,20.0,21,5,19.0,24.0,2,50.0,47.0,16,1,6.3,0,0.00,9.3,Matches
10,Marko Dmitrović,rs SRB,GK,es Sevilla,31,1992,4.0,8,1,1,0,1,6.5,0.38,-0.5,-0.13,25,76,32.9,109,10,46.8,36.9,38,65.8,49.4,53,6,11.3,2,0.50,9.1,Matches
11,Gianluigi Donnarumma,it ITA,GK,fr Paris S-G,24,1999,12.0,15,0,0,3,0,14.8,0.29,-0.2,-0.01,31,72,43.1,283,45,18.4,26.7,71,28.2,29.0,108,2,1.9,18,1.50,15.5,Matches
12,Martin Dúbravka,sk SVK,GK,eng Newcastle Utd,34,1989,1.0,2,0,0,1,0,1.5,0.75,-0.5,-0.51,3,9,33.3,29,5,24.1,28.5,5,40.0,41.8,6,0,0.0,0,0.00,14.0,Matches
