Squad,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
nl Ajax,19,6.0,16,0,,85,,,,,,,,
be Anderlecht,21,6.0,11,0,,81,,,,,,,,
cy APOEL FC,21,6.0,9,0,,64,,,,,,,,
eng Arsenal,29,8.0,14,0,,102,,,,,,,,
es Athletic Club,20,6.0,17,0,,82,,,,,,,,
es Atlético Madrid,23,10.3,31,0,,138,,,,,,,,
es Barcelona,22,13.0,20,0,,143,,,,,,,,
ch Basel,23,8.0,24,0,,115,,,,,,,,
by BATE Borisov,20,6.0,11,0,,81,,,,,,,,
de Bayern Munich,24,12.0,25,0,,165,,,,,,,,
pt Benfica,24,6.0,16,0,,86,,,,,,,,
eng Chelsea,24,8.3,13,0,,111,,,,,,,,
ru CSKA Moscow,18,6.0,10,0,,53,,,,,,,,
de Dortmund,24,8.0,4,0,,73,,,,,,,,
tr Galatasaray,22,6.0,18,0,,64,,,,,,,,
it Juventus,24,13.0,25,0,,180,,,,,,,,
de Leverkusen,21,8.3,22,0,,154,,,,,,,,
eng Liverpool,21,6.0,8,0,,83,,,,,,,,
bg Ludogorets,19,6.0,13,0,,65,,,,,,,,
se Malmö,17,6.0,18,0,,96,,,,,,,,
eng Manchester City,20,8.0,23,0,,109,,,,,,,,
fr Monaco,22,10.0,21,0,,146,,,,,,,,
si NK Maribor,17,6.0,12,0,,69,,,,,,,,
gr Olympiacos,19,6.0,10,0,,75,,,,,,,,
fr Paris S-G,19,10.3,15,0,,127,,,,,,,,
pt Porto,23,10.0,21,0,,138,,,,,,,,
es Real Madrid,23,12.0,21,0,,108,,,,,,,,
it Roma,20,6.0,6,0,,63,,,,,,,,
de Schalke 04,26,8.0,11,0,,88,,,,,,,,
ua Shakhtar,20,8.0,20,0,,93,,,,,,,,
pt Sporting CP,19,6.0,17,0,,97,,,,,,,,
ru Zenit,18,6.0,15,0,,99,,,,,,,,
