Squad,#_Pl,Poss,90s,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec
eng Arsenal,24,45.4,8.0,,,,,,,,,,,,,,,,,,,,
es Atlético Madrid,23,46.3,13.7,,,,,,,,,,,,,,,,,,,,
es Barcelona,25,65.3,10.0,,,,,,,,,,,,,,,,,,,,
by BATE Borisov,20,38.5,6.0,,,,,,,,,,,,,,,,,,,,
de Bayern Munich,23,67.4,12.3,,,,,,,,,,,,,,,,,,,,
pt Benfica,25,49.8,10.0,,,,,,,,,,,,,,,,,,,,
eng Chelsea,21,49.5,8.0,,,,,,,,,,,,,,,,,,,,
ru CSKA Moscow,19,39.2,6.0,,,,,,,,,,,,,,,,,,,,
hr Dinamo Zagreb,20,41.8,6.0,,,,,,,,,,,,,,,,,,,,
ua Dynamo Kyiv,21,52.3,8.0,,,,,,,,,,,,,,,,,,,,
kz FC Astana,21,43.0,6.0,,,,,,,,,,,,,,,,,,,,
tr Galatasaray,19,49.5,6.0,,,,,,,,,,,,,,,,,,,,
be Gent,18,52.0,8.0,,,,,,,,,,,,,,,,,,,,
de Gladbach,21,48.3,6.0,,,,,,,,,,,,,,,,,,,,
it Juventus,20,43.0,8.3,,,,,,,,,,,,,,,,,,,,
de Leverkusen,18,52.7,6.0,,,,,,,,,,,,,,,,,,,,
fr Lyon,21,51.5,6.0,,,,,,,,,,,,,,,,,,,,
il Maccabi Tel Aviv,20,43.0,6.0,,,,,,,,,,,,,,,,,,,,
se Malmö,19,34.8,6.0,,,,,,,,,,,,,,,,,,,,
eng Manchester City,22,47.8,12.0,,,,,,,,,,,,,,,,,,,,
eng Manchester Utd,23,60.5,6.0,,,,,,,,,,,,,,,,,,,,
gr Olympiacos,18,42.8,6.0,,,,,,,,,,,,,,,,,,,,
fr Paris S-G,21,59.8,10.0,,,,,,,,,,,,,,,,,,,,
pt Porto,18,52.7,6.0,,,,,,,,,,,,,,,,,,,,
nl PSV Eindhoven,22,48.5,8.3,,,,,,,,,,,,,,,,,,,,
es Real Madrid,22,53.9,13.3,,,,,,,,,,,,,,,,,,,,
it Roma,24,43.8,8.0,,,,,,,,,,,,,,,,,,,,
es Sevilla,19,53.5,6.0,,,,,,,,,,,,,,,,,,,,
ua Shakhtar,22,55.2,6.0,,,,,,,,,,,,,,,,,,,,
es Valencia,22,51.7,6.0,,,,,,,,,,,,,,,,,,,,
de Wolfsburg,22,48.3,10.0,,,,,,,,,,,,,,,,,,,,
ru Zenit,24,45.6,8.0,,,,,,,,,,,,,,,,,,,,
