Squad,#_Pl,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt
eng Arsenal,24,8.0,13,,42,,,5.25,,0.29,,1,1
es Atlético Madrid,23,13.7,16,,77,,,5.63,,0.19,,1,1
es Barcelona,25,10.0,22,,64,,,6.40,,0.31,,2,2
by BATE Borisov,20,6.0,5,,16,,,2.67,,0.31,,0,0
de Bayern Munich,23,12.3,30,,103,,,8.35,,0.28,,1,0
pt Benfica,25,10.0,15,,53,,,5.30,,0.28,,0,0
eng Chelsea,21,8.0,13,,45,,,5.63,,0.27,,1,2
ru CSKA Moscow,19,6.0,5,,19,,,3.17,,0.11,,3,4
hr Dinamo Zagreb,20,6.0,3,,15,,,2.50,,0.20,,0,0
ua Dynamo Kyiv,21,8.0,9,,36,,,4.50,,0.22,,1,1
kz FC Astana,21,6.0,3,,25,,,4.17,,0.12,,0,0
tr Galatasaray,19,6.0,5,,27,,,4.50,,0.15,,1,1
be Gent,18,8.0,10,,38,,,4.75,,0.24,,1,1
de Gladbach,21,6.0,8,,31,,,5.17,,0.26,,0,1
it Juventus,20,8.3,10,,45,,,5.40,,0.22,,0,0
de Leverkusen,18,6.0,13,,42,,,7.00,,0.26,,2,2
fr Lyon,21,6.0,5,,30,,,5.00,,0.17,,0,1
il Maccabi Tel Aviv,20,6.0,1,,12,,,2.00,,0.00,,1,1
se Malmö,19,6.0,1,,18,,,3.00,,0.06,,0,2
eng Manchester City,22,12.0,16,,51,,,4.25,,0.29,,1,1
eng Manchester Utd,23,6.0,6,,33,,,5.50,,0.15,,1,1
gr Olympiacos,18,6.0,5,,24,,,4.00,,0.21,,0,1
fr Paris S-G,21,10.0,17,,52,,,5.20,,0.33,,0,1
pt Porto,18,6.0,9,,28,,,4.67,,0.32,,0,0
nl PSV Eindhoven,22,8.3,8,,29,,,3.48,,0.28,,0,1
es Real Madrid,22,13.3,27,,94,,,7.05,,0.27,,2,0
it Roma,24,8.0,11,,43,,,5.37,,0.23,,1,2
es Sevilla,19,6.0,8,,24,,,4.00,,0.21,,3,4
ua Shakhtar,22,6.0,7,,26,,,4.33,,0.19,,2,2
es Valencia,22,6.0,3,,20,,,3.33,,0.15,,0,0
de Wolfsburg,22,10.0,14,,46,,,4.60,,0.28,,1,1
ru Zenit,24,8.0,14,,36,,,4.50,,0.39,,0,0
