Squad,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90
eng Arsenal,21,26.3,8,720,90,100,8.0,88,,,24,0,31,1.75,20,16,+4,+0.50
es Atlético Madrid,20,26.6,12,1080,90,100,12.0,132,,,32,0,52,2.33,18,10,+8,+0.67
es Barcelona,23,27.0,10,900,90,100,10.0,110,,,22,0,48,1.90,26,12,+14,+1.40
ch Basel,18,27.0,6,540,90,100,6.0,66,,,18,0,24,0.33,3,12,-9,-1.50
de Bayern Munich,21,28.3,10,930,93,100,10.3,110,,,29,0,41,1.80,27,14,+13,+1.26
pt Benfica,25,25.5,8,720,90,100,8.0,88,,,23,0,33,1.38,11,14,-3,-0.37
tr Beşiktaş,21,29.2,6,540,90,100,6.0,66,,,17,0,25,1.17,9,14,-5,-0.83
sct Celtic,22,26.5,6,540,90,100,6.0,66,,,17,0,25,0.50,5,16,-11,-1.83
be Club Brugge,21,26.8,6,540,90,100,6.0,66,,,17,0,25,0.00,2,14,-12,-2.00
ru CSKA Moscow,19,27.9,6,540,90,100,6.0,66,,,16,0,19,0.50,5,11,-6,-1.00
hr Dinamo Zagreb,24,24.4,6,540,90,100,6.0,66,,,18,0,24,0.00,0,15,-15,-2.50
de Dortmund,25,25.1,10,900,90,100,10.0,110,,,29,0,40,1.70,28,16,+12,+1.20
ua Dynamo Kyiv,24,26.1,6,540,90,100,6.0,66,,,18,0,24,0.83,8,6,+2,+0.33
dk FC Copenhagen,19,25.5,6,540,90,100,6.0,66,,,16,0,26,1.50,7,2,+5,+0.83
de Gladbach,19,25.5,6,540,90,100,6.0,66,,,17,0,25,0.83,5,12,-7,-1.17
it Juventus,25,29.9,13,1170,90,100,13.0,144,,,38,0,52,2.31,22,6,+16,+1.23
pl Legia Warsaw,22,28.0,6,540,90,100,6.0,66,,,18,0,24,0.67,9,24,-15,-2.50
eng Leicester City,26,28.0,10,900,90,100,10.0,110,,,25,0,45,1.70,11,10,+1,+0.10
de Leverkusen,26,24.6,8,720,90,100,8.0,88,,,24,0,32,1.25,11,11,0,0.00
bg Ludogorets,19,28.5,6,540,90,100,6.0,66,,,14,0,28,0.50,6,15,-9,-1.50
fr Lyon,21,25.3,6,540,90,100,6.0,66,,,17,0,25,1.33,5,3,+2,+0.33
eng Manchester City,22,28.1,8,720,90,100,8.0,88,,,17,0,39,1.63,17,13,+4,+0.50
fr Monaco,23,25.3,12,1080,90,100,12.0,132,,,34,0,50,1.50,19,19,0,0.00
it Napoli,21,26.7,8,720,90,100,8.0,88,,,23,0,33,1.38,13,14,-1,-0.12
fr Paris S-G,24,26.6,8,720,90,100,8.0,88,,,23,0,33,1.88,18,13,+5,+0.62
pt Porto,23,26.0,8,720,90,100,8.0,88,,,23,0,33,1.38,9,6,+3,+0.37
nl PSV Eindhoven,20,24.9,6,540,90,100,6.0,66,,,17,0,25,0.33,4,11,-7,-1.17
es Real Madrid,23,27.4,13,1200,92,100,13.3,143,,,37,0,54,2.31,35,18,+17,+1.27
ru Rostov,18,29.0,6,540,90,100,6.0,66,,,15,0,27,0.83,6,12,-6,-1.00
es Sevilla,22,27.4,8,720,90,100,8.0,88,,,20,0,36,1.75,9,6,+3,+0.37
pt Sporting CP,21,26.2,6,540,90,100,6.0,66,,,18,0,24,0.50,5,8,-3,-0.50
eng Tottenham,21,24.9,6,540,90,100,6.0,66,,,17,0,25,1.17,6,6,0,0.00
