Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK
eng Arsenal,21,26.3,48.5,8,88,720,8.0,19,13,32,18,1,2,15,1,2.37,1.62,4.00,2.25,3.87
es Atlético Madrid,20,26.6,48.3,12,132,1080,12.0,15,9,24,12,3,4,21,0,1.25,0.75,2.00,1.00,1.75
es Barcelona,23,27.0,64.8,10,110,900,10.0,25,17,42,22,3,4,27,1,2.50,1.70,4.20,2.20,3.90
ch Basel,18,27.0,41.8,6,66,540,6.0,3,2,5,3,0,0,13,1,0.50,0.33,0.83,0.50,0.83
de Bayern Munich,21,28.3,66.7,10,110,930,10.3,26,13,39,22,4,5,20,2,2.52,1.26,3.77,2.13,3.39
pt Benfica,25,25.5,44.3,8,88,720,8.0,11,6,17,9,2,2,13,0,1.37,0.75,2.12,1.13,1.87
tr Beşiktaş,21,29.2,48.5,6,66,540,6.0,9,3,12,7,2,2,15,1,1.50,0.50,2.00,1.17,1.67
sct Celtic,22,26.5,42.3,6,66,540,6.0,4,2,6,3,1,2,8,0,0.67,0.33,1.00,0.50,0.83
be Club Brugge,21,26.8,48.3,6,66,540,6.0,2,2,4,2,0,0,13,0,0.33,0.33,0.67,0.33,0.67
ru CSKA Moscow,19,27.9,39.0,6,66,540,6.0,5,4,9,4,1,1,7,0,0.83,0.67,1.50,0.67,1.33
hr Dinamo Zagreb,24,24.4,31.3,6,66,540,6.0,0,0,0,0,0,0,13,1,0.00,0.00,0.00,0.00,0.00
de Dortmund,25,25.1,62.4,10,110,900,10.0,27,21,48,26,1,2,19,0,2.70,2.10,4.80,2.60,4.70
ua Dynamo Kyiv,24,26.1,50.3,6,66,540,6.0,8,5,13,7,1,2,15,1,1.33,0.83,2.17,1.17,2.00
dk FC Copenhagen,19,25.5,53.7,6,66,540,6.0,5,5,10,5,0,1,9,1,0.83,0.83,1.67,0.83,1.67
de Gladbach,19,25.5,39.0,6,66,540,6.0,5,4,9,5,0,0,10,1,0.83,0.67,1.50,0.83,1.50
it Juventus,25,29.9,55.3,13,144,1170,13.0,21,10,31,18,3,3,31,2,1.62,0.77,2.38,1.38,2.15
pl Legia Warsaw,22,28.0,37.0,6,66,540,6.0,9,8,17,8,1,1,15,1,1.50,1.33,2.83,1.33,2.67
eng Leicester City,26,28.0,39.5,10,110,900,10.0,11,5,16,9,2,2,19,0,1.10,0.50,1.60,0.90,1.40
de Leverkusen,26,24.6,50.5,8,88,720,8.0,8,5,13,8,0,1,16,0,1.00,0.62,1.62,1.00,1.62
bg Ludogorets,19,28.5,44.2,6,66,540,6.0,6,4,10,6,0,1,9,0,1.00,0.67,1.67,1.00,1.67
fr Lyon,21,25.3,51.5,6,66,540,6.0,5,5,10,5,0,1,14,0,0.83,0.83,1.67,0.83,1.67
eng Manchester City,22,28.1,56.5,8,88,720,8.0,18,14,32,17,1,1,16,1,2.25,1.75,4.00,2.12,3.87
fr Monaco,23,25.3,44.6,12,132,1080,12.0,21,14,35,21,0,3,28,1,1.75,1.17,2.92,1.75,2.92
it Napoli,21,26.7,54.4,8,88,720,8.0,13,9,22,11,2,3,10,0,1.62,1.13,2.75,1.37,2.50
fr Paris S-G,24,26.6,54.8,8,88,720,8.0,17,14,31,16,1,1,17,1,2.12,1.75,3.87,2.00,3.75
pt Porto,23,26.0,49.5,8,88,720,8.0,9,7,16,7,2,2,17,1,1.13,0.87,2.00,0.87,1.75
nl PSV Eindhoven,20,24.9,43.7,6,66,540,6.0,4,2,6,4,0,2,6,0,0.67,0.33,1.00,0.67,1.00
es Real Madrid,23,27.4,53.7,13,143,1200,13.3,34,30,64,34,0,0,19,0,2.55,2.25,4.80,2.55,4.80
ru Rostov,18,29.0,32.5,6,66,540,6.0,6,4,10,5,1,1,10,0,1.00,0.67,1.67,0.83,1.50
es Sevilla,22,27.4,60.5,8,88,720,8.0,9,8,17,9,0,3,19,2,1.13,1.00,2.12,1.13,2.12
pt Sporting CP,21,26.2,48.7,6,66,540,6.0,5,2,7,4,1,1,16,1,0.83,0.33,1.17,0.67,1.00
eng Tottenham,21,24.9,63.5,6,66,540,6.0,5,5,10,4,1,1,6,0,0.83,0.83,1.67,0.67,1.50
