Squad,#_Pl,Age,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_xG_onxG,Team_Success_xG_onxGA,Team_Success_xG_xG+/-,Team_Success_xG_xG+/-90
be Anderlecht,20,26.1,6,540,90,100,6.0,66,,,18,0,24,0.50,2,17,-15,-2.50,5.4,14.2,-8.8,-1.47
cy APOEL FC,21,29.7,6,540,90,100,6.0,66,,,18,0,24,0.33,2,17,-15,-2.50,3.9,16.5,-12.7,-2.11
es Atlético Madrid,20,27.0,6,540,90,100,6.0,66,,,17,0,25,1.17,5,4,+1,+0.17,11.3,6.9,+4.4,+0.74
es Barcelona,22,27.8,10,900,90,100,10.0,110,,,28,0,42,2.10,17,6,+11,+1.10,13.7,8.9,+4.8,+0.48
ch Basel,21,25.4,8,720,90,100,8.0,88,,,19,0,37,1.88,13,10,+3,+0.37,10.4,10.7,-0.3,-0.04
de Bayern Munich,22,27.5,12,1080,90,100,12.0,132,,,35,0,48,2.17,26,12,+14,+1.17,27.4,14.2,+13.2,+1.10
pt Benfica,25,26.8,6,540,90,100,6.0,66,,,18,0,24,0.00,1,14,-13,-2.17,6.2,10.4,-4.2,-0.69
tr Beşiktaş,23,30.2,8,720,90,100,8.0,88,,,24,0,32,1.75,12,13,-1,-0.12,8.6,15.1,-6.5,-0.81
sct Celtic,20,26.1,6,540,90,100,6.0,66,,,17,0,25,0.50,5,18,-13,-2.17,4.7,10.5,-5.7,-0.96
eng Chelsea,19,26.9,8,720,90,100,8.0,88,,,23,0,33,1.50,17,12,+5,+0.62,15.5,7.7,+7.8,+0.97
ru CSKA Moscow,20,28.1,6,540,90,100,6.0,66,,,18,0,23,1.50,8,10,-2,-0.33,5.7,12.9,-7.2,-1.20
de Dortmund,22,26.2,6,540,90,100,6.0,66,,,17,0,24,0.33,7,13,-6,-1.00,9.6,9.8,-0.2,-0.04
nl Feyenoord,23,25.1,6,540,90,100,6.0,66,,,16,0,25,0.50,5,14,-9,-1.50,5.4,8.6,-3.3,-0.54
it Juventus,23,29.5,10,900,90,100,10.0,110,,,29,0,41,1.80,14,12,+2,+0.20,16.9,13.6,+3.3,+0.33
eng Liverpool,24,25.6,13,1170,90,100,13.0,143,,,37,0,54,1.92,41,16,+25,+1.92,33.0,13.2,+19.7,+1.52
eng Manchester City,25,25.9,10,900,90,100,10.0,110,,,25,0,45,1.80,20,12,+8,+0.80,15.7,11.0,+4.6,+0.46
eng Manchester Utd,25,26.5,8,720,90,100,8.0,88,,,24,0,32,2.00,13,5,+8,+1.00,18.0,8.2,+9.8,+1.23
fr Monaco,23,26.0,6,540,90,100,6.0,66,,,17,0,25,0.33,6,16,-10,-1.67,5.9,9.7,-3.8,-0.63
it Napoli,20,27.9,6,540,90,100,6.0,66,,,17,0,25,1.00,11,11,0,0.00,10.1,8.2,+1.8,+0.31
si NK Maribor,17,28.5,6,540,90,100,6.0,66,,,17,0,25,0.50,3,16,-13,-2.17,4.1,16.1,-12.0,-1.99
gr Olympiacos,22,26.9,6,540,90,100,6.0,66,,,18,0,24,0.17,4,13,-9,-1.50,3.4,13.8,-10.3,-1.72
fr Paris S-G,19,26.2,8,720,90,100,8.0,88,,,21,0,35,1.88,27,9,+18,+2.25,17.2,9.5,+7.7,+0.96
pt Porto,25,26.6,8,720,90,100,8.0,88,,,23,0,33,1.38,15,15,0,0.00,10.9,11.2,-0.3,-0.04
az Qarabağ,20,28.4,6,540,90,100,6.0,66,,,18,0,24,0.33,2,14,-12,-2.00,2.4,14.8,-12.4,-2.06
de RB Leipzig,19,23.9,6,540,90,100,6.0,66,,,17,0,25,1.17,10,11,-1,-0.17,9.6,7.7,+2.0,+0.33
es Real Madrid,23,27.8,13,1170,90,100,13.0,143,,,38,0,53,2.23,33,16,+17,+1.31,33.0,20.0,+13.1,+1.01
it Roma,20,28.0,12,1080,90,100,12.0,132,,,33,0,51,1.67,21,19,+2,+0.17,19.1,18.2,+0.9,+0.07
es Sevilla,22,27.2,10,900,90,100,10.0,110,,,28,0,42,1.40,15,15,0,0.00,16.1,13.9,+2.2,+0.22
ua Shakhtar,20,27.6,8,720,90,100,8.0,88,,,20,0,36,1.88,11,11,0,0.00,9.9,13.7,-3.8,-0.48
ru Spartak Moscow,20,27.9,6,540,90,100,6.0,66,,,17,0,25,1.00,9,13,-4,-0.67,6.8,11.4,-4.6,-0.77
pt Sporting CP,21,26.6,6,540,90,100,6.0,66,,,18,0,24,1.17,8,9,-1,-0.17,7.3,7.1,+0.2,+0.04
eng Tottenham,26,25.6,8,720,90,100,8.0,88,,,21,0,35,2.13,18,8,+10,+1.25,13.1,12.6,+0.5,+0.06
