Squad,#_Pl,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
gr AEK Athens,20,6.0,95,67,57,33,5,32,86,37.2,54,60,24,36,90,185,138,2
nl Ajax,22,12.0,267,156,106,123,38,109,247,44.1,138,152,32,120,173,440,229,7
es Atlético Madrid,21,8.0,121,78,60,46,15,52,120,43.3,68,72,18,54,110,231,168,3
es Barcelona,23,12.0,200,128,82,94,24,76,166,45.8,90,129,39,90,121,321,198,12
de Bayern Munich,20,8.0,151,94,69,66,16,49,137,35.8,88,96,20,76,132,283,131,4
pt Benfica,20,6.0,137,95,68,62,7,61,120,50.8,59,81,17,64,86,223,116,2
be Club Brugge,25,6.0,111,60,69,33,9,38,81,46.9,43,72,13,59,84,195,165,0
ru CSKA Moscow,22,6.0,104,67,66,31,7,38,111,34.2,73,76,21,55,62,166,187,3
de Dortmund,24,8.0,152,98,57,77,18,53,117,45.3,64,88,22,66,101,253,129,3
tr Galatasaray,21,6.0,119,72,57,51,11,44,82,53.7,38,73,22,51,51,170,108,4
de Hoffenheim,25,6.0,119,62,75,31,13,51,123,41.5,72,65,21,44,54,173,89,6
it Inter,17,6.0,109,61,65,40,4,38,104,36.5,66,62,17,45,62,171,125,3
it Juventus,22,10.0,141,88,69,54,18,53,133,39.8,80,100,31,69,116,257,175,4
eng Liverpool,20,13.0,226,133,92,96,38,101,207,48.8,106,112,20,92,114,340,226,8
ru Loko Moscow,19,6.0,114,80,56,46,12,43,106,40.6,63,72,24,48,93,207,141,4
fr Lyon,21,8.0,141,79,72,61,8,50,112,44.6,62,99,34,65,100,241,197,2
eng Manchester City,21,10.0,132,79,42,67,23,43,135,31.9,92,93,25,68,116,248,169,8
eng Manchester Utd,26,10.0,145,85,71,60,14,58,139,41.7,81,122,33,89,90,235,219,2
fr Monaco,29,6.0,87,52,46,36,5,25,65,38.5,40,60,8,52,66,153,125,3
it Napoli,18,6.0,106,68,48,52,6,39,109,35.8,70,46,16,30,57,163,134,3
fr Paris S-G,20,8.0,116,73,55,52,9,30,90,33.3,60,67,20,47,79,195,155,3
pt Porto,25,10.3,180,122,99,58,23,64,145,44.1,81,118,32,86,119,299,225,3
nl PSV Eindhoven,18,6.0,89,47,56,22,11,32,102,31.4,70,95,45,50,73,162,220,2
es Real Madrid,24,8.0,128,95,67,47,14,62,134,46.3,72,80,22,58,106,234,106,7
rs Red Star,20,6.0,86,48,53,27,6,30,90,33.3,60,77,25,52,109,195,206,4
it Roma,24,8.3,122,77,58,50,14,41,115,35.7,74,92,29,63,81,203,168,4
de Schalke 04,27,8.0,170,107,87,72,11,68,167,40.7,99,100,27,73,108,278,155,4
ua Shakhtar,20,6.0,84,52,42,37,5,28,90,31.1,62,64,26,38,75,159,121,5
eng Tottenham,24,13.0,195,110,85,87,23,76,179,42.5,103,145,43,102,144,339,239,7
es Valencia,22,6.0,103,67,61,33,9,48,94,51.1,46,62,22,40,76,179,114,3
cz Viktoria Plzeň,21,6.0,81,47,47,28,6,42,95,44.2,53,67,18,49,64,145,145,1
ch Young Boys,20,6.0,132,70,65,49,18,46,108,42.6,62,68,22,46,74,206,138,2
