Squad,#_Pl,Age,Poss,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G-PK,Per_90_Minutes_G+A-PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG
gr AEK Athens,20,26.0,40.8,6,66,540,6.0,2,2,4,2,0,0,15,2,4.7,4.7,4.3,9.0,79,142,0.33,0.33,0.67,0.33,0.67,0.78,0.71,1.49,0.78,1.49
nl Ajax,22,24.3,52.9,12,132,1080,12.0,22,17,39,20,2,2,28,1,22.3,20.7,17.6,38.3,236,504,1.83,1.42,3.25,1.67,3.08,1.86,1.46,3.32,1.73,3.19
es Atlético Madrid,21,26.4,48.9,8,88,720,8.0,11,8,19,11,0,0,24,1,8.1,8.1,6.5,14.6,151,328,1.37,1.00,2.37,1.37,2.37,1.01,0.82,1.83,1.01,1.83
es Barcelona,23,27.7,61.4,12,132,1080,12.0,25,18,43,24,1,1,21,1,23.1,22.3,17.9,40.2,260,561,2.08,1.50,3.58,2.00,3.50,1.92,1.49,3.41,1.86,3.35
de Bayern Munich,20,28.3,56.9,8,88,720,8.0,15,9,24,13,2,2,12,1,14.7,13.2,11.1,24.3,204,371,1.87,1.13,3.00,1.62,2.75,1.84,1.38,3.23,1.65,3.03
pt Benfica,20,25.5,44.3,6,66,540,6.0,6,3,9,6,0,0,15,1,6.2,6.2,4.7,10.9,106,209,1.00,0.50,1.50,1.00,1.50,1.03,0.79,1.82,1.03,1.82
be Club Brugge,25,24.9,40.2,6,66,540,6.0,6,3,9,5,1,1,8,0,5.4,4.7,3.3,7.9,100,223,1.00,0.50,1.50,0.83,1.33,0.90,0.55,1.45,0.78,1.32
ru CSKA Moscow,22,23.9,44.7,6,66,540,6.0,8,5,13,6,2,2,16,2,6.9,5.3,4.4,9.7,109,218,1.33,0.83,2.17,1.00,1.83,1.15,0.73,1.88,0.88,1.62
de Dortmund,24,25.0,60.6,8,88,720,8.0,10,8,18,10,0,1,11,0,12.2,11.5,10.6,22.0,170,446,1.25,1.00,2.25,1.25,2.25,1.53,1.32,2.85,1.43,2.75
tr Galatasaray,21,28.4,53.5,6,66,540,6.0,5,2,7,3,2,3,15,1,9.9,7.5,6.8,14.3,100,212,0.83,0.33,1.17,0.50,0.83,1.65,1.14,2.78,1.25,2.39
de Hoffenheim,25,25.6,45.0,6,66,540,6.0,11,7,18,10,1,1,15,2,11.1,10.3,8.5,18.8,139,260,1.83,1.17,3.00,1.67,2.83,1.85,1.41,3.26,1.72,3.13
it Inter,17,28.1,47.7,6,66,540,6.0,6,4,10,6,0,0,15,0,8.6,8.6,7.4,15.9,129,243,1.00,0.67,1.67,1.00,1.67,1.43,1.23,2.66,1.43,2.66
it Juventus,22,28.4,55.2,10,110,900,10.0,14,11,25,11,3,3,16,1,18.9,16.7,13.4,30.1,227,460,1.40,1.10,2.50,1.10,2.20,1.89,1.34,3.24,1.67,3.01
eng Liverpool,20,26.1,51.6,13,143,1170,13.0,24,17,41,20,4,5,21,0,28.3,24.2,19.8,44.0,269,631,1.85,1.31,3.15,1.54,2.85,2.17,1.52,3.70,1.86,3.38
ru Loko Moscow,19,29.0,45.8,6,66,540,6.0,3,2,5,3,0,1,16,1,6.6,5.8,4.6,10.5,103,207,0.50,0.33,0.83,0.50,0.83,1.11,0.77,1.88,0.97,1.74
fr Lyon,21,24.4,43.6,8,88,720,8.0,13,9,22,13,0,0,13,0,12.3,12.3,10.2,22.4,157,290,1.62,1.13,2.75,1.62,2.75,1.53,1.27,2.80,1.53,2.80
