Squad,#_Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
nl Ajax,19,6.0,2592,3278,79.1,40831,15061,1360,1537,88.5,843,996,84.6,233,441,52.8,10,6.8,7.2,+3.2,62,189,70,15,273
it Atalanta,23,9.0,3406,4327,78.7,56381,19444,1728,1977,87.4,1190,1445,82.4,338,603,56.1,9,10.8,9.2,-1.8,88,248,81,18,333
es Atlético Madrid,21,9.3,3470,4514,76.9,57710,21604,1746,2001,87.3,1201,1484,80.9,359,670,53.6,9,10.0,10.8,-1.0,89,242,81,10,385
es Barcelona,24,9.0,5214,6023,86.6,86873,25778,2572,2828,90.9,2063,2255,91.5,441,644,68.5,10,11.5,9.7,-1.5,77,392,81,8,407
de Bayern Munich,20,11.0,6436,7516,85.6,115971,36605,2739,3024,90.6,2854,3161,90.3,692,1000,69.2,37,25.3,21.6,+11.7,175,498,167,33,694
pt Benfica,23,6.0,2545,3168,80.3,42740,15761,1228,1386,88.6,956,1124,85.1,260,431,60.3,5,6.3,5.5,-1.3,60,194,44,5,266
eng Chelsea,22,8.0,3532,4286,82.4,60083,21247,1660,1846,89.9,1302,1515,85.9,387,584,66.3,7,12.5,9.5,-5.5,99,227,74,24,355
be Club Brugge,22,6.0,1948,2581,75.5,37414,14839,841,981,85.7,811,985,82.3,271,475,57.1,3,4.6,4.9,-1.6,47,173,48,5,280
hr Dinamo Zagreb,21,6.0,1503,2108,71.3,24974,10165,715,868,82.4,474,624,76.0,171,363,47.1,9,6.1,4.0,+2.9,38,74,32,8,135
de Dortmund,24,8.0,4169,4921,84.7,70364,22095,2046,2260,90.5,1685,1876,89.8,357,570,62.6,9,10.2,10.5,-1.2,74,281,77,12,406
tr Galatasaray,20,6.0,2309,2971,77.7,39715,15557,1088,1258,86.5,925,1082,85.5,219,447,49.0,1,3.4,3.3,-2.4,38,141,24,10,170
be Genk,20,6.0,1836,2488,73.8,35523,13832,749,874,85.7,773,952,81.2,280,507,55.2,4,5.4,4.2,-1.4,52,126,38,15,202
it Inter,20,6.0,2204,2803,78.6,39968,13876,903,1045,86.4,970,1151,84.3,244,417,58.5,9,8.0,5.8,+1.0,54,117,35,7,173
it Juventus,23,8.0,4500,5282,85.2,75892,24190,2095,2285,91.7,1816,2039,89.1,405,609,66.5,10,7.9,7.6,+2.1,71,336,69,20,377
de Leverkusen,20,6.0,3372,4060,83.1,56729,17312,1632,1806,90.4,1283,1451,88.4,320,534,59.9,2,6.0,5.1,-4.0,62,218,53,14,266
fr Lille,21,6.0,1971,2626,75.1,33687,12657,865,1025,84.4,807,962,83.9,189,412,45.9,4,8.0,5.2,-4.0,70,143,39,9,211
eng Liverpool,20,8.3,5240,6282,83.4,92842,29463,2393,2658,90.0,2143,2453,87.4,578,864,66.9,11,12.0,11.8,-1.0,110,472,124,21,564
ru Loko Moscow,20,6.0,1517,2085,72.8,27504,12024,652,788,82.7,554,680,81.5,214,418,51.2,2,3.2,2.5,-1.2,38,105,18,5,140
fr Lyon,24,10.0,3679,4704,78.2,65004,23262,1628,1841,88.4,1440,1720,83.7,436,780,55.9,9,7.8,6.6,+1.2,83,268,55,18,354
eng Manchester City,23,9.0,5498,6313,87.1,89852,26242,2672,2878,92.8,2122,2334,90.9,450,663,67.9,18,20.0,19.7,-2.0,117,452,107,14,486
it Napoli,24,8.0,3470,4229,82.1,58974,21041,1757,1960,89.6,1252,1448,86.5,355,568,62.5,6,8.3,6.5,-2.3,81,241,49,15,316
gr Olympiacos,17,6.0,2051,2627,78.1,37706,13570,883,1013,87.2,836,986,84.8,264,478,55.2,5,5.0,4.9,0.0,58,123,39,15,188
fr Paris S-G,24,11.0,5643,6611,85.4,85322,29877,3002,3239,92.7,1942,2187,88.8,358,645,55.5,20,21.3,17.9,-1.3,102,314,86,8,443
de RB Leipzig,25,10.0,5285,6434,82.1,85374,29666,2682,2981,90.0,1984,2299,86.3,409,710,57.6,10,9.9,11.1,+0.1,110,450,125,32,563
at RB Salzburg,21,6.0,2061,2763,74.6,32897,14263,1060,1232,86.0,690,885,78.0,184,394,46.7,13,10.4,8.7,+2.6,75,176,67,7,260
es Real Madrid,25,8.0,4495,5226,86.0,76194,23894,2228,2397,92.9,1677,1908,87.9,448,647,69.2,14,13.5,11.4,+0.5,113,328,100,20,410
rs Red Star,19,6.0,1641,2193,74.8,28578,11684,787,911,86.4,664,831,79.9,158,358,44.1,2,2.2,2.1,-0.2,38,96,25,9,168
ua Shakhtar,18,6.0,2704,3198,84.6,45044,14877,1352,1477,91.5,1010,1126,89.7,244,408,59.8,6,6.5,5.7,-0.5,48,156,44,3,179
cz Slavia Prague,20,6.0,2436,3102,78.5,43795,16145,1169,1361,85.9,939,1115,84.2,293,490,59.8,3,6.5,5.6,-3.5,59,188,49,13,272
eng Tottenham,28,8.0,3554,4312,82.4,57860,19706,1738,1918,90.6,1423,1620,87.8,256,500,51.2,15,11.6,9.5,+3.4,75,217,74,18,298
es Valencia,23,8.0,3036,3863,78.6,56160,21381,1316,1511,87.1,1291,1483,87.1,359,661,54.3,9,10.8,9.0,-1.8,76,234,55,17,306
ru Zenit,19,6.0,1882,2543,74.0,35853,15578,800,931,85.9,704,885,79.5,286,526,54.4,5,5.5,5.3,-0.5,45,148,44,13,175
