Squad,#_Pl,90s,SCA_SCA,SCA_SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA_Types_TO,SCA_Types_Sh,SCA_Types_Fld,SCA_Types_Def,GCA_GCA,GCA_GCA90,GCA_Types_PassLive,GCA_Types_PassDead,GCA_Types_TO,GCA_Types_Sh,GCA_Types_Fld,GCA_Types_Def
nl Ajax,21,6.0,123,20.50,105,1,6,6,4,1,12,2.00,10,1,0,0,1,0
it Atalanta,25,8.0,151,18.87,117,12,8,7,6,1,21,2.62,17,0,1,2,1,0
es Atlético Madrid,20,8.0,167,20.87,131,14,5,9,8,0,13,1.62,10,1,1,0,1,0
es Barcelona,27,8.0,266,33.25,211,9,17,7,19,3,35,4.37,26,0,2,1,6,0
tr Başakşehir,21,6.0,106,17.67,83,4,8,3,7,1,11,1.83,7,1,1,1,1,0
de Bayern Munich,26,10.0,293,29.30,210,21,24,14,15,9,45,4.50,26,4,4,5,4,2
eng Chelsea,24,13.0,263,20.23,210,13,16,10,11,3,42,3.23,30,0,4,4,3,1
be Club Brugge,22,6.0,93,15.50,70,5,4,8,4,2,13,2.17,8,1,0,2,2,0
de Dortmund,26,10.0,213,21.30,162,12,8,16,12,3,32,3.20,24,0,1,3,3,1
ua Dynamo Kyiv,22,6.0,67,11.17,49,5,3,5,3,2,6,1.00,3,1,0,2,0,0
hu Ferencváros,20,6.0,95,15.83,67,7,4,10,5,2,6,1.00,3,0,0,2,1,0
de Gladbach,21,8.0,135,16.88,97,10,5,10,9,4,28,3.50,18,2,0,3,4,1
it Inter,21,6.0,141,23.50,99,11,10,12,6,3,11,1.83,9,0,0,2,0,0
it Juventus,22,8.3,214,25.68,164,18,13,10,8,1,30,3.60,25,1,1,2,1,0
ru Krasnodar,23,6.0,118,19.67,82,8,9,7,9,3,11,1.83,8,0,1,0,2,0
it Lazio,25,8.0,167,20.87,122,11,11,11,10,2,23,2.87,13,1,3,1,4,1
eng Liverpool,29,10.0,182,18.20,137,19,16,5,4,1,22,2.20,18,1,1,1,1,0
ru Loko Moscow,22,6.0,74,12.33,55,8,3,2,6,0,9,1.50,7,1,0,0,1,0
eng Manchester City,25,13.0,292,22.46,221,13,26,16,10,6,43,3.31,35,1,2,2,3,0
eng Manchester Utd,23,6.0,152,25.33,100,17,13,12,9,1,25,4.17,19,0,1,1,4,0
fr Marseille,20,6.0,85,14.17,65,5,4,5,6,0,3,0.50,1,0,0,1,1,0
dk Midtjylland,22,6.0,102,17.00,61,13,7,8,10,3,8,1.33,6,0,0,0,2,0
gr Olympiacos,21,6.0,73,12.17,55,7,4,4,3,0,3,0.50,3,0,0,0,0,0
fr Paris S-G,23,12.0,247,20.58,174,15,30,14,13,1,37,3.08,24,3,3,3,4,0
pt Porto,26,10.3,134,12.97,86,19,11,7,10,1,24,2.32,12,2,4,2,4,0
de RB Leipzig,20,8.0,184,23.00,147,17,6,10,3,1,20,2.50,17,0,1,1,0,1
at RB Salzburg,19,6.0,167,27.83,117,14,10,13,9,4,11,1.83,8,1,0,2,0,0
es Real Madrid,25,12.0,282,23.50,222,19,11,16,10,4,32,2.67,22,2,3,1,2,2
fr Rennes,26,6.0,133,22.17,100,8,8,8,8,1,5,0.83,2,1,0,0,2,0
es Sevilla,25,8.0,225,28.13,158,30,9,9,18,1,21,2.62,15,1,1,1,3,0
ua Shakhtar,23,6.0,74,12.33,55,3,6,5,4,1,6,1.00,6,0,0,0,0,0
ru Zenit,21,6.0,104,17.33,84,9,5,4,2,0,6,1.00,6,0,0,0,0,0
