Squad,#_Pl,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%
nl Ajax,1,6,6,540,6.0,7,1.17,28,22,78.6,2,1,3,0,0.0,1,1,0,0,0.0
it Atalanta,2,8,8,720,8.0,12,1.50,38,26,73.7,3,2,3,3,37.5,2,2,0,0,0.0
es Atlético Madrid,1,8,8,720,8.0,11,1.37,24,14,62.5,2,3,3,2,25.0,2,2,0,0,0.0
es Barcelona,2,8,8,720,8.0,10,1.25,29,19,79.3,5,1,2,3,37.5,4,4,0,0,0.0
tr Başakşehir,1,6,6,540,6.0,18,3.00,36,18,55.6,1,0,5,0,0.0,2,2,0,0,0.0
de Bayern Munich,2,10,10,900,10.0,10,1.00,48,38,79.2,8,1,1,3,30.0,0,0,0,0,
eng Chelsea,2,13,13,1170,13.0,4,0.31,36,32,88.9,9,3,1,9,69.2,0,0,0,0,
be Club Brugge,2,6,6,540,6.0,10,1.67,28,19,67.9,2,2,2,1,16.7,1,1,0,0,0.0
de Dortmund,2,10,10,900,10.0,13,1.30,40,28,75.0,5,2,3,3,30.0,3,3,0,0,0.0
ua Dynamo Kyiv,3,6,6,540,6.0,13,2.17,40,27,72.5,1,1,4,1,16.7,2,2,0,0,0.0
hu Ferencváros,1,6,6,540,6.0,17,2.83,36,20,61.1,0,1,5,0,0.0,3,3,0,0,0.0
de Gladbach,1,8,8,720,8.0,13,1.62,35,22,62.9,2,2,4,2,25.0,0,0,0,0,
it Inter,1,6,6,540,6.0,9,1.50,23,15,69.6,1,3,2,2,33.3,2,2,0,0,0.0
it Juventus,2,8,8,750,8.3,8,0.96,35,27,82.9,6,0,2,3,37.5,2,2,0,0,0.0
ru Krasnodar,2,6,6,540,6.0,11,1.83,43,32,81.4,1,2,3,1,16.7,4,3,0,1,0.0
it Lazio,2,8,8,720,8.0,13,1.62,35,23,68.6,2,4,2,0,0.0,2,2,0,0,0.0
eng Liverpool,3,10,10,900,10.0,6,0.60,38,32,86.8,6,2,2,7,70.0,1,1,0,0,0.0
ru Loko Moscow,1,6,6,540,6.0,10,1.67,35,25,71.4,0,3,3,1,16.7,0,0,0,0,
eng Manchester City,2,13,13,1170,13.0,5,0.38,24,19,79.2,11,1,1,8,61.5,0,0,0,0,
eng Manchester Utd,2,6,6,540,6.0,10,1.67,24,15,58.3,3,0,3,1,16.7,0,0,0,0,
fr Marseille,1,6,6,540,6.0,13,2.17,25,13,56.0,1,0,5,0,0.0,2,2,0,0,0.0
dk Midtjylland,2,6,6,540,6.0,13,2.17,36,23,66.7,0,2,4,0,0.0,1,1,0,0,0.0
gr Olympiacos,1,6,6,540,6.0,10,1.67,34,24,79.4,1,0,5,1,16.7,3,3,0,0,0.0
fr Paris S-G,1,12,12,1080,12.0,15,1.25,69,53,82.6,6,1,5,2,16.7,3,3,0,0,0.0
pt Porto,2,10,10,930,10.3,9,0.87,39,30,79.5,6,1,3,6,60.0,2,1,0,1,0.0
de RB Leipzig,1,8,8,720,8.0,16,2.00,37,21,64.9,4,0,4,1,12.5,4,3,1,0,25.0
at RB Salzburg,1,6,6,540,6.0,17,2.83,32,16,53.1,1,1,4,0,0.0,2,2,0,0,0.0
es Real Madrid,1,12,12,1080,12.0,14,1.17,39,26,64.1,6,3,3,4,33.3,0,0,0,0,
fr Rennes,2,6,6,540,6.0,11,1.83,29,18,69.0,0,1,5,0,0.0,2,2,0,0,0.0
es Sevilla,3,8,8,720,8.0,13,1.62,34,21,73.5,4,2,2,2,25.0,4,4,0,0,0.0
ua Shakhtar,2,6,6,540,6.0,12,2.00,37,26,70.3,2,2,2,3,50.0,1,1,0,0,0.0
ru Zenit,1,6,6,540,6.0,13,2.17,28,15,64.3,0,1,5,0,0.0,3,3,0,0,0.0
