Squad,#_Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won%
nl Ajax,21,6.0,11,1,1,89,70,19,93,75,57,1,1,1,381,83,132,38.6
it Atalanta,25,8.0,11,1,0,93,108,19,117,140,76,0,2,0,514,152,97,61.0
es Atlético Madrid,20,8.0,17,1,0,95,96,18,162,94,73,0,2,1,429,123,124,49.8
es Barcelona,27,8.0,12,1,0,82,93,13,94,88,60,7,4,0,405,41,48,46.1
tr Başakşehir,21,6.0,18,0,0,71,63,9,100,78,34,0,2,0,343,73,82,47.1
de Bayern Munich,26,10.0,20,1,1,136,103,16,228,126,77,3,0,0,519,120,112,51.7
eng Chelsea,24,13.0,20,0,0,181,138,27,185,146,127,4,0,0,684,200,199,50.1
be Club Brugge,22,6.0,10,1,1,76,66,14,101,76,51,2,1,1,353,91,90,50.3
de Dortmund,26,10.0,9,0,0,98,91,9,121,106,89,2,3,1,524,85,118,41.9
ua Dynamo Kyiv,22,6.0,9,1,1,66,65,6,72,102,48,0,2,0,267,52,52,50.0
hu Ferencváros,20,6.0,16,0,0,76,72,10,69,96,47,1,3,1,313,35,64,35.4
de Gladbach,21,8.0,12,0,0,104,70,14,85,90,73,2,0,0,393,84,69,54.9
it Inter,21,6.0,22,1,1,76,57,12,133,78,48,0,2,1,301,77,70,52.4
it Juventus,22,8.3,22,1,1,118,94,30,172,122,86,1,2,0,445,99,57,63.5
ru Krasnodar,23,6.0,10,0,0,70,93,12,74,82,36,1,4,0,301,92,105,46.7
it Lazio,25,8.0,23,0,0,76,98,15,122,109,66,3,2,1,402,102,98,51.0
eng Liverpool,29,10.0,17,0,0,124,82,17,156,117,84,1,1,0,608,138,129,51.7
ru Loko Moscow,22,6.0,12,0,0,67,88,13,69,100,47,1,0,0,277,123,83,59.7
eng Manchester City,25,13.0,18,0,0,132,102,22,199,117,99,1,0,0,678,155,85,64.6
eng Manchester Utd,23,6.0,13,1,1,81,73,9,102,60,49,4,0,1,332,65,60,52.0
fr Marseille,20,6.0,15,1,1,75,67,12,85,89,60,2,2,1,288,87,82,51.5
dk Midtjylland,22,6.0,12,1,0,72,76,11,96,110,61,2,1,0,335,97,112,46.4
gr Olympiacos,21,6.0,11,1,1,72,66,28,90,83,40,0,3,0,293,81,103,44.0
fr Paris S-G,23,12.0,31,4,2,130,174,31,157,140,112,3,4,0,637,105,116,47.5
pt Porto,26,10.3,23,2,2,131,153,15,136,91,96,3,2,0,482,150,195,43.5
de RB Leipzig,20,8.0,21,0,0,129,106,22,114,108,99,0,4,1,498,136,108,55.7
at RB Salzburg,19,6.0,11,0,0,91,74,13,103,97,62,0,2,1,394,81,123,39.7
es Real Madrid,25,12.0,24,0,0,125,138,19,211,151,104,2,0,1,634,122,121,50.2
fr Rennes,26,6.0,17,1,1,102,58,4,130,65,46,2,2,0,304,78,98,44.3
es Sevilla,25,8.0,20,1,0,87,113,12,209,79,61,1,4,0,443,137,106,56.4
ua Shakhtar,23,6.0,7,0,0,52,78,3,39,81,39,0,1,1,263,56,88,38.9
ru Zenit,21,6.0,13,0,0,70,52,13,102,93,57,0,3,0,315,111,105,51.4
