Squad,#_Pl,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_npG-xG
nl Ajax,21,6.0,7,69,28,40.6,11.50,4.67,0.09,0.21,19.3,2,1,1,8.1,7.3,0.11,-1.1,-1.3
it Atalanta,25,8.0,11,91,41,45.1,11.37,5.12,0.12,0.27,17.2,3,0,0,11.7,11.7,0.13,-0.7,-0.7
es Atlético Madrid,20,8.0,7,95,31,32.6,11.87,3.87,0.07,0.23,18.1,3,0,0,9.2,9.2,0.10,-2.2,-2.2
es Barcelona,27,8.0,18,137,55,40.1,17.12,6.87,0.09,0.22,18.5,8,6,7,20.4,15.4,0.11,-2.4,-3.4
tr Başakşehir,21,6.0,7,64,22,34.4,10.67,3.67,0.11,0.32,19.8,6,0,0,5.2,5.2,0.08,+1.8,+1.8
de Bayern Munich,26,10.0,25,162,57,35.2,16.20,5.70,0.14,0.39,18.1,8,3,3,21.8,19.4,0.12,+3.2,+2.6
eng Chelsea,24,13.0,23,140,52,37.1,10.77,4.00,0.13,0.35,16.5,2,5,6,26.0,21.3,0.16,-3.0,-3.3
be Club Brugge,22,6.0,8,54,16,29.6,9.00,2.67,0.11,0.38,17.2,2,2,2,8.5,6.9,0.15,-0.5,-0.9
de Dortmund,26,10.0,19,118,49,41.5,11.80,4.90,0.14,0.35,17.9,5,2,2,14.4,12.8,0.11,+4.6,+4.2
ua Dynamo Kyiv,22,6.0,4,43,21,48.8,7.17,3.50,0.07,0.14,17.3,2,1,1,6.3,5.6,0.13,-2.3,-2.6
hu Ferencváros,20,6.0,5,61,14,23.0,10.17,2.33,0.07,0.29,20.5,1,1,1,5.6,4.8,0.08,-0.6,-0.8
de Gladbach,21,8.0,15,73,31,42.5,9.12,3.87,0.18,0.42,17.1,5,2,2,11.6,10.0,0.14,+3.4,+3.0
it Inter,21,6.0,7,81,20,24.7,13.50,3.33,0.09,0.35,15.4,5,0,0,8.3,8.3,0.11,-1.3,-1.3
it Juventus,22,8.3,17,122,48,39.3,14.64,5.76,0.12,0.31,17.7,3,2,2,15.8,14.3,0.12,+1.2,+0.7
ru Krasnodar,23,6.0,6,65,17,26.2,10.83,2.83,0.08,0.29,18.5,5,1,1,6.4,5.6,0.09,-0.4,-0.6
it Lazio,25,8.0,12,89,35,39.3,11.12,4.37,0.10,0.26,18.1,3,3,3,13.1,10.7,0.12,-1.1,-1.7
eng Liverpool,29,10.0,14,109,43,39.4,10.90,4.30,0.12,0.30,16.2,1,1,1,14.7,14.0,0.13,-0.7,-1.0
ru Loko Moscow,22,6.0,5,39,15,38.5,6.50,2.50,0.08,0.20,18.8,1,2,2,4.9,3.3,0.08,+0.1,-0.3
eng Manchester City,25,13.0,24,167,71,42.5,12.85,5.46,0.13,0.31,17.1,7,2,2,22.5,21.0,0.13,+1.5,+1.0
eng Manchester Utd,23,6.0,14,82,32,39.0,13.67,5.33,0.12,0.31,18.8,4,4,4,11.5,8.3,0.10,+2.5,+1.7
fr Marseille,20,6.0,2,47,11,23.4,7.83,1.83,0.00,0.00,21.0,1,2,3,5.9,3.5,0.08,-3.9,-3.5
dk Midtjylland,22,6.0,4,61,21,34.4,10.17,3.50,0.03,0.10,17.9,3,2,2,7.1,5.5,0.09,-3.1,-3.5
gr Olympiacos,21,6.0,2,44,10,22.7,7.33,1.67,0.05,0.20,18.1,1,0,0,4.1,4.1,0.09,-2.1,-2.1
fr Paris S-G,23,12.0,21,140,47,33.6,11.67,3.92,0.13,0.38,17.4,6,3,4,21.4,18.3,0.13,-0.4,-0.3
pt Porto,26,10.3,15,79,35,44.3,7.65,3.39,0.14,0.31,18.7,1,4,4,12.5,9.4,0.13,+2.5,+1.6
de RB Leipzig,20,8.0,11,99,30,30.3,12.38,3.75,0.10,0.33,17.0,0,1,1,10.6,9.8,0.10,+0.4,+0.2
at RB Salzburg,19,6.0,9,103,39,37.9,17.17,6.50,0.09,0.23,18.0,5,0,0,11.2,11.2,0.11,-2.2,-2.2
es Real Madrid,25,12.0,18,161,61,37.9,13.42,5.08,0.10,0.26,17.9,2,2,2,19.2,17.6,0.11,-1.2,-1.6
fr Rennes,26,6.0,3,71,25,35.2,11.83,4.17,0.01,0.04,18.3,3,2,2,7.6,6.0,0.09,-4.6,-5.0
es Sevilla,25,8.0,13,128,49,38.3,16.00,6.12,0.09,0.24,17.6,6,1,1,12.1,11.3,0.09,+0.9,+0.7
ua Shakhtar,23,6.0,4,41,17,41.5,6.83,2.83,0.10,0.24,20.3,1,0,0,4.7,4.7,0.12,-0.7,-0.7
ru Zenit,21,6.0,3,59,14,23.7,9.83,2.33,0.05,0.21,19.8,1,0,0,5.6,5.6,0.09,-2.6,-2.6
