Squad,#_Pl,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
nl Ajax,1,6.0,16,2,0,3,0,14.6,0.34,-1.4,-0.24,20,101,19.8,235,29,37.9,32.8,46,26.1,29.8,85,4,4.7,5,0.83,12.4
es Atlético Madrid,2,6.0,9,1,0,0,0,9.9,0.33,+0.9,+0.15,17,56,30.4,99,27,30.3,33.3,43,60.5,47.3,53,3,5.7,4,0.67,9.3
es Barcelona,2,6.0,12,1,0,2,0,12.6,0.40,+0.6,+0.10,25,38,65.8,165,27,17.6,20.0,36,25.0,29.3,59,1,1.7,6,1.00,8.0
de Bayern Munich,3,10.0,6,0,0,1,0,10.6,0.30,+4.6,+0.46,24,62,38.7,326,45,16.6,33.2,62,12.9,22.8,113,2,1.8,7,0.70,
pt Benfica,1,10.0,13,3,0,1,0,12.1,0.32,-0.9,-0.09,28,93,30.1,199,42,33.7,33.5,64,40.6,36.7,140,6,4.3,11,1.10,14.8
sct Celtic,1,6.0,15,2,0,0,0,13.3,0.40,-1.7,-0.28,7,17,41.2,142,32,9.2,24.5,32,12.5,25.3,59,0,0.0,6,1.00,19.3
eng Chelsea,2,10.0,9,0,0,1,0,10.4,0.31,+1.4,+0.14,27,87,31.0,248,53,24.6,27.5,49,53.1,42.3,95,7,7.4,12,1.20,22.7
be Club Brugge,1,8.0,11,2,0,0,0,15.1,0.31,+4.1,+0.51,80,155,51.6,246,30,45.1,37.0,77,57.1,39.9,112,6,5.4,5,0.63,9.6
hr Dinamo Zagreb,1,6.0,11,3,0,0,1,12.5,0.27,+2.5,+0.41,34,110,30.9,177,27,42.4,35.7,76,46.1,41.3,101,3,3.0,3,0.50,10.8
de Dortmund,2,8.0,7,1,0,1,0,11.0,0.26,+4.0,+0.50,37,96,38.5,277,30,27.4,29.4,62,32.3,32.9,121,6,5.0,13,1.63,20.6
de Eint Frankfurt,1,8.0,13,2,0,0,0,14.5,0.29,+1.5,+0.19,25,99,25.3,184,33,47.8,37.2,42,26.2,28.9,81,4,4.9,5,0.63,13.0
dk FC Copenhagen,2,6.0,12,1,0,1,1,11.6,0.26,+0.6,+0.11,32,101,31.7,144,23,45.8,39.1,45,77.8,57.5,76,8,10.5,4,0.67,13.2
it Inter,1,13.0,11,0,0,2,1,17.6,0.31,+7.6,+0.58,84,191,44.0,419,63,35.8,34.0,106,38.7,35.2,196,14,7.1,3,0.23,10.1
it Juventus,2,6.0,13,2,0,1,0,11.4,0.30,-1.6,-0.27,16,37,43.2,116,27,25.9,32.3,42,16.7,22.2,64,2,3.1,4,0.67,10.7
de Leverkusen,1,6.0,8,2,0,1,0,7.0,0.17,-1.0,-0.17,22,58,37.9,163,28,28.2,30.8,39,30.8,30.1,91,5,5.5,2,0.33,10.0
eng Liverpool,1,8.0,12,1,0,0,0,12.6,0.40,+0.6,+0.08,28,51,54.9,235,36,17.9,26.5,37,24.3,31.6,56,7,12.5,10,1.25,17.4
il Maccabi Haifa,1,6.0,21,0,1,2,1,17.7,0.42,-2.3,-0.38,19,49,38.8,104,30,30.8,32.5,39,43.6,34.6,82,4,4.9,8,1.33,17.2
eng Manchester City,2,13.0,5,1,0,3,0,7.6,0.19,+2.6,+0.20,48,101,47.5,340,51,22.6,29.6,58,41.4,39.3,93,5,5.4,14,1.08,16.2
fr Marseille,1,6.0,8,0,0,1,0,5.4,0.27,-2.6,-0.43,18,56,32.1,151,20,30.5,32.8,25,40.0,37.6,44,3,6.8,11,1.83,17.0
it Milan,2,12.0,11,1,0,3,0,14.4,0.24,+3.4,+0.28,75,144,52.1,338,48,30.8,32.7,95,42.1,36.4,163,11,6.7,21,1.75,21.3
