Squad,#_Pl,90s,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
nl Ajax,19,6.0,3385,3106,261,64,7,19,63,103,26,11,3,0,2834,18,42
es Atlético Madrid,22,6.0,3674,3362,292,62,6,30,151,133,39,26,6,1,3047,20,44
es Barcelona,26,6.0,4033,3734,291,93,15,27,154,104,40,20,15,0,3476,8,57
de Bayern Munich,24,10.0,6096,5665,405,107,26,33,127,182,38,23,13,1,5277,26,75
pt Benfica,24,10.0,5740,5301,423,103,10,54,152,184,49,21,12,0,4832,16,99
sct Celtic,22,6.0,3217,2965,248,47,8,9,121,116,32,10,8,0,2714,4,56
eng Chelsea,26,10.0,5977,5527,423,132,15,36,194,170,53,28,21,0,5015,27,93
be Club Brugge,25,8.0,3805,3408,383,104,5,39,105,156,28,20,2,0,2998,14,77
hr Dinamo Zagreb,20,6.0,2821,2519,300,96,4,33,73,96,15,5,3,0,2232,2,65
de Dortmund,26,8.0,4123,3758,357,102,8,54,92,151,27,8,15,0,3388,8,71
de Eint Frankfurt,22,8.0,3691,3310,364,107,6,20,107,168,26,14,9,1,2827,17,68
dk FC Copenhagen,25,6.0,2478,2255,216,51,5,23,61,81,21,15,3,1,1950,7,40
it Inter,22,13.0,6011,5410,573,165,10,62,249,213,65,21,36,0,4784,28,129
it Juventus,26,6.0,3100,2828,255,74,7,37,142,93,27,14,10,0,2553,17,50
de Leverkusen,20,6.0,3241,3004,224,59,11,20,90,81,31,11,14,0,2663,13,53
eng Liverpool,25,8.0,4628,4241,373,89,19,40,184,168,59,12,45,0,3786,14,73
il Maccabi Haifa,20,6.0,2698,2443,239,55,8,18,84,88,30,6,4,0,2173,16,51
eng Manchester City,23,13.0,8736,8227,494,134,22,70,240,206,78,22,25,7,7695,15,138
fr Marseille,19,6.0,3647,3350,271,88,5,29,116,115,30,7,9,1,3072,26,53
it Milan,23,12.0,5392,4849,524,161,14,32,169,209,36,15,18,0,4306,19,111
it Napoli,22,10.0,5849,5367,463,144,33,47,168,174,58,22,20,0,4938,19,91
fr Paris S-G,21,8.0,5187,4803,367,135,21,19,95,111,39,15,15,0,4570,17,74
pt Porto,24,8.0,3703,3292,397,121,11,18,113,168,35,19,8,0,2857,14,74
sct Rangers,22,6.0,2452,2153,284,69,3,15,84,110,20,1,14,0,1850,15,46
de RB Leipzig,22,8.0,4438,4088,330,83,21,28,114,144,32,7,19,0,3767,20,65
at RB Salzburg,19,6.0,2223,1931,284,60,4,9,88,153,24,18,3,0,1527,8,56
es Real Madrid,22,12.0,7601,7062,525,139,22,74,169,206,64,19,17,0,6655,14,111
es Sevilla,24,6.0,3189,2897,284,79,7,33,91,115,17,2,12,0,2635,8,56
ua Shakhtar,20,6.0,2927,2664,254,59,16,12,45,77,15,8,6,1,2461,9,50
pt Sporting CP,25,6.0,2812,2510,298,105,4,22,61,98,20,8,9,1,2250,4,43
eng Tottenham,25,8.0,4270,3908,342,92,13,26,166,138,45,26,8,0,3459,20,72
cz Viktoria Plzeň,22,6.0,1806,1534,265,67,0,13,94,88,22,8,8,0,1328,7,43
